SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Clus|CLUG_05601	Clus|CLUG_05607	0.595570	2.044865	0.291251	1687.568467	652.431533	0.813934	2.998974	3429
Clus|CLUG_05602	Clus|CLUG_05614	0.399897	1.265029	0.316117	514.103590	181.896410	3.111567	1.877987	777
Clus|CLUG_05603	Clus|CLUG_05599	0.175486	0.537693	0.326368	2391.087966	1022.912034	1.988762	0.852034	4455
Clus|CLUG_05604	Clus|CLUG_05605	0.180204	0.463187	0.389052	291.676982	155.323018	3.792477	0.835603	786
Clus|CLUG_05608	Clus|CLUG_04132	0.522636	2.616944	0.199712	1079.911120	345.088880	1.446151	3.089429	1626
Clus|CLUG_05609	Clus|CLUG_00357	0.771085	4.497862	0.171434	1433.719875	402.280125	1.377463	4.762942	2313
Clus|CLUG_05610	Clus|CLUG_04002	0.892611	3.723891	0.239698	1120.254007	361.745993	1.419577	4.751120	1644
Clus|CLUG_05611	Clus|CLUG_01281	0.711517	1.788455	0.397839	732.126657	245.873343	1.276336	2.946793	1062
Clus|CLUG_05618	Clus|CLUG_02743	0.874579	1.861656	0.469785	1193.299421	384.700579	1.794841	3.345655	2358
Clus|CLUG_05619	Clus|CLUG_02940	0.783461	4.308951	0.181822	1457.292412	312.707588	1.371438	4.218938	2217
Clus|CLUG_05644	Clus|CLUG_02651	0.950813	2.652053	0.358520	1633.783707	526.216293	1.502187	4.095800	3516
Clus|CLUG_05647	Clus|CLUG_04113	0.696955	4.517198	0.154289	1564.213499	412.786501	1.174916	4.483801	3264
Clus|CLUG_05649	Clus|CLUG_01207	0.729635	4.380689	0.166557	1110.904505	344.095495	1.546750	4.779238	1710
Clus|CLUG_05651	Clus|CLUG_01420	0.414029	3.133232	0.132141	279.788054	65.211946	1.372374	2.784039	945
Clus|CLUG_05652	Clus|CLUG_03484	0.705858	1.673326	0.421830	258.709216	110.290784	1.610456	2.985077	447
Clus|CLUG_05660	Clus|CLUG_00149	0.911051	2.561709	0.355642	2353.704173	658.295827	1.036651	3.815445	3654
Clus|CLUG_05662	Clus|CLUG_04222	0.551818	4.200176	0.131380	830.510285	270.489715	1.361580	4.344399	1239
Clus|CLUG_05665	Clus|CLUG_05103	0.837722	4.227483	0.198161	913.480125	280.519875	1.113695	4.902351	1563
Clus|CLUG_05672	Clus|CLUG_01008	0.994044	2.151852	0.461948	1196.254222	357.745778	1.310855	3.781747	1809
Clus|CLUG_05679	Clus|CLUG_00193	0.833897	4.005907	0.208167	709.235085	208.764915	1.263149	4.665757	1461
Clus|CLUG_05682	Clus|CLUG_03883	0.970706	2.337918	0.415201	893.677541	288.322459	1.632471	3.912620	1356
Clus|CLUG_05683	Clus|CLUG_04326	0.710907	2.609909	0.272388	1310.699970	453.300030	1.466537	3.596698	2340
Clus|CLUG_05687	Clus|CLUG_02590	0.748240	2.642212	0.283187	555.392124	212.607876	1.077339	3.817663	930
Clus|CLUG_05695	Clus|CLUG_03113	0.984785	1.784777	0.551769	2756.830555	891.169445	1.573191	3.540645	4632
Clus|CLUG_05700	Clus|CLUG_01034	0.424405	0.623507	0.680674	381.289947	143.710053	3.020553	1.436717	618
Clus|CLUG_05701	Clus|CLUG_00057	0.710868	4.082100	0.174143	845.911554	231.088446	1.203254	4.302667	1644
Clus|CLUG_05702	Clus|CLUG_01898	0.127808	0.492038	0.259752	388.806548	130.193452	1.551506	0.657530	1605
Clus|CLUG_05711	Clus|CLUG_04798	0.475439	4.236655	0.112220	883.028714	283.971286	1.332962	4.172016	1218
Clus|CLUG_05714	Clus|CLUG_03464	0.786477	2.518298	0.312305	683.576507	216.423493	1.624820	3.608787	1029
Clus|CLUG_05720	Clus|CLUG_02164	0.715009	1.230229	0.581200	579.134305	215.865695	1.627839	2.564718	885
Clus|CLUG_05735	Clus|CLUG_02192	0.167300	0.219237	0.763102	338.393447	132.606553	3.229442	0.545768	543
Clus|CLUG_05764	Clus|CLUG_00761	0.527791	1.423341	0.370811	1211.649455	297.350545	1.129033	2.112781	1848
Clus|CLUG_05766	Clus|CLUG_04072	0.027086	0.584219	0.046363	1103.132002	336.867998	2.026513	0.472259	1443
Clus|CLUG_05769	Clus|CLUG_00847	0.632279	3.519773	0.179636	361.816364	109.183636	1.743366	3.904908	507
Clus|CLUG_05788	Clus|CLUG_00982	0.966310	3.262504	0.296187	1553.621423	468.378577	1.223186	4.494610	2292
Clus|CLUG_05797	Clus|CLUG_02607	0.779385	3.115064	0.250199	1810.803934	571.196066	1.488532	4.018419	3036
Clus|CLUG_05800	Clus|CLUG_00771	0.731620	2.073680	0.352812	1538.965178	417.034822	1.213291	3.053274	2160
Clus|CLUG_05807	Clus|CLUG_03675	0.911908	4.365671	0.208881	1159.726324	337.273676	1.154899	5.070119	1827
Clus|CLUG_05816	Clus|CLUG_00572	0.219017	3.983040	0.054987	817.504059	202.495941	1.662393	2.898814	1329
Clus|CLUG_05817	Clus|CLUG_02853	0.517967	2.140909	0.241938	1069.768099	382.231901	1.636792	2.835595	2124
Clus|CLUG_05821	Clus|CLUG_01832	0.757778	4.248640	0.178358	986.454283	288.545717	1.090809	4.643389	1731
Clus|CLUG_05825	Clus|CLUG_03719	0.626171	2.171971	0.288296	1042.635105	322.364895	1.398711	2.973703	2100
Clus|CLUG_05828	Clus|CLUG_00176	0.673507	4.329674	0.155556	941.531605	321.468395	1.823326	4.812307	1620
Clus|CLUG_05845	Clus|CLUG_02194	0.683796	1.679753	0.407081	2419.405605	655.594395	1.152162	2.688406	3585
Clus|CLUG_05846	Clus|CLUG_00164	0.678354	4.447080	0.152539	1211.056196	375.943804	1.336230	4.713378	2397
Clus|CLUG_05847	Clus|CLUG_02661	0.742115	2.432980	0.305023	1041.345111	338.654889	1.359177	3.471171	1608
Clus|CLUG_05848	Clus|CLUG_03834	0.654487	1.957837	0.334291	655.931036	223.068964	1.370828	2.955737	954
Clus|CLUG_05851	Clus|CLUG_03234	0.314902	1.592455	0.197746	1480.824214	409.175786	1.239574	1.774458	2106
Clus|CLUG_05859	Clus|CLUG_01022	0.905982	4.482890	0.202098	1354.670470	394.329530	1.451172	5.137294	2289
Clus|CLUG_05860	Clus|CLUG_01480	0.746027	4.197767	0.177720	1044.377432	269.622568	1.099167	4.362892	2292
Clus|CLUG_05866	Clus|CLUG_01477	0.887274	4.707542	0.188479	1750.958016	532.041984	1.306971	5.332707	2640
Clus|CLUG_05876	Clus|CLUG_01754	0.070227	0.210541	0.333556	370.540181	106.459819	1.603039	0.304630	1533
Clus|CLUG_05877	Clus|CLUG_03398	0.020636	0.036878	0.559566	1204.218214	319.781786	0.544701	0.072132	4242
Clus|CLUG_05878	Clus|CLUG_01755	0.000000	0.000000	99.000000	605.358785	198.641215	4.600000	0.000000	1986
Clus|CLUG_05907	Clus|CLUG_04025	0.775938	2.961098	0.262044	573.769365	173.230635	1.228012	3.848043	1776
Clus|CLUG_05910	Clus|CLUG_00228	0.674573	1.608295	0.419433	259.021602	88.978398	2.076275	2.739935	504
Clus|CLUG_05914	Clus|CLUG_05209	0.779545	1.458951	0.534319	845.249763	261.750237	1.453786	2.820572	1305
Clus|CLUG_05916	Clus|CLUG_00131	0.515800	1.356618	0.380210	1118.651037	354.348963	1.848980	2.154208	2979
Clus|CLUG_05919	Clus|CLUG_00248	0.780975	1.784868	0.437553	1077.316909	380.683091	1.764670	3.129273	1836
Clus|CLUG_05924	Clus|CLUG_02199	0.577694	3.340716	0.172925	394.005084	85.994916	0.523426	3.218118	717
Clus|CLUG_05938	Clus|CLUG_02625	0.724573	4.106792	0.176433	835.177032	238.822968	1.207849	4.430007	1191
Clus|CLUG_05939	Clus|CLUG_04001	0.392012	3.941574	0.099456	663.395783	191.604217	1.110277	3.562391	1047
Clus|CLUG_05941	Clus|CLUG_02304	0.000000	0.000000	99.000000	307.706819	145.293181	4.600000	0.000000	453
Clus|CLUG_04838	Clus|CLUG_03197	0.567445	1.999338	0.283816	483.211282	116.788718	1.219825	2.538479	744
Clus|CLUG_04839	Clus|CLUG_05600	0.045093	0.079281	0.568775	595.519085	241.480915	4.754253	0.164869	1143
Clus|CLUG_04840	Clus|CLUG_03295	0.433865	1.277429	0.339639	627.692410	254.307590	2.096189	2.031271	954
Clus|CLUG_04841	Clus|CLUG_00313	0.285268	3.100732	0.092000	591.635026	227.364974	2.231090	3.200632	1545
Clus|CLUG_04842	Clus|CLUG_00968	0.484433	1.984642	0.244091	828.270041	290.729959	2.362939	2.622616	1491
Clus|CLUG_04845	Clus|CLUG_01197	1.399924	1.659067	0.843802	3437.870770	1593.129230	0.834245	4.445955	6645
