SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Calco1|Calco1_552340	Calco1|Calco1_559137	0.007548	0.017558	0.429916	667.007696	172.992304	1.993669	0.028829	1008
Calco1|Calco1_425662	Calco1|Calco1_442846	0.102853	0.598554	0.171836	854.653785	267.346215	1.914843	0.662901	1521
Calco1|Calco1_505262	Calco1|Calco1_509830	0.015849	0.039436	0.401888	319.656718	157.343282	6.827576	0.070888	642
Calco1|Calco1_489288	Calco1|Calco1_489289	0.586840	0.671493	0.873932	700.830922	319.169078	2.104872	1.839987	1581
Calco1|Calco1_478745	Calco1|Calco1_404896	0.403197	4.095791	0.098442	931.654614	235.345386	1.614328	3.443614	1416
Calco1|Calco1_517	Calco1|Calco1_470060	0.934457	2.313228	0.403962	814.901174	274.098826	1.320907	3.844472	1152
Calco1|Calco1_478748	Calco1|Calco1_495698	0.786500	4.868231	0.161558	2604.834616	659.165384	1.183426	4.832419	4203
Calco1|Calco1_419104	Calco1|Calco1_419002	0.204901	3.922959	0.052231	635.092742	186.907258	1.373905	3.150952	1233
Calco1|Calco1_552357	Calco1|Calco1_445426	0.659747	2.891840	0.228141	1291.057302	448.942698	1.566037	3.706969	2079
Calco1|Calco1_906	Calco1|Calco1_243421	0.433891	4.310770	0.100653	1255.533362	313.466638	0.993307	3.625329	1701
Calco1|Calco1_552362	Calco1|Calco1_466819	0.563056	3.232866	0.174166	1127.902471	363.097529	1.357377	3.639674	1563
Calco1|Calco1_489331	Calco1|Calco1_443459	0.963965	3.346202	0.288077	744.681793	239.318207	1.128031	4.630045	1134
Calco1|Calco1_522251	Calco1|Calco1_428739	0.633205	4.146092	0.152723	930.328851	251.671149	1.365445	4.143504	1608
Calco1|Calco1_425758	Calco1|Calco1_437697	0.169666	4.229003	0.040120	1191.911218	281.088782	1.236690	2.832897	2184
Calco1|Calco1_489389	Calco1|Calco1_436058	0.369196	3.853672	0.095804	942.586331	170.413669	1.318161	2.708133	1140
Calco1|Calco1_409930	Calco1|Calco1_421466	0.000000	0.000000	99.000000	132.208639	53.791361	4.600000	0.000000	186
Calco1|Calco1_489391	Calco1|Calco1_492857	0.034744	0.124517	0.279030	412.645627	88.354373	1.490395	0.151728	510
Calco1|Calco1_522257	Calco1|Calco1_491226	0.699988	3.915760	0.178762	996.878412	185.121588	1.288876	3.610900	1263
Calco1|Calco1_462189	Calco1|Calco1_480373	0.871173	4.715046	0.184764	1934.607679	537.392321	1.262780	5.120397	3765
Calco1|Calco1_513805	Calco1|Calco1_519693	0.577150	5.267245	0.109573	4421.859294	1122.140706	1.140637	4.579365	6195
Calco1|Calco1_478812	Calco1|Calco1_555709	0.604274	3.908740	0.154596	662.602930	183.397070	1.077210	3.961862	972
Calco1|Calco1_478815	Calco1|Calco1_462200	0.545733	2.463730	0.221507	328.456499	103.543501	1.712884	3.016339	447
Calco1|Calco1_462209	Calco1|Calco1_505087	0.817528	3.116938	0.262285	573.420812	164.579188	1.176083	3.990937	834
Calco1|Calco1_489436	Calco1|Calco1_478825	0.259598	3.032369	0.085609	402.092763	134.907237	1.269121	2.868554	1053
Calco1|Calco1_462231	Calco1|Calco1_507986	0.617241	4.113147	0.150065	1241.144810	240.855190	1.957633	3.556191	1629
Calco1|Calco1_478830	Calco1|Calco1_500703	0.461669	3.634531	0.127023	736.764239	127.235761	1.079727	2.786748	912
Calco1|Calco1_489446	Calco1|Calco1_505339	0.440830	3.261064	0.135180	258.669759	77.330241	2.621788	3.269716	648
