SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Phybl2|Phybl2_137810	Phybl2|Phybl2_138792	0.000000	0.017056	0.000010	177.493374	59.506626	4.600000	0.012847	237
Phybl2|Phybl2_160916	Phybl2|Phybl2_171127	0.006573	0.010686	0.615115	763.979670	283.020330	4.016407	0.023056	1047
Phybl2|Phybl2_160917	Phybl2|Phybl2_164148	0.004679	0.017343	0.269812	1501.352952	643.647048	8.324292	0.025438	2145
Phybl2|Phybl2_74144	Phybl2|Phybl2_73819	0.015149	0.006060	2.499731	633.477001	248.522999	4.600000	0.037763	1095
Phybl2|Phybl2_160919	Phybl2|Phybl2_61903	0.010960	0.011379	0.963224	643.346219	265.653781	4.600000	0.033248	912
Phybl2|Phybl2_160920	Phybl2|Phybl2_176083	0.000000	0.000000	99.000000	237.696525	89.303475	4.600000	0.000000	327
Phybl2|Phybl2_160921	Phybl2|Phybl2_62203	0.060960	0.058555	1.041075	1157.718632	438.281368	4.856686	0.180898	2103
Phybl2|Phybl2_73886	Phybl2|Phybl2_168947	0.001603	0.016071	0.099752	624.434848	251.565152	4.600000	0.017274	3075
Phybl2|Phybl2_137818	Phybl2|Phybl2_153378	0.001506	0.004812	0.313052	664.513890	208.486110	4.600000	0.006887	909
Phybl2|Phybl2_137820	Phybl2|Phybl2_175140	0.001521	0.000000	99.000000	658.086505	244.913495	4.600000	0.003326	1887
Phybl2|Phybl2_137821	Phybl2|Phybl2_143978	0.018991	0.051588	0.368125	293.404926	90.595074	0.694751	0.080044	1512
Phybl2|Phybl2_160923	Phybl2|Phybl2_176278	0.062720	0.089476	0.700976	1027.607990	361.392010	2.782711	0.209044	1914
Phybl2|Phybl2_137824	Phybl2|Phybl2_165026	0.012765	0.023471	0.543846	711.095339	260.904661	4.188754	0.046915	996
Phybl2|Phybl2_73964	Phybl2|Phybl2_173218	0.151554	0.174555	0.868228	399.977286	146.022714	2.694003	0.473116	2973
Phybl2|Phybl2_9972	Phybl2|Phybl2_9989	0.093385	0.616708	0.151424	115.087792	34.912208	4.945150	0.645561	150
Phybl2|Phybl2_160927	Phybl2|Phybl2_174674	0.032988	0.079306	0.415955	602.228598	264.771402	8.615467	0.141398	3075
Phybl2|Phybl2_137829	Phybl2|Phybl2_173123	0.045588	0.112781	0.404216	418.567805	139.432195	1.929252	0.187133	2262
Phybl2|Phybl2_160929	Phybl2|Phybl2_174907	0.027167	0.037367	0.727022	1422.307798	524.692202	3.243728	0.089747	2157
Phybl2|Phybl2_160930	Phybl2|Phybl2_163564	0.006176	0.014206	0.434734	813.758980	284.241020	4.600000	0.024764	1110
Phybl2|Phybl2_160931	Phybl2|Phybl2_174284	0.293891	0.335319	0.876454	1289.220404	390.779596	1.184656	0.910583	1986
Phybl2|Phybl2_160932	Phybl2|Phybl2_170423	0.045647	0.034696	1.315647	1240.969148	520.030852	9.712303	0.127239	2310
Phybl2|Phybl2_137835	Phybl2|Phybl2_162418	0.154443	0.225575	0.684667	823.058073	241.941927	1.981067	0.511808	2868
Phybl2|Phybl2_160934	Phybl2|Phybl2_151158	0.037846	0.049528	0.764137	519.440552	230.559448	14.802328	0.124311	1389
Phybl2|Phybl2_160935	Phybl2|Phybl2_175164	0.049288	0.044201	1.115091	763.929615	250.070385	4.780213	0.144101	1272
Phybl2|Phybl2_160936	Phybl2|Phybl2_176265	0.024404	0.039559	0.616914	1521.895325	563.104675	4.221928	0.085491	2979
Phybl2|Phybl2_61335	Phybl2|Phybl2_67264	0.324252	0.310486	1.044337	237.570184	86.429816	3.015706	0.961740	384
Phybl2|Phybl2_137842	Phybl2|Phybl2_69627	0.103264	0.065082	1.586667	221.751115	96.248885	6.787996	0.275122	378
Phybl2|Phybl2_160940	Phybl2|Phybl2_152729	0.015742	0.043567	0.361327	706.128211	262.871789	4.019400	0.069871	969
Phybl2|Phybl2_61339	Phybl2|Phybl2_144850	0.126909	0.175109	0.724740	399.241576	101.758424	1.988001	0.410096	2004
Phybl2|Phybl2_137847	Phybl2|Phybl2_59500	0.356047	2.353127	0.151308	1228.335870	304.664130	1.701636	2.258822	1833
Phybl2|Phybl2_160943	Phybl2|Phybl2_63745	0.087014	0.114111	0.762532	886.913190	310.086810	3.290856	0.282100	2502
Phybl2|Phybl2_137849	Phybl2|Phybl2_67456	0.172390	0.562525	0.306458	1089.263313	452.736687	5.449595	0.860805	3015
Phybl2|Phybl2_137853	Phybl2|Phybl2_140823	0.485256	3.478876	0.139486	355.610710	103.389290	1.446904	3.478698	492
Phybl2|Phybl2_104965	Phybl2|Phybl2_105409	0.256153	2.051431	0.124866	934.106358	328.893642	2.150390	2.170966	1437
Phybl2|Phybl2_87361	Phybl2|Phybl2_188483	0.185331	4.321847	0.042882	992.869040	318.130960	1.448381	3.567329	2517
Phybl2|Phybl2_178537	Phybl2|Phybl2_178538	0.103188	0.121616	0.848472	1322.543167	507.456833	3.536059	0.324895	1842
Phybl2|Phybl2_160960	Phybl2|Phybl2_164734	0.940161	4.839886	0.194253	1963.281611	634.718389	1.180840	5.678713	3675
Phybl2|Phybl2_129062	Phybl2|Phybl2_124034	0.748396	1.680862	0.445245	663.809268	197.190732	1.197803	2.885864	1980
Phybl2|Phybl2_17446	Phybl2|Phybl2_165165	0.444908	1.920618	0.231648	1000.833366	376.166634	1.819557	2.544120	2325
Phybl2|Phybl2_137874	Phybl2|Phybl2_147526	0.282446	1.864945	0.151450	811.919845	268.080155	1.900147	2.025773	1440
Phybl2|Phybl2_137876	Phybl2|Phybl2_185732	0.028659	0.049001	0.584875	284.509070	126.490930	4.600000	0.104759	1971
Phybl2|Phybl2_137877	Phybl2|Phybl2_63962	0.496432	1.429494	0.347278	765.444038	236.555962	1.993150	2.150138	1785
Phybl2|Phybl2_137878	Phybl2|Phybl2_144813	0.083140	0.073338	1.133655	433.774266	193.225734	26.840328	0.240358	822
Phybl2|Phybl2_160972	Phybl2|Phybl2_64623	0.041530	0.035470	1.170865	1095.161326	461.838674	6.293776	0.119198	1911
Phybl2|Phybl2_137880	Phybl2|Phybl2_148305	0.231225	0.347438	0.665513	406.587746	97.412254	2.227216	0.761059	771
Phybl2|Phybl2_61374	Phybl2|Phybl2_162454	0.196200	0.243065	0.807193	187.489055	52.510945	2.275824	0.619362	411
Phybl2|Phybl2_137881	Phybl2|Phybl2_173198	0.061946	0.087455	0.708319	724.752957	271.247043	4.283645	0.206680	1074
Phybl2|Phybl2_102485	Phybl2|Phybl2_102089	0.041030	0.051573	0.795580	350.631336	162.368664	11.276538	0.133101	540
Phybl2|Phybl2_160977	Phybl2|Phybl2_73170	0.039808	0.046594	0.854368	234.321051	110.678949	15.381233	0.125955	345
Phybl2|Phybl2_137885	Phybl2|Phybl2_146969	0.235339	0.234265	1.004585	133.624642	67.375358	5.950317	0.704937	303
Phybl2|Phybl2_93225	Phybl2|Phybl2_148709	0.300682	3.126935	0.096159	253.333274	64.666726	1.114723	2.626239	897
Phybl2|Phybl2_61385	Phybl2|Phybl2_171758	0.172865	0.287506	0.601257	253.975351	76.024649	0.917408	0.597827	375
