SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Aurvu1|Aurvu1_1600999	Aurvu1|Aurvu1_1552378	0.274713	0.680877	0.403468	691.585237	241.414763	2.387565	1.139424	1014
Aurvu1|Aurvu1_1552370	Aurvu1|Aurvu1_1554340	0.104945	0.135198	0.776234	231.187565	110.812435	4.924413	0.344243	423
Aurvu1|Aurvu1_1592162	Aurvu1|Aurvu1_1485125	0.449637	4.436535	0.101349	1123.304975	370.695025	1.241023	4.316629	1572
Aurvu1|Aurvu1_1552366	Aurvu1|Aurvu1_1682477	0.729793	4.608632	0.158353	1756.693801	466.306199	2.015011	4.630306	3009
Aurvu1|Aurvu1_1480947	Aurvu1|Aurvu1_1480387	0.686313	4.162879	0.164865	831.632481	257.367519	1.374614	4.523829	1149
Aurvu1|Aurvu1_483145	Aurvu1|Aurvu1_1104837	0.507472	3.853866	0.131679	606.542057	170.457943	1.044013	3.724809	1002
Aurvu1|Aurvu1_1579477	Aurvu1|Aurvu1_1480833	0.320845	4.302786	0.074567	1042.852467	310.147533	1.471336	3.700870	1539
Aurvu1|Aurvu1_1530797	Aurvu1|Aurvu1_1530789	0.302259	4.741532	0.063747	1948.291035	556.708965	1.689582	3.866518	2895
Aurvu1|Aurvu1_1552341	Aurvu1|Aurvu1_1640045	0.336928	4.399896	0.076576	1461.978905	353.021095	1.177594	3.381550	1854
Aurvu1|Aurvu1_1552338	Aurvu1|Aurvu1_1553345	0.473958	4.285057	0.110607	1053.097936	302.902064	1.621805	3.975834	1659
Aurvu1|Aurvu1_1481183	Aurvu1|Aurvu1_1485729	0.475341	5.062723	0.093890	2640.687461	854.312539	1.462645	4.790021	3618
Aurvu1|Aurvu1_1552328	Aurvu1|Aurvu1_1555093	0.959207	4.500657	0.213126	1351.217738	403.782262	1.129401	5.322021	2487
Aurvu1|Aurvu1_1633373	Aurvu1|Aurvu1_1537833	0.563698	3.174358	0.177578	1179.074556	365.925444	1.593712	3.546058	1683
Aurvu1|Aurvu1_1530748	Aurvu1|Aurvu1_990384	0.857609	2.190986	0.391426	1106.160008	351.839992	1.260381	3.538125	1785
Aurvu1|Aurvu1_1600939	Aurvu1|Aurvu1_1614119	0.503673	4.424658	0.113833	1462.129056	364.870944	1.629943	3.860203	2208
Aurvu1|Aurvu1_1481173	Aurvu1|Aurvu1_1506113	0.437352	4.264339	0.102560	1070.350941	294.649059	1.589411	3.790338	1497
Aurvu1|Aurvu1_1633277	Aurvu1|Aurvu1_1670938	0.150200	3.965926	0.037873	729.072389	197.927611	1.691825	2.894735	927
Aurvu1|Aurvu1_1481413	Aurvu1|Aurvu1_1551567	0.160692	4.165094	0.038581	1067.871142	258.128858	1.408504	2.820655	1533
Aurvu1|Aurvu1_1600932	Aurvu1|Aurvu1_1605246	0.164586	0.315765	0.521228	992.539738	345.460262	2.611213	0.610857	1827
Aurvu1|Aurvu1_478903	Aurvu1|Aurvu1_1520611	0.963016	2.411000	0.399426	3923.428610	1275.571390	1.495969	3.954834	9336
Aurvu1|Aurvu1_1552292	Aurvu1|Aurvu1_477839	0.298076	0.519861	0.573377	846.016385	293.983615	2.031088	1.065810	1557
Aurvu1|Aurvu1_1552282	Aurvu1|Aurvu1_1585544	0.835422	2.337508	0.357399	596.523594	207.476406	1.132281	3.669130	1080
Aurvu1|Aurvu1_1600907	Aurvu1|Aurvu1_1602389	0.809256	4.259378	0.189994	1063.293306	292.706694	0.888952	4.662002	1953
Aurvu1|Aurvu1_1579412	Aurvu1|Aurvu1_1594633	0.216021	3.900955	0.055376	763.496818	181.503182	1.515711	2.771323	954
Aurvu1|Aurvu1_474078	Aurvu1|Aurvu1_471155	0.204335	0.177494	1.151225	627.104912	263.895088	2.135825	0.589156	1167
Aurvu1|Aurvu1_1481207	Aurvu1|Aurvu1_1527907	0.416126	2.347460	0.177267	2021.928566	642.071434	1.622454	2.644836	2760
Aurvu1|Aurvu1_468193	Aurvu1|Aurvu1_872439	0.767082	4.570258	0.167842	1548.952410	443.047590	1.405647	4.838879	3894
Aurvu1|Aurvu1_473541	Aurvu1|Aurvu1_1473123	0.236791	3.581090	0.066123	844.514995	118.485005	1.619817	1.944795	1356
Aurvu1|Aurvu1_1552254	Aurvu1|Aurvu1_1587946	0.253254	4.237464	0.059766	1164.722095	284.277905	0.978450	3.104738	1485
Aurvu1|Aurvu1_1552249	Aurvu1|Aurvu1_1604494	0.773221	4.040532	0.191366	774.371004	218.628996	1.275963	4.477756	1173
Aurvu1|Aurvu1_1481378	Aurvu1|Aurvu1_1554954	0.727037	4.513030	0.161097	1056.700717	305.299283	1.365976	4.727060	1749
Aurvu1|Aurvu1_1530606	Aurvu1|Aurvu1_1492427	0.204720	1.145561	0.178707	1064.461687	372.538313	2.621560	1.345890	1593
Aurvu1|Aurvu1_1600867	Aurvu1|Aurvu1_1552711	0.370665	3.867729	0.095835	660.362175	173.637825	1.339861	3.296248	834
Aurvu1|Aurvu1_468056	Aurvu1|Aurvu1_662255	0.167093	1.708758	0.097786	537.216951	137.783049	2.786562	1.445347	690
Aurvu1|Aurvu1_1600863	Aurvu1|Aurvu1_1019549	0.774874	4.360651	0.177697	1071.976336	335.023664	1.519286	4.886072	1635
