SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
DalEC12_1|DalEC12_1_380895	DalEC12_1|DalEC12_1_322063	0.528606	1.769759	0.298688	779.102551	258.897449	1.782847	2.514522	1059
DalEC12_1|DalEC12_1_71990	DalEC12_1|DalEC12_1_320771	0.736169	4.058967	0.181369	843.930653	224.069347	0.889760	4.299903	1206
DalEC12_1|DalEC12_1_312687	DalEC12_1|DalEC12_1_66555	0.785645	4.800443	0.163661	2133.799132	602.200868	1.047084	5.007937	4146
DalEC12_1|DalEC12_1_52358	DalEC12_1|DalEC12_1_322028	0.474789	3.979217	0.119317	773.533505	201.466495	1.332746	3.596751	1050
DalEC12_1|DalEC12_1_312699	DalEC12_1|DalEC12_1_323133	0.741003	4.465368	0.165944	1147.776421	385.223579	1.035915	5.030667	1836
DalEC12_1|DalEC12_1_7090	DalEC12_1|DalEC12_1_316841	0.778011	2.166811	0.359058	659.219518	207.780482	1.634698	3.332529	978
DalEC12_1|DalEC12_1_51675	DalEC12_1|DalEC12_1_173574	0.713239	4.011220	0.177811	836.750722	210.249278	1.107006	4.126532	3087
DalEC12_1|DalEC12_1_312703	DalEC12_1|DalEC12_1_317753	0.569742	4.070646	0.139963	669.413993	227.586007	1.319370	4.373964	933
DalEC12_1|DalEC12_1_52117	DalEC12_1|DalEC12_1_19548	0.701502	3.449710	0.203351	2848.606986	1000.393014	1.389920	4.247365	4407
DalEC12_1|DalEC12_1_312737	DalEC12_1|DalEC12_1_289318	0.886284	4.426502	0.200222	1185.230716	365.769284	1.163321	5.163500	1788
DalEC12_1|DalEC12_1_324030	DalEC12_1|DalEC12_1_52690	0.881810	2.464828	0.357757	1589.569663	549.430337	1.719347	3.865288	3486
DalEC12_1|DalEC12_1_312747	DalEC12_1|DalEC12_1_315232	0.751715	2.906839	0.258602	1838.611330	597.388670	1.139719	3.840671	4416
DalEC12_1|DalEC12_1_49760	DalEC12_1|DalEC12_1_22372	0.765324	4.342067	0.176258	1929.044959	638.955041	1.332371	4.965806	3576
DalEC12_1|DalEC12_1_50913	DalEC12_1|DalEC12_1_321335	0.319093	3.125393	0.102097	901.175624	289.824376	1.851641	3.005980	1428
DalEC12_1|DalEC12_1_80724	DalEC12_1|DalEC12_1_246847	0.700187	2.404636	0.291182	406.081815	115.918185	1.727145	3.236058	594
DalEC12_1|DalEC12_1_312762	DalEC12_1|DalEC12_1_314207	0.847888	4.508740	0.188054	1430.842643	408.157357	1.122619	4.981191	2862
DalEC12_1|DalEC12_1_324057	DalEC12_1|DalEC12_1_67081	0.508452	3.955065	0.128557	695.918040	195.081960	1.165725	3.789235	963
