SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Delco1|Delco1_452952	Delco1|Delco1_385028	0.545172	4.030451	0.135263	897.289925	215.710075	0.968331	3.661957	1233
Delco1|Delco1_2126	Delco1|Delco1_413955	0.641407	4.454759	0.143982	1177.187020	379.812980	1.214801	4.714897	1599
Delco1|Delco1_467848	Delco1|Delco1_416178	0.784854	3.679024	0.213332	921.783794	314.216206	1.263044	4.561831	1431
Delco1|Delco1_1986	Delco1|Delco1_62028	0.243520	3.755230	0.064848	633.548291	149.451709	1.341438	2.741408	831
Delco1|Delco1_436729	Delco1|Delco1_484629	0.839462	4.358482	0.192604	1102.943978	334.056022	1.271338	4.972561	1752
Delco1|Delco1_361260	Delco1|Delco1_404381	0.672312	4.624566	0.145378	1698.680678	476.319322	1.194512	4.613535	3894
Delco1|Delco1_445822	Delco1|Delco1_440793	0.549770	4.199557	0.130911	1004.733152	270.266848	1.592610	3.970291	1692
Delco1|Delco1_445819	Delco1|Delco1_137523	0.657119	2.470550	0.265981	1401.201752	425.798248	1.295748	3.239264	2130
Delco1|Delco1_436717	Delco1|Delco1_394584	0.366086	3.552314	0.103056	428.974929	114.025071	2.060890	3.105495	1209
Delco1|Delco1_445815	Delco1|Delco1_483236	0.467284	1.748749	0.267211	1246.135951	445.864049	1.922004	2.414901	1914
Delco1|Delco1_1319	Delco1|Delco1_122009	0.721851	3.935821	0.183405	646.859837	190.140163	1.120894	4.355893	888
Delco1|Delco1_427775	Delco1|Delco1_219121	0.316464	4.098741	0.077210	846.727079	236.272921	1.240208	3.424876	1125
Delco1|Delco1_467810	Delco1|Delco1_173251	0.820566	2.522608	0.325285	1009.978988	328.021012	1.248852	3.713503	1635
Delco1|Delco1_361092	Delco1|Delco1_437476	0.747301	4.197142	0.178050	810.602314	269.397686	1.202781	4.823512	1191
Delco1|Delco1_436690	Delco1|Delco1_437226	0.487842	2.223769	0.219376	1203.552283	422.447717	1.640435	2.816550	1776
Delco1|Delco1_507	Delco1|Delco1_439305	1.094502	2.941959	0.372032	1680.062267	563.937733	1.440883	4.676355	2799
Delco1|Delco1_361170	Delco1|Delco1_235404	0.230495	0.859796	0.268081	113.241512	48.758488	3.775186	1.259704	933
Delco1|Delco1_384778	Delco1|Delco1_478971	0.724301	4.460887	0.162367	1261.070846	382.929154	1.035585	4.783940	1779
Delco1|Delco1_436745	Delco1|Delco1_413518	0.871108	4.724270	0.184390	1846.957659	544.042341	1.360298	5.243542	3483
Delco1|Delco1_477111	Delco1|Delco1_478867	0.634893	5.220237	0.121621	3368.032786	1053.967214	1.482608	5.183377	4680
Delco1|Delco1_406446	Delco1|Delco1_457133	0.864223	4.776238	0.180942	1828.924284	583.075716	1.219133	5.429734	3918
Delco1|Delco1_384810	Delco1|Delco1_392752	0.869353	4.419853	0.196693	1140.459305	362.540695	1.000085	5.177321	3447
Delco1|Delco1_384813	Delco1|Delco1_424597	0.938048	4.366244	0.214841	1105.468745	337.531255	1.302725	5.219806	1668
Delco1|Delco1_436753	Delco1|Delco1_79747	0.814265	2.146476	0.379350	633.189078	200.810922	1.605611	3.405107	975
Delco1|Delco1_3260	Delco1|Delco1_471393	0.715024	1.795616	0.398205	585.179177	203.820823	1.603157	2.982513	1005
Delco1|Delco1_361296	Delco1|Delco1_226854	0.804639	4.141492	0.194287	988.867830	250.132170	0.904488	4.434872	1470
Delco1|Delco1_361288	Delco1|Delco1_484823	0.671484	3.798869	0.176759	815.151253	204.848747	1.393650	3.898689	1095
Delco1|Delco1_459742	Delco1|Delco1_471253	0.715749	3.505629	0.204171	477.856185	107.143815	1.103207	3.680163	684
Delco1|Delco1_436783	Delco1|Delco1_346485	0.443255	2.020335	0.219397	478.990381	163.009619	1.485066	2.531070	795
Delco1|Delco1_459750	Delco1|Delco1_450776	0.753844	2.541809	0.296578	984.382586	347.617414	1.491835	3.661368	1581
Delco1|Delco1_427848	Delco1|Delco1_386395	0.335063	2.255580	0.148548	440.721804	147.278196	1.608504	2.448302	612
Delco1|Delco1_490475	Delco1|Delco1_291488	1.019219	3.998424	0.254905	972.183328	395.816672	1.734618	5.643664	1683
Delco1|Delco1_361507	Delco1|Delco1_470908	0.796871	4.000239	0.199206	749.806824	207.193176	1.257257	4.471227	1743
Delco1|Delco1_436794	Delco1|Delco1_471530	0.724471	3.915382	0.185032	675.971710	185.028290	1.297596	4.230587	1029
Delco1|Delco1_361341	Delco1|Delco1_442505	0.574503	2.474442	0.232175	1094.721475	387.278525	1.728505	3.212995	1512
Delco1|Delco1_384941	Delco1|Delco1_450968	0.612260	2.867808	0.213494	1845.353324	563.646676	1.264924	3.420009	2646
Delco1|Delco1_361460	Delco1|Delco1_469832	0.509804	4.085109	0.124796	859.982616	232.017384	1.263957	3.808350	1884
Delco1|Delco1_445897	Delco1|Delco1_435184	0.888830	4.712612	0.188607	1795.349087	535.650913	0.906263	5.302541	2880
Delco1|Delco1_467923	Delco1|Delco1_471027	0.971320	1.915425	0.507104	3767.927735	1398.072265	1.602658	3.680468	7983
Delco1|Delco1_436807	Delco1|Delco1_166126	0.691618	4.308320	0.160531	1253.555404	312.444596	0.979410	4.239641	1656
Delco1|Delco1_467926	Delco1|Delco1_471458	0.622634	2.312867	0.269205	1315.813615	448.186385	1.256985	3.156235	1908
Delco1|Delco1_406599	Delco1|Delco1_439549	0.366597	2.516829	0.145658	1126.574816	394.425184	1.401731	2.772583	1734
Delco1|Delco1_384965	Delco1|Delco1_248374	0.696290	2.008093	0.346742	932.690751	300.309249	1.143833	3.047377	1407
Delco1|Delco1_436811	Delco1|Delco1_57145	1.006663	5.012357	0.200836	2687.174800	798.825200	1.304001	5.773732	4365
Delco1|Delco1_477179	Delco1|Delco1_381379	0.812977	4.116975	0.197469	735.912329	242.087671	1.151629	4.892480	1236
Delco1|Delco1_436820	Delco1|Delco1_141356	0.666550	1.941800	0.343264	996.422372	380.577628	1.468725	3.057018	1545
Delco1|Delco1_361375	Delco1|Delco1_485366	0.696567	3.957509	0.176011	1142.776350	348.223650	0.994680	4.374483	1614
Delco1|Delco1_436826	Delco1|Delco1_457444	0.531703	4.127211	0.128829	765.585661	245.414339	1.651805	4.213475	1164
Delco1|Delco1_436830	Delco1|Delco1_407541	0.921829	4.170843	0.221017	954.885068	260.114932	1.251919	4.852195	1725
Delco1|Delco1_361391	Delco1|Delco1_453569	0.916664	2.192928	0.418009	1127.005385	396.994615	2.003417	3.747374	1773
Delco1|Delco1_490549	Delco1|Delco1_387564	0.702764	2.655076	0.264687	1146.359255	347.640745	1.467247	3.471149	1560
Delco1|Delco1_436836	Delco1|Delco1_417803	0.762724	1.844370	0.413542	735.989567	260.010433	1.829205	3.135279	1077
Delco1|Delco1_94457	Delco1|Delco1_397783	0.435633	2.854644	0.152605	893.246588	318.753412	1.790427	3.215482	1236
Delco1|Delco1_427910	Delco1|Delco1_472075	0.560775	1.940624	0.288966	1115.168752	384.831248	1.255662	2.744343	1860
Delco1|Delco1_436848	Delco1|Delco1_438926	0.471963	3.913022	0.120613	610.553014	184.446986	0.815348	3.810956	1008
Delco1|Delco1_445941	Delco1|Delco1_447117	0.573715	3.598700	0.159423	753.270251	263.729749	1.220768	4.074474	1404
Delco1|Delco1_453056	Delco1|Delco1_439089	0.680148	2.351189	0.289278	967.622800	325.377200	1.229064	3.301972	1515
Delco1|Delco1_355393	Delco1|Delco1_362026	0.313855	3.765979	0.083339	505.391003	151.608997	0.868273	3.331395	957
Delco1|Delco1_459837	Delco1|Delco1_438423	0.577940	3.835852	0.150668	529.587493	166.412507	1.189851	4.070704	1905
Delco1|Delco1_436879	Delco1|Delco1_391816	0.393144	4.338320	0.090621	1159.804487	325.195513	1.048461	3.771258	1659
Delco1|Delco1_361523	Delco1|Delco1_476422	0.410161	3.990688	0.102780	767.428572	204.571428	1.393991	3.491204	1569
Delco1|Delco1_385161	Delco1|Delco1_484391	0.876421	4.762531	0.184024	2181.483894	572.516106	0.958922	5.052858	3651
Delco1|Delco1_406809	Delco1|Delco1_445433	0.586215	2.889909	0.202849	1941.716581	605.283419	1.381711	3.401034	2712
Delco1|Delco1_477261	Delco1|Delco1_378435	0.485561	5.161551	0.094073	944.058420	267.941580	1.361751	4.557901	1452
Delco1|Delco1_436905	Delco1|Delco1_390659	0.788221	4.486404	0.175691	1358.818609	396.181391	1.397102	4.869196	2112
Delco1|Delco1_361629	Delco1|Delco1_367834	0.603536	1.797841	0.335701	586.275971	166.724029	1.697439	2.603912	1002
Delco1|Delco1_406847	Delco1|Delco1_448279	0.391009	4.259149	0.091805	1069.382612	292.617388	1.483878	3.666167	1698
Delco1|Delco1_436910	Delco1|Delco1_501386	0.565994	3.706196	0.152716	601.006642	139.993358	0.802388	3.477769	1095
Delco1|Delco1_477269	Delco1|Delco1_439141	0.624052	1.980613	0.315080	1177.235331	412.764669	1.544000	2.928647	2175
Delco1|Delco1_468031	Delco1|Delco1_453616	0.624275	4.534197	0.137682	1428.750636	422.249364	1.270455	4.548615	2109
Delco1|Delco1_445990	Delco1|Delco1_407215	0.291028	2.668829	0.109047	647.930833	174.069167	1.281687	2.383675	1035
Delco1|Delco1_496427	Delco1|Delco1_166464	0.246877	2.555878	0.096592	329.047167	105.952833	1.425150	2.427840	648
Delco1|Delco1_445992	Delco1|Delco1_455936	0.429180	3.846362	0.111581	515.239245	168.760755	1.260384	3.816866	2037
Delco1|Delco1_337053	Delco1|Delco1_383618	0.122910	2.922058	0.042063	211.790987	49.209013	1.103509	1.951986	441
