SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Cenge3|Cenge3_531502	Cenge3|Cenge3_713638	0.042903	0.155210	0.276420	216.674604	71.325396	2.865356	0.212150	384
Cenge3|Cenge3_702121	Cenge3|Cenge3_657402	0.594393	4.344646	0.136810	1097.050062	327.949938	0.972143	4.372432	1842
Cenge3|Cenge3_650682	Cenge3|Cenge3_594456	0.628240	3.587432	0.175122	615.830157	206.169843	1.693370	4.111347	912
Cenge3|Cenge3_691965	Cenge3|Cenge3_653320	0.624000	5.611001	0.111210	736.303176	250.696824	1.755312	5.672077	1092
Cenge3|Cenge3_650658	Cenge3|Cenge3_670162	0.000000	0.000000	99.000000	107.319985	42.680015	4.600000	0.000000	150
Cenge3|Cenge3_456309	Cenge3|Cenge3_585943	0.147894	0.519120	0.284893	267.912907	92.087093	3.357701	0.728558	420
Cenge3|Cenge3_482981	Cenge3|Cenge3_422980	0.607567	3.019758	0.201197	1748.744928	531.255072	1.269915	3.508870	3561
Cenge3|Cenge3_650646	Cenge3|Cenge3_585400	0.571392	2.354208	0.242711	345.776226	128.223774	2.001442	3.161007	930
Cenge3|Cenge3_533086	Cenge3|Cenge3_704138	1.040821	4.685602	0.222132	1607.296575	516.703425	0.823897	5.782449	2514
Cenge3|Cenge3_451840	Cenge3|Cenge3_485140	0.742003	4.141656	0.179156	793.813294	250.186706	1.362837	4.670113	1680
Cenge3|Cenge3_691951	Cenge3|Cenge3_672639	0.306582	1.354933	0.226271	452.920835	192.079165	2.685507	1.856334	681
Cenge3|Cenge3_702102	Cenge3|Cenge3_533792	0.774283	2.424501	0.319358	2254.222447	754.777553	1.348007	3.564671	3675
Cenge3|Cenge3_650624	Cenge3|Cenge3_664296	0.271112	2.278850	0.118969	812.903131	264.096869	2.042888	2.290320	1080
Cenge3|Cenge3_9042	Cenge3|Cenge3_685280	0.633154	4.256561	0.148748	1031.390709	291.609291	1.625703	4.295425	1401
Cenge3|Cenge3_429506	Cenge3|Cenge3_535541	0.055771	1.698328	0.032839	120.985754	29.014246	1.470127	1.120463	420
Cenge3|Cenge3_8969	Cenge3|Cenge3_34067	0.142080	0.194256	0.731407	749.728539	363.271461	7.002167	0.477329	2037
Cenge3|Cenge3_650592	Cenge3|Cenge3_658257	0.207125	0.467286	0.443252	174.794062	38.205938	0.434261	0.761371	213
Cenge3|Cenge3_8706	Cenge3|Cenge3_365433	0.318838	3.590414	0.088803	429.032781	119.967219	1.091985	3.101224	552
Cenge3|Cenge3_600135	Cenge3|Cenge3_685119	0.773778	3.959383	0.195429	694.791622	196.208378	1.018284	4.425854	1284
Cenge3|Cenge3_600134	Cenge3|Cenge3_653155	0.758143	1.576657	0.480855	640.579672	244.420328	1.833318	2.952603	1002
Cenge3|Cenge3_625182	Cenge3|Cenge3_630596	0.702014	3.374026	0.208064	1920.654820	650.345180	1.792291	4.133733	3900
Cenge3|Cenge3_691929	Cenge3|Cenge3_646553	0.865702	1.747815	0.495305	1065.168586	443.831414	1.733607	3.375456	1773
Cenge3|Cenge3_650573	Cenge3|Cenge3_644067	0.519602	2.234239	0.232563	796.709329	307.290671	1.681646	2.990578	1185
Cenge3|Cenge3_702084	Cenge3|Cenge3_697959	0.540457	3.914915	0.138051	595.086827	184.913173	0.957053	4.021300	906
Cenge3|Cenge3_600102	Cenge3|Cenge3_536592	0.532381	3.934233	0.135320	1066.587077	352.412923	1.529463	4.131723	1614
Cenge3|Cenge3_691923	Cenge3|Cenge3_537006	0.639828	4.061737	0.157526	702.101579	224.898421	1.651448	4.410040	1023
Cenge3|Cenge3_600098	Cenge3|Cenge3_689898	0.932935	2.675787	0.348658	595.823638	199.176362	1.463917	4.108747	1746
Cenge3|Cenge3_691922	Cenge3|Cenge3_609031	0.846170	2.238005	0.378091	1618.408603	547.591397	1.442822	3.594129	2472
Cenge3|Cenge3_532559	Cenge3|Cenge3_620350	0.692306	1.730904	0.399968	725.125179	276.874821	3.898902	2.937882	1269
Cenge3|Cenge3_650563	Cenge3|Cenge3_651660	0.605209	1.688329	0.358467	318.697068	116.302932	1.598388	2.684387	504
Cenge3|Cenge3_600088	Cenge3|Cenge3_593893	0.752973	4.445970	0.169361	1262.612205	375.387795	1.436874	4.797942	1695
Cenge3|Cenge3_683491	Cenge3|Cenge3_694873	0.074392	0.230847	0.322257	530.507997	183.492003	6.851179	0.343799	732
Cenge3|Cenge3_8275	Cenge3|Cenge3_685804	0.365087	4.556164	0.080130	1209.200307	434.799693	1.699690	4.420589	1815
Cenge3|Cenge3_532425	Cenge3|Cenge3_586541	0.763097	1.616011	0.472211	721.066145	259.933855	1.527066	2.967277	1062
Cenge3|Cenge3_691910	Cenge3|Cenge3_625020	0.470423	1.611979	0.291829	1775.772633	648.227367	1.994016	2.327095	3390
Cenge3|Cenge3_485728	Cenge3|Cenge3_667601	0.145768	0.256194	0.568977	277.178367	127.821633	9.503974	0.541859	3951
Cenge3|Cenge3_683485	Cenge3|Cenge3_703622	0.994972	5.121284	0.194282	2751.308449	923.691551	1.248478	6.096295	4134
Cenge3|Cenge3_672590	Cenge3|Cenge3_704135	0.637792	4.283011	0.148912	951.923239	302.076761	1.005884	4.547672	1452
Cenge3|Cenge3_650539	Cenge3|Cenge3_662713	0.830072	4.565612	0.181810	1557.688434	440.311566	0.915462	4.959888	2403
Cenge3|Cenge3_650537	Cenge3|Cenge3_663081	0.049288	0.092840	0.530889	146.741580	57.258420	4.600000	0.184535	204
Cenge3|Cenge3_672579	Cenge3|Cenge3_678726	0.790362	3.976626	0.198752	663.228409	200.771591	1.373696	4.592305	1953
Cenge3|Cenge3_600027	Cenge3|Cenge3_646374	0.889857	1.792402	0.496461	597.825164	203.174836	1.672997	3.356368	870
Cenge3|Cenge3_650522	Cenge3|Cenge3_604539	0.821904	2.035725	0.403740	551.122989	222.877011	2.775582	3.514288	3180
Cenge3|Cenge3_7695	Cenge3|Cenge3_620401	0.950431	4.644109	0.204653	1587.106052	488.893948	0.980857	5.460854	3552
Cenge3|Cenge3_7584	Cenge3|Cenge3_290241	0.863432	3.474387	0.248514	558.110683	191.889317	1.826841	4.594354	1602
Cenge3|Cenge3_532497	Cenge3|Cenge3_562550	0.270018	0.261593	1.032205	169.075722	79.924278	5.194146	0.801942	249
Cenge3|Cenge3_469561	Cenge3|Cenge3_561194	0.088412	0.066215	1.335238	143.884604	63.115396	4.600000	0.244933	216
Cenge3|Cenge3_533208	Cenge3|Cenge3_581342	0.148278	0.162339	0.913385	142.467236	82.532764	41.587421	0.460308	261
Cenge3|Cenge3_710571	Cenge3|Cenge3_710111	0.050391	0.039019	1.291440	331.194853	157.805147	8.257547	0.140163	765
