SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Pucst1|Pucst1_487035	Pucst1|Pucst1_503819	0.378732	1.816247	0.208525	378.334455	137.665545	1.838800	2.286757	966
Pucst1|Pucst1_487036	Pucst1|Pucst1_493147	0.380427	2.242140	0.169671	477.159419	155.840581	1.365821	2.516308	855
Pucst1|Pucst1_487038	Pucst1|Pucst1_494326	0.531602	1.511106	0.351796	875.405363	333.594637	1.903802	2.405617	1323
Pucst1|Pucst1_487040	Pucst1|Pucst1_504334	0.106124	0.329525	0.322051	144.213570	44.786430	1.777378	0.477186	1803
Pucst1|Pucst1_487041	Pucst1|Pucst1_490011	0.429363	2.743649	0.156493	2217.123239	740.876761	1.612502	3.027035	3402
Pucst1|Pucst1_487042	Pucst1|Pucst1_488956	0.123458	0.538040	0.229459	220.320109	55.679891	1.014420	0.621285	417
Pucst1|Pucst1_487043	Pucst1|Pucst1_488089	0.101980	0.114088	0.893873	356.878700	105.121300	1.729984	0.314204	462
Pucst1|Pucst1_487046	Pucst1|Pucst1_487889	0.384014	1.280053	0.299999	412.985877	121.014123	1.266846	1.761218	1797
Pucst1|Pucst1_487048	Pucst1|Pucst1_488492	0.518929	4.082241	0.127119	824.868172	231.131828	0.989420	3.896544	1197
Pucst1|Pucst1_487049	Pucst1|Pucst1_502837	0.401977	0.673425	0.596913	1747.226098	622.773902	2.062119	1.419918	2505
Pucst1|Pucst1_487050	Pucst1|Pucst1_496068	0.634640	1.971742	0.321868	869.975795	285.024205	1.390762	2.893807	1251
Pucst1|Pucst1_487054	Pucst1|Pucst1_487065	0.124437	0.251988	0.493822	1540.120328	520.879672	2.193962	0.470021	2121
Pucst1|Pucst1_487055	Pucst1|Pucst1_500516	0.653253	2.139724	0.305298	749.827907	234.172093	1.292178	3.021008	3189
Pucst1|Pucst1_487057	Pucst1|Pucst1_488568	0.180459	1.233995	0.146240	174.290948	26.709052	0.386986	0.961363	411
Pucst1|Pucst1_487060	Pucst1|Pucst1_494301	0.419461	4.282060	0.097958	1024.306151	301.693849	1.323273	3.894858	3525
Pucst1|Pucst1_487070	Pucst1|Pucst1_487950	0.223078	0.413425	0.539585	376.366307	145.633693	1.583521	0.828550	711
Pucst1|Pucst1_487072	Pucst1|Pucst1_488640	0.206617	0.242760	0.851116	382.302842	151.697158	3.161779	0.650654	537
Pucst1|Pucst1_487073	Pucst1|Pucst1_500357	0.041109	0.187601	0.219129	744.321362	284.678638	2.709268	0.244910	1119
Pucst1|Pucst1_487074	Pucst1|Pucst1_495914	0.174509	0.714775	0.244145	617.497497	195.502503	1.685062	0.913281	1812
Pucst1|Pucst1_487075	Pucst1|Pucst1_489352	0.136065	1.693100	0.080365	687.654871	209.345129	2.021944	1.498355	1512
Pucst1|Pucst1_487076	Pucst1|Pucst1_495343	0.114187	1.499964	0.076126	1027.388002	352.611998	4.063538	1.404826	2682
Pucst1|Pucst1_487077	Pucst1|Pucst1_487473	0.124828	3.031389	0.041179	171.068342	56.931658	1.633331	2.551791	591
Pucst1|Pucst1_487078	Pucst1|Pucst1_496400	0.443179	1.716393	0.258204	839.639251	276.360749	1.162191	2.275414	1314
Pucst1|Pucst1_487080	Pucst1|Pucst1_494143	0.239543	1.695458	0.141285	758.572827	237.427173	1.253102	1.759815	1215
Pucst1|Pucst1_487081	Pucst1|Pucst1_487861	0.375771	4.245422	0.088512	1011.689872	287.310128	1.329032	3.694956	1479
Pucst1|Pucst1_487083	Pucst1|Pucst1_500939	0.114636	0.456761	0.250976	293.746634	99.253366	2.232179	0.603123	2247
Pucst1|Pucst1_487085	Pucst1|Pucst1_498133	0.031463	0.165925	0.189621	733.351684	367.648316	10.375672	0.229088	1182
Pucst1|Pucst1_487086	Pucst1|Pucst1_489059	0.485714	2.359798	0.205829	296.633360	96.366640	1.236431	2.835761	543
Pucst1|Pucst1_487091	Pucst1|Pucst1_501731	0.649200	1.726505	0.376020	420.051132	164.948868	2.638313	2.858883	1695
Pucst1|Pucst1_487094	Pucst1|Pucst1_494198	0.097587	0.511984	0.190606	183.762050	83.237950	5.812581	0.680330	924
Pucst1|Pucst1_487098	Pucst1|Pucst1_488644	0.461747	1.613234	0.286224	239.602386	78.397614	1.526659	2.236880	426
Pucst1|Pucst1_487099	Pucst1|Pucst1_491685	0.439045	3.772616	0.116377	435.043316	152.956684	1.700391	3.918625	690
Pucst1|Pucst1_487101	Pucst1|Pucst1_493725	0.535341	4.126535	0.129731	816.806855	245.193145	1.161066	4.093412	1173
Pucst1|Pucst1_487102	Pucst1|Pucst1_487541	0.518906	4.644119	0.111734	1572.099826	488.900174	1.508790	4.492406	2694
Pucst1|Pucst1_487104	Pucst1|Pucst1_491264	0.083529	0.225878	0.369797	755.742073	267.257927	4.442052	0.362153	1683
Pucst1|Pucst1_487105	Pucst1|Pucst1_488548	0.172904	0.402741	0.429319	266.113411	111.886589	3.235233	0.722806	1707
Pucst1|Pucst1_487107	Pucst1|Pucst1_501967	0.127876	0.180642	0.707898	707.594542	348.405458	4.028518	0.435856	1536
Pucst1|Pucst1_487108	Pucst1|Pucst1_504594	0.735957	4.000065	0.183986	746.854842	207.145158	1.082569	4.334110	1530
Pucst1|Pucst1_487114	Pucst1|Pucst1_496276	0.156220	0.404530	0.386176	290.518540	105.481460	1.840592	0.667084	561
Pucst1|Pucst1_487115	Pucst1|Pucst1_488178	0.243161	0.617424	0.393832	134.064851	45.935149	1.159866	1.016014	300
Pucst1|Pucst1_487116	Pucst1|Pucst1_489531	0.123518	0.463260	0.266627	333.783574	107.216426	1.556741	0.618350	3792
Pucst1|Pucst1_487117	Pucst1|Pucst1_487622	0.055830	0.112516	0.496198	890.525996	351.474004	3.172401	0.215616	1251
Pucst1|Pucst1_487119	Pucst1|Pucst1_488936	0.050687	0.126752	0.399894	346.963816	157.036184	2.532832	0.223163	813
Pucst1|Pucst1_487125	Pucst1|Pucst1_487124	0.322422	0.695511	0.463576	293.576018	87.423982	1.463521	1.224092	2046
Pucst1|Pucst1_487127	Pucst1|Pucst1_499330	0.368835	0.511312	0.721350	205.925070	64.074930	1.515998	1.207940	273
Pucst1|Pucst1_487132	Pucst1|Pucst1_503118	0.525880	0.946399	0.555664	1143.352950	323.647050	1.697108	1.855962	1758
Pucst1|Pucst1_487134	Pucst1|Pucst1_503140	0.105123	0.421742	0.249258	479.519591	165.480409	1.761303	0.559063	1293
Pucst1|Pucst1_487140	Pucst1|Pucst1_492858	0.270357	0.822793	0.328584	285.789887	104.210113	1.557424	1.253912	411
Pucst1|Pucst1_487141	Pucst1|Pucst1_500426	0.251593	2.342917	0.107385	959.003502	297.996498	1.603948	2.242147	1512
Pucst1|Pucst1_487142	Pucst1|Pucst1_488086	0.322383	4.808426	0.067045	1809.355515	608.644485	1.856973	4.354749	3327
Pucst1|Pucst1_487144	Pucst1|Pucst1_495511	0.079702	0.165219	0.482404	324.451508	113.548492	2.409597	0.305616	504
Pucst1|Pucst1_487146	Pucst1|Pucst1_497907	0.385317	0.541241	0.711914	171.716762	71.283238	3.685563	1.293170	918
Pucst1|Pucst1_487151	Pucst1|Pucst1_500116	0.378247	2.351833	0.160831	609.155944	194.844056	1.371450	2.569597	1338
Pucst1|Pucst1_487153	Pucst1|Pucst1_487155	0.350178	1.418885	0.246798	853.299284	295.700716	1.699010	1.875645	1392
Pucst1|Pucst1_487154	Pucst1|Pucst1_489802	0.094868	2.336858	0.040596	810.640098	269.359902	1.694679	1.962109	1206
Pucst1|Pucst1_487156	Pucst1|Pucst1_502525	0.865884	2.754786	0.314320	1321.067503	412.932497	1.628305	3.947114	4581
Pucst1|Pucst1_487157	Pucst1|Pucst1_496077	0.086222	0.204657	0.421297	401.236867	120.763133	1.272111	0.340864	534
Pucst1|Pucst1_487159	Pucst1|Pucst1_497033	0.103829	0.396353	0.261962	323.553544	147.446456	7.508652	0.586211	1683
Pucst1|Pucst1_487160	Pucst1|Pucst1_495075	0.070487	0.686563	0.102666	253.282667	73.717333	2.303345	0.628116	372
Pucst1|Pucst1_487167	Pucst1|Pucst1_494162	0.206300	0.279713	0.737540	360.071082	131.928918	2.770518	0.677956	1326
Pucst1|Pucst1_487168	Pucst1|Pucst1_504777	0.838455	4.107711	0.204117	843.884238	239.115762	0.990760	4.680824	2109
Pucst1|Pucst1_487169	Pucst1|Pucst1_496465	0.283611	0.310198	0.914292	208.579369	82.420631	2.945248	0.873425	378
Pucst1|Pucst1_487170	Pucst1|Pucst1_504521	0.111670	0.044735	2.496258	155.918570	69.081430	6.051520	0.273358	249
