SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Calb|C3_03580C_A	Calb|C3_05630W_A	0.141170	2.274725	0.062060	644.249215	144.750785	2.057497	1.597783	801
Calb|C3_05180W_A	Calb|C2_10210C_A	0.481373	3.237253	0.148698	474.086235	74.913765	1.423111	2.572279	873
Calb|C7_04210C_A	Calb|C1_01870C_A	0.601361	2.407123	0.249825	792.704664	221.295336	1.552850	2.986350	1569
Calb|C6_01680C_A	Calb|C3_04200W_A	0.587448	3.043276	0.193032	802.287905	214.712095	1.858641	3.317790	1320
Calb|C5_00570W_A	Calb|C3_03250W_A	0.420882	5.011776	0.083979	3518.792736	798.207264	1.126706	3.809195	5268
Calb|C7_03470W_A	Calb|C7_03690W_A	0.076193	0.129657	0.587650	496.720173	172.279827	5.538176	0.269884	708
Calb|C6_03170C_A	Calb|C7_01520W_A	0.682772	2.748651	0.248403	1359.861049	296.138951	1.475930	3.156627	1866
Calb|C1_00530C_A	Calb|C1_00540C_A	0.692798	4.528751	0.152978	1692.805398	419.194602	1.155301	4.362500	2493
Calb|C1_10500W_A	Calb|C1_11580W_A	0.482927	1.712688	0.281970	292.818886	79.181114	1.494200	2.234054	525
Calb|C5_01490C_A	Calb|C5_02560C_A	0.804188	4.202952	0.191339	1330.506924	271.493076	1.719127	4.140544	1959
Calb|CR_01960C_A	Calb|C6_02150C_A	0.576022	4.020207	0.143282	936.216333	212.783667	1.841978	3.641556	1614
Calb|C6_01290C_A	Calb|CR_04620C_A	0.758427	4.268663	0.177673	1206.647236	296.352764	0.905552	4.351664	2103
Calb|C4_06540W_A	Calb|C2_03690C_A	0.620433	4.304913	0.144122	2055.971644	311.028356	1.090492	3.313742	3135
Calb|C7_03330C_A	Calb|C6_03760C_A	0.280124	3.427021	0.081740	1175.695912	222.304088	1.372896	2.341592	1491
Calb|C6_00150W_A	Calb|C4_06390W_A	0.674305	4.061217	0.166035	615.213382	176.786618	1.159132	4.290948	894
Calb|C2_02590W_A	Calb|C4_06970C_A	0.654294	3.933420	0.166342	752.467586	189.532414	1.075133	3.942184	1572
Calb|C3_05460W_A	Calb|C1_11750W_A	0.526001	4.315513	0.121886	1550.544773	315.455227	1.490250	3.499901	2337
Calb|C1_11060C_A	Calb|C3_00450C_A	0.747660	3.729669	0.200463	581.556073	144.443927	1.202518	4.022869	1140
Calb|CR_05300C_A	Calb|C1_10070C_A	0.677286	4.229577	0.160131	1425.696083	281.303917	1.231567	3.788051	2091
Calb|C2_04440W_A	Calb|C2_04410W_A	0.360842	1.117414	0.322926	487.831469	154.168531	2.589279	1.627570	2064
Calb|C3_06190C_A	Calb|C6_03690W_A	0.115865	0.409939	0.282640	2986.889723	976.110277	1.899100	0.564892	4119
Calb|C5_03740W_A	Calb|C2_08200W_A	0.519054	3.564661	0.145611	691.082274	115.917726	1.949185	2.869577	846
Calb|C3_06180C_A	Calb|C3_06330W_A	0.000000	0.000000	99.000000	416.848173	171.151827	4.600000	0.000000	588
