SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Pgra|PGTG_07723	Pgra|PGTG_02004	0.057440	0.165508	0.347053	1521.104530	512.895470	1.603882	0.254071	4521
Pgra|PGTG_07726	Pgra|PGTG_02003	0.179336	0.729316	0.245896	3062.938600	909.061400	0.879038	0.915624	4440
Pgra|PGTG_07729	Pgra|PGTG_22772	0.000549	0.001250	0.439478	1821.233336	800.766664	4.600000	0.002290	4404
Pgra|PGTG_07739	Pgra|PGTG_12098	0.394541	4.817629	0.081895	2086.840716	616.159284	1.319376	4.208402	3018
Pgra|PGTG_07749	Pgra|PGTG_06089	0.783080	4.063869	0.192693	686.461316	225.538684	1.619022	4.783269	996
Pgra|PGTG_07757.1	Pgra|PGTG_07757.2	0.000000	0.000696	0.000010	2743.773684	1438.226316	4.600000	0.000718	4377
Pgra|PGTG_07762	Pgra|PGTG_16291	0.215393	0.180792	1.191384	281.368579	102.631421	1.489347	0.618435	402
Pgra|PGTG_21389	Pgra|PGTG_07770	0.110227	0.460004	0.239623	1035.015532	419.984468	2.332754	0.633571	1497
Pgra|PGTG_07771	Pgra|PGTG_17148	0.430487	1.861103	0.231307	852.962345	314.037655	1.537324	2.446390	1230
Pgra|PGTG_07777	Pgra|PGTG_11694	0.505715	0.598124	0.845501	405.810201	125.189799	1.428242	1.582504	720
Pgra|PGTG_07781	Pgra|PGTG_22222	0.223008	1.760467	0.126675	355.562008	118.437992	1.330864	1.821514	1083
Pgra|PGTG_07783	Pgra|PGTG_07780	0.596561	3.914522	0.152397	523.183520	184.816480	1.512565	4.388048	2046
Pgra|PGTG_07784.1	Pgra|PGTG_07784.2	0.076681	0.159171	0.481750	199.204390	52.795610	0.488344	0.281889	384
Pgra|PGTG_07787	Pgra|PGTG_15622	0.003278	0.006487	0.505365	917.319645	309.680355	1.902635	0.012265	2058
Pgra|PGTG_07788	Pgra|PGTG_15621	0.003020	0.001314	2.297583	2322.562960	761.437040	1.468777	0.007797	3084
Pgra|PGTG_07798	Pgra|PGTG_21269	0.090684	0.144280	0.628529	1426.019126	475.980874	1.352720	0.312290	2103
Pgra|PGTG_07799	Pgra|PGTG_21270	0.038447	0.028588	1.344850	427.170315	142.829685	3.032805	0.107929	765
Pgra|PGTG_07800	Pgra|PGTG_10196	0.009794	0.081314	0.120441	616.801912	292.198088	8.210455	0.098352	909
Pgra|PGTG_07802	Pgra|PGTG_01153	0.258522	0.910896	0.283811	357.567235	89.432765	1.344113	1.167135	672
Pgra|PGTG_07804	Pgra|PGTG_08637	0.772665	4.697859	0.164472	1661.782398	525.217602	1.119444	5.145953	2502
Pgra|PGTG_07809	Pgra|PGTG_04476	0.586920	1.293890	0.453609	1221.297828	527.702172	1.760440	2.400673	2238
Pgra|PGTG_07817	Pgra|PGTG_17819	0.493308	4.273137	0.115444	997.874151	298.125849	1.142168	4.088407	1707
Pgra|PGTG_21391	Pgra|PGTG_18774	0.088123	0.134157	0.656863	121.396376	58.603624	7.152384	0.309331	270
Pgra|PGTG_07820	Pgra|PGTG_11123	0.291975	3.630126	0.080431	488.509336	126.490664	1.883275	2.935656	618
Pgra|PGTG_07821	Pgra|PGTG_19883	0.698612	4.865773	0.143577	2087.990831	657.009169	1.197422	5.088036	3942
Pgra|PGTG_07828	Pgra|PGTG_07843	0.460125	1.283186	0.358580	431.098661	156.901339	1.875071	2.039250	612
Pgra|PGTG_07831	Pgra|PGTG_07832	0.394304	0.876697	0.449761	393.965013	128.034987	1.537239	1.537873	957
Pgra|PGTG_07835	Pgra|PGTG_07845	0.548213	3.552551	0.154315	380.938848	114.061152	1.240202	3.721477	609
Pgra|PGTG_07840	Pgra|PGTG_04203	0.345811	0.473270	0.730685	543.032963	188.967037	1.735022	1.136145	1698
Pgra|PGTG_07841	Pgra|PGTG_04880	0.846107	2.448544	0.345555	1191.889803	407.110197	1.522567	3.762277	1710
Pgra|PGTG_07846	Pgra|PGTG_07895	0.067691	0.100592	0.672924	924.447992	410.552008	2.718924	0.233426	1812
Pgra|PGTG_07849	Pgra|PGTG_22635	0.422952	0.653966	0.646749	1018.289913	364.710087	1.786791	1.451617	2076
Pgra|PGTG_07850	Pgra|PGTG_16172	0.318665	0.383346	0.831274	292.492658	115.507342	3.260363	1.010930	1698
Pgra|PGTG_07855	Pgra|PGTG_20797	0.434016	1.801873	0.240869	1722.098875	650.901125	1.745081	2.427635	2397
Pgra|PGTG_07856	Pgra|PGTG_20170	0.064723	0.072104	0.897646	242.134383	87.865617	2.761215	0.200066	348
Pgra|PGTG_07857	Pgra|PGTG_20169	0.028805	0.080275	0.358824	348.016162	134.983838	2.202919	0.129568	801
Pgra|PGTG_07859	Pgra|PGTG_22775	0.001931	0.028730	0.067226	1036.858883	463.141117	4.085543	0.030617	2394
Pgra|PGTG_07860	Pgra|PGTG_20167	0.002130	0.026801	0.079484	470.089281	189.910719	4.600000	0.027688	660
Pgra|PGTG_21393	Pgra|PGTG_20166	0.067856	0.178235	0.380711	228.714235	71.285765	1.311540	0.282252	537
Pgra|PGTG_07864	Pgra|PGTG_07101	0.696282	2.953360	0.235759	901.682641	301.317359	1.175137	3.784849	1332
Pgra|PGTG_07870	Pgra|PGTG_22360	0.374861	0.693671	0.540401	309.424393	113.575607	1.343648	1.381385	495
Pgra|PGTG_07877	Pgra|PGTG_08517	0.352112	2.783842	0.126484	648.442229	236.557771	1.328978	3.006319	963
Pgra|PGTG_07881	Pgra|PGTG_06996	0.056716	0.288392	0.196661	1583.785137	630.214863	3.056403	0.367987	2235
Pgra|PGTG_07882	Pgra|PGTG_21121	0.074649	0.100229	0.744788	525.979749	221.020251	2.337695	0.246653	2469
Pgra|PGTG_21397	Pgra|PGTG_21122	0.021947	0.046913	0.467835	417.177606	176.822394	5.330131	0.088137	882
Pgra|PGTG_07886	Pgra|PGTG_05013	0.151544	0.272166	0.556807	1035.172742	392.827258	3.093709	0.554177	1590
Pgra|PGTG_07894	Pgra|PGTG_16507	0.185000	1.612283	0.114744	962.353752	270.646248	1.183755	1.494876	1278
Pgra|PGTG_07897	Pgra|PGTG_19748	0.003180	0.031042	0.102427	945.773224	464.226776	12.202506	0.037059	1413
Pgra|PGTG_07898	Pgra|PGTG_22726	0.028192	0.000000	99.000000	108.703749	47.296251	4.600000	0.058935	156
Pgra|PGTG_07900	Pgra|PGTG_21719	0.541948	2.417989	0.224132	940.164156	358.835844	1.745696	3.180557	1461
Pgra|PGTG_07904	Pgra|PGTG_09013	0.270603	1.258570	0.215008	386.846526	165.153474	2.010194	1.698581	555
Pgra|PGTG_07908	Pgra|PGTG_08391	0.280213	0.456509	0.613817	769.404316	256.595684	1.942438	0.972911	1239
Pgra|PGTG_07910	Pgra|PGTG_21020.2	0.679340	1.921555	0.353536	2268.606239	830.393761	1.734010	3.036594	3246
Pgra|PGTG_07912	Pgra|PGTG_09830	0.059909	1.876896	0.031919	530.076708	180.923292	1.968707	1.566795	1074
Pgra|PGTG_07913	Pgra|PGTG_18840	0.134144	1.244066	0.107827	759.736635	248.263365	2.002378	1.222530	1233
Pgra|PGTG_07919	Pgra|PGTG_09614	0.238749	0.531672	0.449054	700.207606	223.792394	2.470878	0.929085	1392
Pgra|PGTG_21401	Pgra|PGTG_02344	0.407054	2.473202	0.164586	1497.146868	515.853132	1.516128	2.809582	2280
Pgra|PGTG_07926.1	Pgra|PGTG_07933	0.075711	0.536356	0.141159	982.014197	277.985803	2.031687	0.532021	1872
Pgra|PGTG_07931	Pgra|PGTG_21167	0.022860	0.071616	0.319205	429.773949	122.226051	0.348035	0.100968	1755
Pgra|PGTG_07938	Pgra|PGTG_04816	0.323609	4.008470	0.080731	1728.543294	584.456706	1.839945	3.764136	2358
