SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Clafu1|Clafu1_183735	Clafu1|Clafu1_184750	0.021366	0.028632	0.746241	238.209267	106.790733	8.521467	0.070846	915
Clafu1|Clafu1_183739	Clafu1|Clafu1_193956	0.404895	3.540533	0.114360	403.751998	112.248002	1.266684	3.261017	3903
Clafu1|Clafu1_183740	Clafu1|Clafu1_196483	0.468487	4.152504	0.112820	886.168074	253.831926	1.534062	3.866306	4017
Clafu1|Clafu1_183749	Clafu1|Clafu1_188407	0.517920	2.653099	0.195213	665.920857	186.079143	1.561313	2.952746	951
Clafu1|Clafu1_183757	Clafu1|Clafu1_190592	0.404474	2.097232	0.192861	1133.040876	357.959124	1.445902	2.432613	1776
Clafu1|Clafu1_183761	Clafu1|Clafu1_189322	0.597588	2.344308	0.254910	656.454427	240.545573	1.471825	3.198001	1053
Clafu1|Clafu1_183770	Clafu1|Clafu1_185216	0.530026	2.925534	0.181172	679.747393	199.252607	1.252768	3.219125	903
Clafu1|Clafu1_183786	Clafu1|Clafu1_188496	0.361572	3.545123	0.101991	460.062912	112.937088	0.965808	2.967131	807
Clafu1|Clafu1_183789	Clafu1|Clafu1_195619	0.346427	3.952661	0.087644	684.542195	194.457805	1.094744	3.432661	888
Clafu1|Clafu1_183790	Clafu1|Clafu1_194742	0.791393	2.869285	0.275815	905.875203	267.124797	1.754818	3.793761	1605
Clafu1|Clafu1_183791	Clafu1|Clafu1_188480	0.736014	1.867565	0.394103	693.772134	284.227866	2.046825	3.194602	1311
Clafu1|Clafu1_183793	Clafu1|Clafu1_193845	0.363698	1.495551	0.243186	399.083003	128.916997	1.153196	1.920157	555
Clafu1|Clafu1_183796	Clafu1|Clafu1_187206	0.890765	4.827393	0.184523	1210.843016	430.156984	1.343347	5.768033	1866
Clafu1|Clafu1_183799	Clafu1|Clafu1_189508	0.911883	1.802298	0.505956	949.121715	343.878285	1.760328	3.446077	1908
Clafu1|Clafu1_183801	Clafu1|Clafu1_186910	0.725249	3.278035	0.221245	1267.862856	415.137144	1.277162	4.064796	2049
Clafu1|Clafu1_183802	Clafu1|Clafu1_196223	0.472335	4.352199	0.108528	1255.730692	331.269308	1.040326	3.846645	1704
Clafu1|Clafu1_183813	Clafu1|Clafu1_194610	0.707540	5.108613	0.138499	3372.782473	908.217527	1.231170	4.923693	5589
Clafu1|Clafu1_183824	Clafu1|Clafu1_187089	0.720032	4.917415	0.146425	2707.157940	703.842060	1.161471	4.758421	5967
Clafu1|Clafu1_183830	Clafu1|Clafu1_189565	0.749988	4.499504	0.166682	1165.837983	403.162017	1.743858	5.140332	2040
Clafu1|Clafu1_183841	Clafu1|Clafu1_196718	0.760647	1.632666	0.465893	486.096561	155.903439	1.427549	2.917225	741
Clafu1|Clafu1_183860	Clafu1|Clafu1_186142	0.672950	4.111241	0.163685	794.756047	240.243953	1.374660	4.413136	1692
Clafu1|Clafu1_183862	Clafu1|Clafu1_193549	0.655388	1.716296	0.381862	342.943797	134.056203	1.530724	2.860638	636
Clafu1|Clafu1_183863	Clafu1|Clafu1_184398	0.663927	2.038268	0.325731	798.790346	215.209654	1.163322	2.866845	1146
Clafu1|Clafu1_183866	Clafu1|Clafu1_186981	0.540563	2.741740	0.197160	1094.815092	381.184908	1.430483	3.327086	1707
Clafu1|Clafu1_183867	Clafu1|Clafu1_190437	0.716313	2.282105	0.313882	1186.353570	346.646430	1.652133	3.211123	1845
Clafu1|Clafu1_183868	Clafu1|Clafu1_190435	0.431553	4.139415	0.104255	923.559679	249.440321	1.589734	3.660107	1314
Clafu1|Clafu1_183870	Clafu1|Clafu1_190436	0.495917	5.215257	0.095090	1151.231036	339.768964	1.205406	4.714079	1776
Clafu1|Clafu1_183871	Clafu1|Clafu1_192747	0.510731	3.449040	0.148079	1140.634306	323.365694	1.599836	3.479218	1704
Clafu1|Clafu1_183872	Clafu1|Clafu1_190951	0.494352	1.933594	0.255665	448.854318	112.145682	0.888418	2.346182	615
Clafu1|Clafu1_183873	Clafu1|Clafu1_193701	0.703883	2.984860	0.235818	567.312561	155.687439	1.510881	3.585173	900
Clafu1|Clafu1_183874	Clafu1|Clafu1_188225	0.307950	4.284932	0.071868	978.148553	302.851447	2.412568	3.744541	1470
Clafu1|Clafu1_183875	Clafu1|Clafu1_197802	0.722995	4.703116	0.153727	1571.088305	528.911695	1.556568	5.176317	3669
Clafu1|Clafu1_183878	Clafu1|Clafu1_184224	0.827779	3.905420	0.211956	707.782953	222.217047	1.680416	4.689480	1287
Clafu1|Clafu1_183883	Clafu1|Clafu1_191442	0.581746	3.062679	0.189947	2867.525900	951.474100	1.151622	3.599552	3978
Clafu1|Clafu1_183887	Clafu1|Clafu1_187287	0.634868	2.592172	0.244917	737.766649	222.233351	1.544945	3.263911	1260
Clafu1|Clafu1_183889	Clafu1|Clafu1_189163	0.687166	1.979923	0.347067	1090.775454	361.224546	1.326053	3.026324	1557
Clafu1|Clafu1_183890	Clafu1|Clafu1_187061	0.936576	4.432785	0.211284	1128.153723	368.846277	1.552708	5.394023	1782
Clafu1|Clafu1_183909	Clafu1|Clafu1_194461	0.644600	4.704847	0.137008	1800.866472	530.133528	1.288360	4.704034	3264
Clafu1|Clafu1_183920	Clafu1|Clafu1_193348	0.818801	1.342034	0.610120	543.519857	176.480143	1.761708	2.841155	789
Clafu1|Clafu1_183922	Clafu1|Clafu1_186006	0.572240	4.495954	0.127279	1227.741702	401.258298	1.224044	4.616209	1683
Clafu1|Clafu1_183930	Clafu1|Clafu1_197083	0.573241	4.328211	0.132443	999.222423	320.777577	1.246468	4.457247	1470
Clafu1|Clafu1_183931	Clafu1|Clafu1_197085	0.989700	3.083536	0.320963	1104.426835	326.573165	1.327061	4.402624	1839
Clafu1|Clafu1_183932	Clafu1|Clafu1_185829	0.320123	5.581917	0.057350	1289.317913	405.682087	1.299320	4.738448	1749
Clafu1|Clafu1_183934	Clafu1|Clafu1_193822	0.691252	2.628227	0.263011	516.548140	155.451860	1.183319	3.417981	2514
Clafu1|Clafu1_183936	Clafu1|Clafu1_193541	0.618888	1.764810	0.350683	1153.328528	364.671472	1.340446	2.682524	1749
Clafu1|Clafu1_183939	Clafu1|Clafu1_191791	0.602734	3.029985	0.198923	1790.284455	564.715545	1.419808	3.554324	3372
Clafu1|Clafu1_183940	Clafu1|Clafu1_193108	0.693812	4.574992	0.151653	1405.147154	445.852846	1.056438	4.886031	2160
Clafu1|Clafu1_183945	Clafu1|Clafu1_195271	0.914001	2.336345	0.391210	523.876045	208.123955	2.192788	3.955215	765
Clafu1|Clafu1_183946	Clafu1|Clafu1_195183	0.686231	4.793636	0.143155	1875.240506	596.759494	1.417572	5.033368	4776
