SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Ccin|CC1G_12869	Ccin|CC1G_06217	0.867808	4.510054	0.192416	1175.126506	408.873494	1.430873	5.423912	3030
Ccin|CC1G_12868	Ccin|CC1G_13559	0.598290	3.330065	0.179663	371.300760	117.699240	1.462942	3.767434	552
Ccin|CC1G_12867	Ccin|CC1G_12457	0.098513	2.425151	0.040621	601.635094	85.364906	1.629241	1.162845	693
Ccin|CC1G_14529	Ccin|CC1G_14044	0.662265	3.971407	0.166758	601.620602	199.379398	2.160842	4.457862	1233
Ccin|CC1G_08921	Ccin|CC1G_04170	0.261975	4.112671	0.063699	872.297661	240.702339	1.359277	3.284230	1353
Ccin|CC1G_08918	Ccin|CC1G_14498	0.615751	3.061932	0.201099	2002.665726	652.334274	1.498900	3.650335	3804
Ccin|CC1G_08915	Ccin|CC1G_08905	0.311566	1.604931	0.194130	754.431134	280.568866	2.900416	1.986518	1068
Ccin|CC1G_08914	Ccin|CC1G_08913	0.368216	3.014027	0.122168	706.839634	256.160366	1.982034	3.216025	1101
Ccin|CC1G_14532	Ccin|CC1G_12143	0.423477	4.240010	0.099876	848.755533	285.244467	1.783715	4.150445	2025
Ccin|CC1G_08907	Ccin|CC1G_04167	0.280309	4.816530	0.058197	797.008868	267.991132	1.646078	4.265340	1179
Ccin|CC1G_14533	Ccin|CC1G_08898	1.078547	2.330301	0.462836	702.461018	245.538982	1.225620	4.208281	1275
Ccin|CC1G_08903	Ccin|CC1G_08886	0.638345	2.436830	0.261957	638.453052	234.546948	2.023543	3.364619	1062
Ccin|CC1G_08899	Ccin|CC1G_08416	0.365058	1.643073	0.222180	1074.287352	416.712648	1.920890	2.166733	1533
Ccin|CC1G_08894	Ccin|CC1G_08892	0.352188	1.505101	0.233996	725.879638	219.120362	1.844632	1.858554	1293
Ccin|CC1G_08890	Ccin|CC1G_08889	0.523136	3.760737	0.139105	443.446940	150.553060	1.955584	4.031179	822
Ccin|CC1G_08880	Ccin|CC1G_11374	0.476315	3.431381	0.138811	367.954989	97.045011	1.260057	3.279102	687
Ccin|CC1G_06709	Ccin|CC1G_06672	0.874341	2.552836	0.342498	834.035782	272.964218	1.051799	3.864674	1257
Ccin|CC1G_06708	Ccin|CC1G_06698	0.351737	2.514110	0.139905	672.818265	224.181735	1.808931	2.676496	954
Ccin|CC1G_06707	Ccin|CC1G_06701	0.491573	0.818173	0.600818	782.191521	309.808479	3.024651	1.752696	1128
Ccin|CC1G_06702	Ccin|CC1G_05388	0.692008	1.951497	0.354604	728.529279	246.470721	1.819584	3.031185	1209
Ccin|CC1G_06697	Ccin|CC1G_06693	0.525146	2.077191	0.252815	690.371617	215.628383	1.372373	2.683600	1065
Ccin|CC1G_06696	Ccin|CC1G_06692	0.021222	0.588872	0.036038	262.899650	46.100350	1.542739	0.317732	312
Ccin|CC1G_06686	Ccin|CC1G_06668	0.692550	2.071116	0.334385	1977.078466	680.921534	1.449677	3.137124	3780
Ccin|CC1G_06684	Ccin|CC1G_06682	0.248415	2.104995	0.118012	274.813166	82.186834	1.374407	2.027485	558
Ccin|CC1G_06681	Ccin|CC1G_08794	0.799332	4.007976	0.199435	609.658297	209.341703	1.570738	4.858447	1095
Ccin|CC1G_06679	Ccin|CC1G_09366	0.620338	1.878968	0.330148	1181.080704	390.919296	1.921396	2.799988	1989
Ccin|CC1G_06678	Ccin|CC1G_07698	0.086213	1.138756	0.075708	1773.183210	560.816790	2.229249	1.017358	2370
Ccin|CC1G_06676	Ccin|CC1G_06674	0.385945	4.178435	0.092366	874.238411	262.761589	1.653163	3.787177	1296
Ccin|CC1G_06675	Ccin|CC1G_05063	0.790333	1.719812	0.459546	874.142551	307.857449	2.864434	3.097260	1260
Ccin|CC1G_06666	Ccin|CC1G_00695	0.596757	2.838143	0.210263	998.987089	333.012911	1.120684	3.471375	1467
Ccin|CC1G_06664	Ccin|CC1G_09302	0.661509	3.502027	0.188893	439.369559	106.630441	0.932589	3.648735	588
Ccin|CC1G_14542	Ccin|CC1G_06661	0.344646	1.552552	0.221987	1200.375864	404.624136	1.435027	1.947486	2025
Ccin|CC1G_14543	Ccin|CC1G_07782	0.482821	4.155319	0.116193	873.213612	254.786388	1.323606	3.937034	1881
Ccin|CC1G_06656	Ccin|CC1G_09115	0.331833	1.733729	0.191398	746.966735	201.033265	1.944302	1.887358	1068
Ccin|CC1G_06654	Ccin|CC1G_11369	0.842790	2.698604	0.312306	523.400786	208.599214	1.728613	4.114934	1041
Ccin|CC1G_06652	Ccin|CC1G_04527	0.012651	0.022534	0.561409	2152.364582	721.635418	1.628176	0.045397	3039
Ccin|CC1G_14545	Ccin|CC1G_04526	0.021677	0.033450	0.648048	1123.304889	397.695111	1.005811	0.074267	2037
Ccin|CC1G_06649	Ccin|CC1G_02237	0.517797	4.511773	0.114766	1330.188260	409.811740	1.303501	4.375423	1866
