SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Hypsu1|Hypsu1_128596	Hypsu1|Hypsu1_618870	0.274640	0.565759	0.485436	634.546274	238.453726	3.237165	1.062471	921
Hypsu1|Hypsu1_82579	Hypsu1|Hypsu1_176881	0.097836	0.511293	0.191350	252.471348	95.528652	4.171291	0.633999	354
Hypsu1|Hypsu1_618802	Hypsu1|Hypsu1_33348	0.376223	0.690811	0.544610	1060.744836	403.255164	2.301491	1.388626	1644
Hypsu1|Hypsu1_33345	Hypsu1|Hypsu1_55873	0.560447	4.360783	0.128520	1107.917295	335.082705	1.132302	4.328799	2850
Hypsu1|Hypsu1_176856	Hypsu1|Hypsu1_33327	0.052338	0.398487	0.131341	363.767815	62.232185	3.249292	0.308714	540
Hypsu1|Hypsu1_197158	Hypsu1|Hypsu1_211645	0.321296	0.646003	0.497361	1060.440794	421.559206	2.605120	1.240980	1773
Hypsu1|Hypsu1_618588	Hypsu1|Hypsu1_216517	0.342247	0.751474	0.455434	379.040365	151.959635	1.690319	1.378075	549
Hypsu1|Hypsu1_33328	Hypsu1|Hypsu1_216406	0.212831	0.939440	0.226551	907.126014	340.873986	3.333256	1.233882	1611
Hypsu1|Hypsu1_197149	Hypsu1|Hypsu1_41078	0.779444	2.094062	0.372216	828.251828	287.748172	1.446652	3.355212	1380
Hypsu1|Hypsu1_82557	Hypsu1|Hypsu1_145045	0.556905	4.074380	0.136685	830.278181	228.721819	1.294102	3.949818	1248
Hypsu1|Hypsu1_61819	Hypsu1|Hypsu1_128813	0.422260	1.191081	0.354518	1114.306860	442.693140	2.780463	1.922563	1728
Hypsu1|Hypsu1_128536	Hypsu1|Hypsu1_128564	0.353641	4.724992	0.074845	1789.433842	544.566158	1.703604	4.120679	2466
Hypsu1|Hypsu1_61815	Hypsu1|Hypsu1_1085536	0.017880	0.016250	1.100300	454.582694	124.417306	13.743015	0.052588	801
Hypsu1|Hypsu1_61814	Hypsu1|Hypsu1_197137	0.266787	3.108673	0.085820	1854.919306	566.080694	1.779823	2.793838	2532
Hypsu1|Hypsu1_617636	Hypsu1|Hypsu1_526243	0.889081	2.422377	0.367028	1096.858201	391.141799	1.034072	3.876389	1743
Hypsu1|Hypsu1_617582	Hypsu1|Hypsu1_49315	0.904663	4.382621	0.206421	1023.017011	344.982989	1.214777	5.345209	1797
Hypsu1|Hypsu1_176802	Hypsu1|Hypsu1_49672	0.278037	1.909542	0.145604	1554.714408	593.285592	1.701666	2.185993	2241
Hypsu1|Hypsu1_154960	Hypsu1|Hypsu1_49531	0.543210	3.983562	0.136363	1069.363049	202.636951	1.132453	3.273834	1416
Hypsu1|Hypsu1_1082773	Hypsu1|Hypsu1_68017	0.439121	2.061945	0.212965	859.510059	325.489941	1.796861	2.654612	1308
Hypsu1|Hypsu1_33278	Hypsu1|Hypsu1_290436	0.411632	3.990454	0.103154	680.492371	204.507629	1.242861	3.715901	909
Hypsu1|Hypsu1_51139	Hypsu1|Hypsu1_33274	0.682349	3.904410	0.174764	597.658823	182.341177	2.079287	4.306718	1002
Hypsu1|Hypsu1_33277	Hypsu1|Hypsu1_68673	0.575068	2.828792	0.203291	964.687412	274.312588	1.326452	3.222116	1518
Hypsu1|Hypsu1_33276	Hypsu1|Hypsu1_60197	0.526861	3.989915	0.132048	713.639396	204.360604	1.246178	3.893367	2991
Hypsu1|Hypsu1_128779	Hypsu1|Hypsu1_90374	0.369307	2.902610	0.127233	878.660514	231.339486	1.679686	2.691848	1206
Hypsu1|Hypsu1_33270	Hypsu1|Hypsu1_69261	0.384515	1.790706	0.214728	898.924314	331.075686	2.138774	2.289046	1878
Hypsu1|Hypsu1_94937	Hypsu1|Hypsu1_135374	0.078908	0.279458	0.282359	160.873304	55.126696	5.182460	0.390274	459
Hypsu1|Hypsu1_197110	Hypsu1|Hypsu1_71079	0.176902	0.505404	0.350020	986.204830	381.795170	2.702072	0.805751	1398
Hypsu1|Hypsu1_197109	Hypsu1|Hypsu1_41441	0.428313	1.306174	0.327914	496.137872	202.862128	2.063371	2.049252	1482
Hypsu1|Hypsu1_211596	Hypsu1|Hypsu1_33253	0.386541	1.396285	0.276836	652.672660	232.327340	2.376647	1.954847	975
Hypsu1|Hypsu1_33249	Hypsu1|Hypsu1_1070919	0.040050	0.000000	99.000000	129.059713	56.940287	3.621293	0.083369	462
Hypsu1|Hypsu1_128864	Hypsu1|Hypsu1_65005	0.008088	0.049857	0.162217	747.038006	251.961994	11.051616	0.055868	1083
Hypsu1|Hypsu1_82510	Hypsu1|Hypsu1_203963	0.329321	1.030854	0.319464	678.722338	221.277662	2.352085	1.505407	960
Hypsu1|Hypsu1_117841	Hypsu1|Hypsu1_124862	0.502845	3.213892	0.156460	177.021612	62.978388	2.087920	3.642751	252
Hypsu1|Hypsu1_123481	Hypsu1|Hypsu1_121755	0.232168	2.910453	0.079770	146.546552	48.453448	2.693090	2.692999	219
Hypsu1|Hypsu1_113500	Hypsu1|Hypsu1_482106	0.036034	0.128945	0.279452	142.118011	16.881989	4.600000	0.137697	3570
Hypsu1|Hypsu1_176732	Hypsu1|Hypsu1_524827	0.137940	0.580800	0.237500	862.272726	334.727274	3.377602	0.785343	1563
Hypsu1|Hypsu1_197090	Hypsu1|Hypsu1_208664	0.047111	0.153662	0.306587	706.087146	271.912854	3.589958	0.230206	990
Hypsu1|Hypsu1_197089	Hypsu1|Hypsu1_1071430	0.115263	0.178581	0.645439	2196.489949	920.510051	3.697582	0.401885	3315
Hypsu1|Hypsu1_51109	Hypsu1|Hypsu1_208666	0.185500	0.364689	0.508652	480.857675	191.142325	2.835566	0.709404	1293
Hypsu1|Hypsu1_33240	Hypsu1|Hypsu1_49116	0.025179	0.257093	0.097936	161.633728	57.366272	2.969820	0.257784	351
Hypsu1|Hypsu1_33238	Hypsu1|Hypsu1_673512	0.092416	0.756999	0.122082	576.298198	164.701802	2.754856	0.720399	744
Hypsu1|Hypsu1_211586	Hypsu1|Hypsu1_484110	0.250362	0.828810	0.302074	587.365275	153.634725	2.403277	1.110882	750
Hypsu1|Hypsu1_127446	Hypsu1|Hypsu1_151257	0.100441	0.109793	0.914825	291.536884	125.463116	2.803403	0.309765	744
Hypsu1|Hypsu1_61756	Hypsu1|Hypsu1_161503	0.095845	0.661144	0.144968	888.854097	383.145903	3.841372	0.798365	1407
Hypsu1|Hypsu1_128227	Hypsu1|Hypsu1_73006	0.327310	3.773769	0.086733	467.808089	153.191911	1.623027	3.532507	729
Hypsu1|Hypsu1_127762	Hypsu1|Hypsu1_107237	0.059460	0.500685	0.118757	262.662289	100.337711	2.436133	0.544259	537
Hypsu1|Hypsu1_96030	Hypsu1|Hypsu1_119331	0.016602	0.059801	0.277620	121.806678	52.193322	4.600000	0.088679	174
Hypsu1|Hypsu1_116067	Hypsu1|Hypsu1_196138	0.236239	1.279967	0.184566	129.692460	32.307540	2.517947	1.333166	1242
Hypsu1|Hypsu1_1077110	Hypsu1|Hypsu1_1081031	0.082933	0.124306	0.667168	476.206454	129.793546	3.014770	0.275383	1908
Hypsu1|Hypsu1_108244	Hypsu1|Hypsu1_152166	0.195019	0.626186	0.311439	176.517118	75.482882	2.470940	0.972505	324
Hypsu1|Hypsu1_197069	Hypsu1|Hypsu1_41757	0.258644	1.383271	0.186980	588.881638	203.118362	1.846370	1.641207	1122
