SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Spom|SPAC212.11.1	Spom|SPBCPT2R1.08c.1	0.000000	0.000636	0.000010	4088.014834	1572.985166	4.600000	0.000530	5757
Spom|SPAC212.12.1	Spom|SPAC750.07c.1	0.000000	0.000000	99.000000	270.088032	98.911968	4.600000	0.000000	369
Spom|SPAC212.04c.1	Spom|SPAC212.01c.1	0.180270	0.276302	0.652439	628.596308	211.403692	4.739707	0.613315	864
Spom|SPAC212.03.1	Spom|SPBC1348.15.1	0.003438	0.000000	99.000000	291.516268	95.483732	4.600000	0.007770	387
Spom|SPAC212.02.1	Spom|SPBCPT2R1.02.1	0.000000	0.000000	99.000000	262.388662	94.611338	4.600000	0.000000	408
Spom|SPAC977.01.1	Spom|SPBPB2B2.19c.1	0.000000	0.004635	0.000010	731.569939	216.430061	4.600000	0.003174	1032
Spom|SPAC977.18.1	Spom|SPBPB2B2.18.1	0.059215	0.073079	0.810296	260.589393	60.410607	2.053007	0.185473	537
Spom|SPAC977.02.1	Spom|SPAC750.04c.1	0.000000	0.000000	99.000000	318.849325	119.150675	4.600000	0.000000	438
Spom|SPAC977.03.1	Spom|SPBC1348.04.1	0.002975	0.000000	99.000000	336.813730	98.186270	4.600000	0.006910	435
Spom|SPAC977.04.1	Spom|SPAC750.02c.1	0.000000	0.000000	99.000000	350.556289	114.443711	4.600000	0.000000	1455
Spom|SPAC977.05c.1	Spom|SPBPB2B2.15.1	0.006529	0.006822	0.957058	461.746886	147.253114	4.600000	0.019800	612
Spom|SPAC977.06.1	Spom|SPBC1348.07.1	0.037610	0.056396	0.666888	440.993812	126.006188	1.823966	0.125354	690
Spom|SPAC977.07c.1	Spom|SPBC1348.08c.1	0.000000	0.003082	0.000010	922.696444	325.303556	4.600000	0.002410	1248
Spom|SPAC977.08.1	Spom|SPBC1348.09.1	0.000000	0.000000	99.000000	531.728839	176.271161	4.600000	0.000000	708
Spom|SPAC977.09c.1	Spom|SPBC1348.10c.1	0.000000	0.000000	99.000000	1536.018656	482.981344	4.600000	0.000000	2019
Spom|SPAC977.10.1	Spom|SPAC3A11.09.1	0.462069	4.270448	0.108201	1094.940903	297.059097	1.571982	3.824382	2289
Spom|SPAC977.11.1	Spom|SPBPB8B6.06c.1	0.000000	0.004391	0.000010	704.461388	228.538612	4.600000	0.003227	933
Spom|SPAC977.12.1	Spom|SPBPB8B6.05c.1	0.001257	0.045807	0.027444	796.136904	271.863096	7.786473	0.037792	1068
Spom|SPAC977.14c.1	Spom|SPAC750.01.1	0.029678	0.218612	0.135755	756.316570	218.683430	2.039540	0.216162	1053
Spom|SPAC977.15.1	Spom|SPBC30D10.14.1	0.411328	3.773953	0.108991	587.770389	153.229611	1.954303	3.320031	747
Spom|SPAC977.16c.1	Spom|SPAC22A12.11.1	0.556748	4.424489	0.125833	1336.211021	364.788979	1.012694	4.158621	1812
Spom|SPAPJ695.01c.1	Spom|SPCC569.02c.1	0.217500	0.906960	0.239812	251.490269	87.509731	5.767805	1.186434	351
Spom|SPAC1F8.01.1	Spom|SPBC1683.08.1	0.082229	1.921683	0.042790	1299.549067	350.450933	1.729603	1.418756	1686
Spom|SPAC1F8.03c.1	Spom|SPCC61.01c.1	0.913972	4.458591	0.204991	1376.241608	381.758392	1.233734	5.051111	1923
Spom|SPAC1F8.04c.1	Spom|SPCC1672.03c.1	0.933964	4.268969	0.218780	1041.526403	296.473597	1.180241	5.018801	1632
Spom|SPAC1F8.07c.1	Spom|SPAC186.09.1	0.370010	4.464167	0.082885	1310.392961	384.607039	1.346255	3.897007	1725
Spom|SPAC11D3.05.1	Spom|SPBC530.02.1	0.245159	4.384421	0.055916	1271.188093	345.811907	1.566387	3.391147	1644
Spom|SPAC11D3.07c.1	Spom|SPAPB24D3.01.1	0.568054	2.504099	0.226850	1367.348047	381.651953	2.082660	2.971563	1944
Spom|SPAC11D3.06.1	Spom|SPCC4B3.13.1	0.692498	2.721855	0.254421	1006.226554	334.773446	1.767794	3.597348	1641
Spom|SPAC11D3.08c.1	Spom|SPAPB24D3.02c.1	0.357530	4.422031	0.080852	1256.404662	363.595338	1.354113	3.809319	1659
Spom|SPAC11D3.09.1	Spom|SPAPB24D3.03.1	0.320288	4.050437	0.079075	951.464421	221.535579	1.055249	3.074319	1233
Spom|SPAC11D3.10.1	Spom|SPCC777.03c.1	0.368126	3.476518	0.105889	902.876428	276.123572	2.257857	3.288348	1311
Spom|SPAC11D3.11c.1	Spom|SPCC757.04.1	0.383037	4.058096	0.094388	847.190621	223.809379	1.539137	3.453069	1908
Spom|SPAC11D3.13.1	Spom|SPBC947.09.1	0.530139	1.629548	0.325329	502.395800	154.604200	2.413434	2.366551	792
Spom|SPAC11D3.14c.1	Spom|SPAC11D3.15.1	0.434127	4.959745	0.087530	3008.291014	744.708986	1.149330	3.996441	3978
Spom|SPAC11D3.18c.1	Spom|SPAC1002.16c.1	0.547925	4.297992	0.127484	1164.828656	308.171344	1.461338	3.997467	1518
Spom|SPAC5H10.02c.1	Spom|SPCC757.03c.1	0.340339	2.039028	0.166912	544.128591	169.871409	2.348475	2.233449	738
Spom|SPAC5H10.03.1	Spom|SPBPB21E7.02c.1	0.488097	3.661305	0.133312	504.140137	131.859863	1.461342	3.437964	660
Spom|SPAC5H10.04.1	Spom|SPAC5H10.10.1	0.375046	4.102123	0.091427	908.659039	237.340961	1.429974	3.440814	1176
Spom|SPAC5H10.11.1	Spom|SPAC22E12.06c.1	0.509359	3.973053	0.128203	787.182627	199.817373	1.292117	3.631743	996
Spom|SPAC5H10.12c.1	Spom|SPBC4C3.09.1	0.456364	4.025052	0.113381	883.837444	214.162556	1.696618	3.457287	1143
Spom|SPAC13G6.01c.1	Spom|SPCC330.01c.1	0.793986	4.683744	0.169519	2157.575055	515.424945	1.372564	4.632101	3615
Spom|SPAC13G6.02c.1	Spom|SPAC22H12.04c.1	0.070992	1.240226	0.057241	576.275894	179.724106	2.208133	1.046863	756
Spom|SPAC13G6.03.1	Spom|SPBC27B12.06.1	0.840071	4.622312	0.181742	1712.109992	474.890008	1.344306	4.984065	2841
Spom|SPAC13G6.07c.1	Spom|SPAPB1E7.12.1	0.005431	1.502204	0.003615	554.665507	162.334493	1.873850	1.032937	717
Spom|SPAC13G6.08.1	Spom|SPCC1620.04c.1	0.597815	4.259346	0.140354	1174.305781	292.694219	1.342357	3.985079	1665
Spom|SPAC13G6.12c.1	Spom|SPBC1709.01.1	0.738993	4.693563	0.157448	2000.782774	522.217226	1.660520	4.672562	2832
Spom|SPAC24B11.06c.1	Spom|SPAC31G5.09c.1	0.457087	3.986575	0.114656	813.547465	203.452535	1.177697	3.489500	1146
Spom|SPAC24B11.07c.1	Spom|SPCC1902.02.1	0.883094	4.326644	0.204106	1281.828031	320.171969	0.773973	4.713941	1803
Spom|SPAC24B11.11c.1	Spom|SPCC417.06c.1	0.587458	4.359333	0.134759	1348.564289	334.435711	1.428120	4.010948	2010
Spom|SPAC24B11.12c.1	Spom|SPAC4F10.16c.1	0.505608	4.975568	0.101618	3202.413142	760.586858	1.169258	4.090474	4344
Spom|SPAC806.03c.1	Spom|SPAC1805.11c.1	0.067029	1.347166	0.049756	265.881141	91.118859	3.335290	1.181295	360
Spom|SPAC806.04c.1	Spom|SPCC1393.13.1	0.312350	4.205984	0.074263	1041.407214	272.592786	1.378388	3.360283	1326
Spom|SPAC1639.01c.1	Spom|SPAC1B2.03c.1	0.648096	4.066359	0.159380	772.711079	226.288921	1.516995	4.267157	1098
Spom|SPAC1639.02c.1	Spom|SPAC3F10.02c.1	0.632015	4.662709	0.135547	1937.830130	501.169870	1.291114	4.380747	2739
Spom|SPAC1F5.11c.1	Spom|SPBP16F5.03c.1	0.669738	5.760070	0.116272	8572.177914	2164.822086	1.490747	5.088191	11325
Spom|SPAC1F5.10.1	Spom|SPAC1006.07.1	0.260936	4.060073	0.064269	951.599964	224.400036	1.111367	2.957621	1182
Spom|SPAC1F5.09c.1	Spom|SPBC1604.14c.1	0.669831	4.368099	0.153346	1383.632872	338.367128	1.165821	4.189583	2019
Spom|SPAC1F5.06.1	Spom|SPAC110.04c.1	0.891374	4.508241	0.197721	1683.113982	407.886018	1.370700	4.790722	2613
Spom|SPAC1F5.04c.1	Spom|SPAC20G4.02c.1	0.860559	4.947000	0.173956	3146.839659	732.160341	1.310300	4.895621	5760
Spom|SPAC18B11.11.1	Spom|SPAC630.13c.1	0.996002	4.922983	0.202317	3061.913280	709.086720	1.348341	5.203257	4128
Spom|SPAC18B11.10.1	Spom|SPAC630.14c.1	0.506369	4.334737	0.116817	1353.354528	323.645472	1.154800	3.735626	1959
Spom|SPAC18B11.07c.1	Spom|SPBC119.02.1	0.627126	3.424660	0.183121	332.820729	96.179271	1.528316	3.762950	465
Spom|SPAC12G12.15.1	Spom|SPCC16C4.01.1	0.743800	4.091257	0.181802	882.072990	233.927010	1.416100	4.336402	1446
Spom|SPAC12G12.14c.1	Spom|SPBP22H7.07.1	0.920376	4.140748	0.222273	1031.115957	249.884043	1.512793	4.645718	1665
Spom|SPAC12G12.03.1	Spom|SPBC16A3.18.1	0.742420	4.239174	0.175133	1182.073383	284.926617	1.082223	4.264720	1731
Spom|SPAC630.03.1	Spom|SPBC32H8.12c.1	0.565623	4.089740	0.138303	873.545729	233.454271	2.047733	3.926463	1299
Spom|SPAC31A2.07c.1	Spom|SPAC1093.05.1	0.893448	4.488546	0.199051	1753.685698	397.314302	1.266369	4.672511	2598
Spom|SPAC31A2.10.1	Spom|SPCC584.03c.1	0.739865	4.138473	0.178777	962.872775	249.127225	1.334019	4.315351	1821
Spom|SPAC31A2.12.1	Spom|SPCC584.15c.1	0.785995	4.433195	0.177298	1358.952136	369.047864	1.024135	4.694775	1842
Spom|SPAC13C5.01c.1	Spom|SPCC1442.06.1	0.617710	3.763349	0.164138	559.921607	151.078393	1.526166	3.858353	768
Spom|SPAC13C5.05c.1	Spom|SPAC1296.01c.1	0.599532	4.371339	0.137151	1187.167968	339.832032	1.308178	4.316830	1653
Spom|SPAC23E2.02.1	Spom|SPBC146.09c.1	0.744621	4.719979	0.157759	2372.061757	540.938243	1.183722	4.448511	3906
Spom|SPAC24H6.13.1	Spom|SPAC2G11.09.1	0.931844	4.552950	0.204668	1673.059747	432.940253	1.143010	5.028755	2886
Spom|SPAC24H6.10c.1	Spom|SPAP8A3.07c.1	0.389207	4.115326	0.094575	856.444048	241.555952	2.053631	3.626818	1122
Spom|SPAC24H6.07.1	Spom|SPBC29A3.12.1	0.004438	0.853005	0.005203	452.025483	120.974517	1.857007	0.550775	576
Spom|SPAC24H6.04.1	Spom|SPAC4F8.07c.1	0.647274	4.133842	0.156579	1081.406107	247.593893	1.106520	3.890473	1488
Spom|SPAC24H6.03.1	Spom|SPAC17G6.12.1	0.861224	4.638419	0.185672	1746.801123	485.198877	1.689440	5.046967	2424
Spom|SPAC227.01c.1	Spom|SPAC1D4.05c.1	0.803289	2.501287	0.321150	794.875852	228.124148	1.749736	3.545804	1257
Spom|SPAC227.08c.1	Spom|SPBC337.12.1	0.668223	3.181482	0.210035	422.454890	69.545110	0.797317	3.070431	1146
Spom|SPAC2F7.02c.1	Spom|SPBC3B8.10c.1	0.805868	3.859050	0.208825	797.359900	171.640100	1.141533	4.040044	1434
Spom|SPAC2F7.03c.1	Spom|SPAC16C9.07.1	0.705209	4.609987	0.152974	2025.850235	467.149765	1.342374	4.310713	3276
Spom|SPAC2F7.11.1	Spom|SPCC74.09.1	0.735909	4.295669	0.171314	1255.781635	307.218365	1.059995	4.306812	1986
Spom|SPAC13A11.04c.1	Spom|SPCC1682.12c.1	0.887454	4.124905	0.215145	988.339131	244.660869	1.374274	4.589558	1485
Spom|SPAC13A11.06.1	Spom|SPAC3G9.11c.1	0.368236	4.441006	0.082917	1334.088573	372.911427	1.212009	3.773922	1716
Spom|SPAC3H8.02.1	Spom|SPAC589.09.1	0.687231	4.045903	0.169858	883.799610	220.200390	1.428683	4.071424	1392
Spom|SPAC3H8.08c.1	Spom|SPBC16G5.17.1	0.657859	4.323340	0.152164	1322.235251	318.764749	1.502057	4.109639	1728
Spom|SPAC1F3.05.1	Spom|SPBC25H2.16c.1	0.662506	4.322271	0.153277	1196.689404	318.310596	1.286635	4.294333	1614
Spom|SPAC1D4.04.1	Spom|SPBC25H2.12c.1	0.717940	4.338497	0.165481	1249.727506	325.272494	1.401260	4.396996	1680
Spom|SPAC1D4.06c.1	Spom|SPBC18H10.15.1	0.900794	3.874787	0.232476	703.720333	175.279667	1.133792	4.481496	1233
Spom|SPAC1D4.12.1	Spom|SPAC3G6.11.1	0.887046	4.479124	0.198040	1638.645499	392.354501	1.225022	4.742923	2817
Spom|SPAC1D4.13.1	Spom|SPBC409.07c.1	0.605495	3.932671	0.153965	818.656811	189.343189	1.068638	3.691419	1827
Spom|SPAC22F3.09c.1	Spom|SPBC725.16.1	0.675394	4.461587	0.151380	1443.713440	383.286560	1.442996	4.409100	2055
Spom|SPAC22F3.08c.1	Spom|SPAC823.08c.1	0.774545	4.158372	0.186262	1097.174271	255.825729	1.313838	4.243080	1485
Spom|SPAC22F3.05c.1	Spom|SPBC4F6.18c.1	0.734412	3.571477	0.205633	420.023948	116.976052	1.609079	4.057251	561
Spom|SPAC22F3.04.1	Spom|SPAC56F8.02.1	0.844984	5.084693	0.166182	3365.291920	879.708080	1.511384	5.170787	4590
Spom|SPAC22F3.03c.1	Spom|SPCP25A2.02c.1	0.809975	4.539307	0.178436	1911.864123	425.135877	1.017392	4.465191	3015
Spom|SPAC1296.03c.1	Spom|SPAC19G12.10c.1	0.808972	4.209126	0.192195	1115.262828	273.737172	1.163669	4.437172	3138
Spom|SPAC1296.06.1	Spom|SPCC584.01c.1	0.973093	4.409267	0.220693	1367.540488	357.459512	1.557836	5.055440	3045
Spom|SPAC22G7.08.1	Spom|SPCC1020.10.1	0.727663	4.249255	0.171245	1223.217602	288.782398	1.369630	4.200793	1977
Spom|SPAC4G8.03c.1	Spom|SPAC6G9.14.1	0.754091	4.497382	0.167673	1544.976926	402.023074	1.039239	4.581055	2436
Spom|SPAC4G8.05.1	Spom|SPBC1861.09.1	0.465080	4.297398	0.108224	1258.072711	307.927289	1.788358	3.655920	1710
Spom|SPAC16C9.06c.1	Spom|SPBC29A10.10c.1	0.744518	4.699213	0.158435	2191.833612	526.166388	1.375166	4.530273	5889
Spom|SPAC2G11.06.1	Spom|SPAC17A5.01.1	0.701776	4.103068	0.171037	1007.359823	237.640177	1.266252	4.052998	2895
Spom|SPAC2G11.07c.1	Spom|SPCC1223.11.1	0.361634	4.054510	0.089193	878.258146	222.741854	1.138564	3.326205	1251
Spom|SPAC2G11.11c.1	Spom|SPBC19C2.01.1	0.547701	4.500980	0.121685	1747.043504	403.956496	1.141081	3.870374	3171
Spom|SPAC521.05.1	Spom|SPAC2C4.16c.1	0.003941	1.111994	0.003544	509.017545	90.982455	0.524725	0.515890	600
Spom|SPAC23G3.01.1	Spom|SPAC4G9.08c.1	0.594460	4.863090	0.122239	2669.337487	654.662513	1.278055	4.305504	3801
Spom|SPAC23G3.06.1	Spom|SPBC646.10c.1	0.568098	4.196421	0.135377	1179.861005	269.138995	1.119436	3.726081	1566
Spom|SPAC23G3.12c.1	Spom|SPBC1685.05.1	0.714608	4.765647	0.149950	2293.099990	574.900010	1.372084	4.579957	3111
Spom|SPAC1687.03c.1	Spom|SPAC27E2.10c.1	0.721438	3.994857	0.180592	811.288317	205.711683	1.076293	4.150687	1035
Spom|SPAC1687.13c.1	Spom|SPAC31G5.13.1	0.782289	3.795949	0.206085	679.210003	157.789997	1.072114	4.051259	984
Spom|SPAC1687.15.1	Spom|SPBC8D2.01.1	0.394441	4.122940	0.095670	895.979162	244.020838	1.763451	3.577617	1164
Spom|SPAC1687.16c.1	Spom|SPBC27B12.03c.1	0.391016	3.943744	0.099148	695.840667	192.159333	1.669075	3.479432	999
Spom|SPAC222.07c.1	Spom|SPAC20G4.03c.1	0.677792	4.402343	0.153962	1457.825072	354.174928	1.361441	4.217388	2217
Spom|SPAC222.12c.1	Spom|SPAC14C4.14.1	0.861949	2.251619	0.382813	1183.193292	295.806708	1.418781	3.419669	1704
Spom|SPAC222.13c.1	Spom|SPAPB17E12.14c.1	0.555823	4.316271	0.128774	1436.225774	315.774226	0.975321	3.700777	2028
Spom|SPAC821.04c.1	Spom|SPBC1685.06.1	0.657524	4.221990	0.155738	1140.527263	278.472737	1.054306	4.071106	1749
Spom|SPAC821.06.1	Spom|SPAC4F10.11.1	0.620781	3.918213	0.158435	801.271763	185.728237	0.923523	3.723820	1413
Spom|SPAC821.08c.1	Spom|SPAC144.13c.1	0.679690	4.204218	0.161668	1141.048487	271.951513	1.004763	4.074102	1719
Spom|SPAC821.09.1	Spom|SPAC23D3.10c.1	0.578687	4.490109	0.128880	1671.856475	398.143525	1.167654	3.993027	3096
Spom|SPAC139.04c.1	Spom|SPBC354.15.1	0.715034	4.102859	0.174277	974.426200	237.573800	1.014299	4.137327	1323
Spom|SPAC139.05.1	Spom|SPAC1002.12c.1	0.459720	2.677561	0.171694	1132.324309	343.675691	1.232331	2.928384	1644
Spom|SPAC23C4.08.1	Spom|SPAC1F7.04.1	0.465158	3.620199	0.128490	469.172530	124.827470	1.577455	3.384544	627
Spom|SPAC23C4.12.1	Spom|SPBC3H7.15.1	0.319664	3.969898	0.080522	890.021295	198.978705	1.153435	2.959871	1206
Spom|SPAC23C4.17.1	Spom|SPAC17D4.04.1	0.452189	4.428083	0.102118	1628.458747	366.541253	1.207960	3.548040	2124
Spom|SPAC1A6.05c.1	Spom|SPCC1450.16c.1	0.793472	4.286821	0.185096	1109.384607	303.615393	1.425989	4.632293	1671
Spom|SPAC1A6.09c.1	Spom|SPBC3E7.15c.1	0.755580	4.033816	0.187312	881.320123	216.679877	1.296791	4.207527	1224
Spom|SPAC30D11.12.1	Spom|SPBC577.02.1	0.115771	2.055761	0.056315	169.502546	52.497454	2.629326	1.723590	222
Spom|SPAC30D11.11.1	Spom|SPBC12C2.09c.1	0.631948	3.925049	0.161004	739.571273	187.428727	1.241454	3.893326	1371
Spom|SPAC30D11.10.1	Spom|SPBC119.14.1	0.549587	4.030338	0.136363	840.322602	215.677398	1.539843	3.781486	1464
Spom|SPAC30D11.08c.1	Spom|SPCC4G3.07c.1	0.830263	4.214531	0.197000	1074.283026	275.716974	1.106888	4.564344	1647
Spom|SPAC30D11.05.1	Spom|SPBC685.04c.1	0.553872	3.292588	0.168218	345.350105	80.649895	1.549771	3.217088	498
Spom|SPAC30D11.01c.1	Spom|SPAC1039.11c.1	0.351474	4.816216	0.072977	2334.000952	614.999048	1.471176	3.847720	3015
Spom|SPAC56F8.10.1	Spom|SPAC343.10.1	0.586762	4.351254	0.134849	1427.147658	330.852342	1.261321	3.885697	1974
Spom|SPAC22A12.04c.1	Spom|SPAC5D6.01.1	0.000000	0.566182	0.000010	303.387987	86.612013	1.763802	0.377217	390
Spom|SPAC22A12.06c.1	Spom|SPCC1223.08c.1	0.905813	4.152239	0.218151	991.257875	253.742125	1.452372	4.702392	1425
Spom|SPAC22A12.07c.1	Spom|SPAPB1E7.09.1	0.779127	4.510235	0.172746	1676.027830	408.972170	1.428077	4.532948	2811
Spom|SPAC22A12.15c.1	Spom|SPAC13G7.02c.1	0.346785	1.646059	0.210676	1459.371039	415.628961	2.032666	1.904381	2046
Spom|SPAC22A12.17c.1	Spom|SPCC1739.08c.1	0.427692	3.836565	0.111478	616.429335	166.570665	1.266818	3.458626	783
Spom|SPAC4C5.01.1	Spom|SPCC1020.07.1	0.503840	3.756742	0.134116	558.246743	149.753257	1.417330	3.575641	747
Spom|SPAC4C5.02c.1	Spom|SPAC6F6.15.1	0.578795	3.499204	0.165408	490.770195	106.229805	1.142876	3.295351	639
Spom|SPAC10F6.09c.1	Spom|SPBC146.03c.1	0.884861	4.811629	0.183900	2775.750406	611.249594	1.170333	4.780566	4167
Spom|SPAC10F6.13c.1	Spom|SPBC725.01.1	0.529852	4.078487	0.129914	976.022111	229.977889	1.322854	3.619676	1332
Spom|SPAC10F6.14c.1	Spom|SPBC15C4.02.1	0.911550	4.256878	0.214136	1220.267446	291.732554	1.515216	4.671040	1764
Spom|SPAC10F6.15.1	Spom|SPAC11G7.06c.1	0.867884	4.068722	0.213306	1011.997029	227.002971	1.213407	4.362973	1347
Spom|SPAC56E4.03.1	Spom|SPCC569.07.1	0.413270	4.237925	0.097517	1122.547387	284.452613	1.423464	3.559496	1425
Spom|SPAC56E4.06c.1	Spom|SPAC664.09.1	0.504856	4.434162	0.113856	1445.475667	369.524333	1.116525	3.914526	1908
Spom|SPAC1420.02c.1	Spom|SPBC106.06.1	0.670521	4.361915	0.153722	1221.411054	335.588946	1.250524	4.398443	1662
Spom|SPAC1420.03.1	Spom|SPAPB8E5.02c.1	0.000000	0.005512	0.000010	964.823287	364.176713	4.600000	0.004531	1329
Spom|SPAC1420.04c.1	Spom|SPAC19B12.13.1	0.001712	0.000000	99.000000	1754.820775	504.179225	4.600000	0.003989	2259
Spom|SPAPB17E12.02.1	Spom|SPAC19B12.12c.1	0.000000	0.000000	99.000000	526.146860	178.853140	4.600000	0.000000	705
Spom|SPAPB17E12.05.1	Spom|SPCC1223.05c.1	0.025034	0.361610	0.069228	203.429144	63.570856	2.558657	0.315510	273
Spom|SPAPB17E12.12c.1	Spom|SPBC12D12.05c.1	0.865136	3.956537	0.218660	704.534824	195.465176	1.551243	4.609611	1329
Spom|SPAPB17E12.13.1	Spom|SPBC11C11.07.1	0.031749	0.808088	0.039289	403.155745	157.844255	11.439853	0.750543	561
Spom|SPAC1565.08.1	Spom|SPBC56F2.07c.1	0.636210	4.601903	0.138249	1778.858769	462.141231	1.202072	4.362058	2631
