SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Karrh1|Karrh1_468048	Karrh1|Karrh1_436173	0.724277	4.361344	0.166067	1257.666520	335.333480	1.476092	4.469687	1758
Karrh1|Karrh1_450380	Karrh1|Karrh1_379940	0.333925	3.373643	0.098981	453.145576	89.854424	1.013997	2.510793	600
Karrh1|Karrh1_400877	Karrh1|Karrh1_502554	0.729498	4.374564	0.166759	1191.703422	341.296578	1.236202	4.623030	1653
Karrh1|Karrh1_324541	Karrh1|Karrh1_417968	0.560653	3.805336	0.147333	608.222737	159.777263	1.078930	3.707062	1287
Karrh1|Karrh1_425955	Karrh1|Karrh1_229839	0.898263	4.249954	0.211358	931.948187	289.051813	1.314472	5.075164	1515
Karrh1|Karrh1_318391	Karrh1|Karrh1_371701	0.505895	3.342859	0.151336	492.759007	86.240993	1.404593	2.785367	771
Karrh1|Karrh1_459520	Karrh1|Karrh1_469671	0.840189	2.642349	0.317971	757.200426	256.799574	1.670128	3.889781	1104
Karrh1|Karrh1_478479	Karrh1|Karrh1_410753	0.515337	4.422281	0.116532	1418.283527	363.716473	1.155021	3.938301	2079
Karrh1|Karrh1_478477	Karrh1|Karrh1_442871	0.724362	3.838005	0.188734	619.109149	166.890851	1.074198	4.156440	1038
Karrh1|Karrh1_515470	Karrh1|Karrh1_352251	0.734475	3.277290	0.224111	1064.333072	333.666928	1.186668	4.024141	2061
Karrh1|Karrh1_478473	Karrh1|Karrh1_518528	0.680470	4.072019	0.167109	863.996924	228.003076	1.159240	4.165816	1161
Karrh1|Karrh1_515468	Karrh1|Karrh1_416155	0.639639	3.353995	0.190709	1134.300781	362.699219	1.555099	3.891852	1542
Karrh1|Karrh1_400832	Karrh1|Karrh1_350125	0.574701	4.047398	0.141993	895.360456	220.639544	1.256401	3.783819	1215
Karrh1|Karrh1_3673	Karrh1|Karrh1_415862	0.622506	4.071723	0.152885	1155.086972	227.913028	1.083130	3.572770	1713
Karrh1|Karrh1_347407	Karrh1|Karrh1_407560	0.572063	2.359699	0.242430	1790.654415	576.345585	1.342893	3.022014	2913
Karrh1|Karrh1_515454	Karrh1|Karrh1_483002	0.962518	4.548142	0.211629	1336.826184	430.173816	1.329162	5.506300	2187
Karrh1|Karrh1_3482	Karrh1|Karrh1_27622	0.406028	4.229934	0.095989	1272.562061	281.437939	1.123728	3.295676	1635
Karrh1|Karrh1_3467	Karrh1|Karrh1_428988	0.782780	3.966817	0.197332	1094.837138	198.162862	1.314596	3.812278	1674
Karrh1|Karrh1_346930	Karrh1|Karrh1_464394	0.431987	4.479545	0.096436	1407.425384	392.574616	1.447636	3.944243	1929
Karrh1|Karrh1_3416	Karrh1|Karrh1_69234	0.647209	4.581023	0.141280	1623.547380	449.452620	1.290733	4.500329	2292
Karrh1|Karrh1_3381	Karrh1|Karrh1_434656	1.056303	2.315837	0.456122	709.069293	268.930707	2.174197	4.207951	1134
Karrh1|Karrh1_347443	Karrh1|Karrh1_376350	0.635664	4.060027	0.156566	804.613707	224.386293	1.328429	4.147166	1620
Karrh1|Karrh1_3212	Karrh1|Karrh1_426550	0.533786	4.044955	0.131963	1073.077978	219.922022	1.343884	3.392966	1524
Karrh1|Karrh1_478444	Karrh1|Karrh1_186737	0.621333	3.913827	0.158753	604.354797	184.645203	1.191870	4.175570	942
Karrh1|Karrh1_375437	Karrh1|Karrh1_400705	0.655527	2.143221	0.305861	1021.309427	352.690573	1.520843	3.112205	1647
Karrh1|Karrh1_347252	Karrh1|Karrh1_356875	0.671576	2.375770	0.282677	1132.686936	403.313064	1.759659	3.357156	2343
Karrh1|Karrh1_450332	Karrh1|Karrh1_348077	0.664770	1.940102	0.342647	907.278084	313.721916	1.279279	2.977356	1389
Karrh1|Karrh1_425903	Karrh1|Karrh1_64451	0.732735	4.578341	0.160044	1529.151376	447.848624	1.408313	4.811633	2502
Karrh1|Karrh1_425899	Karrh1|Karrh1_500387	0.841987	2.043252	0.412082	1145.195949	396.804051	1.347784	3.453328	2169
Karrh1|Karrh1_478418	Karrh1|Karrh1_398536	1.014077	2.151107	0.471421	1814.016322	654.983678	1.761581	3.947136	3147
Karrh1|Karrh1_425883	Karrh1|Karrh1_390822	0.674192	4.721795	0.142783	1968.749955	542.250045	1.674669	4.644815	3591
Karrh1|Karrh1_459472	Karrh1|Karrh1_324377	0.537981	3.826288	0.140601	588.696199	164.303801	1.446892	3.766459	1311
Karrh1|Karrh1_425878	Karrh1|Karrh1_462695	0.530206	4.143756	0.127953	781.111551	250.888449	1.240145	4.226078	1815
Karrh1|Karrh1_478401	Karrh1|Karrh1_433822	0.971321	2.270615	0.427779	890.998796	273.001204	1.401047	3.828161	2184
Karrh1|Karrh1_316584	Karrh1|Karrh1_451074	0.431720	1.722155	0.250686	391.765146	94.234854	1.365448	2.045803	531
Karrh1|Karrh1_438120	Karrh1|Karrh1_246876	0.519638	2.329244	0.223093	1393.095542	436.904458	1.391576	2.855021	1944
Karrh1|Karrh1_425873	Karrh1|Karrh1_424934	0.821204	1.524286	0.538747	346.555571	115.444429	1.561609	2.990671	1713
Karrh1|Karrh1_467969	Karrh1|Karrh1_438074	0.843228	4.303977	0.195918	1030.359398	310.640602	1.501116	4.934716	1947
Karrh1|Karrh1_1626	Karrh1|Karrh1_130869	0.569498	3.635870	0.156633	478.536870	127.463130	1.185487	3.643393	642
Karrh1|Karrh1_1616	Karrh1|Karrh1_403729	0.815510	3.816704	0.213669	548.782423	162.217577	1.174505	4.500734	1668
Karrh1|Karrh1_425866	Karrh1|Karrh1_361460	0.771455	4.536848	0.170042	1313.255654	423.744346	1.610729	5.070088	2049
Karrh1|Karrh1_348265	Karrh1|Karrh1_432703	0.583538	1.933864	0.301747	303.189856	86.810144	1.668823	2.652321	1095
Karrh1|Karrh1_1488	Karrh1|Karrh1_519064	0.862381	4.640351	0.185844	1085.041817	303.958183	1.304128	5.067369	1503
Karrh1|Karrh1_346335	Karrh1|Karrh1_428323	0.510387	4.759883	0.107227	1820.501765	570.498235	1.159210	4.572979	2910
Karrh1|Karrh1_375309	Karrh1|Karrh1_363878	0.556735	4.275490	0.130215	1200.937456	299.062544	1.386156	3.894485	1677
Karrh1|Karrh1_886	Karrh1|Karrh1_426330	0.613043	2.074001	0.295585	501.665351	155.334649	1.546729	2.875372	1065
Karrh1|Karrh1_425835	Karrh1|Karrh1_142887	0.784740	3.082568	0.254573	962.265894	342.734106	1.528168	4.164666	1560
Karrh1|Karrh1_375300	Karrh1|Karrh1_427824	0.801092	4.863957	0.164700	2413.579735	655.420265	1.207432	5.006291	4014
Karrh1|Karrh1_533	Karrh1|Karrh1_353304	0.348379	4.200013	0.082947	1043.569026	270.430974	1.653392	3.423222	1398
Karrh1|Karrh1_490	Karrh1|Karrh1_392494	0.430560	4.898549	0.087895	2781.642414	686.357586	1.047769	3.944480	5559
Karrh1|Karrh1_375287	Karrh1|Karrh1_413791	0.755824	4.512352	0.167501	1566.872260	410.127740	1.210677	4.605343	3582
Karrh1|Karrh1_346603	Karrh1|Karrh1_479519	0.270047	1.393144	0.193840	241.470021	94.529979	4.031209	1.758055	516
Karrh1|Karrh1_400622	Karrh1|Karrh1_90396	0.629795	2.033411	0.309723	1246.260470	415.739530	1.442998	2.942703	1821
Karrh1|Karrh1_425816	Karrh1|Karrh1_485588	0.425964	4.133650	0.103048	1348.469507	247.530493	1.389587	3.003016	1686
Karrh1|Karrh1_459433	Karrh1|Karrh1_401825	0.568941	2.501808	0.227412	1210.378897	379.621103	1.278233	3.091270	1728
Karrh1|Karrh1_346840	Karrh1|Karrh1_440234	0.616074	3.025242	0.203644	704.509104	228.490896	1.203070	3.618230	1320
Karrh1|Karrh1_425808	Karrh1|Karrh1_462984	0.590477	1.902023	0.310447	1137.920830	464.079170	1.979152	2.911246	1746
Karrh1|Karrh1_459431	Karrh1|Karrh1_425290	0.797247	4.854027	0.164245	2095.200441	646.799559	1.387653	5.262556	3000
Karrh1|Karrh1_515349	Karrh1|Karrh1_518396	0.821345	2.529181	0.324747	771.820961	290.179039	1.284036	3.863973	1131
Karrh1|Karrh1_450279	Karrh1|Karrh1_413010	0.672063	2.727522	0.246401	1076.357757	357.642243	1.318897	3.554095	1548
Karrh1|Karrh1_37	Karrh1|Karrh1_183901	0.493612	1.647362	0.299638	615.096451	260.903549	2.356674	2.511718	1491
Karrh1|Karrh1_492755	Karrh1|Karrh1_367058	0.273558	4.018462	0.068075	1131.710700	212.289300	0.773851	2.595234	1380
Karrh1|Karrh1_400914	Karrh1|Karrh1_407090	0.474793	3.766836	0.126046	634.217687	151.782313	1.097926	3.331532	1224
Karrh1|Karrh1_425982	Karrh1|Karrh1_263565	0.541622	3.981659	0.136029	916.876549	202.123451	1.084643	3.488975	1482
Karrh1|Karrh1_425983	Karrh1|Karrh1_523976	0.753896	4.271934	0.176477	986.351898	297.648102	1.222467	4.708271	1404
Karrh1|Karrh1_425984	Karrh1|Karrh1_284194	0.575215	4.047260	0.142125	742.400897	220.599103	1.249484	4.111721	1854
Karrh1|Karrh1_426002	Karrh1|Karrh1_451411	0.640299	4.092583	0.156453	812.658976	234.341024	1.587219	4.238982	1497
Karrh1|Karrh1_375620	Karrh1|Karrh1_433278	0.449591	3.825713	0.117518	555.822160	164.177840	1.296163	3.658291	756
Karrh1|Karrh1_426006	Karrh1|Karrh1_370588	0.573307	2.454412	0.233582	744.698075	248.301925	1.606422	3.131044	1140
Karrh1|Karrh1_400978	Karrh1|Karrh1_447503	0.515883	3.487100	0.147940	510.470838	104.529162	1.460108	3.062666	660
Karrh1|Karrh1_346926	Karrh1|Karrh1_430651	0.327881	4.354370	0.075299	1284.770360	332.229640	1.023942	3.465497	1686
Karrh1|Karrh1_400993	Karrh1|Karrh1_473112	0.834401	3.065767	0.272167	1283.873561	441.126439	1.241054	4.215054	1860
Karrh1|Karrh1_375663	Karrh1|Karrh1_434993	0.786339	2.553379	0.307960	1770.271105	563.728895	1.422557	3.639392	2976
Karrh1|Karrh1_426028	Karrh1|Karrh1_515550	0.401219	3.890191	0.103136	748.083046	178.916954	1.016768	3.223840	1011
Karrh1|Karrh1_375685	Karrh1|Karrh1_431730	0.743113	2.605525	0.285207	1144.445612	340.554388	1.450216	3.510656	1578
Karrh1|Karrh1_346902	Karrh1|Karrh1_426432	0.506314	1.800993	0.281130	1101.017052	341.982948	1.423343	2.439437	1566
Karrh1|Karrh1_347470	Karrh1|Karrh1_392340	0.362040	4.201213	0.086175	1139.136032	270.863968	1.288551	3.298660	1461
Karrh1|Karrh1_450439	Karrh1|Karrh1_477127	0.741494	2.303630	0.321881	1054.924702	295.075298	1.443001	3.248810	1581
Karrh1|Karrh1_401062	Karrh1|Karrh1_354843	0.615060	3.668513	0.167659	649.866644	133.133356	1.728712	3.402715	1008
Karrh1|Karrh1_426057	Karrh1|Karrh1_413334	0.856370	3.604522	0.237582	1036.623941	358.376059	1.299628	4.687114	1839
Karrh1|Karrh1_401076	Karrh1|Karrh1_428398	0.591955	4.129092	0.143362	797.969507	246.030493	1.226849	4.276564	1089
Karrh1|Karrh1_426062	Karrh1|Karrh1_469869	0.395898	3.984331	0.099364	928.155042	202.844958	1.210721	3.118451	1215
Karrh1|Karrh1_347316	Karrh1|Karrh1_427873	0.696325	4.352732	0.159974	1204.494921	331.505079	1.483464	4.456391	3252
Karrh1|Karrh1_459603	Karrh1|Karrh1_473913	0.557748	4.439552	0.125632	1238.810732	372.189268	1.380021	4.363684	1950
Karrh1|Karrh1_438302	Karrh1|Karrh1_458354	0.660491	4.006227	0.164866	817.145975	208.854025	1.122332	4.024661	1089
Karrh1|Karrh1_426075	Karrh1|Karrh1_351968	0.606246	4.515262	0.134266	1406.277841	411.722159	1.688967	4.474560	2397
Karrh1|Karrh1_426077	Karrh1|Karrh1_428762	0.538041	99.000000	0.005435	1027.755881	139.244119	1.295171	36.858978	1269
Karrh1|Karrh1_6592	Karrh1|Karrh1_176947	0.537813	2.513452	0.213974	964.078666	241.921334	1.234680	2.802366	1290
Karrh1|Karrh1_426083	Karrh1|Karrh1_435371	0.650303	2.406870	0.270186	887.193664	297.806336	1.705791	3.275256	1329
Karrh1|Karrh1_450469	Karrh1|Karrh1_431923	0.528604	4.174836	0.126617	956.496260	261.503740	1.254309	3.934342	1440
Karrh1|Karrh1_401134	Karrh1|Karrh1_322028	0.390704	3.648350	0.107090	533.398116	129.601884	1.152453	3.082505	681
Karrh1|Karrh1_450473	Karrh1|Karrh1_270164	0.582998	3.680291	0.158411	728.759515	135.240485	0.981466	3.203436	1206
Karrh1|Karrh1_375799	Karrh1|Karrh1_400481	0.753081	3.859236	0.195137	812.317368	171.682632	0.807509	3.885075	1155
Karrh1|Karrh1_426099	Karrh1|Karrh1_458953	0.514225	3.936606	0.130626	736.660680	190.339320	1.625653	3.650810	1191
Karrh1|Karrh1_426102	Karrh1|Karrh1_408354	0.631941	4.327092	0.146043	1200.636645	320.363355	1.407210	4.230715	1605
Karrh1|Karrh1_347068	Karrh1|Karrh1_480913	0.713986	3.717355	0.192068	571.908131	142.091869	1.551770	3.935045	765
Karrh1|Karrh1_426138	Karrh1|Karrh1_456843	0.629627	1.728633	0.364234	864.712498	281.287502	1.877813	2.698140	1389
Karrh1|Karrh1_426141	Karrh1|Karrh1_502746	0.783487	3.201944	0.244691	1194.933919	362.066081	1.198256	4.037632	2271
Karrh1|Karrh1_515645	Karrh1|Karrh1_434054	0.758422	2.294982	0.330470	715.094673	253.905327	1.573680	3.483131	1011
Karrh1|Karrh1_7734	Karrh1|Karrh1_515676	0.942588	2.171057	0.434161	995.262866	336.737134	1.843807	3.759457	1482
Karrh1|Karrh1_450507	Karrh1|Karrh1_212212	0.509647	3.805520	0.133923	614.183395	159.816605	1.469854	3.570550	924
Karrh1|Karrh1_478674	Karrh1|Karrh1_509520	0.807403	1.915910	0.421420	775.496095	259.503905	1.988981	3.256011	1533
Karrh1|Karrh1_426154	Karrh1|Karrh1_508017	0.551778	3.825932	0.144221	531.774036	164.225964	1.758820	3.973012	741
