SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Sissu1|Sissu1_1038854	Sissu1|Sissu1_1048121	0.800935	2.479736	0.322992	1583.992926	558.007074	1.599609	3.714826	6852
Sissu1|Sissu1_1012455	Sissu1|Sissu1_1126867	0.881030	4.524179	0.194738	1236.353505	416.646495	1.362608	5.397909	1908
Sissu1|Sissu1_1123913	Sissu1|Sissu1_1062927	0.748364	3.214322	0.232822	288.688212	95.311788	1.279727	4.081302	426
Sissu1|Sissu1_1038861	Sissu1|Sissu1_977396	0.733758	2.442709	0.300387	514.564835	184.435165	1.555842	3.554024	870
Sissu1|Sissu1_1056735	Sissu1|Sissu1_475139	0.184311	1.808673	0.101904	368.401488	126.598512	1.432170	1.799248	528
Sissu1|Sissu1_1012479	Sissu1|Sissu1_988387	0.800319	2.571922	0.311176	903.673201	308.326799	1.068774	3.753018	1437
Sissu1|Sissu1_2264	Sissu1|Sissu1_1057306	0.646323	2.545457	0.253912	811.162395	304.837605	2.145038	3.495225	1332
Sissu1|Sissu1_1068358	Sissu1|Sissu1_1116947	0.080778	0.262786	0.307390	1222.850878	472.149122	2.867982	0.394430	2211
Sissu1|Sissu1_1056751	Sissu1|Sissu1_1039828	0.658583	2.235697	0.294576	776.521136	252.478864	1.079243	3.136646	1236
Sissu1|Sissu1_984	Sissu1|Sissu1_990077	0.495787	4.616558	0.107393	1538.739770	471.260230	1.031473	4.385802	2184
Sissu1|Sissu1_1068364	Sissu1|Sissu1_1058440	0.498350	4.112968	0.121166	782.202393	240.797607	0.811252	4.047518	1041
Sissu1|Sissu1_976540	Sissu1|Sissu1_1056758	0.388997	4.065215	0.095689	671.056217	225.943783	1.466622	3.944979	1119
Sissu1|Sissu1_1056757	Sissu1|Sissu1_1024439	0.500476	2.148017	0.232994	603.122114	221.877886	1.280827	2.830710	939
Sissu1|Sissu1_1029126	Sissu1|Sissu1_1058637	0.871787	4.364858	0.199729	974.091779	336.908221	0.986111	5.308370	1491
Sissu1|Sissu1_1111605	Sissu1|Sissu1_1028954	0.736279	2.464965	0.298698	618.165884	251.834116	1.941632	3.710017	903
Sissu1|Sissu1_976619	Sissu1|Sissu1_623363	0.651666	4.301092	0.151512	980.552432	309.447568	1.108666	4.581291	1608
Sissu1|Sissu1_6069	Sissu1|Sissu1_1004769	0.514463	2.767613	0.185887	884.415033	321.584967	1.336461	3.345825	1290
Sissu1|Sissu1_1068379	Sissu1|Sissu1_990618	0.412850	1.684050	0.245153	1226.631720	426.368280	1.451043	2.222216	1734
