SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Wolco1|Wolco1_147201	Wolco1|Wolco1_151899	0.180299	1.034254	0.174327	410.811267	135.188733	2.562192	1.175210	1098
Wolco1|Wolco1_147205	Wolco1|Wolco1_147208	0.424309	0.757007	0.560508	256.829010	79.170990	4.834851	1.508106	384
Wolco1|Wolco1_147209	Wolco1|Wolco1_92846	0.204791	0.922896	0.221900	464.936462	117.063538	2.808671	1.047692	3756
Wolco1|Wolco1_86634	Wolco1|Wolco1_116745	0.302444	0.477909	0.632849	648.028282	278.971718	5.877726	1.065747	1617
Wolco1|Wolco1_147217	Wolco1|Wolco1_129696	0.726876	4.743370	0.153240	1916.925170	558.074830	0.919282	4.897603	3429
Wolco1|Wolco1_141574	Wolco1|Wolco1_140844	0.853432	2.044562	0.417416	2204.905214	765.094786	1.353283	3.480830	3720
Wolco1|Wolco1_92873	Wolco1|Wolco1_63236	0.317251	0.700160	0.453111	304.199497	124.800503	4.463824	1.285929	561
Wolco1|Wolco1_134974	Wolco1|Wolco1_137053	0.210226	2.069862	0.101565	1125.294013	365.705987	1.560655	1.999049	1515
Wolco1|Wolco1_134983	Wolco1|Wolco1_57484	0.507710	3.671348	0.138290	454.362469	133.637531	1.153848	3.680175	1122
Wolco1|Wolco1_159900	Wolco1|Wolco1_167993	0.606990	2.141402	0.283454	1303.918770	424.081230	1.464269	2.950684	2010
Wolco1|Wolco1_141591	Wolco1|Wolco1_29205	0.263556	0.502293	0.524706	1203.787574	485.212426	3.306595	0.996419	3087
Wolco1|Wolco1_147245	Wolco1|Wolco1_134989	0.139045	1.669587	0.083281	655.182065	106.817935	4.263391	1.060793	1179
Wolco1|Wolco1_147246	Wolco1|Wolco1_62331	0.000000	0.000000	99.000000	336.524595	71.475405	4.600000	0.000000	1884
Wolco1|Wolco1_21816	Wolco1|Wolco1_166488	0.056735	0.203719	0.278496	350.182461	147.817539	12.821487	0.301089	1146
Wolco1|Wolco1_92911	Wolco1|Wolco1_78503	0.089067	0.150332	0.592467	280.982166	118.017834	6.018243	0.321565	426
Wolco1|Wolco1_61993	Wolco1|Wolco1_133618	0.113481	0.198156	0.572685	248.675505	111.324495	6.820042	0.418997	483
Wolco1|Wolco1_129694	Wolco1|Wolco1_22188	0.768075	4.625659	0.166047	1775.986046	477.013954	1.066191	4.754454	3495
Wolco1|Wolco1_147260	Wolco1|Wolco1_156276	0.066923	0.392691	0.170421	834.805190	293.194810	2.966684	0.454794	1668
Wolco1|Wolco1_21826	Wolco1|Wolco1_25021	0.403540	4.019764	0.100389	1281.341944	212.658056	1.106797	2.754835	1518
Wolco1|Wolco1_58791	Wolco1|Wolco1_56581	0.274711	1.972247	0.139288	444.142910	179.857090	2.037676	2.291988	639
Wolco1|Wolco1_135001	Wolco1|Wolco1_22593	0.769970	2.238592	0.343953	625.863018	196.136982	1.317757	3.361192	888
Wolco1|Wolco1_129708	Wolco1|Wolco1_61873	0.401751	4.270042	0.094086	1026.101795	296.898205	1.220782	3.809535	1608
Wolco1|Wolco1_14618	Wolco1|Wolco1_22794	0.061930	0.295346	0.209687	203.227361	102.772639	8.657555	0.420975	996
Wolco1|Wolco1_135009	Wolco1|Wolco1_110299	0.766312	2.086985	0.367186	975.421888	332.578112	1.165950	3.306337	1752
Wolco1|Wolco1_129713	Wolco1|Wolco1_89285	0.945967	3.924872	0.241019	1459.110054	499.889946	1.170234	5.118337	2331
Wolco1|Wolco1_14624	Wolco1|Wolco1_87526	0.596852	4.951507	0.120539	2485.426239	736.573761	1.361535	4.777077	3879
Wolco1|Wolco1_111333	Wolco1|Wolco1_23335	0.360349	3.632300	0.099207	488.142138	126.857862	1.394158	3.105791	627
Wolco1|Wolco1_62643	Wolco1|Wolco1_159945	0.445902	1.814006	0.245811	4414.613393	1600.386607	1.992175	2.429723	6648
Wolco1|Wolco1_147300	Wolco1|Wolco1_151537	0.035668	0.402902	0.088527	476.751768	195.248232	11.689227	0.427100	969
Wolco1|Wolco1_159946	Wolco1|Wolco1_25961	0.255549	0.414337	0.616767	266.948782	96.051218	3.567118	0.892696	1275
Wolco1|Wolco1_93010	Wolco1|Wolco1_138410	0.097787	0.325907	0.300046	1054.101109	412.898891	3.742195	0.485980	1548
Wolco1|Wolco1_159951	Wolco1|Wolco1_137701	0.695579	1.898372	0.366408	654.398716	239.601284	1.318466	3.053820	1041
Wolco1|Wolco1_61102	Wolco1|Wolco1_136181	0.645855	4.187689	0.154227	966.976288	266.023712	1.104777	4.230052	1878
Wolco1|Wolco1_93027	Wolco1|Wolco1_63536	0.273265	2.273848	0.120177	718.430127	277.569873	1.975400	2.492390	1032
Wolco1|Wolco1_159957	Wolco1|Wolco1_135021	0.211636	4.054022	0.052204	719.403136	222.596864	0.897705	3.358803	1074
Wolco1|Wolco1_159958	Wolco1|Wolco1_135020	0.211417	0.699766	0.302126	227.047139	78.952861	1.909021	1.012257	1755
Wolco1|Wolco1_135023	Wolco1|Wolco1_136238	0.772658	2.656887	0.290813	1211.729701	393.270299	1.406641	3.703042	1908
Wolco1|Wolco1_135025	Wolco1|Wolco1_155430	0.505137	4.326459	0.116755	1142.848092	333.151908	1.669758	4.102973	1776
Wolco1|Wolco1_135027	Wolco1|Wolco1_139648	0.536037	4.220803	0.126999	1059.967664	278.032336	1.303078	3.905161	1401
Wolco1|Wolco1_93047	Wolco1|Wolco1_109831	0.774110	2.202800	0.351421	1099.294540	394.705460	1.596693	3.454683	1563
Wolco1|Wolco1_135029	Wolco1|Wolco1_26996	0.628498	4.057705	0.154890	1045.307420	223.692580	0.940172	3.698940	2484
Wolco1|Wolco1_135030	Wolco1|Wolco1_161440	0.761098	4.308586	0.176647	1460.444755	312.555245	1.077823	4.159412	2847
Wolco1|Wolco1_111386	Wolco1|Wolco1_153818	0.740253	4.108815	0.180162	930.531858	239.468142	1.202158	4.289126	1944
Wolco1|Wolco1_93070	Wolco1|Wolco1_24351	0.583919	4.252984	0.137296	1545.778428	290.221572	1.017649	3.491695	2289
Wolco1|Wolco1_111402	Wolco1|Wolco1_22146	0.587308	99.000000	0.005932	267.343493	59.656507	0.818718	55.623919	366
Wolco1|Wolco1_63138	Wolco1|Wolco1_125781	0.278158	1.842174	0.150994	382.040108	154.959892	3.369463	2.188438	2280
Wolco1|Wolco1_93088	Wolco1|Wolco1_81333	0.519122	1.695624	0.306154	1174.579364	448.420636	1.916496	2.532538	1665
Wolco1|Wolco1_14671	Wolco1|Wolco1_18320	0.754660	3.986539	0.189302	675.557079	203.442921	1.481774	4.508018	1449
Wolco1|Wolco1_21914	Wolco1|Wolco1_135314	0.749538	4.924781	0.152197	2760.212033	710.787967	1.224180	4.813620	5745
Wolco1|Wolco1_135085	Wolco1|Wolco1_25821	0.830140	4.015126	0.206753	901.653054	211.346946	1.432196	4.304805	1290
Wolco1|Wolco1_62392	Wolco1|Wolco1_59932	0.023827	0.495429	0.048093	598.044237	178.955763	4.523763	0.397332	1158
