SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Rambr1|Rambr1_102866	Rambr1|Rambr1_123377	0.465694	1.633138	0.285153	389.530505	138.469495	1.678037	2.315579	777
Rambr1|Rambr1_175991	Rambr1|Rambr1_87641	0.143922	0.154751	0.930025	518.840326	207.159674	3.323058	0.441036	1305
Rambr1|Rambr1_141164	Rambr1|Rambr1_166150	0.002094	0.044211	0.047367	956.378758	117.621242	21.117257	0.020120	1149
Rambr1|Rambr1_174151	Rambr1|Rambr1_23469	0.332274	3.816905	0.087053	833.518111	258.481889	1.733755	3.471311	1362
Rambr1|Rambr1_160040	Rambr1|Rambr1_166304	0.058115	0.073368	0.792104	415.800701	169.199299	1.087745	0.187581	618
Rambr1|Rambr1_160039	Rambr1|Rambr1_163845	0.372045	0.456870	0.814334	239.380120	87.619880	4.027376	1.184321	333
Rambr1|Rambr1_160038	Rambr1|Rambr1_163018	0.841061	4.352924	0.193217	1041.591821	356.408179	1.588903	5.209142	1926
Rambr1|Rambr1_160035	Rambr1|Rambr1_18935	0.268899	2.019333	0.133162	1084.459984	247.540016	2.323875	1.782603	1371
Rambr1|Rambr1_160034	Rambr1|Rambr1_165347	0.496116	3.028604	0.163810	541.945662	169.054338	1.891270	3.294795	729
Rambr1|Rambr1_116755	Rambr1|Rambr1_131713	0.219979	2.028936	0.108421	1758.153119	542.846881	1.613498	1.940232	2817
Rambr1|Rambr1_168496	Rambr1|Rambr1_177016	0.032684	0.109361	0.298863	891.834374	374.165626	3.408102	0.166038	1605
Rambr1|Rambr1_116741	Rambr1|Rambr1_175693	0.393104	1.606678	0.244669	1621.482949	568.517051	1.678533	2.124432	2400
Rambr1|Rambr1_160060	Rambr1|Rambr1_177241	0.794118	2.065633	0.384443	758.902492	258.097508	2.155832	3.350422	1230
Rambr1|Rambr1_160064	Rambr1|Rambr1_162091	0.335853	0.645507	0.520294	1048.070562	454.929438	4.912266	1.288739	1530
