SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Gymci1_1|Gymci1_1_347901	Gymci1_1|Gymci1_1_360276	0.942052	2.940697	0.320350	800.672693	246.327307	0.975869	4.236817	1335
Gymci1_1|Gymci1_1_337600	Gymci1_1|Gymci1_1_350983	0.821449	4.099520	0.200377	762.481336	236.518664	0.918882	4.792650	1269
Gymci1_1|Gymci1_1_276226	Gymci1_1|Gymci1_1_281619	0.846735	5.078316	0.166735	2649.739028	872.260972	1.585057	5.684195	5202
Gymci1_1|Gymci1_1_870	Gymci1_1|Gymci1_1_335621	0.748356	2.740225	0.273100	747.509763	263.490237	1.814470	3.802450	2592
Gymci1_1|Gymci1_1_321	Gymci1_1|Gymci1_1_394805	0.501636	1.624903	0.308717	477.189804	143.810196	1.383181	2.285281	762
Gymci1_1|Gymci1_1_337611	Gymci1_1|Gymci1_1_267695	0.607364	4.133487	0.146938	913.523371	247.476629	1.024143	4.076958	1530
Gymci1_1|Gymci1_1_328914	Gymci1_1|Gymci1_1_357147	0.818814	4.674874	0.175152	1731.634552	509.365448	1.027806	5.085817	2598
Gymci1_1|Gymci1_1_337612	Gymci1_1|Gymci1_1_307434	0.568441	4.319804	0.131589	1218.734589	317.265411	1.353537	4.029888	1977
Gymci1_1|Gymci1_1_364672	Gymci1_1|Gymci1_1_278947	0.941717	4.273826	0.220345	943.600146	298.399854	1.417363	5.226844	1386
Gymci1_1|Gymci1_1_356517	Gymci1_1|Gymci1_1_332842	0.697355	3.509248	0.198719	489.337904	107.662096	1.228629	3.613344	864
Gymci1_1|Gymci1_1_392027	Gymci1_1|Gymci1_1_343815	0.876574	3.319249	0.264088	866.089704	306.910296	1.533676	4.547067	1347
Gymci1_1|Gymci1_1_337634	Gymci1_1|Gymci1_1_337651	0.052548	0.158018	0.332542	562.782468	205.217532	2.234797	0.242192	2160
Gymci1_1|Gymci1_1_337640	Gymci1_1|Gymci1_1_340592	0.656392	4.027848	0.162964	796.037494	214.962506	1.152703	4.119731	1221
Gymci1_1|Gymci1_1_364683	Gymci1_1|Gymci1_1_352625	1.018930	4.762846	0.213933	1944.243170	572.756830	1.166433	5.612634	3018
Gymci1_1|Gymci1_1_294363	Gymci1_1|Gymci1_1_342245	0.934255	1.821934	0.512782	1810.975360	622.024640	1.111179	3.483601	3435
Gymci1_1|Gymci1_1_276198	Gymci1_1|Gymci1_1_397696	0.734175	3.483738	0.210743	1738.541500	556.458500	1.216094	4.202548	3756
Gymci1_1|Gymci1_1_386330	Gymci1_1|Gymci1_1_345906	0.382684	3.395341	0.112709	312.508113	92.491887	1.020813	3.212099	549
Gymci1_1|Gymci1_1_356553	Gymci1_1|Gymci1_1_361176	0.794162	3.819916	0.207900	548.086176	162.913824	1.216980	4.462389	840
Gymci1_1|Gymci1_1_347957	Gymci1_1|Gymci1_1_323089	0.695612	4.540840	0.153190	1448.994272	426.005728	1.341522	4.707779	2100
Gymci1_1|Gymci1_1_1781	Gymci1_1|Gymci1_1_368960	0.613978	4.394697	0.139709	1197.417347	350.582653	1.130624	4.410646	1806
Gymci1_1|Gymci1_1_337668	Gymci1_1|Gymci1_1_237509	0.693173	2.810900	0.246602	465.782593	122.217407	1.156307	3.400045	705
Gymci1_1|Gymci1_1_276443	Gymci1_1|Gymci1_1_339172	0.829666	3.342130	0.248245	2144.620387	645.379613	1.323080	4.232538	3864
Gymci1_1|Gymci1_1_392073	Gymci1_1|Gymci1_1_329125	0.536139	3.873467	0.138413	605.028553	174.971447	0.943110	3.854328	1095
Gymci1_1|Gymci1_1_392078	Gymci1_1|Gymci1_1_343223	0.832422	4.461420	0.186582	1248.798969	383.201031	1.066615	5.053581	2058
Gymci1_1|Gymci1_1_276398	Gymci1_1|Gymci1_1_320929	0.497902	3.874320	0.128513	688.829526	175.170474	1.051412	3.547348	894
Gymci1_1|Gymci1_1_392081	Gymci1_1|Gymci1_1_341941	0.694979	3.506501	0.198197	342.731551	107.268449	1.213489	4.095520	552
Gymci1_1|Gymci1_1_2322	Gymci1_1|Gymci1_1_344898	0.790895	4.690097	0.168631	1625.190264	519.809736	1.378671	5.207431	6201
Gymci1_1|Gymci1_1_337702	Gymci1_1|Gymci1_1_335286	0.854567	4.089437	0.208969	1121.678163	360.321837	1.244033	4.923204	2445
Gymci1_1|Gymci1_1_337713	Gymci1_1|Gymci1_1_283941	0.453378	4.324279	0.104845	982.835884	319.164116	1.196466	4.206800	1425
Gymci1_1|Gymci1_1_337718	Gymci1_1|Gymci1_1_343004	0.528260	4.215691	0.125308	1022.856200	276.143800	1.267612	3.936422	1773
Gymci1_1|Gymci1_1_337728	Gymci1_1|Gymci1_1_337096	0.420870	4.000215	0.105212	821.813238	207.186762	1.231937	3.424690	1323
