SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Botbo1|Botbo1_169351	Botbo1|Botbo1_183068	0.830921	4.285476	0.193892	1022.928582	303.071418	0.946329	4.861490	2364
Botbo1|Botbo1_100419	Botbo1|Botbo1_84132	0.545397	3.801529	0.143468	648.031513	158.968487	1.225748	3.560438	885
Botbo1|Botbo1_50693	Botbo1|Botbo1_124200	0.564869	5.016172	0.112610	2656.101183	802.898817	1.170941	4.794299	3753
Botbo1|Botbo1_26587	Botbo1|Botbo1_35949	0.690252	3.770320	0.183075	1540.580239	538.419761	1.270205	4.463786	2304
Botbo1|Botbo1_124151	Botbo1|Botbo1_124097	0.309568	2.293590	0.134971	795.380506	242.619494	1.503120	2.319925	1062
Botbo1|Botbo1_183365	Botbo1|Botbo1_168489	0.232344	1.657857	0.140147	1174.688876	490.311124	2.841874	1.956392	1824
Botbo1|Botbo1_100196	Botbo1|Botbo1_71564	0.087946	0.481095	0.182803	196.218885	70.781115	5.084289	0.576506	450
Botbo1|Botbo1_183364	Botbo1|Botbo1_634770	0.105483	0.627626	0.168066	1273.550597	502.449403	3.721365	0.759608	3258
Botbo1|Botbo1_169329	Botbo1|Botbo1_171176	0.648912	4.298903	0.150948	876.454083	308.545917	1.402809	4.797850	2145
Botbo1|Botbo1_306604	Botbo1|Botbo1_187064	0.189666	2.609390	0.072686	864.293387	206.706613	1.828998	1.970041	1092
Botbo1|Botbo1_100644	Botbo1|Botbo1_33098	0.914799	4.304291	0.212532	979.229656	310.770344	1.296333	5.194057	1551
Botbo1|Botbo1_169320	Botbo1|Botbo1_146909	0.350028	2.723868	0.128504	626.442837	222.557163	2.466501	2.916921	939
Botbo1|Botbo1_26570	Botbo1|Botbo1_174890	0.610586	3.453836	0.176785	1143.288257	326.711743	1.312858	3.727519	1686
Botbo1|Botbo1_100387	Botbo1|Botbo1_174889	0.261481	2.881817	0.090735	2143.148056	697.851944	1.683809	2.715390	3777
Botbo1|Botbo1_73058	Botbo1|Botbo1_77351	0.033739	0.232359	0.145202	183.029117	71.970883	8.474748	0.269392	255
Botbo1|Botbo1_26556	Botbo1|Botbo1_33610	0.017185	0.063920	0.268858	117.716841	65.283159	4.600000	0.101572	183
Botbo1|Botbo1_100403	Botbo1|Botbo1_183693	0.171000	3.817419	0.044795	629.627624	162.372376	1.539466	2.755720	1059
Botbo1|Botbo1_305912	Botbo1|Botbo1_36716	0.354482	2.511592	0.141138	3390.513059	1247.486941	1.989264	2.804045	4911
Botbo1|Botbo1_101113	Botbo1|Botbo1_38667	0.975858	3.499335	0.278870	1508.870877	474.129123	1.391538	4.737641	2217
Botbo1|Botbo1_151172	Botbo1|Botbo1_69355	0.156250	1.717363	0.090983	1117.768719	352.231281	1.986907	1.590941	1488
Botbo1|Botbo1_26536	Botbo1|Botbo1_45186	0.711048	2.125307	0.334562	1296.903460	440.096540	1.402693	3.208119	1905
Botbo1|Botbo1_26535	Botbo1|Botbo1_28078	0.231179	0.924140	0.250155	197.653715	57.346285	2.566108	1.161051	1506
Botbo1|Botbo1_26530	Botbo1|Botbo1_174639	0.117843	0.333174	0.353699	257.136854	117.863146	14.681599	0.556566	435
Botbo1|Botbo1_124070	Botbo1|Botbo1_34358	0.011595	1.826458	0.006348	738.912758	176.087242	1.773197	1.082569	915
Botbo1|Botbo1_26528	Botbo1|Botbo1_40100	0.194775	0.220312	0.884091	136.247312	40.752688	0.448019	0.601965	198
Botbo1|Botbo1_26527	Botbo1|Botbo1_145791	0.955196	2.951777	0.323600	955.257842	316.742158	1.398127	4.357100	1908
Botbo1|Botbo1_26524	Botbo1|Botbo1_190900	0.131642	4.008057	0.032844	852.635693	209.364307	1.581914	2.687532	1083
Botbo1|Botbo1_183317	Botbo1|Botbo1_621562	0.172511	0.420586	0.410167	1773.369944	677.630056	6.514732	0.723289	2796
Botbo1|Botbo1_169276	Botbo1|Botbo1_137222	0.029790	1.092036	0.027279	1164.902958	332.097042	3.365550	0.796321	1497
Botbo1|Botbo1_217777	Botbo1|Botbo1_61663	0.254610	1.459971	0.174394	186.647065	89.352935	3.436218	1.934510	1326
Botbo1|Botbo1_26496	Botbo1|Botbo1_534736	0.791680	4.557240	0.173719	1283.576141	435.423859	1.481131	5.236497	2124
Botbo1|Botbo1_142112	Botbo1|Botbo1_244370	0.348936	1.201829	0.290338	582.799686	230.200314	2.932340	1.771296	1014
Botbo1|Botbo1_26489	Botbo1|Botbo1_189138	0.450197	1.961360	0.229533	1314.193595	437.806405	2.400961	2.483462	1875
Botbo1|Botbo1_61654	Botbo1|Botbo1_53426	0.295952	1.675501	0.176635	857.975039	216.024961	3.200025	1.720306	1284
Botbo1|Botbo1_26486	Botbo1|Botbo1_26462	0.077989	0.165874	0.470168	958.474564	421.525436	6.854641	0.314501	1383
Botbo1|Botbo1_86616	Botbo1|Botbo1_79398	0.097141	1.490383	0.065178	132.190806	44.809194	3.265579	1.349559	177
Botbo1|Botbo1_217092	Botbo1|Botbo1_572028	0.139447	0.334975	0.416291	579.606701	224.393299	3.790343	0.582053	1236
Botbo1|Botbo1_99930	Botbo1|Botbo1_44441	0.015000	0.168583	0.088977	926.518096	393.481904	7.595311	0.182346	2175
Botbo1|Botbo1_216915	Botbo1|Botbo1_32203	0.102494	0.474492	0.216007	298.041164	103.958836	1.590472	0.596082	654
Botbo1|Botbo1_183279	Botbo1|Botbo1_134622	0.031444	0.529206	0.059417	1047.446031	284.553969	3.053946	0.413341	1332
Botbo1|Botbo1_26468	Botbo1|Botbo1_40686	0.235913	1.420594	0.166066	1325.451769	492.548231	2.172064	1.670630	1854
Botbo1|Botbo1_215864	Botbo1|Botbo1_26438	0.395801	1.370484	0.288804	1236.681710	479.318290	2.445780	2.004157	1776
Botbo1|Botbo1_26440	Botbo1|Botbo1_26439	0.383199	1.215271	0.315320	1217.631275	498.368725	2.956591	1.874560	1758
Botbo1|Botbo1_26431	Botbo1|Botbo1_177705	0.296669	2.668749	0.111164	2249.246315	759.753685	2.003763	2.686812	3348
Botbo1|Botbo1_142069	Botbo1|Botbo1_325577	0.748952	4.173314	0.179462	963.026545	260.973455	1.138890	4.437217	1929
Botbo1|Botbo1_99646	Botbo1|Botbo1_26755	0.283559	3.523115	0.080485	433.328837	109.671163	0.958487	2.813583	546
Botbo1|Botbo1_99254	Botbo1|Botbo1_117241	0.753987	4.100932	0.183857	789.035791	236.964209	1.200387	4.580984	1197
Botbo1|Botbo1_215353	Botbo1|Botbo1_31330	0.468324	4.836184	0.096837	2005.406807	631.593193	1.161189	4.543437	3267
Botbo1|Botbo1_215236	Botbo1|Botbo1_319040	0.018725	0.014683	1.275294	162.223863	68.776137	4.600000	0.052564	231
Botbo1|Botbo1_26413	Botbo1|Botbo1_30246	0.378770	3.482577	0.108761	385.099233	103.900767	1.188489	3.114763	669
Botbo1|Botbo1_169196	Botbo1|Botbo1_169195	0.232749	1.228570	0.189447	1208.161829	498.838171	3.523928	1.571277	1737
Botbo1|Botbo1_214791	Botbo1|Botbo1_58820	0.708724	4.119332	0.172048	915.150383	242.849617	1.495403	4.271936	1617
Botbo1|Botbo1_99974	Botbo1|Botbo1_26230	0.597114	3.189994	0.187183	1057.293133	346.706867	0.945354	3.712217	1563
Botbo1|Botbo1_123884	Botbo1|Botbo1_178757	0.667375	4.084805	0.163380	713.076667	231.923333	1.102666	4.518258	3009
Botbo1|Botbo1_214522	Botbo1|Botbo1_169185	0.073124	0.342144	0.213724	763.470147	355.529853	5.737775	0.475793	4452
Botbo1|Botbo1_214091	Botbo1|Botbo1_26387	0.192653	0.419705	0.459020	588.481771	263.518229	5.482035	0.788636	1797
Botbo1|Botbo1_50518	Botbo1|Botbo1_157682	0.188843	0.755866	0.249836	616.472999	253.527001	4.641413	1.062237	879
Botbo1|Botbo1_214037	Botbo1|Botbo1_36676	0.925560	4.249605	0.217799	1509.095967	485.904033	1.552127	5.205503	3135
Botbo1|Botbo1_50510	Botbo1|Botbo1_169163	0.133903	0.830932	0.161147	1146.946889	431.053111	3.237899	0.972918	1635
Botbo1|Botbo1_26373	Botbo1|Botbo1_55847	0.070798	0.422194	0.167691	1634.946645	660.053355	4.193888	0.515584	2307
Botbo1|Botbo1_213577	Botbo1|Botbo1_40613	0.220948	0.409018	0.540190	530.362412	207.637588	3.822550	0.821584	1218
Botbo1|Botbo1_72253	Botbo1|Botbo1_76011	0.022202	0.118295	0.187683	482.175057	201.824943	16.402948	0.151667	684
Botbo1|Botbo1_93709	Botbo1|Botbo1_85127	0.010198	0.240902	0.042334	296.168551	129.831449	28.773169	0.241529	480
Botbo1|Botbo1_86967	Botbo1|Botbo1_81470	0.095351	0.415091	0.229711	314.992125	126.007875	4.835920	0.560132	447
Botbo1|Botbo1_169156	Botbo1|Botbo1_44666	0.061888	0.241684	0.256070	466.373336	223.626664	13.482245	0.360478	780
Botbo1|Botbo1_61559	Botbo1|Botbo1_181863	0.261666	1.155364	0.226479	1032.570318	419.429682	3.536226	1.559468	1683
Botbo1|Botbo1_26363	Botbo1|Botbo1_58663	0.393425	4.451341	0.088383	1184.914013	378.085987	1.226506	4.125076	1752
Botbo1|Botbo1_61552	Botbo1|Botbo1_84268	0.609418	2.077508	0.293341	498.540342	131.459658	1.756561	2.747277	735
Botbo1|Botbo1_26361	Botbo1|Botbo1_50500	0.375279	3.889770	0.096478	637.183520	178.816480	1.344360	3.436311	1794
Botbo1|Botbo1_169147	Botbo1|Botbo1_183188	0.225304	0.761751	0.295771	760.574222	301.425778	2.959474	1.132688	1134
Botbo1|Botbo1_26357	Botbo1|Botbo1_40103	0.085824	0.169420	0.506579	195.615472	71.384528	2.196691	0.324523	294
Botbo1|Botbo1_183183	Botbo1|Botbo1_33903	0.353029	1.951523	0.180899	1098.817911	419.182089	2.575844	2.383317	1896
Botbo1|Botbo1_619285	Botbo1|Botbo1_150814	0.142272	0.262633	0.541713	531.646484	212.353516	4.095553	0.529877	894
