SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Morco1|Morco1_499281	Morco1|Morco1_503397	0.431931	4.348368	0.099332	1068.418562	329.581438	1.491800	4.065718	1434
Morco1|Morco1_499277	Morco1|Morco1_537288	0.637394	3.966199	0.160707	660.000352	197.999648	1.181823	4.216736	1053
Morco1|Morco1_541692	Morco1|Morco1_553634	0.613017	4.370247	0.140271	1526.662189	339.337811	1.656314	3.888843	2604
Morco1|Morco1_541686	Morco1|Morco1_532811	0.800579	1.657002	0.483149	889.494322	328.505678	1.375807	3.094691	1551
Morco1|Morco1_551333	Morco1|Morco1_487289	0.609332	4.286453	0.142153	998.533793	303.466207	1.474797	4.399152	1845
Morco1|Morco1_480031	Morco1|Morco1_539758	0.888820	1.911106	0.465082	1073.286149	426.713851	1.348951	3.538908	1545
Morco1|Morco1_499208	Morco1|Morco1_486041	0.572121	1.942564	0.294519	1068.546561	407.453439	1.498899	2.851306	1515
Morco1|Morco1_515855	Morco1|Morco1_535468	0.533383	2.276596	0.234290	702.683689	182.316311	1.300219	2.677491	936
Morco1|Morco1_479764	Morco1|Morco1_575829	0.958672	2.307799	0.415405	1217.035520	396.964480	1.657097	3.871472	2049
Morco1|Morco1_473490	Morco1|Morco1_486502	0.688048	4.454910	0.154447	1039.110529	379.889471	1.236478	5.089497	1473
Morco1|Morco1_515843	Morco1|Morco1_554164	0.437695	2.608822	0.167775	872.926102	294.073898	1.499433	2.954401	1239
Morco1|Morco1_561907	Morco1|Morco1_514124	1.010096	2.222545	0.454477	1161.527127	410.472873	1.544909	3.980053	1734
Morco1|Morco1_499160	Morco1|Morco1_522514	0.568463	1.944425	0.292355	642.152028	152.847972	1.049522	2.499023	843
Morco1|Morco1_479697	Morco1|Morco1_534170	0.527180	4.453146	0.118384	1214.002987	378.997013	1.114782	4.383666	1773
Morco1|Morco1_531808	Morco1|Morco1_545041	0.760053	2.348823	0.323589	1037.771170	336.228830	1.609992	3.446514	2676
Morco1|Morco1_479794	Morco1|Morco1_610575	0.613754	4.099130	0.149728	816.604543	236.395457	1.546598	4.188631	1431
Morco1|Morco1_561888	Morco1|Morco1_578505	0.689379	1.891511	0.364460	1505.950904	525.049096	1.786797	3.000454	2343
Morco1|Morco1_561887	Morco1|Morco1_539512	0.759088	1.980485	0.383284	689.251407	231.748593	1.582991	3.199275	1170
Morco1|Morco1_515734	Morco1|Morco1_535830	0.443142	4.003584	0.110686	751.880492	208.119508	1.436227	3.645042	1500
Morco1|Morco1_479945	Morco1|Morco1_537903	0.754302	4.518654	0.166931	1426.485617	442.514383	1.161792	4.936711	3423
Morco1|Morco1_531768	Morco1|Morco1_536193	0.421343	3.387183	0.124393	340.508716	91.491284	1.084453	3.148393	456
Morco1|Morco1_569988	Morco1|Morco1_570835	0.374558	2.629383	0.142451	514.236798	169.763202	1.463890	2.802562	927
Morco1|Morco1_569981	Morco1|Morco1_580442	0.559069	1.605879	0.348139	1488.392294	500.607706	1.394972	2.467615	2364
Morco1|Morco1_551264	Morco1|Morco1_606827	0.590072	4.346922	0.135745	1015.053133	328.946867	1.311092	4.528708	2481
Morco1|Morco1_479056	Morco1|Morco1_549485	0.672439	4.228067	0.159042	1156.261907	280.738093	1.542869	4.101242	1608
Morco1|Morco1_499034	Morco1|Morco1_522432	0.683734	4.682620	0.146015	1792.346646	514.653354	1.401493	4.727458	2778
Morco1|Morco1_479279	Morco1|Morco1_481620	0.659843	4.391665	0.150249	1096.832017	349.167983	1.320859	4.682917	1539
Morco1|Morco1_469904	Morco1|Morco1_519639	0.640448	4.971971	0.128812	444.818771	137.181229	1.352692	4.984249	1287
Morco1|Morco1_479157	Morco1|Morco1_573837	0.418517	4.028569	0.103887	816.830796	215.169204	1.028354	3.513608	1314
Morco1|Morco1_561835	Morco1|Morco1_588003	0.843078	2.652011	0.317901	1918.003671	613.996329	1.285470	3.845203	2856
Morco1|Morco1_479049	Morco1|Morco1_504353	0.633908	4.072719	0.155647	740.784203	228.215797	1.593458	4.331417	1083
Morco1|Morco1_479369	Morco1|Morco1_567499	0.835257	4.449785	0.187707	1191.697930	377.302070	1.213575	5.113360	2088
Morco1|Morco1_531726	Morco1|Morco1_539851	0.122862	0.159905	0.768344	142.402212	64.597788	4.849862	0.403265	231
Morco1|Morco1_569944	Morco1|Morco1_553095	0.663740	2.131769	0.311356	650.442900	192.557100	1.307409	2.997196	918
Morco1|Morco1_569943	Morco1|Morco1_603748	0.572885	4.726756	0.121201	1725.151640	545.848360	1.196171	4.713878	2625
Morco1|Morco1_515647	Morco1|Morco1_577248	0.242749	3.254253	0.074594	742.269837	217.730163	1.601687	2.777294	969
Morco1|Morco1_569941	Morco1|Morco1_567423	0.390618	1.860804	0.209919	447.424344	170.575656	1.110872	2.389222	798
Morco1|Morco1_601995	Morco1|Morco1_524590	0.509457	4.884276	0.104305	2194.581235	673.418765	1.174950	4.610049	3075
Morco1|Morco1_556629	Morco1|Morco1_606493	0.221016	3.960569	0.055804	763.481182	196.518818	0.759100	2.959588	981
Morco1|Morco1_551237	Morco1|Morco1_483035	0.528133	4.641545	0.113784	1561.774670	487.225330	1.532049	4.518745	2235
Morco1|Morco1_556627	Morco1|Morco1_555887	0.563597	1.770372	0.318350	807.173366	254.826634	1.637139	2.559488	1197
Morco1|Morco1_479649	Morco1|Morco1_495082	0.903662	5.095914	0.177331	3004.030971	892.969029	1.497016	5.592858	4518
Morco1|Morco1_498969	Morco1|Morco1_513285	0.552130	4.779167	0.115529	1934.642194	585.357806	1.306519	4.602020	2619
Morco1|Morco1_569930	Morco1|Morco1_569193	0.761496	2.628811	0.289673	1269.920318	365.079682	1.328869	3.535348	1971
Morco1|Morco1_582047	Morco1|Morco1_553743	0.729170	3.776746	0.193068	810.259759	284.740241	1.405912	4.564956	1269
Morco1|Morco1_515603	Morco1|Morco1_519139	0.541278	2.340410	0.231275	6817.286492	2377.713508	1.884571	3.019533	9717
Morco1|Morco1_551218	Morco1|Morco1_573163	0.639282	4.394667	0.145468	1203.431629	350.568371	1.275180	4.459388	1809
Morco1|Morco1_556602	Morco1|Morco1_318755	0.591882	3.533541	0.167504	338.793642	111.206358	1.330523	3.956520	579
Morco1|Morco1_556601	Morco1|Morco1_533960	0.963307	2.148714	0.448318	640.013728	223.986272	1.514194	3.811847	960
Morco1|Morco1_569887	Morco1|Morco1_579748	0.040328	0.063778	0.632319	152.982478	66.017522	3.205253	0.142190	777
Morco1|Morco1_531675	Morco1|Morco1_554274	0.834674	4.164770	0.200413	923.982681	258.017319	1.140757	4.684790	1431
Morco1|Morco1_556586	Morco1|Morco1_204261	0.648780	4.473877	0.145015	2082.381043	389.618957	1.553057	3.754993	2853
Morco1|Morco1_541493	Morco1|Morco1_484425	1.010382	1.919767	0.526305	1176.162072	431.837928	1.382480	3.763809	1746
Morco1|Morco1_498842	Morco1|Morco1_556177	0.631097	4.214513	0.149744	939.289531	275.710469	1.374010	4.332761	1353
Morco1|Morco1_479527	Morco1|Morco1_575358	0.851149	2.087036	0.407827	338.092122	135.907878	2.250866	3.616529	543
Morco1|Morco1_498822	Morco1|Morco1_526343	0.728355	3.922444	0.185689	992.221094	186.778906	1.228967	3.703102	1491
Morco1|Morco1_515476	Morco1|Morco1_516292	0.618519	4.737623	0.130555	1711.185125	553.814875	1.360416	4.877042	2715
Morco1|Morco1_531642	Morco1|Morco1_537350	0.968800	1.551733	0.624334	1133.047260	369.952740	1.734250	3.336854	1734
Morco1|Morco1_9106	Morco1|Morco1_536395	0.814073	3.940625	0.206585	675.638142	191.361858	0.779588	4.512470	1002
Morco1|Morco1_569839	Morco1|Morco1_536042	0.895661	4.004987	0.223637	703.490879	208.509121	1.055851	4.819625	1359
Morco1|Morco1_498764	Morco1|Morco1_496457	0.301249	1.601461	0.188109	392.329931	150.670069	2.195045	1.986084	558
Morco1|Morco1_531611	Morco1|Morco1_540014	0.071272	4.030377	0.017684	864.311453	215.688547	1.144495	2.585853	1080
Morco1|Morco1_7756	Morco1|Morco1_573519	0.903057	2.435154	0.370842	825.974952	272.025048	1.233124	3.847884	1221
Morco1|Morco1_515413	Morco1|Morco1_505763	0.632924	4.484397	0.141139	1257.877409	395.122591	1.113979	4.660668	1728
Morco1|Morco1_7721	Morco1|Morco1_386258	0.504765	3.721094	0.135650	550.198037	142.801963	1.355572	3.502598	909
Morco1|Morco1_556546	Morco1|Morco1_493969	0.723371	2.196086	0.329391	1651.500080	553.499920	1.720751	3.279157	2976
Morco1|Morco1_479387	Morco1|Morco1_481191	0.203406	3.988755	0.050995	668.955166	204.044834	1.262149	3.264447	996
Morco1|Morco1_479621	Morco1|Morco1_505533	0.736024	1.837735	0.400506	1076.225553	252.774447	1.063093	2.836705	1782
Morco1|Morco1_7313	Morco1|Morco1_536229	0.517230	4.617526	0.112014	1583.131228	471.868772	1.138567	4.376217	2445
Morco1|Morco1_551143	Morco1|Morco1_540022	0.147506	1.326802	0.111174	526.092003	211.907997	11.662789	1.458381	741
Morco1|Morco1_531589	Morco1|Morco1_266443	0.970034	4.188806	0.231578	876.579704	266.420296	1.214968	5.160880	1503
Morco1|Morco1_479356	Morco1|Morco1_607867	0.752265	4.116089	0.182762	742.198077	241.801923	1.368673	4.736610	2865
Morco1|Morco1_479020	Morco1|Morco1_489887	0.530526	3.769820	0.140730	456.612510	152.387490	1.258957	4.023242	666
Morco1|Morco1_515319	Morco1|Morco1_488427	0.606481	4.383625	0.138351	1109.554857	345.445143	1.383657	4.509743	1968
Morco1|Morco1_551123	Morco1|Morco1_464617	0.667675	4.082760	0.163535	773.708201	231.291799	1.667423	4.360879	1074
Morco1|Morco1_479497	Morco1|Morco1_484929	0.763731	1.646033	0.463983	766.911890	280.088110	1.893258	2.999281	1743
Morco1|Morco1_4598	Morco1|Morco1_416054	0.846584	2.562938	0.330318	427.372270	154.627730	2.066922	3.907772	666
Morco1|Morco1_498600	Morco1|Morco1_563188	0.688823	4.439843	0.155146	1205.666423	372.333577	1.200252	4.721660	1680
Morco1|Morco1_569736	Morco1|Morco1_494130	0.521974	4.374587	0.119320	1434.693076	341.306924	1.132314	3.787077	2199
Morco1|Morco1_531549	Morco1|Morco1_566696	0.407776	4.383337	0.093029	1067.687485	345.312515	1.579180	4.138001	1503
Morco1|Morco1_601788	Morco1|Morco1_531531	0.724640	3.776415	0.191886	707.266595	153.733405	1.117192	3.808623	1311
Morco1|Morco1_581420	Morco1|Morco1_485301	0.420219	1.803137	0.233049	644.807965	243.192035	1.816516	2.396855	1314
Morco1|Morco1_531510	Morco1|Morco1_518331	0.882232	2.064883	0.427255	2260.269102	757.730898	1.215017	3.537483	3291
Morco1|Morco1_561625	Morco1|Morco1_606350	0.642025	1.886869	0.340260	869.069078	243.930922	1.917673	2.744555	1215
Morco1|Morco1_556467	Morco1|Morco1_517440	0.652642	2.091304	0.312074	647.241583	213.758417	1.476904	3.029445	870
Morco1|Morco1_569684	Morco1|Morco1_525474	0.344307	3.689829	0.093312	590.770189	153.229811	1.239890	3.099992	1098
Morco1|Morco1_556464	Morco1|Morco1_570223	0.465436	1.526073	0.304989	866.587881	309.412119	1.733638	2.233487	1212
Morco1|Morco1_551065	Morco1|Morco1_512792	0.712429	4.965957	0.143463	2270.097692	750.902308	1.356427	5.309068	3642
Morco1|Morco1_531493	Morco1|Morco1_533475	0.656534	4.184214	0.156907	851.205906	264.794094	1.381687	4.480648	1557
Morco1|Morco1_561610	Morco1|Morco1_579971	1.057494	2.094959	0.504781	2449.175768	931.824232	1.712085	4.030278	4347
Morco1|Morco1_459433	Morco1|Morco1_462783	0.453819	1.604171	0.282899	310.747297	100.252703	1.567779	2.203252	450
Morco1|Morco1_556456	Morco1|Morco1_577198	0.449595	1.755869	0.256053	203.156439	84.843561	2.932882	2.503254	300
Morco1|Morco1_478967	Morco1|Morco1_495830	0.538501	4.175715	0.128960	923.189855	261.810145	1.459111	4.026287	1389
Morco1|Morco1_479132	Morco1|Morco1_589506	0.395112	4.589127	0.086098	447.370345	134.629655	1.416358	4.095846	693
Morco1|Morco1_531891	Morco1|Morco1_183524	0.538470	3.083066	0.174654	278.007288	60.992712	1.781153	2.988878	378
Morco1|Morco1_551361	Morco1|Morco1_530230	0.683044	4.041037	0.169027	831.223782	218.776218	1.002744	4.148130	1236
Morco1|Morco1_479711	Morco1|Morco1_531985	0.455479	2.297850	0.198220	1039.348642	382.651358	1.643811	2.853750	1464
Morco1|Morco1_480170	Morco1|Morco1_577419	0.302766	4.419788	0.068502	1185.490512	362.509488	1.565849	3.800661	1809
Morco1|Morco1_457482	Morco1|Morco1_484967	0.126392	3.370442	0.037500	568.787919	148.212081	2.005588	2.390922	807
Morco1|Morco1_516006	Morco1|Morco1_491347	0.250774	4.600837	0.054506	1485.514831	461.485169	1.459516	3.845526	2046
Morco1|Morco1_561990	Morco1|Morco1_500503	0.539667	2.727049	0.197894	910.515628	313.484372	1.384134	3.299664	1290
Morco1|Morco1_602184	Morco1|Morco1_147276	0.753427	4.436415	0.169828	859.720609	268.279391	1.139930	4.888126	1611
Morco1|Morco1_602193	Morco1|Morco1_562243	0.478938	3.798445	0.126088	543.683853	158.316147	1.267823	3.682676	861
Morco1|Morco1_479868	Morco1|Morco1_496415	0.687813	4.454511	0.154408	1456.312867	379.687133	1.584454	4.400312	2067
