SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Tste|TSTE_04412-R0	Tste|TSTE_00876-R0	0.457950	1.380290	0.331778	912.333364	203.666636	1.493499	1.878824	1155
Tste|TSTE_04417-R0	Tste|TSTE_02973-R0	0.665408	4.705960	0.141397	1956.078653	530.921347	1.279556	4.583938	3009
Tste|TSTE_04435-R0	Tste|TSTE_03006-R0	0.997974	4.277515	0.233307	942.128780	299.871220	1.398473	5.369381	1668
Tste|TSTE_04438-R0	Tste|TSTE_00524-R0	0.828898	1.957269	0.423497	1534.577000	460.423000	1.938412	3.267939	2250
Tste|TSTE_04439-R0	Tste|TSTE_06041-R0	0.714405	3.853669	0.185383	609.586816	170.413184	1.533587	4.200800	1038
Tste|TSTE_04456-R0	Tste|TSTE_05872-R0	0.344075	2.141631	0.160660	505.399785	133.600215	1.977422	2.159707	1260
Tste|TSTE_04451-R0	Tste|TSTE_05072-R0	0.061955	0.113675	0.545021	708.229456	248.770544	1.441723	0.226200	1035
Tste|TSTE_04447-R0	Tste|TSTE_00916-R0	0.952497	2.988548	0.318716	1712.167427	498.832573	1.224512	4.235575	3012
Tste|TSTE_04422-R0	Tste|TSTE_05304-R0	0.732035	4.242712	0.172539	976.726104	286.273896	1.176964	4.583314	1404
Tste|TSTE_04426-R0	Tste|TSTE_04937-R0	0.886481	4.195443	0.211296	958.211563	268.788437	1.144866	4.834043	1377
Tste|TSTE_04453-R0	Tste|TSTE_02047-R0	0.175277	2.896355	0.060516	207.448849	47.551151	0.970726	2.048070	1314
Tste|TSTE_04455-R0	Tste|TSTE_06751-R0	0.430008	3.148577	0.136572	223.123901	82.876099	2.203948	3.498890	435
Tste|TSTE_06885-R0	Tste|TSTE_06883-R0	0.303838	0.900097	0.337562	470.899452	174.100548	2.923215	1.394346	3426
Tste|TSTE_06884-R0	Tste|TSTE_04155-R0	0.043679	0.039027	1.119200	260.731178	105.268822	5.637241	0.127024	1179
Tste|TSTE_06880-R0	Tste|TSTE_05005-R0	0.161404	0.308352	0.523440	133.275042	46.724958	2.705279	0.598647	414
Tste|TSTE_06451-R0	Tste|TSTE_06449-R0	0.890536	4.052273	0.219762	725.921558	222.078442	1.340535	4.893613	1392
Tste|TSTE_06443-R0	Tste|TSTE_05990-R0	0.328154	0.975105	0.336532	749.524210	204.475790	1.789244	1.400456	1062
Tste|TSTE_06388-R0	Tste|TSTE_00405-R0	0.441552	3.729808	0.118385	1516.392975	343.607025	1.393753	3.147025	2088
Tste|TSTE_06380-R0	Tste|TSTE_02436-R0	1.039562	3.157210	0.329266	1458.996337	494.003663	1.112678	4.725639	2466
Tste|TSTE_06377-R0	Tste|TSTE_02791-R0	0.456324	3.341847	0.136548	342.875333	86.124667	1.286877	3.106837	1473
Tste|TSTE_04579-R0	Tste|TSTE_02824-R0	0.546246	4.741091	0.115215	2023.618044	556.381956	1.204824	4.352618	3321
Tste|TSTE_04587-R0	Tste|TSTE_01050-R0	0.640790	3.716843	0.172402	1574.345031	471.654969	1.415229	4.049695	2385
Tste|TSTE_04590-R0	Tste|TSTE_05892-R0	0.823121	4.281078	0.192270	1219.700853	301.299147	1.044824	4.524353	1557
