SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Rhyru1_1|Rhyru1_1_121233	Rhyru1_1|Rhyru1_1_111719	0.441463	5.146533	0.085779	2797.681749	955.318251	1.398420	4.917387	3990
Rhyru1_1|Rhyru1_1_121232	Rhyru1_1|Rhyru1_1_118218	0.644484	4.456998	0.144600	1173.051504	380.948496	1.138488	4.737257	1668
Rhyru1_1|Rhyru1_1_121230	Rhyru1_1|Rhyru1_1_117690	0.316869	4.129474	0.076734	776.843958	246.156042	1.254444	3.702795	2148
Rhyru1_1|Rhyru1_1_121229	Rhyru1_1|Rhyru1_1_117815	0.519211	4.427336	0.117274	1214.823970	366.176030	1.175235	4.273120	2583
Rhyru1_1|Rhyru1_1_121228	Rhyru1_1|Rhyru1_1_116225	0.861538	4.345644	0.198253	1006.613168	328.386832	1.641135	5.155704	1602
Rhyru1_1|Rhyru1_1_121224	Rhyru1_1|Rhyru1_1_116993	0.601374	4.119584	0.145979	774.068839	242.931161	0.866985	4.325309	1350
Rhyru1_1|Rhyru1_1_121222	Rhyru1_1|Rhyru1_1_116647	0.779706	4.743894	0.164360	1691.534843	558.465157	1.362046	5.290932	2586
Rhyru1_1|Rhyru1_1_121217	Rhyru1_1|Rhyru1_1_115662	0.965883	1.977989	0.488315	1012.366677	325.633323	1.719983	3.636607	1665
Rhyru1_1|Rhyru1_1_121216	Rhyru1_1|Rhyru1_1_113782	0.675173	2.056479	0.328315	1562.539875	486.460125	1.349304	3.009340	7086
Rhyru1_1|Rhyru1_1_121215	Rhyru1_1|Rhyru1_1_111750	0.875941	1.799318	0.486818	997.466466	370.533534	2.821303	3.378134	2049
Rhyru1_1|Rhyru1_1_121212	Rhyru1_1|Rhyru1_1_119550	0.586780	4.321015	0.135797	984.222063	317.777937	1.262781	4.494573	1956
Rhyru1_1|Rhyru1_1_121209	Rhyru1_1|Rhyru1_1_110982	0.677047	3.984004	0.169941	613.243493	202.756507	1.476156	4.496241	900
Rhyru1_1|Rhyru1_1_121208	Rhyru1_1|Rhyru1_1_119190	0.611506	2.431377	0.251506	833.461207	306.538793	1.614712	3.302572	1563
