SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Didex1|Didex1_34256	Didex1|Didex1_380498	0.095923	0.343585	0.279182	112.935266	37.064734	13.869692	0.471359	333
Didex1|Didex1_51470	Didex1|Didex1_105105	0.282903	0.378341	0.747746	323.301641	132.698359	5.400105	0.932028	2313
Didex1|Didex1_388184	Didex1|Didex1_72786	0.099783	0.175643	0.568104	198.176388	68.823612	2.935110	0.358012	429
Didex1|Didex1_415018	Didex1|Didex1_417610	0.596651	3.916729	0.152334	798.639094	185.360906	0.961061	3.666211	1062
Didex1|Didex1_168	Didex1|Didex1_422795	0.428648	3.367143	0.127303	1925.160583	648.839417	1.785231	3.508102	2724
Didex1|Didex1_50824	Didex1|Didex1_98292	0.339325	3.787264	0.089596	471.026612	155.973388	2.702159	3.591118	1758
Didex1|Didex1_169	Didex1|Didex1_4361	0.676999	4.379641	0.154579	1465.385400	343.614600	1.519762	4.140917	3927
Didex1|Didex1_106268	Didex1|Didex1_421329	0.480501	3.411089	0.140864	517.545444	94.454556	1.626944	2.798403	663
Didex1|Didex1_415030	Didex1|Didex1_426921	0.703063	4.474677	0.157120	1319.965385	390.034615	1.322776	4.689996	1884
Didex1|Didex1_50545	Didex1|Didex1_78098	0.452689	2.831138	0.159896	998.069982	306.930018	1.276849	3.036268	1485
Didex1|Didex1_97050	Didex1|Didex1_58039	0.640255	4.806328	0.133211	2267.055450	606.944550	1.309547	4.560196	3126
Didex1|Didex1_178	Didex1|Didex1_395464	0.345010	3.999430	0.086265	897.030001	206.969999	1.140291	3.090342	1317
Didex1|Didex1_415044	Didex1|Didex1_94312	0.610419	3.720409	0.164073	676.328368	142.671632	1.736646	3.456559	1089
Didex1|Didex1_388268	Didex1|Didex1_54604	0.219626	2.977793	0.073755	908.686363	246.313637	0.828412	2.423486	1179
Didex1|Didex1_50277	Didex1|Didex1_67935	0.698027	4.423890	0.157786	1246.502265	364.497735	1.319816	4.623074	1827
Didex1|Didex1_50165	Didex1|Didex1_57417	0.631532	4.198883	0.150405	953.976025	270.023975	1.041188	4.255553	1314
Didex1|Didex1_415053	Didex1|Didex1_426229	0.377040	3.454293	0.109151	442.944656	100.055344	1.407959	2.832202	561
Didex1|Didex1_415055	Didex1|Didex1_411359	0.267144	1.761474	0.151659	131.108668	48.891332	4.513642	2.019095	594
Didex1|Didex1_50754	Didex1|Didex1_422250	0.935029	3.230056	0.289478	1962.341930	650.658070	1.485694	4.519527	4824
Didex1|Didex1_97082	Didex1|Didex1_98302	0.812715	4.233892	0.191954	980.072731	282.927269	1.137518	4.737299	1518
Didex1|Didex1_212	Didex1|Didex1_10404	0.660024	2.161668	0.305331	453.639783	137.360217	1.296409	3.027109	792
Didex1|Didex1_97085	Didex1|Didex1_424677	0.767074	3.726828	0.205825	789.102031	143.897969	1.305704	3.670683	1077
Didex1|Didex1_51086	Didex1|Didex1_420538	0.779469	2.520072	0.309304	1235.902522	393.097478	1.870567	3.598492	1893
Didex1|Didex1_415086	Didex1|Didex1_397293	0.744719	4.308491	0.172849	1229.484178	312.515822	1.462974	4.400957	1845
Didex1|Didex1_225	Didex1|Didex1_420595	0.477360	4.383345	0.108903	1136.684042	345.315958	1.420586	4.162443	1515
Didex1|Didex1_415097	Didex1|Didex1_417425	0.854695	3.548209	0.240881	2164.302630	658.697370	1.269434	4.449537	4434
Didex1|Didex1_97098	Didex1|Didex1_423325	0.400694	3.729373	0.107443	749.612938	144.387062	1.087539	2.814895	984
Didex1|Didex1_50290	Didex1|Didex1_50444	0.740161	3.538541	0.209171	824.866764	276.133236	1.484848	4.326003	1656
Didex1|Didex1_388394	Didex1|Didex1_415421	0.748829	2.947444	0.254060	679.886443	181.113557	1.329920	3.633940	990
Didex1|Didex1_97104	Didex1|Didex1_7668	0.563062	4.389269	0.128282	1202.945872	348.054128	1.680484	4.265061	1698
Didex1|Didex1_51401	Didex1|Didex1_10635	0.611991	4.576055	0.133738	1443.514677	446.485323	1.453155	4.645332	2103
Didex1|Didex1_415108	Didex1|Didex1_415214	0.714868	4.185377	0.170801	931.795067	265.204933	1.242957	4.451362	1344
Didex1|Didex1_415119	Didex1|Didex1_98207	0.508251	4.801952	0.105843	2189.586367	603.413633	1.232077	4.307651	3000
Didex1|Didex1_50972	Didex1|Didex1_4317	0.514719	4.336314	0.118700	1337.673223	324.326777	1.223918	3.781424	2130
Didex1|Didex1_415122	Didex1|Didex1_416005	0.374157	4.161724	0.089904	1171.028593	256.971407	1.114987	3.167210	1665
Didex1|Didex1_415125	Didex1|Didex1_57690	0.738954	2.390793	0.309083	825.044262	278.955738	2.031705	3.469009	1443
Didex1|Didex1_415127	Didex1|Didex1_421820	0.815178	4.332782	0.188142	1210.196833	322.803167	1.276886	4.667635	1923
Didex1|Didex1_415130	Didex1|Didex1_422715	0.671760	1.834260	0.366229	1174.393943	391.606057	1.650041	2.887391	1650
Didex1|Didex1_97127	Didex1|Didex1_425240	0.484577	4.279598	0.113229	1061.294784	300.705216	1.561489	3.967348	1629
Didex1|Didex1_415134	Didex1|Didex1_71960	0.812404	2.890663	0.281044	1539.732010	521.267990	1.505998	4.014110	2706
Didex1|Didex1_97129	Didex1|Didex1_420829	0.808124	4.716331	0.171346	1876.686262	538.313738	1.202389	5.037841	4923
Didex1|Didex1_273	Didex1|Didex1_181130	0.511174	4.139154	0.123497	941.646463	249.353537	1.206965	3.812236	1284
Didex1|Didex1_51141	Didex1|Didex1_75756	0.857421	3.845529	0.222966	1058.166359	327.833641	1.096381	4.692613	1503
Didex1|Didex1_277	Didex1|Didex1_420649	0.384033	3.747243	0.102484	911.131372	147.868628	1.001117	2.560918	1353
Didex1|Didex1_97147	Didex1|Didex1_60072	0.491368	4.421206	0.111139	1196.804678	363.195322	1.391165	4.218908	1686
Didex1|Didex1_109794	Didex1|Didex1_53923	0.863798	4.442207	0.194452	1198.490777	373.509223	1.142026	5.142098	1746
Didex1|Didex1_415170	Didex1|Didex1_5666	0.694457	4.273686	0.162496	1084.655928	298.344072	1.117431	4.399730	1812
Didex1|Didex1_415182	Didex1|Didex1_418153	0.499345	2.670205	0.187006	625.163533	181.836467	1.151652	2.965476	960
Didex1|Didex1_307	Didex1|Didex1_3327	0.619683	4.519238	0.137121	1425.089087	413.910913	1.218051	4.492113	2091
Didex1|Didex1_88192	Didex1|Didex1_54874	0.592818	4.049374	0.146397	669.778380	221.221620	1.558470	4.353082	1809
Didex1|Didex1_97166	Didex1|Didex1_419574	0.772009	2.217476	0.348148	2158.614306	646.385694	1.493699	3.315310	3438
Didex1|Didex1_51207	Didex1|Didex1_52819	0.514433	4.176232	0.123181	953.009153	261.990847	0.972308	3.912083	1320
Didex1|Didex1_110378	Didex1|Didex1_425603	0.485701	2.083211	0.233150	391.487448	106.512552	2.703657	2.482131	516
Didex1|Didex1_110686	Didex1|Didex1_92546	0.428829	3.462329	0.123856	477.866770	101.133230	1.290106	2.876061	600
Didex1|Didex1_337	Didex1|Didex1_92725	0.696269	2.697170	0.258148	730.931131	205.068869	1.370900	3.403944	1029
Didex1|Didex1_415223	Didex1|Didex1_4246	0.778955	3.676905	0.211851	513.368686	134.631314	1.036959	4.143137	729
Didex1|Didex1_415227	Didex1|Didex1_417655	0.600553	3.989180	0.150546	977.839523	204.160477	1.372304	3.557557	1287
Didex1|Didex1_50338	Didex1|Didex1_74737	0.623486	1.843200	0.338263	726.670619	263.329381	1.731361	2.843750	1062
