SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Bysci1|Bysci1_530568	Bysci1|Bysci1_246601	0.544107	2.888684	0.188358	2777.308198	900.691802	1.355967	3.354786	3990
Bysci1|Bysci1_11871	Bysci1|Bysci1_484957	0.617120	2.093192	0.294823	1343.227430	450.772570	1.481211	2.964024	2460
Bysci1|Bysci1_460697	Bysci1|Bysci1_491304	0.672034	4.098998	0.163951	732.646046	236.353954	1.874046	4.523768	1107
Bysci1|Bysci1_521686	Bysci1|Bysci1_517544	0.659380	4.326541	0.152403	1260.871794	320.128206	1.318255	4.205771	1902
Bysci1|Bysci1_487098	Bysci1|Bysci1_400263	0.728560	1.317605	0.552943	911.343718	309.656282	1.311102	2.633841	1593
Bysci1|Bysci1_460676	Bysci1|Bysci1_498006	0.342638	4.149963	0.082564	890.026854	252.973146	1.061922	3.555870	1248
Bysci1|Bysci1_557608	Bysci1|Bysci1_426753	0.050088	0.043219	1.158945	288.944177	119.055823	4.600000	0.144251	546
Bysci1|Bysci1_397792	Bysci1|Bysci1_557765	0.419926	2.780218	0.151041	412.195462	127.804538	1.602981	2.935645	1374
Bysci1|Bysci1_487086	Bysci1|Bysci1_529084	0.442371	4.327694	0.102219	1074.379362	320.620638	1.452104	4.006070	1614
Bysci1|Bysci1_460657	Bysci1|Bysci1_95394	0.601852	4.047251	0.148706	961.403642	220.596358	1.146569	3.734599	1281
Bysci1|Bysci1_487083	Bysci1|Bysci1_433608	0.754185	2.469967	0.305342	750.021205	212.978795	1.100596	3.400952	1080
Bysci1|Bysci1_530540	Bysci1|Bysci1_476778	0.867847	4.778986	0.181597	1988.783974	585.216026	1.265859	5.271212	3474
Bysci1|Bysci1_487077	Bysci1|Bysci1_473309	0.707872	1.720267	0.411490	505.321084	136.678916	1.399628	2.770219	744
Bysci1|Bysci1_557597	Bysci1|Bysci1_543404	0.648120	1.643549	0.394342	544.007415	160.992585	1.239510	2.626304	822
Bysci1|Bysci1_10869	Bysci1|Bysci1_522149	0.444586	4.267544	0.104178	1048.088825	295.911175	1.130141	3.858883	1560
Bysci1|Bysci1_460610	Bysci1|Bysci1_454627	0.513307	4.365132	0.117593	1291.968750	337.031250	1.308630	3.930686	1740
Bysci1|Bysci1_511979	Bysci1|Bysci1_281252	0.822332	6.966834	0.118035	1215.297315	389.702685	1.217384	6.942751	1791
Bysci1|Bysci1_394914	Bysci1|Bysci1_497803	0.637257	4.124883	0.154491	478.628028	145.371972	1.345378	4.349287	744
Bysci1|Bysci1_460576	Bysci1|Bysci1_465049	0.592547	5.161190	0.114808	1601.040287	501.959713	1.385106	5.049074	2274
Bysci1|Bysci1_396793	Bysci1|Bysci1_457287	0.611425	4.356714	0.140341	1298.730271	333.269729	1.178922	4.128746	2775
Bysci1|Bysci1_588069	Bysci1|Bysci1_513278	0.425215	4.174576	0.101858	911.587209	261.412791	1.183613	3.782373	1260
Bysci1|Bysci1_511991	Bysci1|Bysci1_116111	0.638361	4.334397	0.147278	1044.501188	323.498812	1.062238	4.537151	1722
Bysci1|Bysci1_487041	Bysci1|Bysci1_526853	0.477733	2.071981	0.230568	1330.003040	439.996960	0.973145	2.622122	2004
Bysci1|Bysci1_397419	Bysci1|Bysci1_451052	0.951912	2.958285	0.321778	799.152933	238.847067	1.334621	4.240755	1305
Bysci1|Bysci1_433400	Bysci1|Bysci1_490805	0.609910	4.044415	0.150803	818.236241	219.763759	1.047568	4.011173	1974
Bysci1|Bysci1_10178	Bysci1|Bysci1_488864	0.715553	2.202895	0.324824	1801.048802	520.951198	1.165085	3.147734	3561
Bysci1|Bysci1_487026	Bysci1|Bysci1_493497	0.690269	4.340805	0.159019	1224.725306	326.274694	1.236628	4.374631	1848
Bysci1|Bysci1_487022	Bysci1|Bysci1_494676	0.728141	4.216654	0.172682	694.995558	247.004442	1.516770	4.928621	1530
Bysci1|Bysci1_487020	Bysci1|Bysci1_488879	0.664496	4.597040	0.144549	1688.845798	459.154202	1.300338	4.515338	2592
Bysci1|Bysci1_588044	Bysci1|Bysci1_490862	0.778980	2.076339	0.375170	839.455320	270.544680	1.547313	3.285571	1152
Bysci1|Bysci1_460473	Bysci1|Bysci1_497206	0.291815	2.813690	0.103712	206.411398	42.588602	0.890301	2.169457	1650
Bysci1|Bysci1_9156	Bysci1|Bysci1_98902	1.119371	1.907966	0.586683	450.301300	185.698700	2.844919	4.048872	1386
Bysci1|Bysci1_588028	Bysci1|Bysci1_34135	0.343815	2.720703	0.126370	693.055001	206.944999	1.553251	2.671063	1020
Bysci1|Bysci1_530478	Bysci1|Bysci1_448034	0.682268	4.559625	0.149632	1351.189237	436.810763	1.076820	4.888534	1911
Bysci1|Bysci1_433328	Bysci1|Bysci1_491888	0.917954	2.777202	0.330532	763.946677	241.053323	1.461831	4.091706	1143
Bysci1|Bysci1_8610	Bysci1|Bysci1_156287	0.633334	1.785279	0.354754	1817.691281	696.308719	1.718801	2.857174	3318
Bysci1|Bysci1_588017	Bysci1|Bysci1_487131	0.459544	4.119040	0.111566	774.244961	242.755039	1.363555	3.999166	1041
Bysci1|Bysci1_486994	Bysci1|Bysci1_110196	0.751084	4.016191	0.187014	685.352624	211.647376	1.318205	4.564461	1092
Bysci1|Bysci1_521604	Bysci1|Bysci1_407055	0.698375	4.091853	0.170674	899.886975	234.113025	1.071943	4.196864	1395
Bysci1|Bysci1_370819	Bysci1|Bysci1_541553	0.610904	3.404228	0.179454	380.405584	93.594416	1.006562	3.487391	2019
Bysci1|Bysci1_460420	Bysci1|Bysci1_541506	0.570779	1.515522	0.376622	570.770979	167.229021	1.242803	2.354566	852
Bysci1|Bysci1_8418	Bysci1|Bysci1_417834	0.175878	1.877593	0.093672	599.911968	183.088032	1.623871	1.721363	939
Bysci1|Bysci1_486985	Bysci1|Bysci1_580249	0.872687	4.718821	0.184938	1892.896231	540.103769	1.219924	5.179481	3783
Bysci1|Bysci1_460408	Bysci1|Bysci1_541757	0.832188	4.479862	0.185762	1239.259472	392.740528	1.908356	5.130001	2034
Bysci1|Bysci1_511920	Bysci1|Bysci1_528648	0.723716	4.127618	0.175335	1557.852021	500.147979	1.285404	4.652860	2496
