SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Encin1|Eint_010030m.01	Encin1|Eint_011390m.01	0.000000	0.000000	99.000000	1954.488590	625.511410	4.600000	0.000000	2586
Encin1|Eint_010040m.01	Encin1|Eint_011380m.01	0.000000	0.000000	99.000000	482.034239	129.965761	4.600000	0.000000	612
Encin1|Eint_010050m.01	Encin1|Eint_011370m.01	0.000000	0.000000	99.000000	659.935103	222.064897	4.600000	0.000000	882
Encin1|Eint_010060m.01	Encin1|Eint_011360m.01	0.000000	0.000000	99.000000	1100.691360	276.308640	4.600000	0.000000	1377
Encin1|Eint_010070m.01	Encin1|Eint_011350m.01	0.000000	0.000000	99.000000	1418.176852	378.823148	4.600000	0.000000	1842
Encin1|Eint_010080m.01	Encin1|Eint_011340m.01	0.004993	0.000000	99.000000	401.928386	117.071614	4.600000	0.011599	531
Encin1|Eint_010210m.01	Encin1|Eint_101270m.01	0.723807	4.665661	0.155135	1896.853293	503.146707	1.321514	4.650586	3744
Encin1|Eint_010510m.01	Encin1|Eint_030870m.01	0.880512	3.128012	0.281492	1084.219475	316.780525	1.416141	4.166084	1713
Encin1|Eint_010840m.01	Encin1|Eint_101260m.01	0.660696	2.829482	0.233504	352.693839	100.306161	1.352715	3.422767	513
Encin1|Eint_010990m.01	Encin1|Eint_070260m.01	0.848288	2.574078	0.329550	665.602157	201.397843	1.913078	3.747530	1143
Encin1|Eint_011090m.01	Encin1|Eint_091960m.01	1.046909	1.986961	0.526889	2153.253570	651.746430	1.895787	3.795994	3243
Encin1|Eint_011140m.01	Encin1|Eint_101670m.01	0.824010	1.855353	0.444126	1309.569226	424.430774	2.049271	3.229354	1920
Encin1|Eint_011160m.01	Encin1|Eint_051180m.01	0.721827	2.405650	0.300055	1154.759328	360.240672	1.552447	3.366632	2343
Encin1|Eint_011220m.01	Encin1|Eint_081250m.01	0.923375	4.609948	0.200301	1626.874766	467.125234	1.377440	5.237305	3009
Encin1|Eint_100030m.01	Encin1|Eint_081910m.01	0.000000	0.000000	99.000000	172.319719	61.680281	4.600000	0.000000	1113
