SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Rhisa1|Rhisa1_855526	Rhisa1|Rhisa1_933854	0.230410	0.678804	0.339435	710.360697	303.639303	3.805477	1.094042	1152
Rhisa1|Rhisa1_723953	Rhisa1|Rhisa1_559141	0.101513	0.496461	0.204473	1021.399171	433.600829	2.930450	0.657631	1536
Rhisa1|Rhisa1_804833	Rhisa1|Rhisa1_833022	0.012360	0.064999	0.190161	163.193048	64.806952	2.360438	0.081967	228
Rhisa1|Rhisa1_725194	Rhisa1|Rhisa1_908810	0.350254	2.725878	0.128492	714.259029	242.740971	1.595416	2.858478	1095
Rhisa1|Rhisa1_725376	Rhisa1|Rhisa1_866355	0.810491	4.117732	0.196829	855.667749	242.332251	0.534887	4.621231	2010
Rhisa1|Rhisa1_756951	Rhisa1|Rhisa1_727049	0.687819	2.767325	0.248550	922.577059	319.422941	1.109928	3.667906	1602
Rhisa1|Rhisa1_804807	Rhisa1|Rhisa1_294953	0.400350	4.541836	0.088147	1250.428052	426.571948	1.174948	4.361411	1860
Rhisa1|Rhisa1_725480	Rhisa1|Rhisa1_835547	0.369250	3.769313	0.097962	465.715561	152.284439	0.953720	3.621228	768
Rhisa1|Rhisa1_756906	Rhisa1|Rhisa1_112525	0.558898	4.370655	0.127875	1067.477722	339.522278	1.154366	4.436132	1599
Rhisa1|Rhisa1_40271	Rhisa1|Rhisa1_911065	0.203446	4.189821	0.048557	837.219176	266.780824	1.160066	3.500253	1164
Rhisa1|Rhisa1_725206	Rhisa1|Rhisa1_806439	0.936289	5.126529	0.182636	2747.825609	930.174391	1.150473	5.988030	4788
Rhisa1|Rhisa1_871278	Rhisa1|Rhisa1_282913	0.832805	5.034581	0.165417	2657.149704	822.850296	1.334597	5.478960	5754
Rhisa1|Rhisa1_725254	Rhisa1|Rhisa1_904656	0.895861	2.377647	0.376785	757.077918	286.922082	1.533512	3.909299	1248
Rhisa1|Rhisa1_928593	Rhisa1|Rhisa1_817991	0.749965	2.095699	0.357859	1030.371175	373.628825	1.388489	3.324265	1557
Rhisa1|Rhisa1_804734	Rhisa1|Rhisa1_817382	0.372770	3.751373	0.099369	424.314895	148.685105	1.266003	3.748403	582
