SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Mgeu|AQF_BHT00000002001	Mgeu|AQF_BHT00001971001	0.000000	0.000000	99.000000	971.619901	345.380099	4.600000	0.000000	1317
Mgeu|AQF_BHT00000003001	Mgeu|AQF_BHT00001972001	0.000000	0.000000	99.000000	1922.644752	657.355248	4.600000	0.000000	2580
Mgeu|AQF_BHT00000004001	Mgeu|AQF_BHT00001973001	0.000000	0.000000	99.000000	1106.220839	354.779161	4.600000	0.000000	1461
Mgeu|AQF_BHT00000006001	Mgeu|AQF_BHT00004639001	0.622121	1.562066	0.398268	1121.927818	351.072182	1.320846	2.538437	1749
Mgeu|AQF_BHT00000011001	Mgeu|AQF_BHT00002029001	0.359029	4.447892	0.080719	1426.648999	376.351001	1.055406	3.637566	1872
Mgeu|AQF_BHT00000022001	Mgeu|AQF_BHT00003268001	0.649558	4.347431	0.149412	1176.829822	329.170178	1.471717	4.373434	1737
Mgeu|AQF_BHT00000028001	Mgeu|AQF_BHT00002704001	0.751795	4.280413	0.175636	1162.967759	301.032241	1.019150	4.432080	1809
Mgeu|AQF_BHT00000031001	Mgeu|AQF_BHT00005523001	0.724494	1.598511	0.453230	733.876249	274.123751	4.070901	2.886544	1110
Mgeu|AQF_BHT00000033001	Mgeu|AQF_BHT00000035001	0.248864	1.716407	0.144991	1110.540477	347.459523	1.986835	1.795793	1461
Mgeu|AQF_BHT00000042001	Mgeu|AQF_BHT00004945001	0.796339	4.162969	0.191291	1116.601667	257.398333	1.056245	4.281081	1545
Mgeu|AQF_BHT00000043001	Mgeu|AQF_BHT00005688001	0.925743	4.037695	0.229275	1427.122724	408.877276	1.459249	4.856326	2418
Mgeu|AQF_BHT00000047001	Mgeu|AQF_BHT00000412001	0.827760	2.805526	0.295046	1908.673525	533.326475	1.375960	3.779097	3198
Mgeu|AQF_BHT00000055001	Mgeu|AQF_BHT00000381001	0.953269	4.385512	0.217368	1228.684591	346.315409	1.056896	5.123881	1977
Mgeu|AQF_BHT00000061001	Mgeu|AQF_BHT00007091001	0.534126	2.457637	0.217333	395.225282	111.774718	0.734006	2.874566	531
Mgeu|AQF_BHT00000078001	Mgeu|AQF_BHT00002828001	0.594376	4.332323	0.137196	1228.394353	322.605647	1.176559	4.115590	1743
Mgeu|AQF_BHT00000094001	Mgeu|AQF_BHT00002847001	0.674808	4.420579	0.152652	1305.108190	362.891810	1.186291	4.469226	2457
Mgeu|AQF_BHT00000115001	Mgeu|AQF_BHT00004161001	0.749586	1.979543	0.378666	1103.871699	330.128301	1.404177	3.098220	1779
Mgeu|AQF_BHT00000133001	Mgeu|AQF_BHT00005430001	1.013140	2.615470	0.387364	1444.586441	529.413559	1.648021	4.328623	2796
Mgeu|AQF_BHT00000151001	Mgeu|AQF_BHT00001253001	0.572393	4.579976	0.124977	1537.174309	448.825691	1.276284	4.434257	2445
Mgeu|AQF_BHT00000156001	Mgeu|AQF_BHT00005918001	0.722173	3.086931	0.233945	1257.240189	371.759811	1.539432	3.785527	1740
Mgeu|AQF_BHT00000157001	Mgeu|AQF_BHT00001305001	0.599975	3.703273	0.162012	484.551160	139.448840	1.575713	3.880460	759
Mgeu|AQF_BHT00000174001	Mgeu|AQF_BHT00005010001	0.727786	3.977126	0.182993	801.094513	200.905487	1.139266	4.137879	1167
Mgeu|AQF_BHT00000197001	Mgeu|AQF_BHT00000198001	0.437692	4.538084	0.096449	1483.556831	424.443169	1.149072	4.049528	2010
Mgeu|AQF_BHT00000209001	Mgeu|AQF_BHT00006962001	0.612685	3.406949	0.179834	684.806260	185.193740	1.354917	3.622470	1074
Mgeu|AQF_BHT00000211001	Mgeu|AQF_BHT00001328001	0.762470	1.660777	0.459104	725.049134	252.950866	2.011491	2.984426	1470
Mgeu|AQF_BHT00000214001	Mgeu|AQF_BHT00005220001	0.465582	2.866947	0.162397	1128.248272	374.751728	1.279396	3.192986	1560
Mgeu|AQF_BHT00000217001	Mgeu|AQF_BHT00004904001	0.623692	2.201967	0.283243	1128.526424	335.473576	1.004018	2.956055	1692
Mgeu|AQF_BHT00000220001	Mgeu|AQF_BHT00003173001	0.621258	3.968811	0.156535	716.309579	198.690421	1.502305	4.044518	1419
Mgeu|AQF_BHT00000231001	Mgeu|AQF_BHT00007203001	0.736901	2.613508	0.281959	2570.946887	759.053113	1.294437	3.493986	3780
