SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Beaba1|BBA_00002m.01	Beaba1|BBA_08610m.01	0.225179	1.194881	0.188453	602.068500	255.931500	3.034006	1.543289	4215
Beaba1|BBA_00005m.01	Beaba1|BBA_04716m.01	0.260848	5.139480	0.050754	2980.624232	946.375768	1.669492	4.309679	4200
Beaba1|BBA_00011m.01	Beaba1|BBA_02143m.01	0.652517	4.522765	0.144274	1501.138274	415.861726	1.335830	4.476312	2733
Beaba1|BBA_00017m.01	Beaba1|BBA_05780m.01	0.833137	3.131146	0.266080	2731.905052	1018.094948	1.424971	4.371084	7224
Beaba1|BBA_00018m.01	Beaba1|BBA_00202m.01	0.325088	2.858868	0.113712	595.547468	211.452532	1.660565	2.966990	852
Beaba1|BBA_00019m.01	Beaba1|BBA_06802m.01	0.835107	3.699879	0.225712	533.180782	138.819218	1.689026	4.280703	969
Beaba1|BBA_00020m.01	Beaba1|BBA_07225m.01	0.872522	4.123390	0.211603	712.832871	244.167129	1.026493	5.105827	1461
Beaba1|BBA_00030m.01	Beaba1|BBA_00533m.01	0.664650	4.196702	0.158374	1359.760197	269.239803	1.011340	3.745274	1782
Beaba1|BBA_00034m.01	Beaba1|BBA_07577m.01	0.329031	4.199797	0.078344	1268.646841	270.353159	1.122601	3.027003	1593
Beaba1|BBA_00037m.01	Beaba1|BBA_01940m.01	0.599113	3.703918	0.161751	574.431254	139.568746	0.879126	3.618070	822
Beaba1|BBA_00042m.01	Beaba1|BBA_02820m.01	0.761784	3.968604	0.191953	803.364472	198.635528	1.025024	4.192502	1092
Beaba1|BBA_00046m.01	Beaba1|BBA_05825m.01	0.610536	3.613566	0.168957	716.271701	123.728299	1.260939	3.158607	975
Beaba1|BBA_00049m.01	Beaba1|BBA_03457m.01	0.454561	4.367572	0.104076	1290.870263	338.129737	1.240039	3.800341	1683
Beaba1|BBA_00052m.01	Beaba1|BBA_01104m.01	0.715388	4.091628	0.174842	947.957279	234.042721	1.296763	4.151707	1707
Beaba1|BBA_00053m.01	Beaba1|BBA_07508m.01	0.671691	4.442894	0.151183	1762.148620	373.851380	1.365341	3.995226	2373
Beaba1|BBA_00054m.01	Beaba1|BBA_05665m.01	0.516491	1.329503	0.388484	309.949268	65.050732	3.941406	1.972570	387
Beaba1|BBA_00058m.01	Beaba1|BBA_05522m.01	0.950313	4.170698	0.227855	900.935186	260.064814	0.986943	5.015045	1812
Beaba1|BBA_00059m.01	Beaba1|BBA_05901m.01	0.892791	4.675927	0.190933	937.197865	295.802135	1.411539	5.401145	1275
Beaba1|BBA_00060m.01	Beaba1|BBA_01165m.01	0.788289	4.835225	0.163030	2492.214315	630.785685	1.050958	4.817076	3780
Beaba1|BBA_00065m.01	Beaba1|BBA_02215m.01	0.459233	2.853766	0.160922	1063.102811	289.897189	1.688215	2.916874	1419
Beaba1|BBA_00066m.01	Beaba1|BBA_01156m.01	0.349563	4.065962	0.085973	871.830913	226.169087	1.728252	3.345231	1170
Beaba1|BBA_00067m.01	Beaba1|BBA_06555m.01	0.308971	1.998537	0.154599	686.972961	144.027039	1.813154	1.805409	1098
Beaba1|BBA_00068m.01	Beaba1|BBA_00098m.01	0.718760	2.025008	0.354942	1078.790418	322.209582	1.562376	3.057534	1557
Beaba1|BBA_00069m.01	Beaba1|BBA_09364m.01	0.615053	3.824305	0.160828	559.130081	163.869919	1.339061	4.027317	1557
Beaba1|BBA_00071m.01	Beaba1|BBA_01499m.01	0.372139	1.363350	0.272959	1500.762174	563.237826	2.122398	1.927882	2181
Beaba1|BBA_00077m.01	Beaba1|BBA_03004m.01	0.771146	3.827416	0.201479	567.448819	164.551181	1.332733	4.374555	858
Beaba1|BBA_00079m.01	Beaba1|BBA_01240m.01	0.899436	4.602747	0.195413	1107.569426	353.430574	1.787749	5.385913	1623
Beaba1|BBA_00081m.01	Beaba1|BBA_03893m.01	0.580772	1.356210	0.428232	839.476691	267.523309	1.312732	2.304506	1233
Beaba1|BBA_00089m.01	Beaba1|BBA_06219m.01	0.185716	1.195458	0.155351	200.781720	57.218280	1.603825	1.228958	702
Beaba1|BBA_00094m.01	Beaba1|BBA_05616m.01	0.356257	2.404378	0.148170	1012.420236	340.579764	1.272823	2.615443	1659
Beaba1|BBA_00095m.01	Beaba1|BBA_00559m.01	0.892122	4.344973	0.205323	1282.906816	328.093184	1.198204	4.785969	2004
Beaba1|BBA_00096m.01	Beaba1|BBA_09110m.01	0.744245	2.196947	0.338763	1128.247652	398.752348	1.872944	3.370787	1665
Beaba1|BBA_00107m.01	Beaba1|BBA_07653m.01	0.527836	4.699870	0.112309	2278.372888	526.627112	0.914408	3.933355	3693
Beaba1|BBA_00110m.01	Beaba1|BBA_08609m.01	0.590449	3.765578	0.156802	436.471871	151.528129	1.295840	4.226049	738
Beaba1|BBA_00116m.01	Beaba1|BBA_09322m.01	0.641172	2.946765	0.217585	641.655523	198.344477	1.347840	3.556736	1260
Beaba1|BBA_00123m.01	Beaba1|BBA_09329m.01	0.318290	2.136186	0.148999	812.735369	267.264631	2.301006	2.304478	1191
Beaba1|BBA_00133m.01	Beaba1|BBA_06933m.01	0.671206	3.412507	0.196690	1137.149400	332.850600	1.406377	3.875748	3411
Beaba1|BBA_00136m.01	Beaba1|BBA_08028m.01	0.223810	1.797373	0.124520	650.691347	141.308653	2.690857	1.513695	885
Beaba1|BBA_00142m.01	Beaba1|BBA_09240m.01	0.571975	3.942197	0.145090	903.236621	191.763379	1.368638	3.486568	1242
Beaba1|BBA_00147m.01	Beaba1|BBA_07969m.01	0.666714	3.561158	0.187218	496.622418	115.377582	1.316350	3.637171	783
Beaba1|BBA_00149m.01	Beaba1|BBA_00809m.01	0.626690	4.322720	0.144976	1304.498769	318.501231	1.187343	4.056021	2253
Beaba1|BBA_00151m.01	Beaba1|BBA_03546m.01	0.734878	4.118484	0.178434	918.424874	242.575126	1.226917	4.325508	1455
