SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Lacbi2|Lacbi2_332226	Lacbi2|Lacbi2_674406	0.002788	0.000000	99.000000	359.409020	180.590980	4.600000	0.005566	540
Lacbi2|Lacbi2_705129	Lacbi2|Lacbi2_709911	0.763989	1.642717	0.465076	987.062085	320.937915	0.803873	2.938795	1623
Lacbi2|Lacbi2_163235	Lacbi2|Lacbi2_508527	0.000000	0.000000	99.000000	335.972217	144.027783	4.600000	0.000000	519
Lacbi2|Lacbi2_596035	Lacbi2|Lacbi2_589514	0.000000	0.000000	99.000000	147.069195	68.930805	4.600000	0.000000	216
Lacbi2|Lacbi2_595065	Lacbi2|Lacbi2_589966	0.000000	0.000000	99.000000	613.386776	259.613224	4.600000	0.000000	873
Lacbi2|Lacbi2_596752	Lacbi2|Lacbi2_587586	0.000000	0.000000	99.000000	742.947876	343.052124	4.600000	0.000000	1086
Lacbi2|Lacbi2_596903	Lacbi2|Lacbi2_584098	0.000000	0.000000	99.000000	147.251388	44.748612	4.600000	0.000000	192
Lacbi2|Lacbi2_594812	Lacbi2|Lacbi2_588029	0.000000	0.000000	99.000000	2244.379271	938.620729	4.600000	0.000000	3183
Lacbi2|Lacbi2_595873	Lacbi2|Lacbi2_332251	0.000710	0.001627	0.436270	1409.608761	615.391239	4.600000	0.002966	2181
Lacbi2|Lacbi2_492011	Lacbi2|Lacbi2_562759	0.000000	0.000000	99.000000	1771.836977	682.163023	4.600000	0.000000	2454
Lacbi2|Lacbi2_484034	Lacbi2|Lacbi2_332249	0.000000	0.000000	99.000000	854.994063	444.005937	4.600000	0.000000	1299
Lacbi2|Lacbi2_445163	Lacbi2|Lacbi2_596381	0.086585	0.133770	0.647267	428.273772	171.726228	1.114349	0.300270	870
Lacbi2|Lacbi2_308308	Lacbi2|Lacbi2_594752	0.000854	0.002082	0.410178	1171.913775	481.086225	4.600000	0.003633	1653
Lacbi2|Lacbi2_445165	Lacbi2|Lacbi2_596418	0.046438	0.074988	0.619272	1850.796183	585.203817	1.176407	0.159890	2742
Lacbi2|Lacbi2_445169	Lacbi2|Lacbi2_452196	0.066018	0.120124	0.549581	1611.983246	647.016754	3.475036	0.244544	2463
Lacbi2|Lacbi2_594803	Lacbi2|Lacbi2_440860	0.674819	4.049257	0.166652	1081.457783	316.542217	0.933583	4.316628	1605
Lacbi2|Lacbi2_383839	Lacbi2|Lacbi2_582835	0.140294	0.244705	0.573320	1246.310860	463.689140	2.795782	0.505820	1995
Lacbi2|Lacbi2_324397	Lacbi2|Lacbi2_622081	0.373271	1.888916	0.197611	1291.017889	418.982111	1.473792	2.233897	2163
Lacbi2|Lacbi2_314154	Lacbi2|Lacbi2_324430	0.137569	0.312583	0.440104	440.682815	150.317185	2.122406	0.546248	2070
Lacbi2|Lacbi2_595756	Lacbi2|Lacbi2_440928	0.542315	1.352413	0.400998	845.106266	321.893734	2.100096	2.297293	1338
Lacbi2|Lacbi2_705133	Lacbi2|Lacbi2_570386	0.709006	3.169377	0.223705	261.568275	68.431725	0.845842	3.657632	372
Lacbi2|Lacbi2_658007	Lacbi2|Lacbi2_189495	0.751134	3.850283	0.195085	487.354451	169.645549	1.533713	4.654119	840
Lacbi2|Lacbi2_144038	Lacbi2|Lacbi2_144077	0.137408	0.279425	0.491752	736.194094	319.805906	2.634254	0.541252	1077
Lacbi2|Lacbi2_445187	Lacbi2|Lacbi2_447667	0.014360	0.006759	2.124558	352.381270	148.618730	4.168096	0.036315	612
Lacbi2|Lacbi2_689520	Lacbi2|Lacbi2_314169	0.089396	0.334743	0.267057	912.722795	335.277205	4.415169	0.465926	1374
Lacbi2|Lacbi2_324409	Lacbi2|Lacbi2_512494	0.824745	1.911008	0.431576	845.824784	279.175216	1.158228	3.282923	1332
Lacbi2|Lacbi2_647587	Lacbi2|Lacbi2_177837	0.308426	2.109707	0.146194	1324.494691	454.505309	1.896294	2.305871	1887
Lacbi2|Lacbi2_594362	Lacbi2|Lacbi2_591599	0.372240	0.337922	1.101557	119.705009	48.294991	2.022532	1.087123	198
Lacbi2|Lacbi2_594559	Lacbi2|Lacbi2_480843	0.049818	0.091598	0.543876	493.755935	244.244065	17.725009	0.190936	1026
Lacbi2|Lacbi2_324415	Lacbi2|Lacbi2_323939	0.490027	1.866822	0.262493	1733.525552	585.474448	1.363739	2.512873	3822
Lacbi2|Lacbi2_705142	Lacbi2|Lacbi2_656443	0.715171	3.385033	0.211274	1513.266104	421.733896	1.350319	3.891205	2382
Lacbi2|Lacbi2_595253	Lacbi2|Lacbi2_450196	0.094683	0.274401	0.345052	597.377534	239.622466	3.235117	0.438402	1128
Lacbi2|Lacbi2_490455	Lacbi2|Lacbi2_506801	0.062284	0.476260	0.130777	167.553440	42.446560	3.989267	0.437878	210
Lacbi2|Lacbi2_533018	Lacbi2|Lacbi2_473476	0.252930	0.369960	0.683670	267.167311	98.832689	3.861472	0.853597	2595
Lacbi2|Lacbi2_491545	Lacbi2|Lacbi2_598061	0.089384	0.192839	0.463516	125.209573	51.790427	5.156248	0.358964	291
Lacbi2|Lacbi2_519612	Lacbi2|Lacbi2_445327	0.208227	0.503351	0.413682	661.317910	217.682090	2.251658	0.843941	4359
Lacbi2|Lacbi2_596002	Lacbi2|Lacbi2_534407	0.114755	0.901733	0.127260	146.448434	42.551566	2.157917	0.875807	357
Lacbi2|Lacbi2_668947	Lacbi2|Lacbi2_584265	0.340261	0.574939	0.591822	259.563700	82.436300	1.380221	1.190485	1419
Lacbi2|Lacbi2_484074	Lacbi2|Lacbi2_484113	0.302244	1.293893	0.233592	196.563271	67.436729	2.194581	1.666658	999
Lacbi2|Lacbi2_484075	Lacbi2|Lacbi2_482616	0.131052	1.875738	0.069867	1153.999836	397.000164	1.887548	1.732887	1578
Lacbi2|Lacbi2_314198	Lacbi2|Lacbi2_396183	0.224368	0.253879	0.883758	1079.270981	426.729019	3.122437	0.698189	4707
Lacbi2|Lacbi2_596274	Lacbi2|Lacbi2_387493	0.182150	0.804613	0.226382	410.084892	162.915108	3.229364	1.077385	1821
Lacbi2|Lacbi2_232400	Lacbi2|Lacbi2_705697	0.031969	0.183665	0.174060	735.587975	260.412025	2.698134	0.214892	1251
Lacbi2|Lacbi2_445222	Lacbi2|Lacbi2_599656	0.090277	1.108839	0.081416	647.629744	288.370256	8.893574	1.212251	1230
Lacbi2|Lacbi2_484083	Lacbi2|Lacbi2_622324	0.605020	1.357812	0.445584	552.197311	176.802689	0.929438	2.362778	1320
Lacbi2|Lacbi2_594943	Lacbi2|Lacbi2_570331	0.288596	0.244295	1.181340	190.800975	79.199025	4.658110	0.826803	564
