SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Sarco1|Sarco1_477962	Sarco1|Sarco1_474888	0.508480	1.567671	0.324354	452.330489	138.669511	1.865951	2.271012	693
Sarco1|Sarco1_452076	Sarco1|Sarco1_478785	0.429695	2.612396	0.164483	775.169921	265.830079	0.773035	2.961211	1155
Sarco1|Sarco1_461959	Sarco1|Sarco1_467542	0.518296	2.090714	0.247904	975.768992	341.231008	1.785719	2.777116	1491
Sarco1|Sarco1_452074	Sarco1|Sarco1_49083	0.120595	1.585213	0.076075	474.895811	170.104189	3.232969	1.520565	744
Sarco1|Sarco1_486529	Sarco1|Sarco1_491547	0.360988	1.375326	0.262474	747.475718	209.524282	1.828036	1.749197	1146
Sarco1|Sarco1_452068	Sarco1|Sarco1_422667	0.389423	1.771680	0.219804	555.038346	137.961654	1.743286	1.993803	735
Sarco1|Sarco1_491513	Sarco1|Sarco1_409365	0.996703	3.311693	0.300965	949.688939	292.311061	1.607609	4.624643	1407
Sarco1|Sarco1_401311	Sarco1|Sarco1_413356	0.054491	0.246160	0.221366	1068.013423	413.986577	4.267531	0.324098	1533
Sarco1|Sarco1_436228	Sarco1|Sarco1_418486	0.795083	2.648605	0.300189	565.779431	163.220569	1.193893	3.630241	951
Sarco1|Sarco1_461942	Sarco1|Sarco1_452059	0.169429	0.223510	0.758038	332.372209	114.627791	2.013052	0.549892	504
Sarco1|Sarco1_452061	Sarco1|Sarco1_464842	0.578843	3.954180	0.146388	717.148067	194.851933	1.379764	3.899986	966
Sarco1|Sarco1_525954	Sarco1|Sarco1_478874	0.229876	0.206503	1.113182	286.745766	115.254234	3.215457	0.669525	5898
Sarco1|Sarco1_452057	Sarco1|Sarco1_535218	0.296575	1.303354	0.227547	1065.748678	344.251322	1.664124	1.627140	1515
Sarco1|Sarco1_525945	Sarco1|Sarco1_409093	0.161389	1.502597	0.107406	174.279535	65.720465	3.229995	1.585976	330
Sarco1|Sarco1_525939	Sarco1|Sarco1_456681	0.145955	0.457109	0.319299	477.903325	158.096675	1.731533	0.669904	1152
Sarco1|Sarco1_452045	Sarco1|Sarco1_472815	0.461854	4.258977	0.108442	979.449967	292.550033	1.269175	4.005486	1563
Sarco1|Sarco1_216841	Sarco1|Sarco1_528941	0.696037	2.742504	0.253796	1488.668273	473.331727	1.338056	3.569239	2139
Sarco1|Sarco1_387103	Sarco1|Sarco1_460722	0.515726	3.321162	0.155285	360.218170	83.781830	1.347797	3.135316	513
Sarco1|Sarco1_452029	Sarco1|Sarco1_530661	0.528308	1.387813	0.380676	338.487846	96.512154	1.598103	2.157011	489
Sarco1|Sarco1_525914	Sarco1|Sarco1_495637	0.922002	1.950963	0.472588	1535.690938	504.309062	1.635080	3.529115	2448
Sarco1|Sarco1_419910	Sarco1|Sarco1_459483	0.019193	2.269309	0.008458	317.342902	72.657098	2.917792	1.315170	390
Sarco1|Sarco1_436165	Sarco1|Sarco1_105783	0.327621	3.981652	0.082283	309.482900	104.517100	1.174933	3.750318	633
Sarco1|Sarco1_419897	Sarco1|Sarco1_473339	0.648219	4.063153	0.159536	785.676573	225.323427	1.962838	4.227936	1698
