SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Leppa1|Leppa1_341810	Leppa1|Leppa1_346059	0.480828	4.115558	0.116832	880.369121	241.630879	1.160756	3.790780	1320
Leppa1|Leppa1_377024	Leppa1|Leppa1_249769	0.523459	3.419598	0.153076	339.467727	95.532273	0.882730	3.478479	564
Leppa1|Leppa1_285257	Leppa1|Leppa1_328439	0.432942	2.573728	0.168216	836.704727	270.295273	1.272451	2.866967	2859
Leppa1|Leppa1_412866	Leppa1|Leppa1_396355	0.772652	2.771054	0.278829	1127.403239	390.596761	1.924668	3.860582	1710
Leppa1|Leppa1_316920	Leppa1|Leppa1_409336	0.817555	4.806420	0.170097	2059.981187	607.018813	1.292848	5.176306	3180
Leppa1|Leppa1_316897	Leppa1|Leppa1_429915	0.259715	2.004856	0.129543	1447.577519	532.422481	2.050174	2.186952	2055
Leppa1|Leppa1_376993	Leppa1|Leppa1_319649	0.868523	4.391799	0.197760	1135.769336	349.230664	1.176790	5.091298	1743
Leppa1|Leppa1_431164	Leppa1|Leppa1_303048	0.437562	1.440115	0.303838	755.572332	264.427668	2.164376	2.092399	1704
Leppa1|Leppa1_316835	Leppa1|Leppa1_355742	0.814087	3.660763	0.222382	1490.380663	447.619337	1.337823	4.414748	3375
Leppa1|Leppa1_421211	Leppa1|Leppa1_295541	0.365430	1.930817	0.189262	435.991986	143.008014	1.444002	2.256201	636
Leppa1|Leppa1_376967	Leppa1|Leppa1_380525	0.261986	4.314725	0.060719	1256.875657	315.124343	1.236675	3.223204	1617
Leppa1|Leppa1_412823	Leppa1|Leppa1_297407	0.627748	4.141514	0.151575	847.860649	250.139351	1.170651	4.284695	1518
Leppa1|Leppa1_285182	Leppa1|Leppa1_424107	0.863316	4.723296	0.182778	1853.663847	543.336153	1.150393	5.214813	4569
Leppa1|Leppa1_110600	Leppa1|Leppa1_396341	0.545919	4.207045	0.129763	804.021388	272.978612	1.437923	4.421627	1401
Leppa1|Leppa1_412804	Leppa1|Leppa1_400655	0.724889	5.261071	0.137784	835.068737	277.931263	1.798960	5.572907	1722
Leppa1|Leppa1_421172	Leppa1|Leppa1_379771	0.556613	4.337613	0.128322	1043.110863	324.889137	1.095261	4.363712	3429
Leppa1|Leppa1_376928	Leppa1|Leppa1_311349	0.438075	3.181503	0.137694	245.452950	69.547050	1.160289	3.131342	327
Leppa1|Leppa1_431121	Leppa1|Leppa1_436319	0.580705	4.515513	0.128602	1223.139847	411.860153	1.301890	4.715675	1701
Leppa1|Leppa1_431120	Leppa1|Leppa1_433604	0.617397	4.580338	0.134793	1479.957312	449.042688	1.175464	4.619734	2073
Leppa1|Leppa1_431119	Leppa1|Leppa1_436574	0.806940	1.871195	0.431243	745.169448	253.830552	1.383902	3.232052	1092
Leppa1|Leppa1_412790	Leppa1|Leppa1_331562	0.504923	3.825438	0.131991	1040.021278	342.978722	1.187283	3.985195	1470
Leppa1|Leppa1_431118	Leppa1|Leppa1_382693	0.758388	1.678379	0.451858	673.745043	250.254957	1.404121	3.022673	1101
Leppa1|Leppa1_376919	Leppa1|Leppa1_425344	0.681309	2.083355	0.327025	4342.375472	1423.624528	1.518253	3.082423	6915
Leppa1|Leppa1_341562	Leppa1|Leppa1_425770	0.799828	4.683012	0.170793	1636.077573	514.922427	0.983366	5.188240	2529
Leppa1|Leppa1_66669	Leppa1|Leppa1_309603	0.513047	4.376305	0.117233	1145.910234	342.089766	1.108204	4.203618	1674
Leppa1|Leppa1_412775	Leppa1|Leppa1_432624	0.626909	1.935654	0.323875	490.239264	181.760736	1.340327	2.942684	726
Leppa1|Leppa1_387929	Leppa1|Leppa1_362140	0.192216	1.468370	0.130905	753.901630	269.098370	2.528401	1.583719	1668
Leppa1|Leppa1_431104	Leppa1|Leppa1_383961	0.719712	1.852217	0.388568	743.230257	246.769743	1.318725	3.006009	1068
Leppa1|Leppa1_431093	Leppa1|Leppa1_313683	0.541710	4.348470	0.124575	948.373534	329.626466	1.563914	4.570691	1422
Leppa1|Leppa1_421131	Leppa1|Leppa1_385972	0.702806	2.252167	0.312058	993.697136	299.302864	1.831450	3.184354	1797
Leppa1|Leppa1_341490	Leppa1|Leppa1_387528	0.954021	4.441942	0.214776	1210.622947	373.377053	1.320739	5.328557	2028
Leppa1|Leppa1_376884	Leppa1|Leppa1_195879	0.516390	2.357626	0.219030	719.613482	243.386518	1.021389	2.945219	1014
Leppa1|Leppa1_285030	Leppa1|Leppa1_403276	0.679134	4.189196	0.162116	852.441119	266.558881	0.993941	4.545815	1389
Leppa1|Leppa1_257410	Leppa1|Leppa1_430399	0.665132	3.294316	0.201903	312.164045	80.835955	0.924139	3.617782	1632
Leppa1|Leppa1_341465	Leppa1|Leppa1_302260	0.545604	2.358073	0.231377	1159.805794	409.194206	1.757590	3.054885	1635
Leppa1|Leppa1_341458	Leppa1|Leppa1_286837	0.687051	3.606299	0.190514	868.076526	262.923474	1.330690	4.097065	1431
Leppa1|Leppa1_431072	Leppa1|Leppa1_389420	0.553740	3.783277	0.146365	600.853637	155.146363	0.943772	3.649517	1041
Leppa1|Leppa1_316571	Leppa1|Leppa1_298735	0.623723	4.453341	0.140057	1375.904439	379.095561	1.048281	4.352864	2055
Leppa1|Leppa1_341419	Leppa1|Leppa1_384130	0.771433	3.460274	0.222940	316.143484	100.856516	1.308940	4.265286	516
Leppa1|Leppa1_341410	Leppa1|Leppa1_434498	0.876188	2.225559	0.393693	628.497648	208.502352	1.476302	3.636976	981
Leppa1|Leppa1_376852	Leppa1|Leppa1_292849	0.395256	3.528358	0.112023	435.559434	110.440566	0.783867	3.086984	549
Leppa1|Leppa1_285038	Leppa1|Leppa1_395884	0.692843	1.612175	0.429757	1159.909256	445.090744	2.491787	2.843363	1776
Leppa1|Leppa1_284744	Leppa1|Leppa1_408590	0.896210	3.360098	0.266722	1114.180981	346.819019	1.239368	4.443299	3522
Leppa1|Leppa1_284845	Leppa1|Leppa1_470391	0.863501	1.659666	0.520286	1124.865416	381.134584	1.617166	3.194978	1734
Leppa1|Leppa1_438617	Leppa1|Leppa1_379530	0.516604	1.817838	0.284186	812.453879	264.546121	1.411115	2.508689	1191
Leppa1|Leppa1_284855	Leppa1|Leppa1_403896	0.890542	4.802981	0.185414	1858.758177	604.241823	1.189038	5.551113	3372
Leppa1|Leppa1_431048	Leppa1|Leppa1_385976	0.765073	3.870746	0.197655	530.662314	174.337686	1.390797	4.599200	801
Leppa1|Leppa1_376829	Leppa1|Leppa1_434835	0.701987	2.182037	0.321712	1160.710842	429.289158	1.560744	3.304771	1827
Leppa1|Leppa1_376828	Leppa1|Leppa1_289090	0.758050	2.783497	0.272337	1828.400577	583.599423	1.506027	3.744362	3033
Leppa1|Leppa1_387854	Leppa1|Leppa1_407343	0.719738	3.431797	0.209726	574.744107	208.255893	1.742213	4.323207	4749
Leppa1|Leppa1_316474	Leppa1|Leppa1_356678	0.798588	2.288275	0.348991	564.048542	200.951458	1.147372	3.569704	963
Leppa1|Leppa1_376812	Leppa1|Leppa1_430331	0.569843	4.212762	0.135266	1071.932497	275.067503	1.700371	3.941263	1704
Leppa1|Leppa1_421060	Leppa1|Leppa1_390478	0.779277	1.859989	0.418969	998.400588	390.599412	1.377065	3.249549	1500
Leppa1|Leppa1_387839	Leppa1|Leppa1_429298	0.673907	1.646157	0.409382	630.433978	224.566022	0.916133	2.787807	1011
Leppa1|Leppa1_284772	Leppa1|Leppa1_430371	0.926183	4.905950	0.188788	2198.835590	693.164410	1.337231	5.640201	4221
Leppa1|Leppa1_376802	Leppa1|Leppa1_390431	0.719412	2.482746	0.289765	1161.808874	419.191126	1.490861	3.560844	2820
Leppa1|Leppa1_431024	Leppa1|Leppa1_401619	0.364909	3.591688	0.101598	380.828793	120.171207	1.325881	3.416678	2109
Leppa1|Leppa1_376794	Leppa1|Leppa1_430030	0.598871	2.067755	0.289624	1443.293999	518.706001	1.251054	2.961627	3438
Leppa1|Leppa1_412680	Leppa1|Leppa1_351878	0.700056	3.163725	0.221276	673.669775	226.330225	1.506701	3.958844	1017
Leppa1|Leppa1_431010	Leppa1|Leppa1_422069	0.654659	4.544608	0.144052	1335.848673	428.151327	1.214787	4.796437	2154
Leppa1|Leppa1_387807	Leppa1|Leppa1_467694	0.339721	1.695884	0.200321	691.610469	256.389531	1.220521	2.119497	972
Leppa1|Leppa1_284760	Leppa1|Leppa1_446279	0.897196	4.472724	0.200593	1272.979713	389.020287	1.290849	5.202332	2280
Leppa1|Leppa1_430995	Leppa1|Leppa1_425013	0.849903	4.128316	0.205872	774.223832	245.776168	1.189797	4.919578	1452
Leppa1|Leppa1_341176	Leppa1|Leppa1_293675	0.696788	1.127680	0.617896	616.443633	196.556367	1.679997	2.402890	918
Leppa1|Leppa1_430987	Leppa1|Leppa1_410088	0.423824	4.444306	0.095363	1137.444004	374.555996	1.320110	4.259360	1731
Leppa1|Leppa1_399391	Leppa1|Leppa1_377788	0.631073	4.270129	0.147788	942.067190	296.932810	0.931446	4.509575	1347
Leppa1|Leppa1_421271	Leppa1|Leppa1_334391	0.745953	4.477811	0.166589	1180.331706	391.668294	1.353847	5.027270	1689
Leppa1|Leppa1_421276	Leppa1|Leppa1_290530	0.963036	1.724700	0.558379	660.882139	206.117861	2.168242	3.432335	1026
Leppa1|Leppa1_316993	Leppa1|Leppa1_353186	0.581503	3.963499	0.146715	753.711750	197.288250	1.017047	3.849330	1068
Leppa1|Leppa1_431210	Leppa1|Leppa1_346939	0.324525	2.419185	0.134147	1161.569407	332.430593	1.836385	2.371827	1530
Leppa1|Leppa1_431217	Leppa1|Leppa1_433752	0.708914	4.424659	0.160219	1180.128300	364.871700	1.102080	4.759305	1857
Leppa1|Leppa1_262168	Leppa1|Leppa1_340298	0.743337	4.344512	0.171098	1037.108561	327.891439	1.162548	4.825163	2865
Leppa1|Leppa1_399700	Leppa1|Leppa1_403787	0.275375	1.254912	0.219437	2073.182338	743.817662	2.871402	1.602053	4098
Leppa1|Leppa1_168489	Leppa1|Leppa1_468357	0.769036	4.443147	0.173084	1117.022317	373.977683	1.361233	5.071767	2031
Leppa1|Leppa1_438803	Leppa1|Leppa1_423458	0.753276	4.133446	0.182239	958.536830	247.463170	1.212970	4.340594	1521
Leppa1|Leppa1_438804	Leppa1|Leppa1_357959	0.473105	1.672963	0.282795	1618.387229	520.612771	1.367373	2.295419	2505
Leppa1|Leppa1_285524	Leppa1|Leppa1_300552	0.685619	1.845308	0.371547	984.330156	404.669844	1.855473	3.070445	1515
Leppa1|Leppa1_421312	Leppa1|Leppa1_380577	0.963627	4.848493	0.198748	2120.955833	642.044167	1.154763	5.599085	3651
Leppa1|Leppa1_377097	Leppa1|Leppa1_157299	0.938934	2.076006	0.452279	2503.713688	790.286312	1.352278	3.635211	3765
Leppa1|Leppa1_285464	Leppa1|Leppa1_350070	0.777565	1.417227	0.548652	504.214849	191.785151	1.262072	2.861477	1023
Leppa1|Leppa1_465669	Leppa1|Leppa1_441953	0.907093	2.060504	0.440228	841.503659	295.496341	1.495378	3.620562	1281
Leppa1|Leppa1_341958	Leppa1|Leppa1_430270	0.697578	2.500890	0.278932	667.466934	214.533066	1.145927	3.408619	1521
Leppa1|Leppa1_341966	Leppa1|Leppa1_386009	0.469139	2.355897	0.199134	611.240168	225.759832	1.210627	2.934134	1026
Leppa1|Leppa1_438830	Leppa1|Leppa1_361261	0.322581	1.167970	0.276190	544.030739	214.969261	1.912706	1.686054	777
Leppa1|Leppa1_421329	Leppa1|Leppa1_379902	0.063883	0.111183	0.574572	933.226691	386.773309	3.778266	0.233226	1344
Leppa1|Leppa1_341975	Leppa1|Leppa1_443933	0.905542	2.114473	0.428259	715.370956	226.629044	1.357305	3.589171	1023
Leppa1|Leppa1_285451	Leppa1|Leppa1_409265	0.481202	2.036632	0.236273	1121.169409	408.830591	1.837385	2.690483	1797
Leppa1|Leppa1_341986	Leppa1|Leppa1_409601	0.588768	4.125528	0.142713	784.135757	244.864243	1.530363	4.291162	1260
Leppa1|Leppa1_317146	Leppa1|Leppa1_341992	0.621601	3.818403	0.162791	704.414598	162.585402	1.141651	3.663257	888
Leppa1|Leppa1_341994	Leppa1|Leppa1_286181	0.816491	2.519526	0.324065	779.235115	261.764885	1.424629	3.734184	1188
Leppa1|Leppa1_169239	Leppa1|Leppa1_418772	0.572263	4.400178	0.130055	1116.846137	353.153863	1.172424	4.475652	1614
Leppa1|Leppa1_342001	Leppa1|Leppa1_445352	0.696861	4.196203	0.166070	858.939183	269.060817	1.252429	4.594669	1455
Leppa1|Leppa1_342008	Leppa1|Leppa1_461232	0.684347	3.281984	0.208516	4502.068157	1584.931843	1.270284	4.082158	7614
Leppa1|Leppa1_421346	Leppa1|Leppa1_384137	0.680232	4.502730	0.151071	1446.100027	404.899973	0.835200	4.549171	2124
Leppa1|Leppa1_169332	Leppa1|Leppa1_379649	0.603374	3.334940	0.180925	1151.351877	396.648123	1.328172	3.909871	1623
Leppa1|Leppa1_317181	Leppa1|Leppa1_310142	0.342671	4.139460	0.082782	938.544491	249.455509	0.874913	3.419756	1311
Leppa1|Leppa1_438852	Leppa1|Leppa1_179121	0.581745	4.460198	0.130430	1183.422681	382.577319	1.099442	4.587780	1782
Leppa1|Leppa1_317185	Leppa1|Leppa1_408745	0.569463	4.121233	0.138178	713.533969	243.466031	1.211405	4.419157	4872
Leppa1|Leppa1_377127	Leppa1|Leppa1_365672	0.537881	3.921664	0.137156	758.415409	186.584591	0.844283	3.617965	1284
Leppa1|Leppa1_342039	Leppa1|Leppa1_300730	0.676676	3.294562	0.205392	1470.101780	503.898220	1.673703	4.034812	2631
Leppa1|Leppa1_399775	Leppa1|Leppa1_348090	0.819637	2.451955	0.334279	897.297679	269.702321	1.383644	3.590633	1437
Leppa1|Leppa1_388155	Leppa1|Leppa1_301763	0.800878	4.191971	0.191050	905.453224	267.546776	1.186451	4.723033	2688
Leppa1|Leppa1_377148	Leppa1|Leppa1_431358	0.971942	2.114970	0.459554	2981.017506	1119.982494	1.425243	3.852309	4773
Leppa1|Leppa1_412978	Leppa1|Leppa1_272592	0.661989	3.492127	0.189566	368.767788	105.232212	1.055849	3.870914	609
Leppa1|Leppa1_377153	Leppa1|Leppa1_341081	0.686317	4.052113	0.169373	689.969028	222.030972	1.414781	4.517209	1143
Leppa1|Leppa1_256514	Leppa1|Leppa1_448449	0.286278	1.298836	0.220411	127.772811	58.227189	4.626114	1.809775	765
Leppa1|Leppa1_431297	Leppa1|Leppa1_386304	0.520327	2.327185	0.223587	954.101192	311.898808	1.635681	2.896424	1317
Leppa1|Leppa1_285672	Leppa1|Leppa1_294572	0.193173	0.249537	0.774127	163.596085	64.403915	4.838497	0.627283	345
Leppa1|Leppa1_342124	Leppa1|Leppa1_339932	0.637309	1.788774	0.356282	773.902551	264.097449	1.715744	2.790826	1257
Leppa1|Leppa1_317284	Leppa1|Leppa1_430090	0.202020	4.582280	0.044087	1358.793130	450.206870	1.498152	3.876415	2769
