SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Ccor|A1O1_05685	Ccor|A1O1_07224	0.805743	4.139449	0.194650	860.548386	249.451614	1.581047	4.664792	1254
Ccor|A1O1_05687	Ccor|A1O1_08298	0.655472	1.751001	0.374341	560.115661	201.884339	1.388694	2.837164	873
Ccor|A1O1_05688	Ccor|A1O1_07777	0.651335	4.397290	0.148122	1148.203408	351.796592	1.095939	4.589633	1629
Ccor|A1O1_05689	Ccor|A1O1_04305	0.462716	3.906537	0.118447	1958.978918	654.021082	1.287994	3.974062	2802
Ccor|A1O1_05690	Ccor|A1O1_04278	0.643322	4.329590	0.148587	1136.567697	321.432303	0.902049	4.368001	1626
Ccor|A1O1_05691	Ccor|A1O1_03407	0.333492	4.349146	0.076680	1116.076353	329.923647	1.266300	3.749146	1644
Ccor|A1O1_05692	Ccor|A1O1_03406	0.665383	4.373672	0.152134	1078.108869	340.891131	1.152775	4.668713	1668
Ccor|A1O1_05693	Ccor|A1O1_04501	0.353460	4.371252	0.080860	1205.207203	339.792797	1.273361	3.711286	1560
Ccor|A1O1_05694	Ccor|A1O1_02017	0.964658	2.394830	0.402808	1142.735655	396.264345	1.634726	3.998702	1734
Ccor|A1O1_05695	Ccor|A1O1_07590	0.659632	1.810633	0.364310	541.282435	205.717565	1.205746	2.929825	801
Ccor|A1O1_05696	Ccor|A1O1_00463	0.459147	3.998226	0.114838	699.362177	206.637823	1.264313	3.798990	981
Ccor|A1O1_05697	Ccor|A1O1_06042	0.453946	1.957283	0.231927	1241.623518	399.376482	1.254367	2.459457	1662
Ccor|A1O1_05698	Ccor|A1O1_00003	0.381890	1.563117	0.244313	3333.990126	1379.009874	1.348346	2.182540	5154
Ccor|A1O1_05699	Ccor|A1O1_00002	0.388510	1.193326	0.325569	462.810481	209.189519	1.715151	1.917134	807
Ccor|A1O1_05701	Ccor|A1O1_00333	0.845593	2.838664	0.297884	809.384316	276.615684	1.301762	4.059747	1566
Ccor|A1O1_05702	Ccor|A1O1_07116	0.737881	4.011306	0.183950	653.726810	210.273190	1.402721	4.603621	978
Ccor|A1O1_05703	Ccor|A1O1_07751	0.502500	3.499614	0.143587	1126.907806	364.092194	1.527906	3.703125	1620
Ccor|A1O1_05704	Ccor|A1O1_08158	0.649484	4.443647	0.146160	1062.772734	374.227266	1.100813	4.912709	1992
Ccor|A1O1_05705	Ccor|A1O1_05996	0.805485	4.337348	0.185709	1004.225585	324.774415	1.164792	5.005753	1485
Ccor|A1O1_05706	Ccor|A1O1_01659	0.680240	2.292910	0.296671	1184.143380	438.856620	1.631431	3.348910	1818
Ccor|A1O1_05707	Ccor|A1O1_02010	0.352979	3.412982	0.103422	1107.327985	326.672015	1.547915	3.150187	1614
