SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Rhich1|Rhich1_1	Rhich1|Rhich1_875	0.238949	1.419022	0.168390	159.659575	59.340425	6.320554	1.676107	2796
Rhich1|Rhich1_2	Rhich1|Rhich1_2549	0.029796	0.071811	0.414923	979.534212	394.465788	11.007390	0.125575	1374
Rhich1|Rhich1_3	Rhich1|Rhich1_2550	0.021440	0.142336	0.150631	473.222898	180.777102	4.048905	0.164573	1701
Rhich1|Rhich1_6	Rhich1|Rhich1_2551	0.004781	0.090759	0.052683	1258.860743	421.139257	4.600000	0.079002	1713
Rhich1|Rhich1_7	Rhich1|Rhich1_2552	0.016197	0.068236	0.237360	1283.300009	537.699991	10.483077	0.094688	1830
Rhich1|Rhich1_8	Rhich1|Rhich1_2553	0.013480	0.093379	0.144360	4129.005875	1843.994125	20.769315	0.114440	6387
Rhich1|Rhich1_9	Rhich1|Rhich1_2554	0.006745	0.070993	0.095004	1192.076554	511.923446	9.499568	0.078139	1710
Rhich1|Rhich1_12	Rhich1|Rhich1_8846	0.010246	0.068422	0.149740	1083.752657	467.247343	17.919005	0.083315	1578
Rhich1|Rhich1_13	Rhich1|Rhich1_8845	0.005771	0.080632	0.071568	521.871829	183.128171	4.600000	0.075649	705
Rhich1|Rhich1_14	Rhich1|Rhich1_8844	0.007756	0.103371	0.075033	3503.864863	1551.135137	12.954721	0.111287	5055
Rhich1|Rhich1_15	Rhich1|Rhich1_8843	0.008885	0.104426	0.085085	2211.262663	974.737337	11.423237	0.114346	3210
Rhich1|Rhich1_16	Rhich1|Rhich1_8842	0.005678	0.071367	0.079558	1239.009140	425.990860	4.600000	0.067453	1692
Rhich1|Rhich1_17	Rhich1|Rhich1_8841	0.007922	0.063788	0.124191	1396.734967	499.265033	5.917675	0.067898	1923
Rhich1|Rhich1_18	Rhich1|Rhich1_8839	0.006743	0.098829	0.068227	1640.682155	696.317845	7.865618	0.102541	2337
Rhich1|Rhich1_20	Rhich1|Rhich1_5400	0.013572	0.057174	0.237381	521.258505	219.741495	8.117297	0.079506	741
Rhich1|Rhich1_21	Rhich1|Rhich1_5399	0.066726	0.073983	0.901918	903.754646	383.245354	14.435490	0.206662	1287
Rhich1|Rhich1_22	Rhich1|Rhich1_5398	0.000000	0.115463	0.000010	536.930966	153.069034	4.600000	0.076843	690
Rhich1|Rhich1_23	Rhich1|Rhich1_5397	0.006750	0.091015	0.074160	1191.633964	536.366036	6.412497	0.098716	1734
Rhich1|Rhich1_24	Rhich1|Rhich1_5396	0.009775	0.094140	0.103834	720.789789	278.210211	7.787327	0.099809	1032
Rhich1|Rhich1_25	Rhich1|Rhich1_5395	0.015872	0.061881	0.256495	1470.342414	617.657586	20.020824	0.088447	2112
Rhich1|Rhich1_27	Rhich1|Rhich1_5393	0.006281	0.059205	0.106091	959.392091	357.607909	6.499184	0.061955	1317
Rhich1|Rhich1_28	Rhich1|Rhich1_5392	0.004253	0.046644	0.091171	707.771232	246.228768	3.655817	0.045581	954
Rhich1|Rhich1_29	Rhich1|Rhich1_5391	0.012851	0.156719	0.081997	235.727109	88.272891	5.161936	0.156142	324
Rhich1|Rhich1_31	Rhich1|Rhich1_5387	0.032593	0.080604	0.404360	219.575607	65.424393	2.148116	0.130844	291
Rhich1|Rhich1_32	Rhich1|Rhich1_5386	0.011278	0.077626	0.145292	2150.167851	996.832149	20.022427	0.096884	3180
Rhich1|Rhich1_33	Rhich1|Rhich1_5385	0.012169	0.072295	0.168319	497.256190	162.743810	3.233908	0.080984	669
