SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Dekbr2|Dekbr2_87884	Dekbr2|Dekbr2_53579	0.530396	1.757449	0.301799	1457.726559	462.273441	2.364605	2.477492	2034
Dekbr2|Dekbr2_3594	Dekbr2|Dekbr2_26477	0.508233	5.239885	0.096993	1148.149743	318.850257	1.653560	4.609951	1623
Dekbr2|Dekbr2_18080	Dekbr2|Dekbr2_3597	0.367847	4.338278	0.084791	1288.822797	325.177203	1.331237	3.503343	1647
Dekbr2|Dekbr2_51977	Dekbr2|Dekbr2_26476	0.725074	4.306189	0.168379	1197.441883	311.558117	1.239411	4.393364	1635
Dekbr2|Dekbr2_40332	Dekbr2|Dekbr2_6060	0.922375	4.014315	0.229772	775.881365	211.118635	1.369265	4.751218	1380
Dekbr2|Dekbr2_63232	Dekbr2|Dekbr2_25041	0.956024	4.841528	0.197463	2243.890927	636.109073	1.171283	5.442659	3774
Dekbr2|Dekbr2_23267	Dekbr2|Dekbr2_42049	0.988585	4.594894	0.215149	1645.157565	457.842435	1.390775	5.321135	2724
Dekbr2|Dekbr2_3620	Dekbr2|Dekbr2_25727	0.627668	4.105181	0.152897	904.689508	238.310492	1.231386	4.058142	1704
Dekbr2|Dekbr2_41699	Dekbr2|Dekbr2_133503	0.525721	2.352383	0.223484	1724.341196	498.658804	1.480463	2.806421	2748
Dekbr2|Dekbr2_41597	Dekbr2|Dekbr2_28353	0.722481	2.854324	0.253118	973.562279	289.437721	1.587144	3.633086	2199
Dekbr2|Dekbr2_30898	Dekbr2|Dekbr2_33766	0.130787	3.335318	0.039213	235.621804	85.378196	2.444626	2.949343	339
Dekbr2|Dekbr2_3640	Dekbr2|Dekbr2_23477	0.399632	2.926967	0.136535	226.467829	49.532171	1.040080	2.559596	1410
Dekbr2|Dekbr2_23285	Dekbr2|Dekbr2_19864	0.671925	4.784654	0.140433	1792.344580	589.655420	1.421863	5.070048	2943
Dekbr2|Dekbr2_40124	Dekbr2|Dekbr2_42521	0.902877	4.760236	0.189671	1817.232492	570.767508	1.480664	5.474530	2709
Dekbr2|Dekbr2_40115	Dekbr2|Dekbr2_34391	0.323275	2.136309	0.151324	558.155910	194.844090	1.431860	2.377231	1035
Dekbr2|Dekbr2_18146	Dekbr2|Dekbr2_40176	0.627592	4.605536	0.136269	1641.614564	464.385436	1.135438	4.514256	2433
Dekbr2|Dekbr2_63284	Dekbr2|Dekbr2_6651	0.244888	2.335529	0.104853	415.909708	112.090292	0.853638	2.066144	534
Dekbr2|Dekbr2_3667	Dekbr2|Dekbr2_151928	0.370923	3.913117	0.094790	691.529580	184.470420	1.090905	3.350544	906
Dekbr2|Dekbr2_18159	Dekbr2|Dekbr2_6774	0.766830	4.152580	0.184663	1021.142349	253.857651	1.143974	4.322839	2772
Dekbr2|Dekbr2_23303	Dekbr2|Dekbr2_4291	0.789846	4.710026	0.167695	1869.193051	533.806949	1.579761	4.982046	2997
Dekbr2|Dekbr2_79037	Dekbr2|Dekbr2_28528	0.394622	3.927004	0.100489	664.082055	187.917945	1.261279	3.521182	2259
Dekbr2|Dekbr2_37909	Dekbr2|Dekbr2_36713	0.896301	4.139221	0.216539	611.995808	195.004192	1.792650	5.039768	906
Dekbr2|Dekbr2_3702	Dekbr2|Dekbr2_40343	0.325286	4.546066	0.071553	1506.015205	428.984795	1.018564	3.783067	2901
Dekbr2|Dekbr2_3704	Dekbr2|Dekbr2_21718	0.394469	4.609118	0.085584	1528.391706	466.608294	1.335397	4.140685	2055
Dekbr2|Dekbr2_79045	Dekbr2|Dekbr2_23702	0.937992	4.828385	0.194266	2467.940504	625.059496	1.178924	5.172587	4629
Dekbr2|Dekbr2_18187	Dekbr2|Dekbr2_18188	0.000751	0.001967	0.381526	1333.009858	508.990142	4.600000	0.003260	1842
Dekbr2|Dekbr2_18196	Dekbr2|Dekbr2_24516	0.586602	3.642224	0.161056	402.452507	128.547493	2.068100	3.978972	543
Dekbr2|Dekbr2_23340	Dekbr2|Dekbr2_25412	0.641941	2.306630	0.278302	1007.308354	267.691646	1.234049	2.974348	2190
Dekbr2|Dekbr2_63331	Dekbr2|Dekbr2_23901	0.673925	2.473633	0.272443	1145.458739	396.541261	1.713919	3.410216	1827
Dekbr2|Dekbr2_3727	Dekbr2|Dekbr2_26820	0.012679	0.029004	0.437132	238.624979	70.375021	4.600000	0.049190	465
Dekbr2|Dekbr2_3728	Dekbr2|Dekbr2_51866	0.002504	0.006014	0.416410	399.970325	167.029675	4.600000	0.010615	567
Dekbr2|Dekbr2_3742	Dekbr2|Dekbr2_64354	0.439036	3.971588	0.110544	748.572504	199.427496	1.156324	3.546499	2001
Dekbr2|Dekbr2_41008	Dekbr2|Dekbr2_48136	0.714056	4.378090	0.163098	1259.094890	342.905110	1.344973	4.495008	2169
Dekbr2|Dekbr2_35009	Dekbr2|Dekbr2_27121	0.661502	3.839962	0.172268	651.673088	167.326912	1.483970	3.932646	1740
Dekbr2|Dekbr2_23364	Dekbr2|Dekbr2_18417	0.291590	3.787055	0.076996	564.070008	155.929992	1.225184	3.145802	1104
Dekbr2|Dekbr2_186162	Dekbr2|Dekbr2_8837	0.733765	2.098509	0.349660	1600.305785	514.694215	2.145829	3.197644	2742
Dekbr2|Dekbr2_41212	Dekbr2|Dekbr2_67545	0.359516	3.030646	0.118627	1176.204858	392.795142	1.494432	3.084679	1614
Dekbr2|Dekbr2_3755	Dekbr2|Dekbr2_39807	0.537836	4.467267	0.120395	1488.799962	386.200038	1.131242	4.041581	1995
Dekbr2|Dekbr2_18236	Dekbr2|Dekbr2_8518	0.340153	1.250009	0.272121	1430.457915	390.542085	1.340725	1.605858	1998
Dekbr2|Dekbr2_23369	Dekbr2|Dekbr2_49856	0.784349	2.546890	0.307963	1240.592128	403.407872	1.473047	3.650533	1896
Dekbr2|Dekbr2_63369	Dekbr2|Dekbr2_21050	0.431898	3.667460	0.117765	455.053593	132.946407	1.370213	3.490370	672
Dekbr2|Dekbr2_40666	Dekbr2|Dekbr2_65478	1.032539	4.829403	0.213803	2494.091375	625.908625	1.554103	5.382703	3693
Dekbr2|Dekbr2_36802	Dekbr2|Dekbr2_26179	1.033724	2.565871	0.402874	548.176632	174.823368	1.467100	4.212604	1011
Dekbr2|Dekbr2_41300	Dekbr2|Dekbr2_8643	0.468214	4.625658	0.101221	1898.986571	477.013429	1.285934	3.908628	2781
Dekbr2|Dekbr2_29754	Dekbr2|Dekbr2_34725	0.480114	3.134559	0.153168	392.959525	126.040475	1.538516	3.374260	1800
Dekbr2|Dekbr2_40494	Dekbr2|Dekbr2_24363	0.857428	3.061199	0.280096	1594.507877	496.492123	1.615414	4.142091	2553
Dekbr2|Dekbr2_3782	Dekbr2|Dekbr2_3781	0.000000	0.000000	99.000000	436.458707	172.541293	4.600000	0.000000	1287
Dekbr2|Dekbr2_3806	Dekbr2|Dekbr2_25293	0.959479	1.489735	0.644060	572.437430	195.562570	2.173797	3.283509	957
Dekbr2|Dekbr2_36412	Dekbr2|Dekbr2_26104	0.853475	4.300593	0.198455	1121.758177	309.241823	1.276777	4.795212	2178
Dekbr2|Dekbr2_63403	Dekbr2|Dekbr2_63638	0.751185	4.321306	0.173833	1071.098576	317.901424	1.197261	4.704843	1581
Dekbr2|Dekbr2_32188	Dekbr2|Dekbr2_45959	0.477037	4.996253	0.095479	2941.144427	781.855573	1.416005	4.278309	4806
Dekbr2|Dekbr2_23399	Dekbr2|Dekbr2_18633	0.603121	2.382407	0.253156	1260.672017	359.327983	1.817547	2.993340	1800
Dekbr2|Dekbr2_41288	Dekbr2|Dekbr2_3825	0.000000	0.000000	99.000000	223.061097	91.938903	4.600000	0.000000	1110
Dekbr2|Dekbr2_18299	Dekbr2|Dekbr2_25061	0.749294	4.110290	0.182297	1023.060563	239.939437	1.298246	4.163405	1602
Dekbr2|Dekbr2_3832	Dekbr2|Dekbr2_73388	1.086907	3.449119	0.315126	2387.068479	732.931521	1.168663	4.925470	3483
Dekbr2|Dekbr2_3833	Dekbr2|Dekbr2_8422	0.404220	3.853304	0.104902	639.669881	170.330119	0.852933	3.388522	942
Dekbr2|Dekbr2_3843	Dekbr2|Dekbr2_26117	0.795296	2.399529	0.331438	339.759511	101.240489	1.296648	3.490740	537
Dekbr2|Dekbr2_63429	Dekbr2|Dekbr2_5452	0.700941	3.992762	0.175553	742.862104	205.137896	1.246937	4.239776	1518
