SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Nosce1|NCER_100015m.01	Nosce1|NCER_100711m.01	0.522295	3.891243	0.134223	999.831978	179.168022	1.318911	3.102782	1236
Nosce1|NCER_100019m.01	Nosce1|NCER_101779m.01	0.712469	3.618678	0.196887	856.425417	124.574583	1.433787	3.244563	1284
Nosce1|NCER_100041m.01	Nosce1|NCER_100983m.01	0.588161	4.594901	0.128003	2752.153079	457.846921	1.319894	3.478944	3492
Nosce1|NCER_100045m.01	Nosce1|NCER_101847m.01	0.339576	1.454299	0.233498	642.296377	161.703623	3.365357	1.691320	813
Nosce1|NCER_100047m.01	Nosce1|NCER_100587m.01	0.627099	3.634200	0.172555	727.820383	127.179617	1.258519	3.223199	972
Nosce1|NCER_100068m.01	Nosce1|NCER_102096m.01	0.495612	3.914502	0.126609	982.188637	184.811363	1.240675	3.111129	1266
Nosce1|NCER_100077m.01	Nosce1|NCER_100958m.01	0.741848	4.094179	0.181196	1298.159844	234.840156	1.186849	3.766175	1632
Nosce1|NCER_100078m.01	Nosce1|NCER_101618m.01	0.124890	0.148037	0.843644	602.226807	129.773193	3.160631	0.386982	732
Nosce1|NCER_100088m.01	Nosce1|NCER_100270m.01	0.728653	3.620937	0.201233	727.049627	124.950373	1.683796	3.458465	1449
Nosce1|NCER_100091m.01	Nosce1|NCER_100093m.01	0.762923	3.550509	0.214877	669.248966	113.751034	2.410553	3.503676	852
Nosce1|NCER_100135m.01	Nosce1|NCER_100622m.01	0.562108	3.366241	0.166984	601.027998	88.972002	0.956469	2.771060	2571
Nosce1|NCER_100137m.01	Nosce1|NCER_100627m.01	0.558157	4.195275	0.133044	1447.272004	268.727996	1.757398	3.383205	1758
Nosce1|NCER_100153m.01	Nosce1|NCER_101929m.01	0.696515	3.643694	0.191156	864.200255	128.799745	1.668222	3.236361	1104
Nosce1|NCER_100161m.01	Nosce1|NCER_100306m.01	0.615186	4.247117	0.144848	1350.039699	287.960301	1.587872	3.761037	1701
Nosce1|NCER_100180m.01	Nosce1|NCER_100476m.01	0.506151	3.926626	0.128902	970.176671	187.823329	1.190918	3.182819	1209
Nosce1|NCER_100202m.01	Nosce1|NCER_101646m.01	0.779710	2.308704	0.337726	920.268065	201.731935	1.870102	3.163854	1290
Nosce1|NCER_100211m.01	Nosce1|NCER_100315m.01	0.472278	3.138282	0.150489	435.347474	65.652526	1.194210	2.464917	1044
Nosce1|NCER_100216m.01	Nosce1|NCER_102424m.01	0.152416	0.281036	0.542336	623.915853	132.084147	3.989646	0.524663	765
Nosce1|NCER_100217m.01	Nosce1|NCER_101719m.01	0.575192	4.508485	0.127580	2597.981252	408.018748	1.380107	3.327229	5067
Nosce1|NCER_100222m.01	Nosce1|NCER_101943m.01	0.749370	3.797931	0.197310	792.792443	158.207557	1.795728	3.769579	1878
Nosce1|NCER_100227m.01	Nosce1|NCER_100228m.01	0.594606	3.747314	0.158675	842.117345	147.882655	2.492490	3.196639	1110
Nosce1|NCER_100233m.01	Nosce1|NCER_100481m.01	0.643076	4.264826	0.150786	1886.159643	294.840357	1.293350	3.398055	4179
Nosce1|NCER_100249m.01	Nosce1|NCER_101186m.01	0.041688	2.789351	0.014945	189.771274	41.228726	6.563979	1.596268	453
Nosce1|NCER_100257m.01	Nosce1|NCER_101043m.01	0.592612	3.672101	0.161382	700.228253	133.771747	1.006717	3.259665	975
Nosce1|NCER_100260m.01	Nosce1|NCER_100895m.01	0.633669	3.924744	0.161455	1051.647393	187.352607	1.446087	3.393964	1815
Nosce1|NCER_100267m.01	Nosce1|NCER_102433m.01	0.500662	99.000000	0.005057	735.849616	107.150384	1.643854	39.061566	1092
Nosce1|NCER_100308m.01	Nosce1|NCER_100466m.01	0.727745	4.069815	0.178815	1248.665944	227.334056	1.659716	3.727476	1611
Nosce1|NCER_100312m.01	Nosce1|NCER_100561m.01	0.756327	3.673186	0.205905	802.034599	133.965401	1.501332	3.521412	1119
Nosce1|NCER_100318m.01	Nosce1|NCER_102117m.01	0.360162	4.242457	0.084895	1324.823432	286.176568	1.663352	3.149428	1944
Nosce1|NCER_100323m.01	Nosce1|NCER_101601m.01	0.708084	3.960633	0.178781	940.464272	196.535728	1.418221	3.810908	1182
Nosce1|NCER_100355m.01	Nosce1|NCER_101299m.01	0.693934	4.173242	0.166282	1158.051496	260.948504	1.815229	4.001295	1722
Nosce1|NCER_100360m.01	Nosce1|NCER_100361m.01	0.444928	3.549101	0.125364	579.462386	113.537614	1.743748	2.860500	882
Nosce1|NCER_100362m.01	Nosce1|NCER_101539m.01	0.683430	3.548663	0.192588	816.528584	113.471416	1.613904	3.099071	993
Nosce1|NCER_100364m.01	Nosce1|NCER_101989m.01	0.503351	0.931650	0.540279	472.464260	124.535740	3.258224	1.778085	648
Nosce1|NCER_100381m.01	Nosce1|NCER_100451m.01	0.393858	99.000000	0.003978	879.791405	137.208595	1.010944	41.091927	1263
Nosce1|NCER_100414m.01	Nosce1|NCER_100491m.01	0.423071	3.758187	0.112573	842.957970	150.042030	1.072382	2.781019	1011
Nosce1|NCER_100425m.01	Nosce1|NCER_100971m.01	0.659698	4.220942	0.156292	1758.916229	278.083771	1.246612	3.437598	2295
Nosce1|NCER_100435m.01	Nosce1|NCER_100467m.01	0.429219	3.242405	0.132377	350.569880	75.430120	2.327077	2.782017	447
Nosce1|NCER_100437m.01	Nosce1|NCER_100657m.01	0.486254	3.656374	0.132988	748.004107	130.995893	1.012009	2.876075	960
Nosce1|NCER_100439m.01	Nosce1|NCER_100457m.01	0.651709	3.413368	0.190929	502.258057	94.741943	1.610836	3.269926	642
Nosce1|NCER_100442m.01	Nosce1|NCER_100492m.01	0.519608	3.179661	0.163416	416.623475	69.376525	1.460762	2.697992	582
Nosce1|NCER_100455m.01	Nosce1|NCER_101048m.01	0.778830	4.232737	0.184001	1634.508074	282.491926	1.722213	3.863408	2475
