SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Mellp1|Mellp1_46247	Mellp1|Mellp1_114885	0.002766	0.007572	0.365346	1086.509677	398.490323	4.600000	0.012167	2892
Mellp1|Mellp1_41298	Mellp1|Mellp1_46038	0.026098	0.047198	0.552954	234.082088	65.917912	4.057912	0.092203	2148
Mellp1|Mellp1_70307	Mellp1|Mellp1_62767	0.000000	0.030245	0.000010	697.200673	271.799327	10.029897	0.025451	969
Mellp1|Mellp1_105751	Mellp1|Mellp1_85625	0.419390	4.572422	0.091722	1547.672368	444.327632	1.320621	4.037247	2532
Mellp1|Mellp1_114741	Mellp1|Mellp1_101727	0.036519	0.056227	0.649495	287.718760	69.281240	1.497081	0.121031	615
Mellp1|Mellp1_114324	Mellp1|Mellp1_46519	0.003130	0.018604	0.168253	640.317960	217.682040	1.830572	0.021168	3171
Mellp1|Mellp1_114177	Mellp1|Mellp1_90480	0.680337	2.803235	0.242697	442.243812	157.756188	1.156328	3.715512	864
Mellp1|Mellp1_70215	Mellp1|Mellp1_76829	0.006601	0.012688	0.520244	304.516522	79.483478	4.600000	0.023582	645
Mellp1|Mellp1_41323	Mellp1|Mellp1_117984	0.017334	0.010266	1.688391	437.742672	147.257328	1.012008	0.046664	1065
Mellp1|Mellp1_70325	Mellp1|Mellp1_117483	0.006440	0.035066	0.183659	468.091417	146.908583	3.809543	0.039834	4059
Mellp1|Mellp1_70281	Mellp1|Mellp1_62679	0.096896	0.103384	0.937246	1872.979708	632.020292	1.686955	0.295598	3192
Mellp1|Mellp1_114691	Mellp1|Mellp1_112371	0.009379	0.079855	0.117454	322.189743	118.810257	4.600000	0.085099	942
Mellp1|Mellp1_114605	Mellp1|Mellp1_110601	0.086316	0.115008	0.750524	319.053672	94.946328	2.947519	0.278688	525
Mellp1|Mellp1_79875	Mellp1|Mellp1_73307	0.019929	0.019720	1.010588	279.784692	77.215308	0.648400	0.059650	1596
Mellp1|Mellp1_114665	Mellp1|Mellp1_87362	0.008384	0.010483	0.799774	239.936367	96.063633	4.600000	0.026952	645
Mellp1|Mellp1_90085	Mellp1|Mellp1_112816	0.797223	1.498625	0.531969	811.625029	268.374971	1.727800	2.914554	1170
Mellp1|Mellp1_84519	Mellp1|Mellp1_87412	0.007390	0.018767	0.393758	816.071209	323.928791	2.619607	0.031868	2106
Mellp1|Mellp1_114745	Mellp1|Mellp1_105555	0.000000	0.000000	99.000000	398.184148	63.815852	4.600000	0.000000	930
Mellp1|Mellp1_41310	Mellp1|Mellp1_87451	0.000000	0.000000	99.000000	469.700745	190.299255	4.600000	0.000000	669
Mellp1|Mellp1_73737	Mellp1|Mellp1_33817	0.000000	0.036322	0.000010	991.419323	340.580677	3.280095	0.027862	1392
Mellp1|Mellp1_92090	Mellp1|Mellp1_105257	0.333567	1.324943	0.251760	812.820661	267.179339	1.540424	1.736467	1626
Mellp1|Mellp1_54361	Mellp1|Mellp1_35137	0.002206	0.010388	0.212333	454.132233	193.867767	4.600000	0.013961	651
Mellp1|Mellp1_114652	Mellp1|Mellp1_84237	0.003202	0.000000	99.000000	626.027047	255.972953	4.600000	0.006817	1188
Mellp1|Mellp1_114493	Mellp1|Mellp1_63381	0.000000	0.000000	99.000000	252.221277	59.778723	4.600000	0.000000	1665
Mellp1|Mellp1_88450	Mellp1|Mellp1_87811	0.000000	0.000000	99.000000	622.041420	268.958580	4.600000	0.000000	1929
Mellp1|Mellp1_114663	Mellp1|Mellp1_111021	0.004784	0.022469	0.212930	419.542778	90.457222	4.600000	0.023763	882
Mellp1|Mellp1_114747	Mellp1|Mellp1_63736	0.347138	2.224940	0.156021	1305.447357	362.552643	1.153233	2.265878	2214
Mellp1|Mellp1_114701	Mellp1|Mellp1_86745	0.000000	0.022070	0.000010	172.856366	46.143634	4.600000	0.013950	1278
Mellp1|Mellp1_90083	Mellp1|Mellp1_25201	0.000000	0.000000	99.000000	418.482394	139.517606	4.600000	0.000000	1494
Mellp1|Mellp1_79879	Mellp1|Mellp1_118735	0.000000	0.000000	99.000000	459.733723	191.266277	4.600000	0.000000	1026
Mellp1|Mellp1_114501	Mellp1|Mellp1_109561	0.000000	0.000000	99.000000	339.758777	158.241223	4.600000	0.000000	1011
Mellp1|Mellp1_114549	Mellp1|Mellp1_110911	0.577309	3.260659	0.177053	700.389184	184.610816	1.650656	3.411166	1569
Mellp1|Mellp1_114730	Mellp1|Mellp1_103067	0.391285	3.839607	0.101907	612.037768	176.962232	1.334822	3.494093	945
Mellp1|Mellp1_89420	Mellp1|Mellp1_90235	0.562804	2.809053	0.200354	1285.199529	448.800471	1.192258	3.432561	2325
Mellp1|Mellp1_70351	Mellp1|Mellp1_65291	0.085263	0.164924	0.516983	218.978831	99.021169	4.290196	0.330204	447
Mellp1|Mellp1_118724	Mellp1|Mellp1_38091	0.043892	0.153437	0.286060	445.856461	88.143539	1.228041	0.185922	3225
Mellp1|Mellp1_69022	Mellp1|Mellp1_104445	0.000000	0.000000	99.000000	234.013161	101.986839	4.600000	0.000000	1068
Mellp1|Mellp1_69986	Mellp1|Mellp1_89824	0.025196	0.042494	0.592933	760.163083	247.836917	1.247098	0.088347	1695
Mellp1|Mellp1_114736	Mellp1|Mellp1_78164	0.002892	0.000000	99.000000	346.571736	91.428264	4.600000	0.006864	1065
Mellp1|Mellp1_89931	Mellp1|Mellp1_110089	0.434197	0.910328	0.476967	1018.445449	328.554551	2.306753	1.650998	3756
Mellp1|Mellp1_118320	Mellp1|Mellp1_73682	0.000000	0.000000	99.000000	529.445716	175.554284	4.600000	0.000000	705
Mellp1|Mellp1_114551	Mellp1|Mellp1_107763	0.085862	0.197657	0.434400	750.246790	233.753210	1.293800	0.337258	1086
Mellp1|Mellp1_114546	Mellp1|Mellp1_112066	0.030014	0.031577	0.950530	442.319104	64.680896	2.384194	0.090641	507
Mellp1|Mellp1_114538	Mellp1|Mellp1_103948	0.351663	1.721360	0.204294	470.499703	171.500297	1.081441	2.152669	1671
Mellp1|Mellp1_114505	Mellp1|Mellp1_90388	0.079900	0.128479	0.621891	433.647707	130.352293	1.596278	0.273383	690
Mellp1|Mellp1_65027	Mellp1|Mellp1_87753	0.145604	0.311633	0.467230	394.789958	151.210042	2.256015	0.574753	1812
Mellp1|Mellp1_41277	Mellp1|Mellp1_39278	0.000000	0.010881	0.000010	366.424641	92.575359	4.600000	0.006583	783
Mellp1|Mellp1_70206	Mellp1|Mellp1_113248	0.002829	0.012955	0.218378	354.222070	155.777930	1.970624	0.017766	987
Mellp1|Mellp1_114533	Mellp1|Mellp1_72773	0.104820	0.398295	0.263173	836.731433	225.268567	3.490188	0.501214	1227
Mellp1|Mellp1_88720	Mellp1|Mellp1_77302	0.005991	0.017547	0.341439	1173.364500	230.635500	0.428170	0.023669	1602
Mellp1|Mellp1_85362	Mellp1|Mellp1_85977	0.000000	0.004477	0.000010	582.956020	224.043980	4.600000	0.003729	2643
Mellp1|Mellp1_96150	Mellp1|Mellp1_94625	0.149156	0.189046	0.788992	428.367117	159.632883	1.946272	0.479956	1581
Mellp1|Mellp1_96244	Mellp1|Mellp1_108548	0.042287	0.170910	0.247420	379.221678	88.778322	1.364874	0.200058	3756
Mellp1|Mellp1_54373	Mellp1|Mellp1_52162	0.002791	0.083449	0.033449	359.025386	75.974614	4.600000	0.050635	435
Mellp1|Mellp1_70319	Mellp1|Mellp1_59455	0.271595	2.772464	0.097962	525.054924	176.945076	1.193560	2.705882	963
Mellp1|Mellp1_114737	Mellp1|Mellp1_72538	0.285678	0.608008	0.469859	517.197003	154.802997	2.089081	1.079791	1086
Mellp1|Mellp1_85864	Mellp1|Mellp1_86363	0.399853	2.237779	0.178683	946.447308	298.552692	1.639290	2.521771	1812
Mellp1|Mellp1_92522	Mellp1|Mellp1_95894	0.048173	0.099425	0.484517	1017.180310	254.819690	0.805279	0.175322	3132
Mellp1|Mellp1_88110	Mellp1|Mellp1_112485	0.012594	0.039687	0.317342	801.518097	233.481903	5.692312	0.056118	1095
Mellp1|Mellp1_41327	Mellp1|Mellp1_49980	0.010840	0.027838	0.389380	929.266526	294.733474	2.326518	0.044798	1611
Mellp1|Mellp1_114543	Mellp1|Mellp1_67842	0.282453	1.920742	0.147054	479.504288	147.495712	1.851260	2.003533	1092
Mellp1|Mellp1_69640	Mellp1|Mellp1_74518	0.005696	0.008049	0.707585	264.492934	62.507066	4.600000	0.018436	936
Mellp1|Mellp1_88125	Mellp1|Mellp1_70094	0.155198	1.794302	0.086495	1936.840104	613.159896	1.586766	1.647986	2955
Mellp1|Mellp1_114642	Mellp1|Mellp1_109169	0.001626	0.003177	0.511666	1539.736299	473.263701	4.600000	0.005971	2757
