SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Ascni1|Ascni1_313331	Ascni1|Ascni1_367271	0.674979	4.391579	0.153698	1222.872134	349.127866	1.066158	4.501212	1833
Ascni1|Ascni1_422	Ascni1|Ascni1_322488	0.656002	2.582685	0.254000	3027.568272	959.431728	1.445406	3.358918	4704
Ascni1|Ascni1_337261	Ascni1|Ascni1_341191	0.544305	4.513590	0.120593	1329.194210	410.805790	1.237640	4.444305	2187
Ascni1|Ascni1_300563	Ascni1|Ascni1_372421	0.527346	3.998550	0.131884	762.272867	206.727133	1.189470	3.803686	1359
Ascni1|Ascni1_325400	Ascni1|Ascni1_395984	0.211830	1.638256	0.129302	1161.464483	407.535517	1.970473	1.746999	1776
Ascni1|Ascni1_302116	Ascni1|Ascni1_260048	0.184868	3.581577	0.051616	394.437961	118.562039	2.179135	2.909696	519
Ascni1|Ascni1_302356	Ascni1|Ascni1_338220	0.388891	4.437763	0.087632	1122.697649	371.302351	1.550971	4.185459	1593
Ascni1|Ascni1_300502	Ascni1|Ascni1_368208	0.532619	3.596241	0.148104	452.096999	120.903001	1.476951	3.537131	699
Ascni1|Ascni1_302462	Ascni1|Ascni1_340192	0.877263	4.558264	0.192456	1501.981257	436.018743	1.236124	5.116287	2625
Ascni1|Ascni1_392224	Ascni1|Ascni1_339702	0.736554	1.816887	0.405393	1559.577165	543.422835	1.998287	3.047147	2691
Ascni1|Ascni1_313386	Ascni1|Ascni1_323764	0.696053	2.598931	0.267823	779.258095	222.741905	1.286995	3.357174	1101
Ascni1|Ascni1_337304	Ascni1|Ascni1_122926	0.442974	2.061864	0.214841	1149.212547	338.787453	1.124869	2.434687	1617
Ascni1|Ascni1_300775	Ascni1|Ascni1_361589	0.445488	3.063305	0.145427	258.593290	59.406710	0.858692	2.803596	729
Ascni1|Ascni1_392240	Ascni1|Ascni1_310303	0.912538	2.443689	0.373426	1213.264682	394.735318	1.308820	3.865225	2127
Ascni1|Ascni1_360842	Ascni1|Ascni1_2535	0.795976	1.794797	0.443491	1875.755988	641.244012	1.435722	3.151322	3051
Ascni1|Ascni1_337322	Ascni1|Ascni1_273648	0.206453	4.037600	0.051133	742.224191	217.775809	2.125681	3.226643	972
Ascni1|Ascni1_360854	Ascni1|Ascni1_184010	0.604681	0.783603	0.771667	633.300893	230.699107	2.189653	1.957365	1017
Ascni1|Ascni1_353205	Ascni1|Ascni1_306924	0.020439	1.515866	0.013484	198.413345	47.586655	1.047229	0.929151	246
Ascni1|Ascni1_376267	Ascni1|Ascni1_331482	0.670467	4.720810	0.142024	1723.461686	541.538314	1.447832	4.916587	2907
Ascni1|Ascni1_301054	Ascni1|Ascni1_366326	0.431846	3.259823	0.132475	273.797581	77.202419	1.187520	3.161578	738
Ascni1|Ascni1_313450	Ascni1|Ascni1_304782	0.719065	4.075517	0.176435	637.931174	229.068826	1.240338	4.817604	1095
Ascni1|Ascni1_360869	Ascni1|Ascni1_368826	0.694590	2.211438	0.314090	529.563627	169.436373	1.702234	3.186814	1377
Ascni1|Ascni1_368007	Ascni1|Ascni1_349167	0.600639	2.115916	0.283867	489.601932	110.398068	1.483164	2.638334	1062
Ascni1|Ascni1_313502	Ascni1|Ascni1_342614	0.624953	4.342180	0.143926	1176.126559	326.873441	1.102720	4.300133	1791
Ascni1|Ascni1_337380	Ascni1|Ascni1_308836	0.721612	2.610288	0.276449	1156.332652	379.667348	1.669579	3.565362	1674
Ascni1|Ascni1_301510	Ascni1|Ascni1_327920	0.654972	4.132671	0.158486	808.792381	247.207619	1.442528	4.407285	1452
Ascni1|Ascni1_325603	Ascni1|Ascni1_108183	0.914770	2.744795	0.333274	1063.519574	340.480426	1.028060	4.075694	1692
Ascni1|Ascni1_337391	Ascni1|Ascni1_338754	0.095427	3.812166	0.025032	889.164185	331.835815	1.621706	3.316617	1251
Ascni1|Ascni1_353247	Ascni1|Ascni1_307776	0.019589	2.095303	0.009349	155.461919	30.538081	5.529952	1.081158	186
Ascni1|Ascni1_4695	Ascni1|Ascni1_341351	0.668508	1.751076	0.381770	786.312408	260.687592	1.568403	2.814154	1194
Ascni1|Ascni1_325635	Ascni1|Ascni1_327728	0.497427	3.305226	0.150497	647.280436	195.719564	1.398081	3.447944	921
Ascni1|Ascni1_360932	Ascni1|Ascni1_333012	0.810968	2.570383	0.315505	1016.199695	342.800305	1.025192	3.764313	1746
Ascni1|Ascni1_300640	Ascni1|Ascni1_112960	0.677171	4.446109	0.152306	1211.542703	375.457297	1.057312	4.706513	2172
Ascni1|Ascni1_4915	Ascni1|Ascni1_374582	0.192858	2.476218	0.077884	746.015691	243.984309	1.787480	2.266768	1125
Ascni1|Ascni1_5318	Ascni1|Ascni1_360086	0.624649	4.616545	0.135307	1664.748074	471.251926	1.306490	4.516065	2445
Ascni1|Ascni1_392382	Ascni1|Ascni1_361391	0.750845	1.904425	0.394264	848.054166	294.945834	1.633071	3.145563	1257
Ascni1|Ascni1_360972	Ascni1|Ascni1_316020	0.627241	3.021607	0.207585	1565.248597	516.751403	1.266722	3.664566	2280
Ascni1|Ascni1_345655	Ascni1|Ascni1_299840	0.222740	3.975812	0.056024	699.446193	200.553807	1.439478	3.177196	1011
Ascni1|Ascni1_325730	Ascni1|Ascni1_320566	0.840177	2.705794	0.310511	1598.862045	477.137955	1.112131	3.806885	2478
Ascni1|Ascni1_337473	Ascni1|Ascni1_301615	0.698459	4.317644	0.161768	1051.646863	316.353137	1.300678	4.606211	1758
Ascni1|Ascni1_392416	Ascni1|Ascni1_371333	0.622319	3.746759	0.166095	590.226780	147.773220	0.890516	3.743822	849
Ascni1|Ascni1_6423	Ascni1|Ascni1_338244	0.075412	2.190844	0.034421	759.811128	257.188872	2.104930	1.831149	1032
