SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Leumo1|Leumo1_1124728	Leumo1|Leumo1_1124729	0.066322	0.371887	0.178339	1202.378514	447.621486	3.710863	0.447653	1659
Leumo1|Leumo1_1028127	Leumo1|Leumo1_1028811	0.082933	0.145238	0.571015	1053.805934	509.194066	7.244115	0.309692	1572
Leumo1|Leumo1_1043060	Leumo1|Leumo1_1081065	0.155374	1.287419	0.120687	304.055604	115.944396	2.726158	1.403654	420
Leumo1|Leumo1_1000050	Leumo1|Leumo1_1062097	0.280644	2.133893	0.131517	1189.520989	457.479011	2.498254	2.386236	1746
Leumo1|Leumo1_1116076	Leumo1|Leumo1_1191059	0.372833	2.728993	0.136619	393.301369	140.698631	2.336236	2.980907	543
Leumo1|Leumo1_1138397	Leumo1|Leumo1_1031767	0.194160	4.103579	0.047315	731.197838	237.802162	1.456707	3.460711	969
Leumo1|Leumo1_1101661	Leumo1|Leumo1_1037541	0.561988	2.339989	0.240167	1550.522651	579.477349	1.597320	3.137106	2253
Leumo1|Leumo1_1101653	Leumo1|Leumo1_1018201	0.648438	5.346727	0.121278	713.918675	240.081325	1.059738	5.492394	1104
Leumo1|Leumo1_35267	Leumo1|Leumo1_1054590	0.233371	2.746774	0.084962	180.046653	38.953347	0.878951	2.041284	237
Leumo1|Leumo1_1109145	Leumo1|Leumo1_22065	0.648966	1.967528	0.329838	702.531764	251.468236	1.369818	2.989591	1350
Leumo1|Leumo1_1124689	Leumo1|Leumo1_1071375	0.401533	3.717552	0.108010	508.870886	142.129114	1.164723	3.376502	777
Leumo1|Leumo1_1078171	Leumo1|Leumo1_1197914	0.746525	2.098290	0.355778	712.468804	247.531196	1.782381	3.285212	1380
Leumo1|Leumo1_34644	Leumo1|Leumo1_1064663	0.849733	4.507810	0.188502	1239.348034	407.651966	1.237642	5.265451	1851
Leumo1|Leumo1_1124683	Leumo1|Leumo1_1199039	0.186048	5.253804	0.035412	4168.791200	1102.208800	1.130038	3.737271	5391
Leumo1|Leumo1_33880	Leumo1|Leumo1_449977	0.273289	1.689791	0.161730	543.503424	221.496576	1.398933	2.050261	780
Leumo1|Leumo1_1101631	Leumo1|Leumo1_1065670	0.295935	2.519169	0.117473	546.997639	179.002361	2.171916	2.532285	753
Leumo1|Leumo1_1028051	Leumo1|Leumo1_1054076	0.319821	2.333679	0.137046	981.291398	377.708602	1.677995	2.638606	1389
Leumo1|Leumo1_33191	Leumo1|Leumo1_1028815	0.044414	0.118173	0.375835	1059.446663	482.553337	6.278817	0.202488	1542
Leumo1|Leumo1_1028042	Leumo1|Leumo1_1134084	0.232738	1.734115	0.134212	922.960170	331.039830	2.735334	1.887247	1260
Leumo1|Leumo1_1054063	Leumo1|Leumo1_1190697	0.818827	2.615940	0.313014	1041.056818	368.943182	1.212894	3.867189	1680
Leumo1|Leumo1_1138046	Leumo1|Leumo1_205922	0.540622	3.853030	0.140311	537.731996	170.268004	1.159285	4.011685	1038
Leumo1|Leumo1_1028021	Leumo1|Leumo1_1117524	0.576079	2.409310	0.239105	1073.536305	345.463695	1.097215	3.067168	1596
Leumo1|Leumo1_31114	Leumo1|Leumo1_1040263	0.215706	4.084351	0.052813	806.216915	231.783085	1.081116	3.238699	1164
Leumo1|Leumo1_30967	Leumo1|Leumo1_1009778	0.961009	3.687009	0.260647	2693.355841	906.644159	1.441006	4.942621	4626
Leumo1|Leumo1_1137936	Leumo1|Leumo1_1033238	0.814572	5.038030	0.161685	2719.356390	826.643610	1.150057	5.397435	5709
Leumo1|Leumo1_30437	Leumo1|Leumo1_1058672	0.807801	4.284848	0.188525	942.182434	302.817566	1.192078	4.960537	1458
Leumo1|Leumo1_1124617	Leumo1|Leumo1_1006090	0.794434	3.325796	0.238870	1083.401288	398.598712	1.565854	4.425808	1569
Leumo1|Leumo1_1027988	Leumo1|Leumo1_1031144	0.344802	2.285678	0.150853	425.089179	147.910821	1.631379	2.537426	582
Leumo1|Leumo1_1101580	Leumo1|Leumo1_1027982	0.890351	1.934387	0.460276	1311.384519	491.615481	1.699474	3.525071	2289
Leumo1|Leumo1_1027984	Leumo1|Leumo1_1016879	0.572936	2.094481	0.273546	1125.075052	386.924948	1.489338	2.886910	1584
Leumo1|Leumo1_999248	Leumo1|Leumo1_1104297	0.693109	3.557735	0.194817	686.764447	231.235553	1.083747	4.244043	1149
Leumo1|Leumo1_1124599	Leumo1|Leumo1_599855	0.281280	0.360838	0.779520	1173.929446	470.070554	2.661354	0.912085	1782
Leumo1|Leumo1_1027964	Leumo1|Leumo1_493316	0.093783	0.212381	0.441579	130.493348	46.506652	1.391318	0.374833	312
Leumo1|Leumo1_1124597	Leumo1|Leumo1_1027959	0.259395	1.437368	0.180465	1231.187958	451.812042	2.338221	1.726887	1698
Leumo1|Leumo1_1027957	Leumo1|Leumo1_1126089	0.879762	1.726512	0.509560	766.882778	292.117222	1.723062	3.339995	1095
Leumo1|Leumo1_1027956	Leumo1|Leumo1_1113485	0.487512	4.287954	0.113693	973.925863	304.074137	1.626258	4.175250	1431
Leumo1|Leumo1_999274	Leumo1|Leumo1_974945	0.200415	1.220032	0.164270	2060.856950	810.143050	3.148630	1.464397	3069
Leumo1|Leumo1_985131	Leumo1|Leumo1_1005419	0.319213	1.398528	0.228249	381.671483	152.328517	3.030364	1.881293	702
Leumo1|Leumo1_1101537	Leumo1|Leumo1_1108685	0.265842	2.322314	0.114473	606.533108	203.466892	1.714075	2.347244	819
Leumo1|Leumo1_1101536	Leumo1|Leumo1_1013023	0.236854	4.100220	0.057766	921.260482	236.739518	1.110269	3.080022	1422
Leumo1|Leumo1_999355	Leumo1|Leumo1_1013059	0.260591	3.250105	0.080179	220.791501	76.208499	1.667740	3.083049	369
Leumo1|Leumo1_999539	Leumo1|Leumo1_1076740	0.349686	2.931615	0.119281	371.286293	129.713707	1.579972	3.054517	591
Leumo1|Leumo1_983397	Leumo1|Leumo1_977353	0.275005	1.785405	0.154029	164.939487	72.060513	4.239269	2.202739	243
Leumo1|Leumo1_978438	Leumo1|Leumo1_991153	0.215158	99.000000	0.002173	157.586559	40.413441	0.436514	61.133890	225
Leumo1|Leumo1_1124568	Leumo1|Leumo1_1115962	0.567480	3.610617	0.157170	392.757320	123.242680	1.394685	3.882929	1995
Leumo1|Leumo1_1042937	Leumo1|Leumo1_998865	0.649926	1.915124	0.339365	652.762720	247.237280	2.230221	2.992458	912
Leumo1|Leumo1_25161	Leumo1|Leumo1_1037102	0.687422	2.234816	0.307597	676.726315	226.273685	1.445221	3.225503	1356
Leumo1|Leumo1_1109030	Leumo1|Leumo1_1027725	0.678697	4.329306	0.156768	962.689297	321.310703	1.539255	4.776699	1902
Leumo1|Leumo1_1027908	Leumo1|Leumo1_1030015	0.575361	1.945915	0.295676	861.510541	320.489459	1.254821	2.840926	1293
