SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Cybja1|Cybja1_525	Cybja1|Cybja1_173590	0.403248	1.532760	0.263086	574.594476	187.405524	1.282489	2.043116	1656
Cybja1|Cybja1_165269	Cybja1|Cybja1_170317	0.827038	1.851479	0.446691	1323.811648	431.188352	1.824859	3.236203	2037
Cybja1|Cybja1_165272	Cybja1|Cybja1_165687	0.688768	2.135340	0.322556	863.296167	270.703833	1.655166	3.102263	1305
Cybja1|Cybja1_165274	Cybja1|Cybja1_175722	0.256224	2.514709	0.101890	1394.760805	438.239195	1.843872	2.388568	1947
Cybja1|Cybja1_165284	Cybja1|Cybja1_194468	0.661527	4.352131	0.152001	1201.760694	331.239306	1.203398	4.376896	1821
Cybja1|Cybja1_116117	Cybja1|Cybja1_145857	0.609520	2.295986	0.265472	873.264593	257.735407	1.462719	2.981509	1413
Cybja1|Cybja1_133448	Cybja1|Cybja1_168933	0.742848	4.159852	0.178576	919.668960	256.331040	1.072952	4.462943	1356
Cybja1|Cybja1_121864	Cybja1|Cybja1_133540	0.661320	2.334836	0.283240	398.648638	135.351362	2.066133	3.256502	765
Cybja1|Cybja1_122456	Cybja1|Cybja1_192214	0.155925	1.337474	0.116582	1199.960755	477.039245	2.110717	1.476086	1740
Cybja1|Cybja1_122139	Cybja1|Cybja1_14360	0.399142	2.548270	0.156633	1518.702051	467.297949	1.329524	2.714471	2055
Cybja1|Cybja1_182093	Cybja1|Cybja1_169378	0.421792	4.017836	0.104980	699.888079	212.111921	1.066077	3.774468	936
Cybja1|Cybja1_187640	Cybja1|Cybja1_167451	0.554351	1.810647	0.306162	877.776824	313.223176	1.442058	2.654239	1551
Cybja1|Cybja1_145243	Cybja1|Cybja1_81493	0.471097	2.347567	0.200674	1051.118792	337.881208	1.287293	2.782673	1422
Cybja1|Cybja1_182096	Cybja1|Cybja1_165364	0.447122	2.984001	0.149840	922.309441	250.690559	1.271792	2.967891	1275
Cybja1|Cybja1_192816	Cybja1|Cybja1_166388	0.411109	3.679966	0.111715	1232.556008	375.443992	1.296879	3.523014	1689
Cybja1|Cybja1_2260	Cybja1|Cybja1_177003	0.584729	4.248083	0.137645	986.668665	288.331335	1.558339	4.239505	2076
Cybja1|Cybja1_170352	Cybja1|Cybja1_175881	0.417616	0.351695	1.187440	272.914967	84.085033	2.482092	1.206269	858
Cybja1|Cybja1_182103	Cybja1|Cybja1_146441	0.811436	2.794316	0.290388	701.671092	207.328908	1.169509	3.791100	1323
Cybja1|Cybja1_165313	Cybja1|Cybja1_169630	0.751119	3.901683	0.192511	667.320492	181.679508	0.894308	4.275946	1542
Cybja1|Cybja1_145274	Cybja1|Cybja1_173315	0.652450	1.946752	0.335148	593.169620	195.830380	1.165970	2.921089	900
Cybja1|Cybja1_165314	Cybja1|Cybja1_131384	0.746226	1.770284	0.421529	1590.902519	473.097481	1.414576	2.942864	2448
Cybja1|Cybja1_122229	Cybja1|Cybja1_170049	0.808995	4.554340	0.177632	1468.256317	433.743683	1.224748	4.989318	2421
Cybja1|Cybja1_123287	Cybja1|Cybja1_167607	0.756950	1.506207	0.502554	763.005793	244.994207	1.486236	2.817170	1155
Cybja1|Cybja1_176134	Cybja1|Cybja1_120404	0.625002	2.183225	0.286275	831.731044	266.268956	1.273118	3.008630	1626
Cybja1|Cybja1_192825	Cybja1|Cybja1_166126	0.429917	3.632987	0.118337	440.025979	126.974021	0.857427	3.441638	630
Cybja1|Cybja1_165318	Cybja1|Cybja1_166265	0.633620	3.987388	0.158906	747.326756	203.673244	1.110918	4.055663	1161
Cybja1|Cybja1_170372	Cybja1|Cybja1_166267	0.437342	2.224090	0.196639	745.494499	253.505501	0.921664	2.672237	1029
Cybja1|Cybja1_182119	Cybja1|Cybja1_121836	0.723970	3.616232	0.200200	403.831062	124.168938	1.801860	4.212416	576
Cybja1|Cybja1_121637	Cybja1|Cybja1_168646	0.577930	1.420378	0.406885	462.181914	170.818086	2.577121	2.415805	651
Cybja1|Cybja1_165335	Cybja1|Cybja1_170082	0.171509	0.262019	0.654569	183.246547	65.753453	3.216792	0.586231	321
Cybja1|Cybja1_182135	Cybja1|Cybja1_169567	0.849862	4.007288	0.212079	777.850326	209.149674	1.157538	4.556804	1902
Cybja1|Cybja1_182141	Cybja1|Cybja1_124619	0.882464	3.852722	0.229050	1661.957284	480.042716	1.351016	4.644383	2457
Cybja1|Cybja1_123050	Cybja1|Cybja1_172689	0.507566	2.941595	0.172548	247.424488	79.575512	0.944006	3.299661	414
Cybja1|Cybja1_159959	Cybja1|Cybja1_164614	1.026832	2.594999	0.395697	2622.441517	749.558483	1.315911	4.126255	3861
Cybja1|Cybja1_165356	Cybja1|Cybja1_125552	0.319057	3.074058	0.103790	336.562112	113.437888	1.524263	3.040648	1119
Cybja1|Cybja1_165358	Cybja1|Cybja1_131770	0.315580	2.557276	0.123405	1571.367705	432.632295	1.163565	2.398582	2283
Cybja1|Cybja1_192854	Cybja1|Cybja1_177795	0.008900	0.168702	0.052756	282.708905	107.291095	2.552244	0.158587	408
Cybja1|Cybja1_133635	Cybja1|Cybja1_185106	0.000000	0.194545	0.000010	212.988879	42.011121	0.402442	0.096154	309
Cybja1|Cybja1_170418	Cybja1|Cybja1_168311	0.605577	3.576534	0.169320	557.232534	117.767466	0.486642	3.371763	774
Cybja1|Cybja1_165368	Cybja1|Cybja1_133153	0.844024	2.748601	0.307074	1065.764729	317.235271	1.159803	3.842699	2157
Cybja1|Cybja1_165369	Cybja1|Cybja1_178883	0.612425	3.931059	0.155791	768.063317	188.936683	1.013894	3.802829	1344
Cybja1|Cybja1_176180	Cybja1|Cybja1_167547	0.752276	2.312934	0.325247	733.679136	196.320864	1.115795	3.245182	1302
