SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Dacsp1|Dacsp1_102949	Dacsp1|Dacsp1_19361	0.126923	0.201670	0.629360	342.737916	74.262084	0.751175	0.420703	1272
Dacsp1|Dacsp1_97673	Dacsp1|Dacsp1_83970	1.094984	2.300952	0.475883	2290.382853	820.617147	1.146742	4.239280	3945
Dacsp1|Dacsp1_73224	Dacsp1|Dacsp1_23543	0.524829	4.245623	0.123616	923.830968	240.169032	1.431733	3.877629	1323
Dacsp1|Dacsp1_45575	Dacsp1|Dacsp1_44907	0.314497	4.399161	0.071490	1222.324828	352.675172	1.556168	3.687415	1662
Dacsp1|Dacsp1_112830	Dacsp1|Dacsp1_78840	0.650749	4.339956	0.149944	1045.094231	325.905769	1.315706	4.583174	1470
Dacsp1|Dacsp1_112832	Dacsp1|Dacsp1_45629	0.503577	3.877892	0.129858	540.993080	176.006920	1.001842	3.995679	1005
Dacsp1|Dacsp1_102968	Dacsp1|Dacsp1_23066	0.749479	2.668284	0.280884	1272.293235	410.706765	1.410401	3.653190	2139
Dacsp1|Dacsp1_102978	Dacsp1|Dacsp1_112960	0.444996	2.043966	0.217712	921.025349	389.974651	1.627067	2.761894	1464
Dacsp1|Dacsp1_44590	Dacsp1|Dacsp1_50999	0.658980	1.389904	0.474119	259.353098	91.646902	1.973930	2.549479	522
Dacsp1|Dacsp1_102986	Dacsp1|Dacsp1_102987	0.158351	1.209407	0.130933	1104.561117	377.438883	2.224847	1.278108	1656
Dacsp1|Dacsp1_27313	Dacsp1|Dacsp1_15823	0.021534	0.097133	0.221699	329.840475	144.159525	2.755716	0.133579	576
Dacsp1|Dacsp1_45641	Dacsp1|Dacsp1_52226	0.027153	0.161544	0.168082	1791.453181	533.546819	2.645354	0.173979	2382
Dacsp1|Dacsp1_19377	Dacsp1|Dacsp1_20601	0.777178	2.094469	0.371062	1167.944150	389.055850	1.735559	3.319010	1656
Dacsp1|Dacsp1_73257	Dacsp1|Dacsp1_99922	0.123202	0.235047	0.524161	2450.594451	795.405549	1.453957	0.451826	3417
Dacsp1|Dacsp1_19385	Dacsp1|Dacsp1_93179	0.652656	3.072539	0.212416	493.261663	184.738337	1.620399	3.936045	1491
Dacsp1|Dacsp1_103009	Dacsp1|Dacsp1_67093	0.395326	4.145767	0.095357	870.438024	251.561976	1.371582	3.708621	1149
Dacsp1|Dacsp1_112864	Dacsp1|Dacsp1_21306	0.829008	4.689969	0.176762	1499.279107	519.720893	1.207982	5.468632	2322
Dacsp1|Dacsp1_73313	Dacsp1|Dacsp1_86848	0.916361	1.799480	0.509236	961.975726	367.024274	1.557930	3.480744	1704
Dacsp1|Dacsp1_112882	Dacsp1|Dacsp1_111420	0.718192	2.062720	0.348177	581.818067	180.181933	2.026542	3.108354	834
Dacsp1|Dacsp1_19424	Dacsp1|Dacsp1_19425	0.568196	3.554182	0.159867	572.690603	114.309397	0.899509	3.195094	903
Dacsp1|Dacsp1_19426	Dacsp1|Dacsp1_111597	0.795205	4.085062	0.194662	742.997142	232.002858	1.518457	4.734095	1407
Dacsp1|Dacsp1_44672	Dacsp1|Dacsp1_108731	0.777472	4.694653	0.165608	1763.023075	522.976925	1.148446	5.020861	3426
Dacsp1|Dacsp1_37588	Dacsp1|Dacsp1_77752	0.474144	3.418181	0.138712	306.648099	95.351901	1.008915	3.517354	795
Dacsp1|Dacsp1_19436	Dacsp1|Dacsp1_86033	0.575776	2.140511	0.268990	830.391525	276.608475	10.109056	2.900279	1137
Dacsp1|Dacsp1_73385	Dacsp1|Dacsp1_106418	0.619833	4.392590	0.141109	1132.401062	349.598938	1.292095	4.529443	1611
Dacsp1|Dacsp1_19441	Dacsp1|Dacsp1_53124	0.747498	2.792632	0.267668	1398.155818	416.844182	1.542907	3.651589	2250
Dacsp1|Dacsp1_97738	Dacsp1|Dacsp1_20784	0.765437	3.952290	0.193669	609.638461	194.361539	0.736538	4.607511	957
Dacsp1|Dacsp1_45488	Dacsp1|Dacsp1_20661	0.493567	3.000589	0.164490	200.358953	54.641047	1.113470	3.092305	345
Dacsp1|Dacsp1_45144	Dacsp1|Dacsp1_20254	0.425154	3.462349	0.122793	369.864135	101.135865	1.001836	3.231953	507
Dacsp1|Dacsp1_44353	Dacsp1|Dacsp1_104611	0.481912	3.792136	0.127082	1115.465669	345.534331	1.299943	3.794394	1680
Dacsp1|Dacsp1_19458	Dacsp1|Dacsp1_114586	1.068044	2.121631	0.503407	1513.817160	490.182840	1.780240	3.977261	2571
Dacsp1|Dacsp1_19459	Dacsp1|Dacsp1_45417	0.331020	1.817604	0.182119	983.218216	318.781784	1.263524	2.084987	1350
Dacsp1|Dacsp1_12930	Dacsp1|Dacsp1_19466	0.379947	2.197253	0.172919	418.829959	145.170041	1.346751	2.543130	1848
Dacsp1|Dacsp1_19460	Dacsp1|Dacsp1_45179	0.761927	3.223130	0.236394	283.041668	94.958332	1.865392	4.140636	525
Dacsp1|Dacsp1_44558	Dacsp1|Dacsp1_53038	0.530539	3.211206	0.165215	221.643257	72.356743	2.568355	3.570845	393
Dacsp1|Dacsp1_60727	Dacsp1|Dacsp1_114487	0.784528	2.111255	0.371593	1107.566897	413.433103	1.461985	3.435463	1749
Dacsp1|Dacsp1_19473	Dacsp1|Dacsp1_20860	0.249799	3.511243	0.071143	435.051172	107.948828	1.043256	2.694530	546
Dacsp1|Dacsp1_19475	Dacsp1|Dacsp1_23140	0.720259	2.958482	0.243456	953.073590	288.926410	1.199268	3.722810	1281
Dacsp1|Dacsp1_45535	Dacsp1|Dacsp1_21768	0.555834	3.824636	0.145330	691.057707	163.942293	1.719006	3.547835	963
Dacsp1|Dacsp1_19478	Dacsp1|Dacsp1_22649	0.697578	1.976508	0.352935	725.668753	291.331247	1.192781	3.191827	1149
Dacsp1|Dacsp1_73496	Dacsp1|Dacsp1_19918	0.791033	2.470659	0.320171	755.429477	252.570523	1.105290	3.635669	1308
Dacsp1|Dacsp1_19485	Dacsp1|Dacsp1_80416	0.593125	2.599456	0.228173	488.019000	162.981000	1.511066	3.286259	717
Dacsp1|Dacsp1_103150	Dacsp1|Dacsp1_119922	0.892562	2.145518	0.416012	1217.768428	396.231572	1.688186	3.600475	2085
