SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Enche1|EHEL_010030m.01	Enche1|EHEL_011360m.01	0.000000	0.000000	99.000000	1969.739016	625.260984	4.600000	0.000000	2595
Enche1|EHEL_010040m.01	Enche1|EHEL_011350m.01	0.000000	0.000000	99.000000	442.059806	169.940194	4.600000	0.000000	612
Enche1|EHEL_010050m.01	Enche1|EHEL_011340m.01	0.000000	0.000000	99.000000	661.426237	220.573763	4.600000	0.000000	882
Enche1|EHEL_010060m.01	Enche1|EHEL_011330m.01	0.000000	0.000000	99.000000	1044.305664	335.694336	4.600000	0.000000	1380
Enche1|EHEL_010070m.01	Enche1|EHEL_011320m.01	0.000000	0.000000	99.000000	1415.828531	399.171469	4.600000	0.000000	1815
Enche1|EHEL_010080m.01	Enche1|EHEL_011310m.01	0.000000	0.000000	99.000000	418.468157	124.531843	4.600000	0.000000	543
Enche1|EHEL_010200m.01	Enche1|EHEL_101340m.01	0.681248	4.657319	0.146275	1923.418839	497.581161	1.295350	4.495316	3789
Enche1|EHEL_010500m.01	Enche1|EHEL_030880m.01	0.914273	3.686648	0.247996	1065.448410	302.551590	1.472661	4.582262	1743
Enche1|EHEL_010810m.01	Enche1|EHEL_101330m.01	0.745840	3.481590	0.214224	361.235911	103.764089	1.237854	4.068956	498
Enche1|EHEL_010890m.01	Enche1|EHEL_040530m.01	0.695046	3.456477	0.201085	396.453920	110.546080	1.244972	3.891442	582
Enche1|EHEL_010960m.01	Enche1|EHEL_070280m.01	0.837803	2.906175	0.288284	664.753242	199.246758	2.027141	3.944368	1164
Enche1|EHEL_011060m.01	Enche1|EHEL_091960m.01	1.032242	2.332643	0.442521	2179.181656	628.818344	1.871293	3.970355	3249
Enche1|EHEL_011110m.01	Enche1|EHEL_101740m.01	0.857791	2.260830	0.379414	1303.855251	433.144749	1.975414	3.622973	1914
Enche1|EHEL_011130m.01	Enche1|EHEL_051240m.01	0.678366	4.281307	0.158448	1167.533700	341.466300	1.346212	4.480988	2349
Enche1|EHEL_011200m.01	Enche1|EHEL_081250m.01	0.961293	1.984002	0.484522	1649.654290	471.345710	1.442676	3.565704	2949
Enche1|EHEL_011210m.01	Enche1|EHEL_030340m.01	0.914963	4.191361	0.218297	810.615200	251.384800	1.400898	5.071546	1344
Enche1|EHEL_100010m.01	Enche1|EHEL_071840m.01	0.000000	0.000000	99.000000	680.029474	213.970526	4.600000	0.000000	894
Enche1|EHEL_100020m.01	Enche1|EHEL_112000m.01	0.000000	0.000000	99.000000	642.049353	203.950647	4.600000	0.000000	846
Enche1|EHEL_100030m.01	Enche1|EHEL_111990m.01	0.000000	0.000000	99.000000	401.865759	84.134241	4.600000	0.000000	546
Enche1|EHEL_100050m.01	Enche1|EHEL_111970m.01	0.000000	0.000000	99.000000	284.440504	81.559496	4.600000	0.000000	366
Enche1|EHEL_100060m.01	Enche1|EHEL_111960m.01	0.000000	0.000000	99.000000	641.171129	183.828871	4.600000	0.000000	825
Enche1|EHEL_100070m.01	Enche1|EHEL_081890m.01	0.000000	0.000000	99.000000	476.451772	159.548228	4.600000	0.000000	636
Enche1|EHEL_100080m.01	Enche1|EHEL_081900m.01	0.000000	0.000000	99.000000	705.987182	266.012818	4.600000	0.000000	1155
Enche1|EHEL_100090m.01	Enche1|EHEL_081910m.01	0.000000	0.000000	99.000000	788.055562	264.944438	4.600000	0.000000	1053
Enche1|EHEL_100100m.01	Enche1|EHEL_081920m.01	0.000000	0.000000	99.000000	901.903089	259.096911	4.600000	0.000000	1161
Enche1|EHEL_100140m.01	Enche1|EHEL_081860m.01	0.000000	0.000000	99.000000	227.902409	87.097591	4.600000	0.000000	315
Enche1|EHEL_100230m.01	Enche1|EHEL_060940m.01	0.870907	4.405161	0.197702	1183.491780	355.508220	1.455708	5.061954	1614
Enche1|EHEL_100240m.01	Enche1|EHEL_110200m.01	0.619991	3.299692	0.187894	2490.008262	713.991738	1.316130	3.651439	3549
Enche1|EHEL_100330m.01	Enche1|EHEL_110330m.01	0.932166	4.291109	0.217232	1125.643966	305.356034	1.247112	4.946758	1803
Enche1|EHEL_100360m.01	Enche1|EHEL_020330m.01	0.886423	2.788919	0.317838	468.097705	137.902295	1.492405	3.958074	639
Enche1|EHEL_100430m.01	Enche1|EHEL_100520m.01	0.759118	1.743204	0.435473	1166.502647	402.497353	1.912559	3.034701	1680
Enche1|EHEL_100450m.01	Enche1|EHEL_101710m.01	0.807409	2.071117	0.389842	905.122841	282.877159	1.823175	3.324940	1359
Enche1|EHEL_100460m.01	Enche1|EHEL_101380m.01	1.053018	2.904861	0.362502	1120.865264	343.134736	1.376980	4.461168	1728
Enche1|EHEL_100540m.01	Enche1|EHEL_081300m.01	0.727146	2.121280	0.342786	1226.428926	417.571074	1.331954	3.243754	1689
Enche1|EHEL_100570m.01	Enche1|EHEL_070490m.01	0.922495	2.424224	0.380532	727.543395	211.456605	1.666736	3.782024	1041
Enche1|EHEL_100660m.01	Enche1|EHEL_091370m.01	0.812157	1.537867	0.528106	642.217625	197.782375	1.676254	2.949087	1155
