SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Lenti6_1|Lenti6_1_516600	Lenti6_1|Lenti6_1_550075	0.378314	3.397967	0.111335	342.183704	92.816296	0.843927	3.067859	543
Lenti6_1|Lenti6_1_590339	Lenti6_1|Lenti6_1_516615	0.462718	3.945659	0.117273	899.349256	192.650744	1.044848	3.231536	1149
Lenti6_1|Lenti6_1_538371	Lenti6_1|Lenti6_1_503063	0.682599	3.997105	0.170773	972.670632	206.329368	0.980621	3.787949	1323
Lenti6_1|Lenti6_1_582810	Lenti6_1|Lenti6_1_544099	0.586885	3.989817	0.147096	761.666105	204.333895	0.907972	3.920078	1293
Lenti6_1|Lenti6_1_597250	Lenti6_1|Lenti6_1_648562	0.731879	3.775706	0.193839	515.411883	153.588117	1.653795	4.292029	792
Lenti6_1|Lenti6_1_569630	Lenti6_1|Lenti6_1_648951	0.732212	4.291247	0.170629	1005.587619	305.412381	1.087696	4.683989	2754
Lenti6_1|Lenti6_1_582804	Lenti6_1|Lenti6_1_576103	0.537514	4.198266	0.128032	1182.198230	269.801770	0.652110	3.653197	2682
Lenti6_1|Lenti6_1_559441	Lenti6_1|Lenti6_1_557786	0.762753	4.628444	0.164797	1534.211581	478.788419	1.068684	5.046602	3012
Lenti6_1|Lenti6_1_582791	Lenti6_1|Lenti6_1_610524	0.878898	4.406594	0.199451	1503.812017	356.187983	0.997430	4.663343	2178
Lenti6_1|Lenti6_1_491163	Lenti6_1|Lenti6_1_507620	0.379406	4.169786	0.090989	1147.251424	259.748576	1.188023	3.237463	1632
Lenti6_1|Lenti6_1_491976	Lenti6_1|Lenti6_1_600854	0.488004	3.218498	0.151625	961.054796	319.945204	1.124421	3.509935	1512
Lenti6_1|Lenti6_1_569584	Lenti6_1|Lenti6_1_605533	0.461384	1.639800	0.281366	924.168139	335.831861	1.563728	2.326413	1485
Lenti6_1|Lenti6_1_14186	Lenti6_1|Lenti6_1_553768	0.383121	3.373334	0.113574	2367.914174	806.085826	1.404050	3.427595	3219
Lenti6_1|Lenti6_1_569577	Lenti6_1|Lenti6_1_592588	0.816048	4.303047	0.189644	1048.744465	310.255535	1.396086	4.836358	1731
Lenti6_1|Lenti6_1_491879	Lenti6_1|Lenti6_1_498619	0.707023	4.292429	0.164714	1233.106091	305.893909	1.077033	4.258990	1794
Lenti6_1|Lenti6_1_569573	Lenti6_1|Lenti6_1_109640	0.304175	3.766201	0.080764	745.346025	151.653975	1.678010	2.668478	921
Lenti6_1|Lenti6_1_569565	Lenti6_1|Lenti6_1_578841	0.482385	4.048447	0.119153	895.051619	220.948381	1.555264	3.565208	1419
Lenti6_1|Lenti6_1_569561	Lenti6_1|Lenti6_1_579257	0.897573	4.638877	0.193489	1527.504863	485.495137	1.166299	5.399701	2286
Lenti6_1|Lenti6_1_569553	Lenti6_1|Lenti6_1_497259	0.168464	4.220906	0.039912	1347.929661	278.070339	1.389863	2.584477	1641
Lenti6_1|Lenti6_1_569551	Lenti6_1|Lenti6_1_333233	0.870594	2.340818	0.371919	673.540398	214.459602	1.226700	3.676996	1176
Lenti6_1|Lenti6_1_605772	Lenti6_1|Lenti6_1_491050	0.088042	2.151832	0.040915	908.998790	270.001210	1.916147	1.682004	1200
Lenti6_1|Lenti6_1_605767	Lenti6_1|Lenti6_1_51844	0.839393	2.528377	0.331989	553.108155	181.891845	1.605762	3.772108	780
Lenti6_1|Lenti6_1_516363	Lenti6_1|Lenti6_1_572212	0.841772	3.982595	0.211363	727.624263	202.375737	1.505967	4.575724	1155
Lenti6_1|Lenti6_1_569545	Lenti6_1|Lenti6_1_499342	0.858594	4.467699	0.192178	1155.577225	386.422775	0.876947	5.289090	1938
Lenti6_1|Lenti6_1_516356	Lenti6_1|Lenti6_1_516354	0.227559	3.986883	0.057077	981.463785	203.536215	1.100426	2.619788	1251
Lenti6_1|Lenti6_1_569539	Lenti6_1|Lenti6_1_651789	0.444261	4.082046	0.108833	863.928238	231.071762	1.239279	3.635768	1107
Lenti6_1|Lenti6_1_569533	Lenti6_1|Lenti6_1_48300	0.497557	3.213889	0.154815	443.383963	72.616037	1.117184	2.639469	579
Lenti6_1|Lenti6_1_569530	Lenti6_1|Lenti6_1_314748	0.532670	3.045545	0.174901	1035.498763	338.501237	1.872019	3.455241	1635
Lenti6_1|Lenti6_1_569528	Lenti6_1|Lenti6_1_539176	0.768818	4.468142	0.172067	1431.349170	386.650830	1.102921	4.666761	2733
Lenti6_1|Lenti6_1_605750	Lenti6_1|Lenti6_1_538682	0.617499	4.456003	0.138577	1377.556718	380.443282	1.555590	4.344533	2229
Lenti6_1|Lenti6_1_538144	Lenti6_1|Lenti6_1_657117	0.632281	5.170737	0.122281	3744.348965	986.651035	1.264460	4.736330	6594
Lenti6_1|Lenti6_1_516315	Lenti6_1|Lenti6_1_648463	0.143732	1.544367	0.093069	1304.651882	471.348118	2.462534	1.546377	1845
Lenti6_1|Lenti6_1_648461	Lenti6_1|Lenti6_1_583520	0.774028	3.995328	0.193733	790.159061	205.840939	1.197621	4.319298	1386
Lenti6_1|Lenti6_1_516311	Lenti6_1|Lenti6_1_596868	0.293602	3.692490	0.079513	519.541808	137.458192	1.457969	3.014162	660
Lenti6_1|Lenti6_1_569518	Lenti6_1|Lenti6_1_579543	0.864081	4.686555	0.184374	2083.639455	517.360545	1.220802	4.873208	3270
Lenti6_1|Lenti6_1_648454	Lenti6_1|Lenti6_1_590689	0.778350	2.469412	0.315197	562.940127	169.059873	0.889654	3.506734	810
Lenti6_1|Lenti6_1_648452	Lenti6_1|Lenti6_1_577577	0.731739	2.599813	0.281458	554.383567	165.616433	1.316332	3.484316	834
Lenti6_1|Lenti6_1_491619	Lenti6_1|Lenti6_1_502466	0.650758	4.406002	0.147698	1156.092830	355.907170	1.291562	4.604097	1650
Lenti6_1|Lenti6_1_538106	Lenti6_1|Lenti6_1_581884	0.680179	1.763674	0.385660	640.390737	238.609263	2.926334	2.922899	1128
Lenti6_1|Lenti6_1_590229	Lenti6_1|Lenti6_1_576573	0.690919	4.999460	0.138199	3396.793353	785.206647	1.156875	4.499654	6255
Lenti6_1|Lenti6_1_11510	Lenti6_1|Lenti6_1_583469	0.202922	4.036937	0.050266	970.416609	217.583391	1.034294	2.715377	1194
Lenti6_1|Lenti6_1_11310	Lenti6_1|Lenti6_1_617953	0.763907	4.070625	0.187663	741.420512	227.579488	1.709655	4.621570	1041
Lenti6_1|Lenti6_1_11258	Lenti6_1|Lenti6_1_590096	0.122518	0.294751	0.415665	241.567438	109.432562	5.075238	0.528647	891
Lenti6_1|Lenti6_1_516256	Lenti6_1|Lenti6_1_605698	0.396177	4.687701	0.084514	2097.848579	518.151421	1.263630	3.738599	2793
Lenti6_1|Lenti6_1_569488	Lenti6_1|Lenti6_1_569487	0.310746	3.749279	0.082882	634.729415	148.270585	1.510449	2.885623	1098
Lenti6_1|Lenti6_1_492026	Lenti6_1|Lenti6_1_592773	0.554526	3.988844	0.139019	785.930951	204.069049	1.388171	3.787328	1143
