SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Cori|CORI_06198-R0	Cori|CORI_04133-R0	0.835960	4.701153	0.177820	1617.471005	527.528995	1.041915	5.359630	2394
Cori|CORI_06208-R0	Cori|CORI_05376-R0	0.573155	1.596362	0.359038	997.767083	424.232917	8.499814	2.635241	1803
Cori|CORI_06195-R0	Cori|CORI_01365-R0	0.738648	3.759634	0.196468	596.668153	150.331847	1.288822	4.039841	1515
Cori|CORI_06200-R0	Cori|CORI_04692-R0	0.871308	4.444609	0.196037	1086.292846	374.707154	1.588760	5.363290	1743
Cori|CORI_02727-R0	Cori|CORI_01911-R0	0.478544	2.781247	0.172061	918.854762	323.145238	1.324471	3.232994	1335
Cori|CORI_02728-R0	Cori|CORI_06857-R0	0.445208	4.044109	0.110088	770.325971	219.674029	0.992462	3.731337	1032
Cori|CORI_02743-R0	Cori|CORI_02147-R0	0.719891	2.517133	0.285996	708.200671	242.799329	1.612540	3.536231	1002
Cori|CORI_02734-R0	Cori|CORI_04375-R0	0.360574	2.207924	0.163309	402.971552	125.028448	1.504605	2.394059	843
Cori|CORI_02735-R0	Cori|CORI_05682-R0	0.622349	1.912249	0.325454	704.016104	228.983896	1.476291	2.816779	1032
Cori|CORI_02746-R0	Cori|CORI_00277-R0	0.516986	2.328902	0.221987	1155.154457	380.845543	1.768777	2.898731	2286
Cori|CORI_02737-R0	Cori|CORI_06956-R0	0.252433	2.750919	0.091763	1168.550992	448.449008	1.537429	2.836045	2430
Cori|CORI_02742-R0	Cori|CORI_05964-R0	0.618586	3.941616	0.156937	684.385078	191.614922	1.363968	4.036381	1392
Cori|CORI_03897-R0	Cori|CORI_00836-R0	0.727988	3.603869	0.202002	1593.372492	551.627508	1.514084	4.402726	3114
Cori|CORI_03886-R0	Cori|CORI_01986-R0	0.515795	2.377474	0.216951	1254.406074	368.593926	1.181695	2.815782	1929
Cori|CORI_03887-R0	Cori|CORI_06013-R0	1.098582	2.048521	0.536280	797.284810	276.715190	1.253609	4.029998	1188
Cori|CORI_03885-R0	Cori|CORI_02017-R0	0.815665	4.496781	0.181389	1335.298895	401.701105	1.187087	5.000896	2100
Cori|CORI_03899-R0	Cori|CORI_02899-R0	0.637369	4.710660	0.135304	1949.741065	534.258935	1.455392	4.540359	2997
Cori|CORI_03603-R0	Cori|CORI_00961-R0	0.496161	3.961439	0.125248	1190.840470	381.159530	1.524386	4.009140	1812
Cori|CORI_03611-R0	Cori|CORI_00842-R0	0.606904	3.858029	0.157309	676.179762	235.820238	1.374655	4.342688	1044
Cori|CORI_03626-R0	Cori|CORI_07430-R0	0.940023	2.217232	0.423963	862.520859	295.479141	1.631056	3.797760	1206
Cori|CORI_03620-R0	Cori|CORI_06526-R0	0.255496	2.143962	0.119170	846.463764	251.536236	1.192135	2.064350	1482
Cori|CORI_03598-R0	Cori|CORI_00593-R0	0.714596	4.194290	0.170374	813.463821	203.536179	1.346922	4.233002	1221
Cori|CORI_03608-R0	Cori|CORI_00701-R0	0.464598	1.884584	0.246525	1069.456407	364.543593	1.558890	2.476737	1494
Cori|CORI_03612-R0	Cori|CORI_03875-R0	0.590034	3.562328	0.165632	418.442262	115.557738	1.195998	3.699717	696
Cori|CORI_03609-R0	Cori|CORI_01460-R0	0.670487	4.390990	0.152696	1175.146148	348.853852	1.170664	4.566405	1581
Cori|CORI_03607-R0	Cori|CORI_04935-R0	0.874494	2.325072	0.376115	1187.556662	372.443338	1.151603	3.662440	1824
Cori|CORI_03615-R0	Cori|CORI_06900-R0	0.697264	2.275483	0.306425	1548.001098	500.998902	1.258115	3.249459	2841
Cori|CORI_03625-R0	Cori|CORI_06602-R0	0.610510	2.814547	0.216912	1317.577562	335.422438	1.412605	3.173241	1887
Cori|CORI_03599-R0	Cori|CORI_03426-R0	0.391779	1.714248	0.228543	795.046584	287.953416	2.092555	2.230210	2850
Cori|CORI_03602-R0	Cori|CORI_06542-R0	0.973944	2.662645	0.365781	1816.519841	643.480159	1.245504	4.247010	3075
Cori|CORI_03622-R0	Cori|CORI_07490-R0	0.498421	1.989577	0.250516	604.368384	196.631616	1.276339	2.593422	978
Cori|CORI_06639-R0	Cori|CORI_06863-R0	0.501212	1.933248	0.259259	1401.571457	428.428543	1.391402	2.509416	1959
Cori|CORI_06630-R0	Cori|CORI_04674-R0	0.686303	4.230804	0.162216	1047.235355	281.764645	1.072792	4.313345	1626
Cori|CORI_06633-R0	Cori|CORI_06969-R0	0.486869	1.608551	0.302676	631.327814	229.672186	1.824572	2.358235	1005
Cori|CORI_06641-R0	Cori|CORI_06253-R0	0.316307	3.972103	0.079632	749.059991	231.940009	2.213539	3.541965	1035
Cori|CORI_06629-R0	Cori|CORI_04555-R0	0.759247	4.009372	0.189368	669.268322	209.731678	1.274766	4.604205	1203
Cori|CORI_06637-R0	Cori|CORI_01134-R0	0.836007	1.530009	0.546407	606.387402	212.612598	1.880491	3.048511	1803
Cori|CORI_06635-R0	Cori|CORI_01121-R0	0.815672	4.571716	0.178417	1542.090497	443.909503	1.044071	4.965662	4959
Cori|CORI_05628-R0	Cori|CORI_05400-R0	0.607656	4.636388	0.131062	1505.113225	483.886775	1.163005	4.763316	2481
Cori|CORI_05631-R0	Cori|CORI_06798-R0	0.652657	4.262814	0.153105	950.949183	294.050817	1.000864	4.515971	1491
Cori|CORI_07058-R0	Cori|CORI_07069-R0	0.754740	4.319539	0.174727	1056.846735	317.153265	1.226539	4.732751	1704
Cori|CORI_07056-R0	Cori|CORI_01724-R0	0.686594	3.960882	0.173344	643.399098	196.600902	1.101415	4.358810	1371
Cori|CORI_07059-R0	Cori|CORI_02372-R0	0.525355	3.987913	0.131737	1066.284159	349.715841	0.988216	4.141555	1776
Cori|CORI_07057-R0	Cori|CORI_02816-R0	0.894014	4.528945	0.197400	1260.697009	419.302991	1.254739	5.403717	1932
Cori|CORI_04451-R0	Cori|CORI_07366-R0	0.671398	4.498042	0.149265	1202.622932	402.377068	1.404383	4.892240	1932
Cori|CORI_04461-R0	Cori|CORI_02902-R0	0.732630	4.400757	0.166478	1122.573240	353.426760	1.240067	4.832879	1692
Cori|CORI_04454-R0	Cori|CORI_04084-R0	0.543075	2.303906	0.235719	719.960729	255.039271	1.282535	3.011012	2088
