SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Smac|SMAC_09677	Smac|SMAC_01197	0.370747	4.368641	0.084865	1194.387919	338.612081	1.582918	3.761429	1971
Smac|SMAC_12649	Smac|SMAC_12666	0.766608	3.961945	0.193493	1138.120299	196.879701	1.665751	3.713524	1851
Smac|SMAC_12652	Smac|SMAC_12671	0.434002	3.330257	0.130321	491.196020	84.803980	1.608662	2.581246	1299
Smac|SMAC_12672	Smac|SMAC_12687	0.710191	3.766504	0.188554	934.284797	151.715203	1.359696	3.411482	1398
Smac|SMAC_12688	Smac|SMAC_03692	0.386445	3.096023	0.124820	159.944439	62.055561	1.646685	3.431555	522
Smac|SMAC_06112	Smac|SMAC_06720	0.638354	4.174644	0.152912	1016.563405	261.436595	1.254076	4.085287	2082
Smac|SMAC_06122	Smac|SMAC_03971	0.686644	2.331865	0.294461	786.535640	215.464360	1.121967	3.121269	1224
Smac|SMAC_06124	Smac|SMAC_00640	0.622568	4.032320	0.154395	1067.751969	216.248031	1.539351	3.590490	1422
Smac|SMAC_06136	Smac|SMAC_03527	0.519804	3.397020	0.153018	459.300780	92.699220	1.236686	3.008955	3618
Smac|SMAC_06139	Smac|SMAC_09247	0.792043	1.669133	0.474524	1108.967802	421.032198	4.832579	3.100214	2028
Smac|SMAC_06152	Smac|SMAC_04514	0.883014	4.453722	0.198264	1249.711711	379.288289	1.339565	5.143201	2136
Smac|SMAC_06154	Smac|SMAC_09190	0.231987	0.841857	0.275565	429.691696	98.308304	2.683118	1.036615	642
Smac|SMAC_06155	Smac|SMAC_00605	0.618606	4.235288	0.146060	1282.545628	283.454372	1.368961	3.819735	1683
Smac|SMAC_06156	Smac|SMAC_03426	0.811451	4.320390	0.187819	1251.486767	317.513233	0.873319	4.564630	2364
Smac|SMAC_06157	Smac|SMAC_08900	0.300941	1.078192	0.279117	1393.067587	352.932413	4.210409	1.374159	2061
Smac|SMAC_06162	Smac|SMAC_05005	0.669709	5.036084	0.132982	3393.498574	824.501426	1.406642	4.569642	5487
Smac|SMAC_06166	Smac|SMAC_00332	0.701350	3.512934	0.199648	362.807461	108.192539	1.574592	4.041583	1008
Smac|SMAC_06169	Smac|SMAC_04443	0.673022	4.332282	0.155350	1303.411959	322.588041	1.388108	4.196988	2082
Smac|SMAC_06174	Smac|SMAC_05052	0.406786	3.780752	0.107594	1015.375005	154.624995	1.020233	2.558049	1458
Smac|SMAC_06180	Smac|SMAC_01363	0.412144	3.748765	0.109941	934.830985	148.169015	0.696526	2.605917	1326
Smac|SMAC_06187	Smac|SMAC_04952	0.776519	3.928476	0.197664	1149.712877	188.287123	1.391405	3.660214	1716
Smac|SMAC_06658	Smac|SMAC_01023	0.441389	2.756258	0.160141	1107.039708	278.960292	1.706822	2.721909	2316
Smac|SMAC_06659	Smac|SMAC_01022	0.520181	3.612227	0.144006	722.570637	231.429363	1.382818	3.810828	1266
Smac|SMAC_06666	Smac|SMAC_03222	0.678748	4.828258	0.140578	2381.046832	624.953168	1.217961	4.624316	3903
Smac|SMAC_06674	Smac|SMAC_03462	0.430573	3.886098	0.110798	899.056899	177.943101	1.259629	3.004494	1104
Smac|SMAC_06677	Smac|SMAC_08789	0.685651	4.677933	0.146571	1921.553256	511.446744	1.577606	4.574635	2736
Smac|SMAC_06698	Smac|SMAC_06042	0.600605	4.148030	0.144793	1004.677995	252.322005	1.297635	3.938075	1680
Smac|SMAC_06701	Smac|SMAC_08509	0.783345	5.146138	0.152220	1519.583776	397.416224	1.511511	5.063406	4842
Smac|SMAC_06711	Smac|SMAC_01595	0.761150	4.033860	0.188690	698.307413	216.692587	1.094640	4.608604	1398
Smac|SMAC_06716	Smac|SMAC_01942	0.368297	1.646270	0.223716	890.673185	279.326815	1.531639	2.020205	1248
Smac|SMAC_06718	Smac|SMAC_08371	0.681265	4.205224	0.162004	1206.683512	272.316488	1.351299	3.990311	1794
Smac|SMAC_05165	Smac|SMAC_05170	0.639625	2.170682	0.294666	397.970044	127.029956	1.335861	3.030247	576
Smac|SMAC_05179	Smac|SMAC_04143	0.528193	3.870060	0.136482	776.821654	174.178346	1.536118	3.420797	1152
Smac|SMAC_05182	Smac|SMAC_12621	0.738187	2.121705	0.347922	648.696969	230.303031	2.147209	3.302030	2139
Smac|SMAC_05185	Smac|SMAC_04592	0.266397	3.775830	0.070553	662.386524	153.613476	0.956968	2.781161	918
Smac|SMAC_05186	Smac|SMAC_02391	0.481650	3.607857	0.133500	894.209884	122.790116	1.433161	2.577303	1785
Smac|SMAC_05211	Smac|SMAC_06449	0.779005	4.266763	0.182575	1159.396815	295.603185	1.433753	4.462773	1848
Smac|SMAC_05212	Smac|SMAC_01068	0.760721	5.063835	0.150226	3020.419420	855.580580	1.480782	5.131746	5265
Smac|SMAC_05230	Smac|SMAC_00830	0.777602	4.374919	0.177741	1500.541623	341.458377	1.298035	4.333350	2157
Smac|SMAC_05233	Smac|SMAC_00367	0.606452	1.418544	0.427517	884.209226	228.790774	3.804529	2.320163	1305
Smac|SMAC_05246	Smac|SMAC_04056	0.553410	4.289351	0.129019	1342.358820	304.641180	1.086297	3.733311	2052
Smac|SMAC_05257	Smac|SMAC_00502	0.845635	4.512206	0.187410	1224.951786	410.048214	1.316779	5.295566	1944
Smac|SMAC_05258	Smac|SMAC_07590	0.782714	4.330148	0.180759	1172.328440	321.671560	1.104031	4.639525	1881
Smac|SMAC_05268	Smac|SMAC_03621	0.452296	3.222926	0.140337	1295.742262	378.257738	1.266679	3.235045	1803
Smac|SMAC_05273	Smac|SMAC_07075	0.674544	4.418293	0.152671	1297.212362	361.787638	1.210997	4.472894	2304
Smac|SMAC_09792	Smac|SMAC_05466	0.029134	0.025769	1.130569	281.046309	78.953691	11.863086	0.085187	1443
Smac|SMAC_09794	Smac|SMAC_01061	0.091349	1.389346	0.065750	1141.191145	355.808855	2.494682	1.199575	3792
Smac|SMAC_01656	Smac|SMAC_01031	0.595758	4.100066	0.145304	972.309190	236.690810	1.350399	3.845431	1596
Smac|SMAC_01671	Smac|SMAC_09585	0.214925	0.534429	0.402158	512.390874	147.609126	1.681749	0.859146	828
Smac|SMAC_01682	Smac|SMAC_07625	0.686677	4.257939	0.161270	1036.854544	292.145456	1.275919	4.415172	1776
Smac|SMAC_01692	Smac|SMAC_07620	0.681997	4.763474	0.143172	2150.763343	573.236657	1.185619	4.622701	3570
Smac|SMAC_01694	Smac|SMAC_06967	0.617363	3.573682	0.172753	590.679533	117.320467	1.624110	3.321737	780
Smac|SMAC_01719	Smac|SMAC_01745	0.629998	3.891292	0.161900	627.820305	179.179695	1.245580	4.062328	3342
Smac|SMAC_01731	Smac|SMAC_00912	0.747654	3.938742	0.189820	745.117993	190.882007	1.450611	4.195273	2796
Smac|SMAC_01736	Smac|SMAC_01737	0.663257	4.290550	0.154585	373.851718	79.148282	1.158255	3.891055	489
Smac|SMAC_01739	Smac|SMAC_02469	0.491379	3.864705	0.127145	790.060842	172.939158	1.347049	3.291521	1722
Smac|SMAC_01749	Smac|SMAC_03196	0.752422	4.811417	0.156383	2100.923339	611.076661	1.240704	5.001023	3198
Smac|SMAC_01752	Smac|SMAC_06215	0.504912	4.321105	0.116848	1338.183756	317.816244	1.314534	3.711924	2115
Smac|SMAC_01753	Smac|SMAC_07904	0.650333	2.835862	0.229325	1386.802609	452.197391	1.817482	3.563219	2160
Smac|SMAC_01754	Smac|SMAC_00550	0.882979	2.797047	0.315683	1863.926550	563.073450	1.369436	3.981152	3093
Smac|SMAC_01760	Smac|SMAC_05601	0.757321	4.238482	0.178678	1833.336063	284.663937	0.927433	3.675592	2661
Smac|SMAC_01764	Smac|SMAC_06345	0.423297	4.357547	0.097141	1661.360114	333.639886	1.272683	3.243760	2130
Smac|SMAC_01767	Smac|SMAC_06901	0.691916	4.021764	0.172043	776.774226	213.225774	1.477830	4.227291	1500
Smac|SMAC_01771	Smac|SMAC_05050	0.792410	2.466671	0.321246	1019.920407	297.079593	1.372607	3.510233	2223
Smac|SMAC_01775	Smac|SMAC_08118	0.578171	2.266028	0.255147	1062.177805	317.822195	1.267231	2.900684	1794
Smac|SMAC_01776	Smac|SMAC_05712	0.455345	3.707411	0.122820	570.779798	140.220202	1.181671	3.290107	1107
Smac|SMAC_01786	Smac|SMAC_01787	0.747650	1.659008	0.450661	604.425114	163.574886	2.016353	2.825275	951
Smac|SMAC_01799	Smac|SMAC_01800	0.657131	5.163715	0.127259	3831.544475	977.455525	1.493450	4.719357	6045
Smac|SMAC_01824	Smac|SMAC_04891	0.630779	3.940607	0.160071	1032.642534	191.357466	1.030768	3.444690	1371
