SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Mvio|MVLG_07124	Mvio|MVLG_07095	0.230725	1.693967	0.136204	404.769985	120.230015	2.388159	1.697464	996
Mvio|MVLG_07125	Mvio|MVLG_03385	0.557263	4.172207	0.133566	927.411513	260.588487	1.467717	4.050609	1374
Mvio|MVLG_07126	Mvio|MVLG_03262	0.556323	3.474394	0.160121	323.226686	102.773314	2.297452	3.780939	516
Mvio|MVLG_06309	Mvio|MVLG_05918	0.279428	0.917945	0.304406	989.364383	288.635617	1.420613	1.270910	1365
Mvio|MVLG_06312	Mvio|MVLG_02547	0.833545	4.830095	0.172573	2307.513648	626.486352	1.316161	5.060741	3750
Mvio|MVLG_06314	Mvio|MVLG_04082	0.706285	2.967604	0.237999	1158.333009	377.666991	1.294630	3.786874	1872
Mvio|MVLG_06316	Mvio|MVLG_04963	0.085736	0.169621	0.505458	790.070392	226.929608	1.687258	0.313362	2802
Mvio|MVLG_07229	Mvio|MVLG_00914	0.341275	2.081093	0.163988	233.084329	69.915671	1.895814	2.228187	1245
Mvio|MVLG_05342	Mvio|MVLG_07266	0.432835	3.829876	0.113015	557.908211	165.091789	1.192063	3.625573	1146
Mvio|MVLG_05345	Mvio|MVLG_05467	1.084488	2.391029	0.453565	1242.049917	383.950083	1.223463	4.179010	1944
Mvio|MVLG_05348	Mvio|MVLG_05094	0.876699	4.598902	0.190632	1843.704044	460.295956	0.997649	4.860976	2769
Mvio|MVLG_05350	Mvio|MVLG_04985	0.715430	4.451400	0.160720	1613.884253	378.115747	1.154968	4.273744	2175
Mvio|MVLG_05355.3	Mvio|MVLG_05355.1	0.026881	0.049743	0.540404	662.812516	240.187484	2.317434	0.098886	1092
Mvio|MVLG_05357.1	Mvio|MVLG_05357.2	0.000000	0.000000	99.000000	1003.385048	325.614952	4.600000	0.000000	1641
Mvio|MVLG_05367.1	Mvio|MVLG_05367.2	0.000000	0.000000	99.000000	3273.898930	1331.101070	4.600000	0.000000	4608
Mvio|MVLG_05368	Mvio|MVLG_01796	0.619615	4.879729	0.126977	2687.651107	669.348893	1.006268	4.407105	4281
Mvio|MVLG_02351	Mvio|MVLG_05304	0.917405	4.581995	0.200219	1565.964303	450.035697	1.464913	5.206375	2652
Mvio|MVLG_02353	Mvio|MVLG_06337.2	0.539921	4.165106	0.129630	848.867102	258.132898	1.246542	4.155751	5832
Mvio|MVLG_02354.1	Mvio|MVLG_02354.2	0.000000	0.001296	0.000010	1777.488484	772.511516	4.600000	0.001177	2568
Mvio|MVLG_02355	Mvio|MVLG_02718	0.832538	5.143759	0.161854	3218.209459	951.790541	0.944616	5.449685	5487
Mvio|MVLG_02357	Mvio|MVLG_02412.2	0.679020	3.941676	0.172267	738.369781	191.630219	1.149053	4.053911	1131
Mvio|MVLG_02358.1	Mvio|MVLG_02358.2	0.000000	0.000000	99.000000	966.656737	386.343263	4.600000	0.000000	1353
Mvio|MVLG_02361.1	Mvio|MVLG_02361.2	0.000000	0.000000	99.000000	812.058744	255.941256	4.600000	0.000000	1254
Mvio|MVLG_02368.1	Mvio|MVLG_02368.2	0.000000	0.000000	99.000000	914.872201	378.127799	4.600000	0.000000	1293
