SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Cylto1|Cylto1_3097	Cylto1|Cylto1_389369	0.921491	2.931617	0.314328	927.570874	320.429126	1.549771	4.312797	2229
Cylto1|Cylto1_416487	Cylto1|Cylto1_400249	0.653204	4.291624	0.152204	993.433986	305.566014	1.358503	4.527227	1704
Cylto1|Cylto1_484963	Cylto1|Cylto1_384569	0.599385	2.009109	0.298334	977.992451	408.007549	1.798579	3.043129	1452
Cylto1|Cylto1_448404	Cylto1|Cylto1_394733	0.567044	2.521488	0.224885	753.251445	242.748555	1.647677	3.130163	1155
Cylto1|Cylto1_416482	Cylto1|Cylto1_485046	0.793550	4.521633	0.175501	1384.765112	415.234888	1.253272	4.960699	2187
Cylto1|Cylto1_416481	Cylto1|Cylto1_427051	0.454269	4.487517	0.101229	1331.230166	396.769834	1.060162	4.141055	1824
Cylto1|Cylto1_428186	Cylto1|Cylto1_368166	0.275939	2.442057	0.112995	480.763520	176.236480	1.027851	2.570964	702
Cylto1|Cylto1_428185	Cylto1|Cylto1_345650	0.801598	3.832422	0.209162	614.346875	165.653125	1.218756	4.335815	990
Cylto1|Cylto1_364316	Cylto1|Cylto1_416779	0.278688	3.564561	0.078183	427.097727	115.902273	1.551047	2.940153	546
Cylto1|Cylto1_385412	Cylto1|Cylto1_361062	0.660428	4.153458	0.159007	738.845140	254.154860	1.373385	4.663369	1167
Cylto1|Cylto1_340722	Cylto1|Cylto1_448385	0.246957	3.945103	0.062598	632.492071	192.507929	0.999593	3.329680	1476
Cylto1|Cylto1_416453	Cylto1|Cylto1_384056	0.756734	3.080333	0.245666	486.377214	179.622786	1.937742	4.150254	762
Cylto1|Cylto1_448365	Cylto1|Cylto1_380990	0.353035	2.599277	0.135820	920.010450	276.989550	1.645588	2.618466	1428
Cylto1|Cylto1_439532	Cylto1|Cylto1_379290	0.267478	4.163260	0.064247	918.501500	257.498500	1.132121	3.361512	1266
Cylto1|Cylto1_340786	Cylto1|Cylto1_373263	0.189211	3.954949	0.047842	740.948205	195.051795	1.101807	2.921844	1095
Cylto1|Cylto1_484911	Cylto1|Cylto1_439791	0.319750	1.203409	0.265703	1056.822581	368.177419	1.991648	1.644184	2307
Cylto1|Cylto1_484907	Cylto1|Cylto1_450466	0.536709	2.224764	0.241243	1060.651309	397.348691	0.960133	2.990263	1878
Cylto1|Cylto1_385352	Cylto1|Cylto1_489393	0.655211	2.887155	0.226940	2543.332726	777.667274	1.395180	3.533574	4332
Cylto1|Cylto1_416428	Cylto1|Cylto1_399978	0.720048	3.135744	0.229626	1530.061870	533.938130	1.462135	4.034900	2319
Cylto1|Cylto1_1276	Cylto1|Cylto1_209168	0.245867	0.610843	0.402505	180.907687	50.092313	0.743055	0.975037	240
Cylto1|Cylto1_1087	Cylto1|Cylto1_365169	0.336852	2.870270	0.117359	852.631653	287.368347	1.292510	2.926409	1155
Cylto1|Cylto1_416418	Cylto1|Cylto1_420463	0.339538	3.136459	0.108255	703.549088	238.450912	1.427037	3.142589	1053
Cylto1|Cylto1_448328	Cylto1|Cylto1_361215	0.278818	3.912701	0.071260	592.631749	184.368251	1.255846	3.423221	822
