SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Cloro1|Cloro1_489366	Cloro1|Cloro1_449561	0.861239	2.950177	0.291928	1236.221507	425.778493	1.581103	4.189177	1833
Cloro1|Cloro1_591479	Cloro1|Cloro1_488724	0.268689	4.400514	0.061058	1116.687596	353.312404	1.509653	3.785302	1494
Cloro1|Cloro1_503005	Cloro1|Cloro1_582079	0.516475	1.850293	0.279131	533.687739	222.312261	2.176281	2.726107	837
Cloro1|Cloro1_591478	Cloro1|Cloro1_524128	0.429671	2.875859	0.149406	1375.311545	499.688455	1.676977	3.244744	1977
Cloro1|Cloro1_519614	Cloro1|Cloro1_542512	0.601609	1.715625	0.350665	1722.678874	665.321126	2.581983	2.735957	2535
Cloro1|Cloro1_5680	Cloro1|Cloro1_373932	0.283584	3.345871	0.084756	447.411964	86.588036	0.906413	2.340400	708
Cloro1|Cloro1_549793	Cloro1|Cloro1_424253	0.615241	1.819288	0.338177	1067.770329	402.229671	2.106517	2.834098	3234
Cloro1|Cloro1_489358	Cloro1|Cloro1_484740	0.371825	2.206507	0.168513	731.840840	264.159160	1.632752	2.575259	1041
Cloro1|Cloro1_601550	Cloro1|Cloro1_421991	0.558650	3.976975	0.140471	750.134892	200.865108	1.425007	3.841950	1146
Cloro1|Cloro1_536451	Cloro1|Cloro1_500467	1.019989	1.603811	0.635978	1181.784114	408.215886	1.432832	3.509638	1953
Cloro1|Cloro1_458387	Cloro1|Cloro1_467724	0.704375	3.414377	0.206297	1356.774226	485.225774	1.358548	4.254757	2406
Cloro1|Cloro1_536449	Cloro1|Cloro1_507564	0.518113	4.130620	0.125432	704.467581	246.532419	1.907877	4.363804	993
Cloro1|Cloro1_563236	Cloro1|Cloro1_407546	0.660747	4.064357	0.162571	812.314564	225.685436	1.383796	4.202314	1182
Cloro1|Cloro1_5283	Cloro1|Cloro1_557276	0.446416	1.910288	0.233690	307.997188	88.002812	2.816758	2.315193	438
Cloro1|Cloro1_5202	Cloro1|Cloro1_601286	0.409496	4.477162	0.091463	1318.670721	391.329279	1.178419	4.021114	1770
Cloro1|Cloro1_563230	Cloro1|Cloro1_593989	0.347748	4.510200	0.077103	1646.047310	408.952690	1.700958	3.528275	2082
