SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Bimnz1|Bimnz1_586239	Bimnz1|Bimnz1_587699	0.586635	4.157481	0.141103	815.478067	255.521933	1.320884	4.315730	1386
Bimnz1|Bimnz1_548784	Bimnz1|Bimnz1_585308	0.830023	2.223087	0.373365	621.661309	200.338691	2.039616	3.508627	858
Bimnz1|Bimnz1_576548	Bimnz1|Bimnz1_556835	0.770398	4.308498	0.178809	1160.481270	312.518730	1.355970	4.563175	1641
Bimnz1|Bimnz1_98013	Bimnz1|Bimnz1_583753	0.584352	2.048186	0.285302	571.577821	151.422179	1.632483	2.672794	849
Bimnz1|Bimnz1_548792	Bimnz1|Bimnz1_555668	0.078651	0.084946	0.925888	236.614433	93.385567	4.881444	0.241297	447
Bimnz1|Bimnz1_548796	Bimnz1|Bimnz1_510343	0.914048	4.792661	0.190718	1999.015103	595.984897	1.190598	5.414509	3516
Bimnz1|Bimnz1_548797	Bimnz1|Bimnz1_581763	0.716199	2.866288	0.249870	1140.452512	395.547488	1.570624	3.809655	1716
Bimnz1|Bimnz1_576560	Bimnz1|Bimnz1_628890	0.505567	2.642921	0.191291	1202.034717	435.965283	1.959629	3.223316	1698
Bimnz1|Bimnz1_548799	Bimnz1|Bimnz1_560958	0.038129	0.083090	0.458884	108.143699	50.856301	6.335199	0.157529	159
Bimnz1|Bimnz1_522821	Bimnz1|Bimnz1_589143	0.185380	2.627361	0.070557	131.780124	33.219876	1.224146	2.031091	282
Bimnz1|Bimnz1_586253	Bimnz1|Bimnz1_553428	0.321131	1.839667	0.174559	896.396153	306.603847	1.910292	2.124461	1272
Bimnz1|Bimnz1_636571	Bimnz1|Bimnz1_627893	0.411271	3.300841	0.124596	551.457709	81.542291	0.938464	2.350505	732
Bimnz1|Bimnz1_496190	Bimnz1|Bimnz1_582195	0.392608	4.562756	0.086046	1235.361739	438.638261	1.368496	4.455936	2169
Bimnz1|Bimnz1_447053	Bimnz1|Bimnz1_580168	0.035413	1.002302	0.035332	202.405518	31.594482	0.801782	0.497884	297
Bimnz1|Bimnz1_522839	Bimnz1|Bimnz1_553299	0.380599	3.377736	0.112679	317.653940	90.346060	1.416113	3.132823	471
Bimnz1|Bimnz1_548811	Bimnz1|Bimnz1_655778	0.548545	3.286652	0.166901	303.985908	80.014092	1.354654	3.357253	726
Bimnz1|Bimnz1_548819	Bimnz1|Bimnz1_500911	0.444980	4.221413	0.105410	1170.741616	278.258384	1.142891	3.510560	1581
Bimnz1|Bimnz1_548821	Bimnz1|Bimnz1_470694	0.711637	4.388943	0.162143	1290.096938	347.903062	1.068147	4.478036	1860
Bimnz1|Bimnz1_445948	Bimnz1|Bimnz1_500887	0.304449	4.156667	0.073243	1154.755251	255.244749	1.192613	3.005386	1575
Bimnz1|Bimnz1_496263	Bimnz1|Bimnz1_591652	0.560639	4.647856	0.120623	1746.657247	491.342753	1.239990	4.373907	3009
Bimnz1|Bimnz1_99570	Bimnz1|Bimnz1_315801	0.845790	4.564589	0.185294	1693.288832	439.711168	1.415711	4.837226	2328
Bimnz1|Bimnz1_99573	Bimnz1|Bimnz1_551819	0.699723	3.871850	0.180721	719.405427	174.594573	0.910736	3.957681	1032
Bimnz1|Bimnz1_496277	Bimnz1|Bimnz1_483287	0.810787	4.833647	0.167738	1950.539939	629.460061	1.097347	5.376815	3123
Bimnz1|Bimnz1_496280	Bimnz1|Bimnz1_569200	0.419675	3.297952	0.127253	347.771279	81.228721	1.222274	2.893982	474
Bimnz1|Bimnz1_563033	Bimnz1|Bimnz1_466736	0.451811	2.629305	0.171837	1139.930709	339.069291	1.157746	2.853042	1599
Bimnz1|Bimnz1_99839	Bimnz1|Bimnz1_479810	0.643139	3.462733	0.185732	435.812347	101.187653	1.711627	3.523316	561
Bimnz1|Bimnz1_445876	Bimnz1|Bimnz1_536496	0.826895	4.924071	0.167929	2625.884321	710.115679	1.496901	5.097113	4095
Bimnz1|Bimnz1_522929	Bimnz1|Bimnz1_491927	0.661512	4.235464	0.156184	1243.479095	283.520905	1.308345	3.975282	1632
Bimnz1|Bimnz1_636656	Bimnz1|Bimnz1_559360	1.001357	3.089109	0.324157	1974.504513	638.495487	1.323873	4.534519	3390
Bimnz1|Bimnz1_563042	Bimnz1|Bimnz1_230479	0.698824	4.014253	0.174086	835.898742	211.101258	1.150796	4.101892	1542
Bimnz1|Bimnz1_548852	Bimnz1|Bimnz1_558743	0.000000	0.000000	99.000000	156.123284	56.876716	4.600000	0.000000	213
Bimnz1|Bimnz1_586299	Bimnz1|Bimnz1_219163	0.599899	4.067920	0.147471	958.239682	226.760318	1.142816	3.790608	1281
Bimnz1|Bimnz1_496338	Bimnz1|Bimnz1_605087	0.353367	4.947825	0.071419	2384.033324	732.966676	1.379861	4.301281	3276
Bimnz1|Bimnz1_395351	Bimnz1|Bimnz1_465341	0.017788	0.175115	0.101578	113.774974	51.225026	4.600000	0.199892	177
Bimnz1|Bimnz1_496378	Bimnz1|Bimnz1_191483	0.579469	4.730022	0.122509	1926.769576	548.230424	1.277122	4.496539	2652
Bimnz1|Bimnz1_636760	Bimnz1|Bimnz1_435093	0.700150	3.874660	0.180700	616.749954	175.250046	1.218755	4.207772	1164
Bimnz1|Bimnz1_523026	Bimnz1|Bimnz1_455336	0.342622	4.347787	0.078804	1131.673675	329.326325	1.720700	3.736298	1509
Bimnz1|Bimnz1_576634	Bimnz1|Bimnz1_534289	0.784187	3.404485	0.230339	1576.360111	517.639889	1.449837	4.295785	2292
Bimnz1|Bimnz1_523031	Bimnz1|Bimnz1_537519	0.628348	2.203161	0.285203	416.006466	171.993534	1.778071	3.266970	1176
Bimnz1|Bimnz1_548911	Bimnz1|Bimnz1_212331	0.155586	0.132286	1.176133	567.976570	251.023430	2.068207	0.445333	906
Bimnz1|Bimnz1_636840	Bimnz1|Bimnz1_37945	0.504025	2.726846	0.184838	1140.931262	365.068738	1.307563	3.128575	2568
Bimnz1|Bimnz1_496407	Bimnz1|Bimnz1_484470	0.496014	3.850420	0.128821	679.323644	169.676356	1.030524	3.499220	906
Bimnz1|Bimnz1_523048	Bimnz1|Bimnz1_589896	0.647672	4.033188	0.160586	728.501278	216.498722	1.125340	4.269873	1029
Bimnz1|Bimnz1_447032	Bimnz1|Bimnz1_660148	0.552546	4.670873	0.118296	1551.344619	506.655381	1.131361	4.699289	2268
Bimnz1|Bimnz1_445772	Bimnz1|Bimnz1_527153	0.406720	2.627808	0.154775	1176.547038	347.452962	1.716034	2.739301	1581
Bimnz1|Bimnz1_101518	Bimnz1|Bimnz1_660145	0.602105	4.343161	0.138633	1079.698588	327.301412	0.975586	4.417090	1581
Bimnz1|Bimnz1_371990	Bimnz1|Bimnz1_453205	0.682806	4.247735	0.160746	1364.506332	462.493668	1.551108	4.755736	2580
Bimnz1|Bimnz1_446404	Bimnz1|Bimnz1_565588	0.014018	0.083346	0.168195	288.016514	101.983486	2.225370	0.096441	513
Bimnz1|Bimnz1_548927	Bimnz1|Bimnz1_600796	0.733775	3.808497	0.192668	634.547884	160.452116	0.954572	4.063007	945
Bimnz1|Bimnz1_496440	Bimnz1|Bimnz1_444163	0.891375	4.157030	0.214426	1013.631618	255.368382	0.868445	4.645626	1704
Bimnz1|Bimnz1_548929	Bimnz1|Bimnz1_582024	0.990478	1.638411	0.604536	860.750014	345.249986	2.785847	3.527899	1326
Bimnz1|Bimnz1_496444	Bimnz1|Bimnz1_580059	0.785195	3.813253	0.205912	546.527086	161.472914	2.399953	4.427404	1158
Bimnz1|Bimnz1_446920	Bimnz1|Bimnz1_500934	0.799034	2.336345	0.342002	1098.841971	374.158029	2.058808	3.568582	1578
Bimnz1|Bimnz1_101843	Bimnz1|Bimnz1_164264	0.631004	4.486520	0.140645	1547.757212	396.242788	1.045597	4.250606	2604
Bimnz1|Bimnz1_102120	Bimnz1|Bimnz1_453996	0.808091	4.357775	0.185437	1391.258723	333.741277	1.260632	4.484579	1923
Bimnz1|Bimnz1_636916	Bimnz1|Bimnz1_559163	0.574383	4.256872	0.134931	1145.269830	291.730170	1.049945	3.965932	1995
Bimnz1|Bimnz1_636919	Bimnz1|Bimnz1_594259	0.275417	0.879262	0.313236	238.704605	82.295395	1.670049	1.290677	3924
Bimnz1|Bimnz1_445521	Bimnz1|Bimnz1_480048	0.592977	4.407548	0.134537	1419.358442	356.641558	1.212482	4.076963	3012
Bimnz1|Bimnz1_102173	Bimnz1|Bimnz1_597111	0.024652	0.083007	0.296989	289.031055	115.968945	6.963701	0.124086	2406
Bimnz1|Bimnz1_548953	Bimnz1|Bimnz1_593161	0.795921	4.123935	0.193000	865.655236	244.344764	1.507184	4.585555	2823
Bimnz1|Bimnz1_523130	Bimnz1|Bimnz1_69135	0.738794	1.626896	0.454113	657.580406	242.419594	1.807695	2.934026	1182
Bimnz1|Bimnz1_586356	Bimnz1|Bimnz1_588503	0.491971	2.392642	0.205618	732.873072	200.126928	1.460631	2.698986	984
Bimnz1|Bimnz1_496502	Bimnz1|Bimnz1_512732	0.673685	4.579279	0.147116	1681.590903	448.409097	1.011328	4.487681	3054
Bimnz1|Bimnz1_576683	Bimnz1|Bimnz1_583068	0.846376	3.028572	0.279464	1215.476291	401.523709	1.421159	4.164737	1839
Bimnz1|Bimnz1_496519	Bimnz1|Bimnz1_2397	0.576669	4.679221	0.123240	1554.673660	512.326340	1.326063	4.780581	2373
Bimnz1|Bimnz1_563163	Bimnz1|Bimnz1_120726	0.587110	4.265412	0.137644	1270.929130	295.070870	1.295857	3.840564	2751
Bimnz1|Bimnz1_373754	Bimnz1|Bimnz1_554388	0.835446	2.011064	0.415425	760.535166	253.464834	1.593114	3.387929	2043
Bimnz1|Bimnz1_548993	Bimnz1|Bimnz1_559485	0.041455	0.066281	0.625445	149.945315	63.054685	10.410244	0.146414	228
Bimnz1|Bimnz1_102841	Bimnz1|Bimnz1_48568	0.567799	4.471066	0.126994	1333.838697	388.161303	1.349909	4.342938	1875
Bimnz1|Bimnz1_523208	Bimnz1|Bimnz1_521894	0.758981	1.808310	0.419719	1242.781071	401.218929	2.133184	3.045212	1749
Bimnz1|Bimnz1_103359	Bimnz1|Bimnz1_588566	0.237115	1.736105	0.136579	587.785112	207.214888	2.908779	1.883471	1935
Bimnz1|Bimnz1_447064	Bimnz1|Bimnz1_458323	0.042558	0.163981	0.259528	104.738720	45.261280	4.600000	0.237589	252
Bimnz1|Bimnz1_103421	Bimnz1|Bimnz1_101021	0.963159	4.493900	0.214326	1363.838963	400.161037	0.985795	5.292308	2139
