SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Pieho1_1|Pieho1_1_713	Pieho1_1|Pieho1_1_1311	0.971212	2.007986	0.483675	725.465341	282.534659	1.551672	3.785436	1119
Pieho1_1|Pieho1_1_224242	Pieho1_1|Pieho1_1_277666	0.751727	2.585411	0.290757	335.673705	102.326295	1.932125	3.540345	471
Pieho1_1|Pieho1_1_391	Pieho1_1|Pieho1_1_255125	0.873972	4.823007	0.181209	1995.406903	620.593097	1.290629	5.432402	3480
Pieho1_1|Pieho1_1_279674	Pieho1_1|Pieho1_1_297403	0.560601	1.972870	0.284155	894.974934	335.025066	1.425430	2.835817	3945
Pieho1_1|Pieho1_1_292077	Pieho1_1|Pieho1_1_254492	0.875314	2.423328	0.361203	644.905724	216.094276	1.772635	3.791507	1326
Pieho1_1|Pieho1_1_254035	Pieho1_1|Pieho1_1_255894	0.629982	4.403323	0.143070	1292.362204	354.637796	0.927029	4.327412	2031
Pieho1_1|Pieho1_1_208737	Pieho1_1|Pieho1_1_258145	0.959998	1.909024	0.502874	1128.830750	434.169250	1.243117	3.670855	1854
Pieho1_1|Pieho1_1_199762	Pieho1_1|Pieho1_1_195703	0.650303	4.096033	0.158764	973.578430	235.421570	0.879443	3.963811	1755
Pieho1_1|Pieho1_1_292066	Pieho1_1|Pieho1_1_259168	0.791695	4.363828	0.181422	1100.554332	336.445668	1.523187	4.884121	2391
Pieho1_1|Pieho1_1_254056	Pieho1_1|Pieho1_1_246947	0.862384	4.091978	0.210750	755.848019	234.151981	1.370813	4.878714	2064
Pieho1_1|Pieho1_1_239237	Pieho1_1|Pieho1_1_260904	0.465295	1.902804	0.244531	1574.264871	555.735129	1.998626	2.521060	2421
Pieho1_1|Pieho1_1_224300	Pieho1_1|Pieho1_1_256704	0.818234	2.642709	0.309619	1299.671984	380.328016	1.032476	3.693806	2064
Pieho1_1|Pieho1_1_254071	Pieho1_1|Pieho1_1_279943	0.684474	2.512904	0.272384	1063.595449	328.404551	1.645639	3.347528	1494
Pieho1_1|Pieho1_1_267275	Pieho1_1|Pieho1_1_267276	0.292761	1.416647	0.206658	870.858545	302.141455	2.564850	1.746755	1203
Pieho1_1|Pieho1_1_208566	Pieho1_1|Pieho1_1_256179	0.686001	4.047267	0.169497	847.398808	220.601192	1.220000	4.140866	2211
Pieho1_1|Pieho1_1_292123	Pieho1_1|Pieho1_1_243779	0.655090	4.484811	0.146069	1027.540448	313.459552	1.318052	4.650868	1674
Pieho1_1|Pieho1_1_1715	Pieho1_1|Pieho1_1_219296	0.672276	2.546328	0.264018	1088.217124	387.782876	1.433422	3.493912	1686
