SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Melva1|Melva1_539771	Melva1|Melva1_447338	0.459589	1.865483	0.246365	993.781253	386.218747	1.606072	2.559164	1416
Melva1|Melva1_505528	Melva1|Melva1_492435	0.242356	2.487889	0.097414	809.515247	255.484753	1.508747	2.343123	1083
Melva1|Melva1_539744	Melva1|Melva1_636613	0.620162	2.734745	0.226771	1000.838353	334.161647	1.258930	3.448379	1437
Melva1|Melva1_539743	Melva1|Melva1_457250	0.565160	3.064018	0.184451	1034.553956	330.446044	1.463678	3.510289	1488
Melva1|Melva1_447445	Melva1|Melva1_471232	0.310293	4.320815	0.071813	1032.306625	317.693375	1.217225	3.762247	1473
Melva1|Melva1_414427	Melva1|Melva1_516374	0.468919	3.156660	0.148549	968.330130	321.669870	1.165846	3.417374	1569
Melva1|Melva1_560149	Melva1|Melva1_509066	0.620464	4.302605	0.144207	895.927401	310.072599	1.078061	4.701519	1287
Melva1|Melva1_521861	Melva1|Melva1_456373	0.437176	5.201977	0.084040	2865.383962	1028.616038	1.555253	5.087453	4404
Melva1|Melva1_414620	Melva1|Melva1_520304	0.606642	3.802274	0.159547	680.340811	228.659189	1.564735	4.231513	1977
Melva1|Melva1_627214	Melva1|Melva1_506752	1.115929	2.130059	0.523896	2145.282006	740.717994	1.333199	4.128644	4152
Melva1|Melva1_505509	Melva1|Melva1_565270	0.687871	4.016434	0.171264	670.284113	211.715887	1.630916	4.460584	2121
Melva1|Melva1_505497	Melva1|Melva1_634488	0.613382	2.406476	0.254888	1138.976061	358.023939	1.297679	3.126660	1608
Melva1|Melva1_627198	Melva1|Melva1_506925	0.456072	2.049875	0.222488	492.112285	170.887715	2.225687	2.600620	738
Melva1|Melva1_413865	Melva1|Melva1_519358	0.610881	3.915908	0.156000	603.841830	185.158170	1.295635	4.159459	837
Melva1|Melva1_414752	Melva1|Melva1_432413	0.900144	1.781007	0.505413	910.063600	322.936400	1.776258	3.392556	1368
Melva1|Melva1_627193	Melva1|Melva1_572330	0.727725	2.583010	0.281735	499.146369	172.853631	2.105912	3.614839	711
Melva1|Melva1_627191	Melva1|Melva1_634061	0.400039	1.711275	0.233766	270.062567	104.937433	1.112815	2.300898	753
Melva1|Melva1_476796	Melva1|Melva1_485425	0.478057	2.137492	0.223653	1079.627396	396.372604	1.450767	2.771071	1491
Melva1|Melva1_447380	Melva1|Melva1_637573	0.524750	1.841373	0.284978	777.406009	260.593991	1.154886	2.565880	1140
Melva1|Melva1_505484	Melva1|Melva1_512605	0.621816	2.194944	0.283295	396.135490	92.864510	0.905187	2.761692	1095
Melva1|Melva1_6415	Melva1|Melva1_505953	0.805641	4.346016	0.185375	1108.450276	328.549724	1.185726	4.845294	1845
Melva1|Melva1_447363	Melva1|Melva1_383305	0.776525	1.817403	0.427272	548.400483	213.599517	1.836534	3.204895	891
Melva1|Melva1_560109	Melva1|Melva1_568336	0.507620	5.681380	0.089348	5601.801049	1949.198951	1.551331	5.529491	9027
Melva1|Melva1_575110	Melva1|Melva1_485505	0.398737	3.249259	0.122716	1613.076863	543.923137	1.055109	3.352628	2271
Melva1|Melva1_505466	Melva1|Melva1_562947	0.582304	1.763651	0.330170	317.001884	111.998116	1.721468	2.672148	1335
Melva1|Melva1_393442	Melva1|Melva1_542405	0.316365	4.171478	0.075840	810.664485	260.335515	1.299439	3.760363	1272
Melva1|Melva1_415197	Melva1|Melva1_487393	0.395059	4.368441	0.090435	1230.478258	338.521742	1.482631	3.757025	1626
Melva1|Melva1_594702	Melva1|Melva1_633799	0.527315	3.950286	0.133488	878.927378	294.072622	1.389199	4.156375	1722
Melva1|Melva1_505458	Melva1|Melva1_541139	0.797956	2.288726	0.348646	1473.037074	527.962926	1.425913	3.573884	2247
Melva1|Melva1_413820	Melva1|Melva1_417491	0.440435	4.591708	0.095920	1284.098360	455.901640	1.634238	4.584359	2310
Melva1|Melva1_594672	Melva1|Melva1_440743	0.645995	2.185873	0.295532	1094.073561	396.926439	1.132301	3.167800	1869
Melva1|Melva1_414945	Melva1|Melva1_593826	0.446583	4.038952	0.110569	723.831096	218.168904	0.987094	3.835748	1023
Melva1|Melva1_550433	Melva1|Melva1_502410	0.865627	2.046354	0.423010	1117.318817	418.681183	1.494740	3.562406	2163
Melva1|Melva1_521799	Melva1|Melva1_557305	0.686842	4.162702	0.164999	759.693319	257.306681	1.134273	4.698761	1110
Melva1|Melva1_539697	Melva1|Melva1_512685	0.294232	4.150699	0.070887	844.778404	253.221596	0.961646	3.550840	1176
Melva1|Melva1_505438	Melva1|Melva1_94545	0.546230	2.182683	0.250256	481.493778	172.506222	1.497092	2.933637	771
Melva1|Melva1_575079	Melva1|Melva1_257964	0.605398	2.246388	0.269498	676.314575	244.685425	1.910116	3.124097	1515
Melva1|Melva1_521793	Melva1|Melva1_626988	0.461356	4.408999	0.104640	1184.667774	357.332226	1.295343	4.128465	1953
Melva1|Melva1_627145	Melva1|Melva1_565977	0.583129	1.922047	0.303389	729.802001	269.197999	1.558630	2.831771	1236
Melva1|Melva1_505429	Melva1|Melva1_552363	0.663035	4.033526	0.164381	632.403754	216.596246	0.859273	4.568738	1119
Melva1|Melva1_521787	Melva1|Melva1_461546	0.864926	3.016448	0.286737	1278.398882	374.601118	1.284420	4.057505	1956
Melva1|Melva1_414364	Melva1|Melva1_439949	0.494183	2.394643	0.206370	1699.513878	577.486122	1.569173	2.928517	2682
Melva1|Melva1_505422	Melva1|Melva1_520463	0.337506	3.596630	0.093839	428.034408	120.965592	1.220967	3.166844	561
Melva1|Melva1_505419	Melva1|Melva1_512853	0.563491	1.619366	0.347970	1282.311728	502.688272	1.711197	2.582533	1995
Melva1|Melva1_505418	Melva1|Melva1_476032	0.242345	1.608323	0.150682	609.492890	185.507110	1.680825	1.683256	870
Melva1|Melva1_505417	Melva1|Melva1_442645	0.827531	4.141404	0.199819	772.897107	250.102893	1.023183	4.913119	1308
Melva1|Melva1_476667	Melva1|Melva1_480834	0.752072	2.049947	0.366874	899.349136	276.650864	1.335540	3.172180	1254
Melva1|Melva1_476659	Melva1|Melva1_520417	0.751214	1.776903	0.422766	589.744644	202.255356	1.336381	3.039441	906
Melva1|Melva1_505398	Melva1|Melva1_514345	0.583925	3.628172	0.160942	647.722367	231.277633	1.939486	4.154730	1041
Melva1|Melva1_505397	Melva1|Melva1_582556	0.518644	2.028417	0.255689	369.389406	143.610594	1.445079	2.823881	537
Melva1|Melva1_505394	Melva1|Melva1_551416	0.398747	4.013616	0.099349	719.078090	210.921910	1.134377	3.655774	1047
Melva1|Melva1_413947	Melva1|Melva1_472701	0.963873	2.505804	0.384656	960.079264	317.920736	1.118877	4.042352	1596
Melva1|Melva1_539662	Melva1|Melva1_634352	0.954783	2.792201	0.341946	1248.961548	443.038452	1.465206	4.307694	2445
Melva1|Melva1_4533	Melva1|Melva1_638713	0.658646	1.774278	0.371219	3548.149320	1329.850680	1.194835	2.888375	6120
Melva1|Melva1_447219	Melva1|Melva1_620520	0.505641	3.793116	0.133305	921.513377	338.486623	1.292915	4.166368	1431
Melva1|Melva1_575027	Melva1|Melva1_637529	0.930594	4.244412	0.219252	967.076413	286.923587	1.161368	5.066454	1530
Melva1|Melva1_560040	Melva1|Melva1_505239	0.463604	1.875567	0.247181	932.788196	318.211804	1.634912	2.468278	1467
Melva1|Melva1_413525	Melva1|Melva1_523814	0.485344	2.426264	0.200038	1176.127119	377.872881	1.068414	2.871902	1725
Melva1|Melva1_447192	Melva1|Melva1_488191	0.253196	1.779553	0.142281	225.308635	89.691365	3.861087	2.063407	315
Melva1|Melva1_476604	Melva1|Melva1_454271	0.375920	2.942446	0.127758	814.973375	271.026625	1.221304	3.049298	1131
Melva1|Melva1_505359	Melva1|Melva1_462339	0.513641	4.141106	0.124035	808.996579	250.003421	1.547225	4.109985	1119
Melva1|Melva1_3860	Melva1|Melva1_517152	0.736314	3.494661	0.210697	721.829587	229.170413	1.272519	4.203048	1164
Melva1|Melva1_505345	Melva1|Melva1_513558	0.573863	4.107637	0.139706	1080.907678	239.092322	1.075591	3.641812	1371
Melva1|Melva1_505343	Melva1|Melva1_556271	0.685494	4.567451	0.150082	1421.607233	441.392767	1.132649	4.815690	2274
Melva1|Melva1_413735	Melva1|Melva1_508196	0.882357	4.752007	0.185681	1697.460842	564.539158	1.231885	5.544379	2940
Melva1|Melva1_447154	Melva1|Melva1_472800	1.024435	2.039383	0.502326	709.317197	280.682803	1.620235	3.936572	1230
Melva1|Melva1_476563	Melva1|Melva1_514676	0.515937	4.009525	0.128678	903.225553	209.774447	0.846216	3.523190	1314
Melva1|Melva1_414056	Melva1|Melva1_565467	0.363754	4.143492	0.087789	784.200066	250.799934	1.042282	3.838966	1059
Melva1|Melva1_2913	Melva1|Melva1_562198	0.894479	2.125644	0.420804	1190.935222	417.064778	1.663012	3.641415	1977
Melva1|Melva1_574972	Melva1|Melva1_555801	1.080137	1.606542	0.672336	1006.035808	358.964192	1.714412	3.655709	1650
Melva1|Melva1_594550	Melva1|Melva1_474509	0.607476	2.200064	0.276117	413.959446	126.040554	1.580126	2.937599	858
Melva1|Melva1_521692	Melva1|Melva1_600286	0.495110	2.883079	0.171730	1342.033054	445.966946	2.011551	3.272167	1860
Melva1|Melva1_574969	Melva1|Melva1_620817	0.766152	2.115989	0.362078	813.053679	308.946321	1.655773	3.413502	1293
Melva1|Melva1_539625	Melva1|Melva1_556913	0.925881	2.721026	0.340269	1227.196749	410.803251	0.989092	4.128287	2157
Melva1|Melva1_627046	Melva1|Melva1_432352	0.794391	4.563742	0.174066	818.174827	264.825173	1.286023	5.148324	1419
Melva1|Melva1_447126	Melva1|Melva1_630550	1.053222	4.878120	0.215907	2155.085303	667.914697	1.067268	5.874550	3456
Melva1|Melva1_505316	Melva1|Melva1_441523	0.093226	3.282748	0.028399	250.401293	79.598707	2.129423	2.587694	330
Melva1|Melva1_559985	Melva1|Melva1_633624	0.202633	1.899142	0.106697	511.338453	181.661547	2.100579	1.942058	717
Melva1|Melva1_574962	Melva1|Melva1_632584	0.770944	1.839850	0.419026	1124.485353	402.514647	1.312785	3.158118	2397
Melva1|Melva1_410313	Melva1|Melva1_451653	0.247006	4.681422	0.052763	1592.168470	513.831530	1.272281	3.986804	2934
Melva1|Melva1_559984	Melva1|Melva1_611240	0.274333	5.483342	0.050030	451.456318	148.543682	1.372459	4.691826	606
Melva1|Melva1_476527	Melva1|Melva1_553683	0.645362	4.553424	0.141731	1300.786056	433.213944	1.239791	4.865198	1926
Melva1|Melva1_2765	Melva1|Melva1_407758	0.798795	2.377810	0.335937	1416.319313	476.680687	1.583292	3.589231	2607
Melva1|Melva1_505310	Melva1|Melva1_459000	0.554623	4.386464	0.126440	1165.244834	346.755166	1.149594	4.300200	1824
Melva1|Melva1_414442	Melva1|Melva1_528534	0.548764	2.437624	0.225122	1217.805510	429.194490	1.776378	3.122955	1758
Melva1|Melva1_574954	Melva1|Melva1_478252	0.697524	4.591503	0.151916	1503.222782	455.777218	1.288032	4.810470	2544
Melva1|Melva1_413597	Melva1|Melva1_444715	0.431005	1.267130	0.340143	410.224049	123.775951	1.443355	1.874431	555
Melva1|Melva1_414082	Melva1|Melva1_513552	0.543705	4.601541	0.118157	1386.081576	461.918424	1.373297	4.673955	2049
Melva1|Melva1_447097	Melva1|Melva1_514014	0.740576	2.104536	0.351895	3061.059037	1147.940963	1.322741	3.337727	4473
Melva1|Melva1_627027	Melva1|Melva1_546184	0.703235	4.578561	0.153593	1511.020188	447.979812	1.184835	4.768309	2217
Melva1|Melva1_539614	Melva1|Melva1_571364	0.722722	1.289929	0.560280	632.725108	246.274892	1.691697	2.644919	1023
