SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Same|AQF_AET00000002001	Same|AQF_AET00005550001	0.757005	3.080042	0.245778	716.786466	195.213534	1.739733	3.762754	1131
Same|AQF_AET00000013001	Same|AQF_AET00002569001	0.618311	4.230472	0.146156	1779.360103	281.639897	1.427640	3.335760	2409
Same|AQF_AET00000015001	Same|AQF_AET00001633001	0.580200	3.959616	0.146529	1366.730732	196.269268	1.562962	3.013682	1653
Same|AQF_AET00000016001	Same|AQF_AET00004518001	0.411303	3.769584	0.109111	945.660362	152.339638	1.275843	2.631721	1107
Same|AQF_AET00000023001	Same|AQF_AET00001377001	0.733644	4.206465	0.174409	1323.232473	272.767527	1.316026	3.981519	1809
Same|AQF_AET00000024001	Same|AQF_AET00005989001	0.232878	3.711795	0.062740	890.957676	141.042324	1.167042	2.125015	1044
Same|AQF_AET00000027001	Same|AQF_AET00000028001	0.520301	2.380424	0.218575	2229.435081	398.564919	1.875145	2.407228	3144
Same|AQF_AET00000029001	Same|AQF_AET00004224001	0.434972	3.993289	0.108926	1069.717944	205.282056	1.177470	3.023642	1323
Same|AQF_AET00000032001	Same|AQF_AET00001185001	0.339300	3.955181	0.085786	1277.887764	195.112236	1.216574	2.454768	1512
Same|AQF_AET00000034001	Same|AQF_AET00002337001	0.699111	3.790118	0.184456	845.432061	156.567939	1.650254	3.546292	1086
Same|AQF_AET00000036001	Same|AQF_AET00001184001	0.644484	4.083473	0.157827	1391.488295	231.511705	1.147749	3.405109	1830
Same|AQF_AET00000039001	Same|AQF_AET00000040001	0.297912	2.597904	0.114674	706.399120	157.600880	1.205252	2.152349	927
Same|AQF_AET00000041001	Same|AQF_AET00000750001	0.316522	2.834845	0.111654	1227.341939	218.658061	0.995605	2.091997	1476
Same|AQF_AET00000042001	Same|AQF_AET00001689001	0.408742	4.098759	0.099723	1488.721185	236.278815	1.385781	2.742526	1779
Same|AQF_AET00000044001	Same|AQF_AET00000045001	0.029191	0.261664	0.111560	1484.640921	258.359079	1.479315	0.190950	1755
Same|AQF_AET00000046001	Same|AQF_AET00000594001	0.425068	4.209623	0.100975	1346.081454	273.918546	1.190575	3.194945	2001
