Cpul|CPUL_00004-R0	GT71.hmm  	1.3e-74	1	264	134	370	0.996212121212121
Cpul|CPUL_00014-R0	CE1.hmm  	9e-12	14	214	665	882	0.881057268722467
Cpul|CPUL_00026-R0	GH12.hmm  	1.4e-24	22	156	145	280	0.858974358974359
Cpul|CPUL_00026-R0	GT2.hmm  	1.7e-28	2	168	548	715	0.988095238095238
Cpul|CPUL_00037-R0	PL7.hmm  	2.5e-41	1	231	44	256	0.995670995670996
Cpul|CPUL_00081-R0	GH47.hmm  	4.7e-145	1	446	127	595	0.997757847533632
Cpul|CPUL_00082-R0	CE3.hmm  	1.5e-09	4	190	219	406	0.958762886597938
Cpul|CPUL_00102-R0	AA9.hmm  	1.4e-64	2	220	9	211	0.990909090909091
Cpul|CPUL_00112-R0	GT2.hmm  	4.2e-21	2	168	267	444	0.988095238095238
Cpul|CPUL_00113-R0	GH12.hmm  	1e-24	5	155	159	328	0.961538461538462
Cpul|CPUL_00118-R0	CE10.hmm  	2.1e-34	93	340	106	366	0.724340175953079
Cpul|CPUL_00122-R0	GH16.hmm  	8.4e-29	11	188	83	302	0.936507936507937
Cpul|CPUL_00124-R0	GT69.hmm  	1.9e-43	1	155	109	262	0.644351464435146
Cpul|CPUL_00128-R0	AA1.hmm  	5.5e-77	438	723	112	394	0.302226935312831
Cpul|CPUL_00135-R0	GH109.hmm  	3.2e-14	1	122	7	123	0.96031746031746
Cpul|CPUL_00137-R0	GH109.hmm  	2.9e-11	2	121	10	130	0.944444444444444
Cpul|CPUL_00138-R0	GH109.hmm  	5.8e-06	65	123	68	124	0.46031746031746
Cpul|CPUL_00142-R0	GH54.hmm  	5.3e-158	1	315	24	339	0.993670886075949
Cpul|CPUL_00142-R0	CBM42.hmm  	2.1e-59	2	135	357	496	0.977941176470588
Cpul|CPUL_00144-R0	GH18.hmm  	9.8e-37	96	284	95	336	0.635135135135135
Cpul|CPUL_00157-R0	CE12.hmm  	3.3e-22	18	207	8	185	0.9
Cpul|CPUL_00170-R0	AA2.hmm  	2.3e-12	19	114	80	176	0.372549019607843
Cpul|CPUL_00170-R0	AA2.hmm  	0.00046	168	251	329	426	0.325490196078431
Cpul|CPUL_00170-R0	AA2.hmm  	6.5e-13	24	118	480	582	0.368627450980392
Cpul|CPUL_00196-R0	GH125.hmm  	1.3e-118	1	313	77	416	0.776119402985075
Cpul|CPUL_00249-R0	GH38.hmm  	9e-87	2	258	284	544	0.951672862453532
Cpul|CPUL_00297-R0	GH78.hmm  	1.5e-51	135	483	308	696	0.69047619047619
Cpul|CPUL_00308-R0	CE10.hmm  	3.4e-13	81	208	20	193	0.372434017595308
Cpul|CPUL_00341-R0	AA3.hmm  	2.8e-42	79	406	98	672	0.529126213592233
Cpul|CPUL_00376-R0	GT20.hmm  	3.2e-160	32	475	163	620	0.932631578947368
Cpul|CPUL_00402-R0	GH7.hmm  	1.9e-157	1	414	21	416	0.995180722891566
Cpul|CPUL_00438-R0	GT90.hmm  	2.6e-82	3	248	369	639	0.98
Cpul|CPUL_00450-R0	AA4.hmm  	9.4e-20	21	191	80	255	0.325670498084291
Cpul|CPUL_00520-R0	AA2.hmm  	1.1e-55	3	253	12	268	0.980392156862745
Cpul|CPUL_00530-R0	CBM1.hmm  	2.4e-13	2	29	27	54	0.931034482758621
Cpul|CPUL_00530-R0	CE16.hmm  	3.8e-98	1	266	115	373	0.99250936329588
Cpul|CPUL_00536-R0	GT4.hmm  	1.2e-35	8	159	448	616	0.94375
Cpul|CPUL_00597-R0	GH18.hmm  	2.7e-73	29	288	5	338	0.875
Cpul|CPUL_00602-R0	CE10.hmm  	3e-18	67	316	457	698	0.730205278592375
Cpul|CPUL_00610-R0	GT15.hmm  	6e-15	1	92	45	122	0.333333333333333
Cpul|CPUL_00633-R0	GT69.hmm  	1e-71	1	238	104	343	0.99163179916318
Cpul|CPUL_00674-R0	GH31.hmm  	9.7e-153	2	426	355	802	0.992974238875878
