SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Paxin1|Paxin1_95025	Paxin1|Paxin1_17694	0.060422	0.075792	0.797216	697.687028	271.312972	2.533257	0.194177	1110
Paxin1|Paxin1_159555	Paxin1|Paxin1_76504	0.347996	3.782372	0.092005	1435.958823	454.041177	1.301215	3.519144	1992
Paxin1|Paxin1_159557	Paxin1|Paxin1_176449	0.038134	0.060281	0.632612	485.205278	192.794722	6.884443	0.133295	798
Paxin1|Paxin1_104396	Paxin1|Paxin1_163462	0.951644	4.829222	0.197059	1819.242421	625.757579	1.083673	5.832139	2916
Paxin1|Paxin1_64634	Paxin1|Paxin1_82460	0.483127	1.740722	0.277544	1028.463528	375.536472	1.341541	2.458511	1752
Paxin1|Paxin1_30403	Paxin1|Paxin1_103185	0.371250	3.652346	0.101647	451.705923	130.294077	1.799814	3.317396	1629
Paxin1|Paxin1_164963	Paxin1|Paxin1_164972	0.022164	0.013946	1.589227	137.626814	72.373186	4.404937	0.057995	294
Paxin1|Paxin1_5567	Paxin1|Paxin1_151972	0.211155	1.058129	0.199555	1221.886041	509.113959	2.721649	1.380789	2067
Paxin1|Paxin1_64663	Paxin1|Paxin1_86050	0.060579	0.079822	0.758925	138.587382	53.412618	6.216658	0.197796	228
Paxin1|Paxin1_164971	Paxin1|Paxin1_171585	0.018228	0.017779	1.025226	222.122763	113.877237	4.600000	0.054227	405
Paxin1|Paxin1_164975	Paxin1|Paxin1_160681	0.213454	1.352113	0.157867	675.446306	263.553694	2.795164	1.599141	1467
Paxin1|Paxin1_5578	Paxin1|Paxin1_128632	0.838053	4.348379	0.192728	1029.413541	329.586459	1.408217	5.068146	1887
Paxin1|Paxin1_63372	Paxin1|Paxin1_74353	0.832991	1.963955	0.424140	814.419291	268.580709	1.275831	3.340400	1374
Paxin1|Paxin1_95046	Paxin1|Paxin1_135099	0.798599	2.222557	0.359315	938.714723	300.285277	1.028289	3.431133	2175
Paxin1|Paxin1_123083	Paxin1|Paxin1_171311	0.015933	0.172884	0.092157	891.008103	434.991897	18.691070	0.202261	1677
Paxin1|Paxin1_5588	Paxin1|Paxin1_15605	0.066622	0.317231	0.210011	404.081964	153.918036	12.842551	0.407249	966
Paxin1|Paxin1_5591	Paxin1|Paxin1_21999	0.066263	0.217879	0.304127	1074.950032	500.049968	11.509728	0.343200	1863
Paxin1|Paxin1_64802	Paxin1|Paxin1_41090	0.513384	3.842273	0.133615	213.160453	80.839547	2.754888	4.286131	588
Paxin1|Paxin1_5594	Paxin1|Paxin1_22209	0.000000	0.000000	99.000000	211.290290	64.709710	4.600000	0.000000	276
Paxin1|Paxin1_38954	Paxin1|Paxin1_31076	0.010590	0.008617	1.229045	285.279563	116.720437	4.600000	0.030052	402
Paxin1|Paxin1_5596	Paxin1|Paxin1_16428	0.108210	0.323286	0.334719	300.208425	122.791575	8.111062	0.511931	450
Paxin1|Paxin1_5597	Paxin1|Paxin1_17606	0.216703	0.840888	0.257707	947.093249	273.906751	4.567649	1.070178	1389
Paxin1|Paxin1_64886	Paxin1|Paxin1_87485	0.092732	0.305582	0.303462	363.096867	155.903133	23.868482	0.470012	888
Paxin1|Paxin1_64770	Paxin1|Paxin1_15961	0.055687	0.513323	0.108483	244.187273	88.812727	16.037225	0.533222	2334
Paxin1|Paxin1_65104	Paxin1|Paxin1_34043	0.098158	0.554234	0.177105	170.972138	69.027862	7.354599	0.687998	309
Paxin1|Paxin1_33738	Paxin1|Paxin1_38504	0.155583	0.669752	0.232300	151.099139	61.900861	7.425097	0.915025	282
Paxin1|Paxin1_5601	Paxin1|Paxin1_12268	0.247220	0.697490	0.354443	673.059546	217.940454	2.105086	1.072071	1020
Paxin1|Paxin1_64117	Paxin1|Paxin1_84956	0.000000	0.054215	0.000010	111.214082	38.785918	4.600000	0.042055	150
Paxin1|Paxin1_63974	Paxin1|Paxin1_90213	0.049900	0.025961	1.922117	167.620859	78.379141	9.672231	0.126819	273
Paxin1|Paxin1_45718	Paxin1|Paxin1_48139	0.011059	0.162068	0.068239	455.448634	156.551366	3.587806	0.149064	612
Paxin1|Paxin1_30011	Paxin1|Paxin1_22608	0.371835	2.085470	0.178298	491.165181	156.834819	1.852418	2.359753	1122
Paxin1|Paxin1_5605	Paxin1|Paxin1_17420	0.094381	0.103081	0.915599	377.573751	153.426249	3.676106	0.290684	771
Paxin1|Paxin1_5606	Paxin1|Paxin1_21316	0.133114	0.149959	0.887673	452.201928	177.798072	3.224602	0.413605	1287
Paxin1|Paxin1_64629	Paxin1|Paxin1_93414	0.043932	0.060282	0.728768	363.254083	146.745917	4.600000	0.145909	510
Paxin1|Paxin1_64331	Paxin1|Paxin1_40609	0.008843	0.015220	0.580991	341.259226	132.740774	4.600000	0.031887	495
Paxin1|Paxin1_44975	Paxin1|Paxin1_84142	0.045051	0.024077	1.871088	161.594361	84.405639	12.538706	0.113564	1314
Paxin1|Paxin1_63727	Paxin1|Paxin1_87306	0.064459	0.025684	2.509653	131.395403	39.604597	4.600000	0.166436	240
Paxin1|Paxin1_151982	Paxin1|Paxin1_14133	0.290422	1.567039	0.185332	396.228224	182.771776	3.205817	2.080229	2016
Paxin1|Paxin1_159571	Paxin1|Paxin1_163742	0.113351	0.466639	0.242909	336.820314	143.179686	8.897904	0.656200	1746
Paxin1|Paxin1_5615	Paxin1|Paxin1_16316	0.213262	0.387505	0.550345	427.248758	130.751242	4.636074	0.762272	1287
Paxin1|Paxin1_151985	Paxin1|Paxin1_13763	0.051913	0.053070	0.978182	928.305359	475.694641	19.515256	0.156915	2634
Paxin1|Paxin1_151986	Paxin1|Paxin1_156594	0.171551	0.144011	1.191230	414.292987	167.707013	3.052061	0.490845	987
Paxin1|Paxin1_164982	Paxin1|Paxin1_165842	0.700734	4.351340	0.161039	1118.109910	330.890090	1.133776	4.603133	1656
Paxin1|Paxin1_64999	Paxin1|Paxin1_104308	0.451511	4.449642	0.101471	1230.769463	377.230537	1.144071	4.168372	1806
Paxin1|Paxin1_26679	Paxin1|Paxin1_6241	0.219469	2.445358	0.089749	174.610093	59.389907	0.915123	2.353218	3363
Paxin1|Paxin1_164987	Paxin1|Paxin1_15754	0.326596	1.744343	0.187232	4725.158299	1685.841701	2.085214	2.098224	6558
Paxin1|Paxin1_164988	Paxin1|Paxin1_73620	0.420684	3.731367	0.112743	467.228580	144.771420	1.294294	3.611524	630
Paxin1|Paxin1_5628	Paxin1|Paxin1_85070	1.108307	4.344559	0.255102	1046.087925	327.912075	1.172568	5.641964	2082
Paxin1|Paxin1_104466	Paxin1|Paxin1_10504	0.822923	1.999504	0.411563	1487.279257	537.720743	1.876850	3.406060	2178
Paxin1|Paxin1_64901	Paxin1|Paxin1_123302	0.325448	1.988345	0.163678	552.820455	185.179545	1.321529	2.228110	954
Paxin1|Paxin1_178016	Paxin1|Paxin1_152010	0.804135	2.308049	0.348405	1011.979934	338.020066	1.537347	3.542079	1875
Paxin1|Paxin1_152013	Paxin1|Paxin1_65360	0.258608	0.295976	0.873746	231.854292	71.145708	1.802354	0.802147	465
Paxin1|Paxin1_63562	Paxin1|Paxin1_167807	1.005498	3.522105	0.285482	1701.374280	506.625720	1.672897	4.748801	2532
Paxin1|Paxin1_165013	Paxin1|Paxin1_167276	0.596538	4.059596	0.146945	831.742682	224.257318	0.947450	3.995911	1089
Paxin1|Paxin1_64884	Paxin1|Paxin1_90604	0.381352	3.091885	0.123340	220.285860	61.714140	0.971092	2.923612	921
Paxin1|Paxin1_95088	Paxin1|Paxin1_173227	0.419656	3.543426	0.118432	461.230837	162.769163	1.259456	3.703455	867
Paxin1|Paxin1_165014	Paxin1|Paxin1_172970	0.067099	0.265899	0.252346	857.993557	333.006443	2.787893	0.368051	1509
Paxin1|Paxin1_159617	Paxin1|Paxin1_163951	0.819075	1.812797	0.451829	593.617151	246.382849	1.926145	3.331640	2730
Paxin1|Paxin1_165019	Paxin1|Paxin1_84485	0.403074	2.368871	0.170155	1124.953293	375.046707	1.574471	2.683755	1527
Paxin1|Paxin1_64060	Paxin1|Paxin1_88735	1.173062	1.836036	0.638910	1176.184783	476.815217	1.354045	4.092900	1950
Paxin1|Paxin1_165031	Paxin1|Paxin1_85120	0.787746	3.620528	0.217578	1140.151519	341.848481	1.361055	4.323527	1731
Paxin1|Paxin1_165033	Paxin1|Paxin1_159647	0.481409	1.938070	0.248396	604.005933	229.994067	1.511737	2.649346	873
Paxin1|Paxin1_159628	Paxin1|Paxin1_7091	0.764236	1.827154	0.418266	1137.065747	392.934253	1.890339	3.111643	1956
Paxin1|Paxin1_152037	Paxin1|Paxin1_92790	0.000000	0.031513	0.000010	491.127391	162.872609	2.107265	0.023544	675
Paxin1|Paxin1_165037	Paxin1|Paxin1_5688	0.893419	1.686744	0.529671	610.955917	211.044083	1.523235	3.291303	1878
