SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Triat2|Triat2_310473	Triat2|Triat2_143414	0.569076	1.999011	0.284679	962.326706	330.673294	1.422596	2.804308	1596
Triat2|Triat2_306964	Triat2|Triat2_85568	0.977094	2.829482	0.345326	798.983535	281.016465	1.339047	4.377260	1254
Triat2|Triat2_283182	Triat2|Triat2_288239	0.264239	1.545458	0.170978	410.458997	111.541003	2.311834	1.614029	522
Triat2|Triat2_269378	Triat2|Triat2_132671	0.832631	4.324809	0.192524	1024.610113	319.389887	1.061010	4.987551	1578
Triat2|Triat2_231149	Triat2|Triat2_319948	0.838723	4.789080	0.175132	1887.854702	593.145298	1.514639	5.349465	3483
Triat2|Triat2_230711	Triat2|Triat2_36279	0.591134	1.924038	0.307236	1025.965543	327.034457	1.483387	2.739933	2238
Triat2|Triat2_226566	Triat2|Triat2_32734	0.919050	2.155891	0.426297	1449.462317	509.537683	1.070811	3.722261	2328
Triat2|Triat2_224027	Triat2|Triat2_161146	0.445974	2.413866	0.184755	961.643471	289.356529	1.163573	2.703443	1332
Triat2|Triat2_221418	Triat2|Triat2_87657	0.541140	4.231754	0.127876	950.878227	282.121773	1.180444	4.156759	1392
Triat2|Triat2_219205	Triat2|Triat2_86518	0.281532	3.883057	0.072503	729.090732	239.909268	1.323222	3.519640	1152
Triat2|Triat2_219074	Triat2|Triat2_219075	0.002613	0.000000	99.000000	766.642888	301.357112	4.600000	0.005628	1095
Triat2|Triat2_217762	Triat2|Triat2_180327	0.391473	3.119328	0.125499	328.182948	133.817052	1.561846	3.544766	627
Triat2|Triat2_217206	Triat2|Triat2_55045	0.808753	4.236414	0.190905	952.120005	283.879995	1.282190	4.788016	1395
Triat2|Triat2_216621	Triat2|Triat2_32534	0.970059	4.199939	0.230970	1106.595740	270.404260	1.304381	4.812952	1578
Triat2|Triat2_215231	Triat2|Triat2_133786	0.665008	4.623586	0.143829	1741.302840	475.697160	1.296765	4.543175	2628
Triat2|Triat2_213443	Triat2|Triat2_297616	0.422569	3.279990	0.128832	361.693473	79.306527	1.034846	2.809287	561
Triat2|Triat2_212181	Triat2|Triat2_220714	0.426441	1.305617	0.326620	1496.218764	546.781236	2.757998	1.985221	2613
Triat2|Triat2_210245	Triat2|Triat2_48471	0.799265	2.470900	0.323471	599.067542	186.932458	1.249465	3.590478	942
Triat2|Triat2_161178	Triat2|Triat2_131523	0.579816	4.187105	0.138477	763.183415	265.816585	1.088761	4.535010	1074
Triat2|Triat2_161152	Triat2|Triat2_300245	0.396912	4.379508	0.090629	1363.446288	343.553712	1.161440	3.595369	2220
Triat2|Triat2_161128	Triat2|Triat2_148686	0.765541	1.654978	0.462569	1227.679023	503.320977	1.798054	3.072485	2505
Triat2|Triat2_161123	Triat2|Triat2_83315	0.109964	0.561536	0.195828	780.648546	305.351454	4.145506	0.710799	1095
Triat2|Triat2_161121	Triat2|Triat2_155013	0.456640	4.346768	0.105053	1324.120919	328.879081	1.321458	3.691847	1752
Triat2|Triat2_161093	Triat2|Triat2_45036	0.000787	0.000000	99.000000	1272.056774	263.943226	4.600000	0.001954	1590
Triat2|Triat2_161074	Triat2|Triat2_299884	0.310186	1.585674	0.195618	353.693893	132.306107	1.441566	1.972256	513
Triat2|Triat2_160794	Triat2|Triat2_160795	0.010039	0.026195	0.383232	501.461940	116.538060	1.243848	0.039256	792
Triat2|Triat2_157515	Triat2|Triat2_31008	0.692066	4.479635	0.154492	1224.378333	392.621667	1.130888	4.835162	1752
Triat2|Triat2_156625	Triat2|Triat2_319185	0.845321	2.637843	0.320459	1561.664290	535.335710	1.508672	3.908782	2298
Triat2|Triat2_155410	Triat2|Triat2_236852	0.774448	4.887644	0.158450	2053.550118	676.449882	1.319202	5.380894	3198
