SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Lelo|LELG_04179	Lelo|LELG_00149	0.799853	2.618231	0.305494	1038.314194	350.685806	1.282395	3.776836	1536
Lelo|LELG_04185	Lelo|LELG_02465	0.699595	3.333472	0.209870	1223.054648	354.945352	1.296547	3.876129	1665
Lelo|LELG_04189	Lelo|LELG_02545	0.945875	2.502607	0.377956	1344.462898	374.537102	1.374379	3.855172	3183
Lelo|LELG_04190	Lelo|LELG_03986	0.700809	1.886273	0.371531	1171.331200	358.668800	1.633618	2.936130	2472
Lelo|LELG_04194	Lelo|LELG_03070	0.567639	3.966633	0.143104	671.885715	198.114285	1.377950	4.024949	1263
Lelo|LELG_04196	Lelo|LELG_00466	0.424666	1.212817	0.350148	705.179847	236.820153	1.764602	1.868424	1065
Lelo|LELG_04214	Lelo|LELG_00883	0.708800	2.305620	0.307423	666.597847	215.402153	1.751876	3.296328	951
Lelo|LELG_04219	Lelo|LELG_02848	0.342153	3.556407	0.096208	422.350883	114.649117	0.983202	3.085182	561
Lelo|LELG_04224	Lelo|LELG_04225	0.923702	4.948113	0.186678	2875.752135	733.247865	1.322483	5.224049	5451
Lelo|LELG_04242	Lelo|LELG_01635	0.259559	2.670998	0.097177	643.799584	223.200416	1.282052	2.641079	876
Lelo|LELG_04245	Lelo|LELG_02304	0.829456	2.512680	0.330108	1228.029024	391.970976	1.699713	3.710172	3060
Lelo|LELG_04248	Lelo|LELG_03454	0.532818	2.197604	0.242454	869.192422	237.807578	1.382256	2.671350	1326
Lelo|LELG_04249	Lelo|LELG_00075	0.363832	3.867717	0.094069	723.364868	173.635132	0.961419	3.126270	939
Lelo|LELG_04274	Lelo|LELG_01086	0.873826	1.703769	0.512878	1652.020274	489.979726	1.518231	3.191023	3069
Lelo|LELG_04278	Lelo|LELG_05509	0.833568	3.127342	0.266542	636.568900	200.431100	1.320989	4.148531	1146
Lelo|LELG_04299	Lelo|LELG_01813	0.950017	1.061144	0.895276	901.675453	307.324547	1.696917	2.934795	1380
Lelo|LELG_04303	Lelo|LELG_01409	0.624079	1.185051	0.526626	912.009989	275.990011	1.497496	2.263203	1302
Lelo|LELG_04306	Lelo|LELG_05393	0.909379	2.327102	0.390777	1711.489465	508.510535	1.093568	3.702364	2847
Lelo|LELG_04307	Lelo|LELG_05431	0.412767	1.167980	0.353403	531.504960	197.495040	1.217585	1.852091	4101
Lelo|LELG_04309	Lelo|LELG_05432	0.705023	1.706959	0.413029	1500.458583	431.541417	1.511205	2.786462	2292
Lelo|LELG_04310	Lelo|LELG_02489	0.607803	1.054906	0.576168	1113.568444	362.431556	1.470624	2.152767	1752
Lelo|LELG_04331	Lelo|LELG_04450	0.784584	2.083386	0.376591	954.498431	281.501569	1.367092	3.241167	1509
Lelo|LELG_04344	Lelo|LELG_05596	0.003558	0.011757	0.302608	3523.610963	1504.389037	6.161259	0.018033	5028
Lelo|LELG_04348	Lelo|LELG_00586	0.289202	2.749930	0.105167	721.194101	235.805899	1.705269	2.686585	969
Lelo|LELG_04359	Lelo|LELG_04358	0.739389	2.194114	0.336987	535.251248	181.748752	0.949080	3.324420	765
Lelo|LELG_04360	Lelo|LELG_02943	0.201269	2.562154	0.078555	876.036370	308.963630	1.731012	2.450459	1356
Lelo|LELG_04361	Lelo|LELG_05332	0.806957	1.770275	0.455837	760.998432	259.001568	1.361631	3.154698	1710
