SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Bcin|BC1G_10350	Bcin|BC1G_08415	0.818061	3.305218	0.247506	914.744323	285.255677	1.274865	4.227872	1653
Bcin|BC1G_10357	Bcin|BC1G_10354	0.014966	0.020139	0.743156	573.660657	176.339343	1.432229	0.048547	2118
Bcin|BC1G_10363	Bcin|BC1G_15198	0.935401	2.374818	0.393883	1421.651956	456.348044	1.311367	3.855524	3786
Bcin|BC1G_10379	Bcin|BC1G_07976	0.663999	3.045960	0.217993	756.949060	248.050940	1.101849	3.755722	2127
Bcin|BC1G_10380	Bcin|BC1G_04516	0.669111	2.058063	0.325117	1125.665011	404.334989	1.188360	3.108513	1695
Bcin|BC1G_10386	Bcin|BC1G_14504	0.610245	2.115915	0.288407	1378.814332	421.185668	1.697755	2.887679	2067
Bcin|BC1G_10388	Bcin|BC1G_07410	0.736225	4.330589	0.170006	1214.139208	321.860792	1.155790	4.468216	3078
Bcin|BC1G_10392	Bcin|BC1G_04039	0.639934	2.205396	0.290168	285.912051	92.087949	1.019281	3.063931	942
Bcin|BC1G_10396	Bcin|BC1G_01625	0.605782	3.857156	0.157054	539.792758	171.207242	1.215443	4.166116	756
Bcin|BC1G_10397	Bcin|BC1G_07160	0.573793	2.324974	0.246795	632.042668	225.957332	1.888102	3.104917	1254
Bcin|BC1G_10410	Bcin|BC1G_14873	0.563129	3.655619	0.154045	520.135974	130.864026	1.289476	3.554344	2940
Bcin|BC1G_16061	Bcin|BC1G_13046	0.604304	3.993658	0.151316	712.616721	205.383279	1.110834	4.087803	1611
Bcin|BC1G_16062	Bcin|BC1G_11081	0.596554	3.645622	0.163636	425.868809	129.131191	1.275109	3.917930	1275
Bcin|BC1G_16218	Bcin|BC1G_14486	0.432466	2.174347	0.198895	356.230366	144.769634	1.365106	2.807407	1599
Bcin|BC1G_12189	Bcin|BC1G_05673	0.738847	2.655843	0.278197	1067.558851	333.441149	1.080746	3.585288	1665
