SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Symko1|Symko1_919520	Symko1|Symko1_918434	0.726622	3.917954	0.185460	675.335879	185.664121	1.348954	4.244382	1359
Symko1|Symko1_759714	Symko1|Symko1_814058	0.277127	99.000000	0.002799	149.395691	30.604309	0.813375	51.187137	1185
Symko1|Symko1_978113	Symko1|Symko1_920945	0.463106	5.130003	0.090274	2653.507192	934.492808	1.589193	5.035791	6396
Symko1|Symko1_788154	Symko1|Symko1_832992	0.531749	4.051663	0.131242	783.102034	221.897966	1.319040	3.926775	1596
Symko1|Symko1_788151	Symko1|Symko1_895448	0.730613	3.904420	0.187124	525.656197	182.343803	1.221390	4.644059	795
Symko1|Symko1_978093	Symko1|Symko1_787609	0.329298	3.692052	0.089191	831.622081	137.377919	1.088010	2.418135	1011
Symko1|Symko1_326902	Symko1|Symko1_805602	0.284638	4.226135	0.067352	982.983948	280.016052	1.184411	3.475487	1311
Symko1|Symko1_978089	Symko1|Symko1_923732	0.763865	2.977384	0.256556	898.465128	328.534872	1.309969	4.069634	1296
Symko1|Symko1_925712	Symko1|Symko1_938270	0.447036	4.306126	0.103814	1008.468228	311.531772	1.179509	4.073447	1383
Symko1|Symko1_788107	Symko1|Symko1_298842	0.588671	4.528571	0.129990	1329.906087	419.093913	1.193045	4.598240	2220
Symko1|Symko1_985705	Symko1|Symko1_961656	0.718633	1.879725	0.382308	1195.531048	433.468952	1.566905	3.082782	1752
Symko1|Symko1_919481	Symko1|Symko1_96938	0.986942	4.123315	0.239356	2232.931844	749.068156	1.240862	5.324364	4080
Symko1|Symko1_819645	Symko1|Symko1_948630	0.451424	3.657729	0.123416	1659.052508	590.947492	1.385409	3.880616	2439
Symko1|Symko1_788063	Symko1|Symko1_776667	0.963609	3.072699	0.313603	1588.999646	508.000354	1.492452	4.423613	3033
Symko1|Symko1_909538	Symko1|Symko1_916084	0.692265	4.402636	0.157239	1148.686915	354.313085	1.076290	4.700814	1860
Symko1|Symko1_759641	Symko1|Symko1_811173	0.359055	99.000000	0.003627	159.906294	38.093706	1.428076	58.010485	1056
Symko1|Symko1_978074	Symko1|Symko1_934119	0.307918	1.654478	0.186112	256.950552	100.049448	2.312454	2.055876	372
Symko1|Symko1_810875	Symko1|Symko1_882615	0.367044	2.096366	0.175086	1592.825952	570.174048	2.122660	2.468697	2772
Symko1|Symko1_788059	Symko1|Symko1_921551	0.528080	4.603015	0.114725	1319.173224	462.826776	1.248282	4.759305	1995
Symko1|Symko1_919463	Symko1|Symko1_812077	0.390860	2.628180	0.148719	754.717214	253.282786	1.927013	2.859112	1302
Symko1|Symko1_909416	Symko1|Symko1_852598	0.513665	4.183727	0.122777	1202.377927	264.622073	1.535471	3.527048	1533
Symko1|Symko1_819620	Symko1|Symko1_215829	0.062744	0.163870	0.382889	470.915856	141.084144	1.113284	0.258170	1470
Symko1|Symko1_819618	Symko1|Symko1_215617	0.000000	0.000000	99.000000	734.568899	315.431101	4.600000	0.000000	1071
Symko1|Symko1_909212	Symko1|Symko1_902585	0.470550	1.709900	0.275192	622.034213	262.965787	3.966582	2.516419	912
Symko1|Symko1_788027	Symko1|Symko1_892944	0.726977	1.489874	0.487946	540.543538	224.456462	3.130110	2.852450	1635
Symko1|Symko1_755826	Symko1|Symko1_776949	0.034877	0.493273	0.070705	391.845269	94.154731	3.750316	0.371051	4971
Symko1|Symko1_925691	Symko1|Symko1_69987	0.145021	1.545873	0.093812	805.196797	304.803203	4.218148	1.589074	1125
Symko1|Symko1_235883	Symko1|Symko1_811479	0.371216	0.538511	0.689337	384.933572	167.066428	4.112994	1.265547	1419
Symko1|Symko1_919438	Symko1|Symko1_936560	0.239973	0.717523	0.334446	216.732685	77.267315	1.781296	1.096439	684
Symko1|Symko1_908749	Symko1|Symko1_911292	0.090101	0.437749	0.205827	271.216385	88.783615	1.878156	0.527514	1008
Symko1|Symko1_787975	Symko1|Symko1_916574	0.335618	4.313650	0.077804	1266.327050	314.672950	1.400031	3.382146	2109
Symko1|Symko1_908542	Symko1|Symko1_853541	0.658329	2.032071	0.323969	1169.807662	465.192338	1.701391	3.147563	1731
Symko1|Symko1_908524	Symko1|Symko1_838853	0.715051	3.923797	0.182234	664.883928	187.116072	1.321877	4.259265	912
Symko1|Symko1_925686	Symko1|Symko1_888472	0.765831	3.943363	0.194208	665.938300	192.061700	1.419617	4.431346	1071
Symko1|Symko1_908472	Symko1|Symko1_876180	0.773898	3.597543	0.215119	445.886961	121.113039	1.389521	4.131114	1389
Symko1|Symko1_787673	Symko1|Symko1_845208	0.760953	2.042877	0.372491	631.793386	235.206614	1.636094	3.326169	1047
Symko1|Symko1_985657	Symko1|Symko1_924854	0.804274	4.885064	0.164639	2073.872550	674.127450	1.170842	5.416067	3528
Symko1|Symko1_908419	Symko1|Symko1_467006	0.985878	4.253728	0.231768	607.190774	202.809226	1.565217	5.412265	948
Symko1|Symko1_810797	Symko1|Symko1_826529	0.639725	3.280278	0.195021	675.884135	221.115865	1.445899	3.871910	1068
Symko1|Symko1_908356	Symko1|Symko1_814300	0.621639	4.268316	0.145640	1059.784296	296.215704	0.960606	4.254747	1602
Symko1|Symko1_908329	Symko1|Symko1_967127	0.498410	4.429768	0.112514	1072.634590	367.365410	1.176843	4.504074	1674
Symko1|Symko1_964031	Symko1|Symko1_874363	0.812552	1.731571	0.469257	689.360255	240.639745	1.822962	3.151051	1125
Symko1|Symko1_919397	Symko1|Symko1_985349	0.708743	4.379299	0.161839	1321.541939	343.458061	1.068397	4.397729	1866
Symko1|Symko1_233964	Symko1|Symko1_918695	0.480492	4.310763	0.111463	1168.536271	313.463729	1.494771	3.871943	1620
Symko1|Symko1_232352	Symko1|Symko1_887851	0.702759	4.533765	0.155006	1449.993842	422.006158	1.193557	4.699156	3087
Symko1|Symko1_764137	Symko1|Symko1_846232	0.562770	3.945681	0.142629	698.343722	192.656278	1.012817	3.882718	1245
Symko1|Symko1_787809	Symko1|Symko1_867696	0.651027	3.578188	0.181943	1867.442825	616.557175	1.465101	4.132746	3003
Symko1|Symko1_908032	Symko1|Symko1_125964	0.540277	2.149587	0.251340	851.287081	330.712919	1.504266	2.971643	1329
Symko1|Symko1_919374	Symko1|Symko1_920717	0.769519	2.677153	0.287439	1100.882489	363.117511	1.338104	3.728013	1689
Symko1|Symko1_787779	Symko1|Symko1_885214	0.358901	1.957021	0.183392	1461.792677	362.207323	1.185684	2.028761	1971
Symko1|Symko1_907854	Symko1|Symko1_924548	0.770386	2.101693	0.366555	862.365622	301.634378	1.380611	3.346126	1332
Symko1|Symko1_919350	Symko1|Symko1_845818	0.677701	4.219007	0.160630	1168.632846	277.367154	0.755421	4.070949	1938
Symko1|Symko1_787896	Symko1|Symko1_933068	0.171318	0.460819	0.371769	362.910576	108.089424	2.504411	0.713267	765
Symko1|Symko1_907607	Symko1|Symko1_873118	0.603944	4.043855	0.149349	644.400319	219.599681	1.497338	4.434760	1005
Symko1|Symko1_907589	Symko1|Symko1_863341	0.798649	1.939666	0.411746	757.551459	277.448541	1.485821	3.313552	1800
Symko1|Symko1_810638	Symko1|Symko1_832701	0.363505	4.300042	0.084535	1295.985131	309.014869	1.874018	3.364251	1911
Symko1|Symko1_229531	Symko1|Symko1_920108	0.804172	4.095925	0.196335	787.612288	235.387712	1.652730	4.684770	1173
Symko1|Symko1_228482	Symko1|Symko1_894679	0.989228	2.440054	0.405412	1904.832153	585.167847	1.301478	3.990547	3420
Symko1|Symko1_810605	Symko1|Symko1_274401	1.298172	2.493620	0.520597	2101.337051	691.662949	1.469835	4.782644	3198
Symko1|Symko1_907334	Symko1|Symko1_773406	0.875950	4.319792	0.202776	2721.898906	878.101094	1.390038	5.147884	4878
Symko1|Symko1_787758	Symko1|Symko1_768318	0.685330	3.829949	0.178940	500.892090	165.107910	1.277484	4.394736	792
Symko1|Symko1_907304	Symko1|Symko1_767691	0.409300	2.403114	0.170321	641.006689	132.993311	1.637903	2.255668	1143
Symko1|Symko1_754031	Symko1|Symko1_770923	0.810996	2.015814	0.402317	1172.464282	414.535718	1.518577	3.377109	1860
Symko1|Symko1_227355	Symko1|Symko1_777214	0.573148	4.577909	0.125199	1373.409743	447.590257	1.666633	4.672478	2445
Symko1|Symko1_907198	Symko1|Symko1_934170	0.475688	4.093760	0.116198	878.290812	234.709188	1.291610	3.715999	1233
Symko1|Symko1_963821	Symko1|Symko1_782206	0.457633	3.913103	0.116949	772.532931	184.467069	1.090469	3.371082	1032
Symko1|Symko1_907186	Symko1|Symko1_776126	0.454900	4.445357	0.102331	1208.918503	375.081497	1.211433	4.199447	1677
Symko1|Symko1_787752	Symko1|Symko1_968246	0.579296	6.747493	0.085854	813.190299	257.809701	1.362505	6.192289	1161
Symko1|Symko1_787652	Symko1|Symko1_923557	0.203697	3.495057	0.058281	452.355863	105.644137	1.265754	2.480515	1734
Symko1|Symko1_787669	Symko1|Symko1_973567	0.591587	3.970487	0.148996	1015.865013	199.134987	1.235426	3.436136	1500
Symko1|Symko1_907061	Symko1|Symko1_879766	0.731194	2.546401	0.287148	722.572692	231.427308	1.812046	3.514614	1083
Symko1|Symko1_907050	Symko1|Symko1_946305	0.746074	3.955250	0.188629	587.869988	195.130012	0.942925	4.637481	837
Symko1|Symko1_907037	Symko1|Symko1_816514	0.514312	4.387035	0.117235	1266.980833	347.019167	1.230049	4.040908	1914
Symko1|Symko1_769629	Symko1|Symko1_966297	0.489193	3.958060	0.123594	716.137465	195.862535	1.244234	3.702516	1005
Symko1|Symko1_907025	Symko1|Symko1_965317	0.719849	4.467179	0.161142	1221.845277	386.154723	0.953351	4.859264	1686
Symko1|Symko1_919287	Symko1|Symko1_851951	0.796005	3.843200	0.207120	503.949229	168.050771	1.589379	4.674101	774
Symko1|Symko1_225572	Symko1|Symko1_371347	0.641886	4.098150	0.156628	642.913037	236.086963	1.325353	4.710568	1161
Symko1|Symko1_906931	Symko1|Symko1_78749	0.344693	4.483249	0.076885	1306.481667	394.518333	1.142784	3.913683	2001
Symko1|Symko1_906920	Symko1|Symko1_808383	0.504736	3.914036	0.128955	676.303343	184.696657	1.366742	3.708236	1032
Symko1|Symko1_906908	Symko1|Symko1_443271	0.367907	3.621759	0.101582	492.912660	125.087340	1.405362	3.079525	978
Symko1|Symko1_225073	Symko1|Symko1_777862	0.815947	4.366985	0.186845	1123.135129	337.864871	1.524249	4.911437	1569
Symko1|Symko1_819454	Symko1|Symko1_921060	0.480679	4.186181	0.114825	829.510624	265.489376	1.448253	4.137300	1173
Symko1|Symko1_919277	Symko1|Symko1_973171	0.870766	4.787724	0.181875	1169.972813	345.027187	1.123626	5.288452	2139
Symko1|Symko1_787840	Symko1|Symko1_925117	0.693611	4.436393	0.156346	997.374929	370.625071	2.021859	5.122871	1389
Symko1|Symko1_819450	Symko1|Symko1_139200	0.674852	4.714122	0.143155	1497.269839	536.730161	1.203399	5.222193	2589
Symko1|Symko1_925577	Symko1|Symko1_906204	0.544889	2.196796	0.248038	1083.060353	395.939647	1.383936	2.961351	1623
Symko1|Symko1_925576	Symko1|Symko1_774371	0.335024	4.602557	0.072791	1523.455568	462.544432	1.151110	3.986829	2073
Symko1|Symko1_787740	Symko1|Symko1_937651	0.462870	4.536195	0.102039	1250.624105	423.375895	1.173114	4.479198	1722
Symko1|Symko1_919269	Symko1|Symko1_911213	0.635708	2.731031	0.232772	1062.101619	347.898381	1.285598	3.458101	1506
Symko1|Symko1_787876	Symko1|Symko1_828429	0.425879	4.228257	0.100722	772.190640	280.809360	1.124267	4.319641	1137
Symko1|Symko1_787748	Symko1|Symko1_876729	0.371012	4.248397	0.087330	773.547969	288.452031	1.285913	4.272469	1068
Symko1|Symko1_761906	Symko1|Symko1_567868	0.792748	4.546275	0.174373	1322.895515	429.104485	1.696302	5.136217	2436
Symko1|Symko1_787878	Symko1|Symko1_922780	0.167673	4.490152	0.037342	1176.834122	398.165878	1.561587	3.781234	1584
Symko1|Symko1_788004	Symko1|Symko1_773505	0.177536	4.348656	0.040826	975.291697	329.708303	1.878730	3.694110	1515
Symko1|Symko1_925568	Symko1|Symko1_911722	0.233758	4.226199	0.055312	787.960067	280.039933	2.026485	3.841845	1191
Symko1|Symko1_977893	Symko1|Symko1_787494	0.525584	4.335281	0.121234	1281.119686	323.880314	1.580114	3.883082	1731
Symko1|Symko1_919259	Symko1|Symko1_983798	0.703765	4.485737	0.156889	1176.171106	395.828894	1.412434	4.968191	1932
Symko1|Symko1_819436	Symko1|Symko1_19736	0.402794	4.152047	0.097011	1303.322657	253.677343	0.978222	3.040946	1833
Symko1|Symko1_963757	Symko1|Symko1_866101	0.399293	99.000000	0.004033	769.430930	169.569070	1.090365	54.615229	1053
Symko1|Symko1_787931	Symko1|Symko1_772092	0.466032	4.226128	0.110274	982.986538	280.013462	1.381774	3.898992	1449
Symko1|Symko1_819433	Symko1|Symko1_877452	0.458870	4.720947	0.097199	1948.363052	541.636948	1.219107	4.157934	2889
Symko1|Symko1_764407	Symko1|Symko1_822714	0.743703	4.126526	0.180225	723.809792	245.190208	1.579862	4.799020	1746
Symko1|Symko1_977889	Symko1|Symko1_922907	0.381713	4.674194	0.081664	1183.341499	391.658501	1.421339	4.347401	1599
Symko1|Symko1_224840	Symko1|Symko1_780127	0.599954	3.928955	0.152701	558.592497	188.407503	1.471026	4.318773	873
Symko1|Symko1_933605	Symko1|Symko1_781905	0.834686	3.527604	0.236616	1556.232225	513.767775	1.334054	4.509182	2349
Symko1|Symko1_224813	Symko1|Symko1_781573	0.670915	2.736933	0.245134	897.128870	353.871130	1.520426	3.765993	1344
Symko1|Symko1_819423	Symko1|Symko1_626268	0.545428	4.106783	0.132812	796.179938	238.820062	0.871214	4.101569	1329
Symko1|Symko1_933574	Symko1|Symko1_818403	0.575533	5.139510	0.111982	3097.586670	946.413330	1.441475	4.930907	4779
Symko1|Symko1_906808	Symko1|Symko1_920698	0.420918	2.648422	0.158932	706.193068	190.806932	1.206020	2.684236	936
