SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Acap|HCAG_09184	Acap|HCAG_07734	0.021441	0.038666	0.554512	141.930093	53.069907	4.600000	0.078386	195
Acap|HCAG_09217	Acap|HCAG_09139	0.123905	0.177079	0.699718	416.325149	138.674851	2.044408	0.411574	873
Acap|HCAG_02100	Acap|HCAG_07477	0.028023	0.050764	0.552017	1930.407708	508.592292	1.517935	0.098295	2895
Acap|HCAG_02101	Acap|HCAG_08585	0.009560	0.019975	0.478615	105.267549	50.732451	4.600000	0.038842	156
Acap|HCAG_02102	Acap|HCAG_08580	0.000000	0.021662	0.000010	112.165630	46.834370	4.600000	0.019142	204
Acap|HCAG_02103	Acap|HCAG_01410	0.037277	0.066404	0.561358	1159.918023	361.081977	2.593567	0.132574	5343
Acap|HCAG_02104	Acap|HCAG_08602	0.000000	0.000000	99.000000	235.212399	100.787601	4.600000	0.000000	1035
Acap|HCAG_02105	Acap|HCAG_08604	0.008833	0.014919	0.592024	3113.149526	993.850474	2.424013	0.030917	5394
Acap|HCAG_02106	Acap|HCAG_04022	0.000000	0.002324	0.000010	964.102841	430.897159	4.600000	0.002154	1410
Acap|HCAG_02108	Acap|HCAG_09321	0.000000	0.000000	99.000000	255.388232	89.611768	4.600000	0.000000	345
Acap|HCAG_02110	Acap|HCAG_09121	0.024807	0.102231	0.242657	102.605692	47.394308	1.557033	0.147810	150
Acap|HCAG_02114	Acap|HCAG_07381	0.661116	1.706181	0.387483	542.398660	216.601340	2.399476	2.878060	1083
Acap|HCAG_02115	Acap|HCAG_06596	0.103351	0.249885	0.413594	1664.514336	648.485664	3.347752	0.433302	2415
Acap|HCAG_02116	Acap|HCAG_03090	0.559168	3.958121	0.141271	644.121351	195.878649	1.420385	4.055299	2376
Acap|HCAG_02117	Acap|HCAG_03063	0.019421	0.013970	1.390191	470.237669	216.762331	5.141207	0.053104	687
Acap|HCAG_02118	Acap|HCAG_06327	0.095924	0.153305	0.625710	178.245009	82.754991	4.336233	0.342354	666
Acap|HCAG_02119	Acap|HCAG_07808	0.003437	0.000000	99.000000	1458.419347	542.580653	2.929122	0.007515	2001
Acap|HCAG_02123	Acap|HCAG_07897	0.016415	0.039408	0.416548	1848.699160	761.300840	4.793322	0.069366	2625
Acap|HCAG_02127	Acap|HCAG_07490	0.118259	0.181980	0.649849	1730.433863	471.566137	0.761168	0.395716	2496
Acap|HCAG_02147	Acap|HCAG_07979	0.289596	1.515685	0.191066	330.811238	101.188762	2.091802	1.730362	972
Acap|HCAG_02163	Acap|HCAG_02181	0.014056	0.026876	0.523007	718.304848	265.695152	2.812141	0.052553	3534
Acap|HCAG_02164	Acap|HCAG_02448	0.005698	0.009735	0.585325	1409.369347	414.630653	0.955096	0.019847	2868
Acap|HCAG_02167	Acap|HCAG_02680	0.112890	0.279420	0.404017	239.382276	81.617724	2.692550	0.465697	1002
Acap|HCAG_02168	Acap|HCAG_06530	0.051991	0.068409	0.760014	901.388262	256.611738	0.898295	0.166888	1836
Acap|HCAG_02177	Acap|HCAG_02904	0.830115	2.472832	0.335694	1236.019225	392.980775	1.348153	3.679215	2205
Acap|HCAG_02179	Acap|HCAG_07467	0.232121	0.510616	0.454590	135.629717	35.370283	1.071496	0.869178	342
Acap|HCAG_02180	Acap|HCAG_00302	0.461676	1.803039	0.256054	790.407517	247.592483	1.261731	2.344886	1821
Acap|HCAG_02183	Acap|HCAG_03565	0.020055	0.035758	0.560859	2907.777731	1163.222269	3.534688	0.073625	5049
Acap|HCAG_02190	Acap|HCAG_05075	0.345010	2.350097	0.146807	768.800781	188.199219	1.037654	2.217964	1005
Acap|HCAG_02208	Acap|HCAG_04506	0.579226	2.480045	0.233554	1114.879959	358.120041	1.565518	3.124076	1725
Acap|HCAG_02210	Acap|HCAG_06564	0.603752	4.515571	0.133705	1277.107989	411.892011	1.578516	4.673151	1872
Acap|HCAG_02211	Acap|HCAG_01101	0.674864	4.797395	0.140673	2007.241879	599.758121	1.150070	4.869841	3123
Acap|HCAG_02216	Acap|HCAG_05316	0.624130	4.352098	0.143409	1129.775007	331.224993	1.387994	4.407906	2484
Acap|HCAG_02217	Acap|HCAG_00343	0.841257	2.215852	0.379654	1072.665685	343.334315	1.386421	3.523656	2301
Acap|HCAG_02218	Acap|HCAG_00029	0.943325	1.852871	0.509115	579.386527	230.613473	1.742167	3.606840	1050
Acap|HCAG_02219	Acap|HCAG_08825	0.855552	1.753275	0.487974	1039.334982	325.665018	1.710998	3.209198	1605
Acap|HCAG_02222	Acap|HCAG_08685	0.857905	2.144674	0.400017	1279.378449	433.621551	1.616767	3.550897	1800
Acap|HCAG_02224	Acap|HCAG_06079	0.283076	4.103616	0.068982	872.186334	237.813666	1.239513	3.304840	1302
Acap|HCAG_02229	Acap|HCAG_04162	0.000000	0.002627	0.000010	1055.685828	381.314172	4.600000	0.002091	1437
Acap|HCAG_02234	Acap|HCAG_07414	0.653602	4.709636	0.138780	885.527315	311.472685	1.233934	5.127080	2520
Acap|HCAG_02236	Acap|HCAG_09084	0.007624	0.019368	0.393621	659.495614	261.504386	4.600000	0.032875	927
Acap|HCAG_02237	Acap|HCAG_05506	0.049577	0.059539	0.832682	1910.923957	801.076043	4.055365	0.157559	3171
Acap|HCAG_02239	Acap|HCAG_00379	0.345950	1.728206	0.200179	1917.392599	710.607401	2.482744	2.159131	6219
Acap|HCAG_02240	Acap|HCAG_07744	0.058447	0.215730	0.270927	1760.000755	678.999245	4.054642	0.306700	2448
Acap|HCAG_02241	Acap|HCAG_00262	0.026306	0.021762	1.208767	1451.005155	489.994845	1.574474	0.075476	1956
Acap|HCAG_02242	Acap|HCAG_04723	0.045619	0.073762	0.618458	1608.585115	641.414885	2.953167	0.160925	2811
Acap|HCAG_02243	Acap|HCAG_04724	0.001338	0.003356	0.398508	748.400627	298.599373	4.600000	0.005740	1047
Acap|HCAG_02244	Acap|HCAG_02837	0.162688	0.220073	0.739245	1077.488043	422.511957	3.717513	0.536556	2061
Acap|HCAG_02245	Acap|HCAG_08136	0.033215	0.160643	0.206763	215.813459	84.186541	3.655878	0.206922	354
Acap|HCAG_02246	Acap|HCAG_08134	0.096284	0.113661	0.847118	525.427658	269.572342	8.295975	0.306530	810
Acap|HCAG_02247	Acap|HCAG_00375	0.309982	0.505667	0.613017	388.924183	136.075817	2.386597	1.082106	621
Acap|HCAG_02248	Acap|HCAG_04730	0.000000	0.027141	0.000010	374.940140	150.059860	4.600000	0.023273	525
Acap|HCAG_02249	Acap|HCAG_08129	0.005658	0.003116	1.815777	1774.649786	643.350214	5.532720	0.014945	2418
Acap|HCAG_02250	Acap|HCAG_03531	0.000000	0.000000	99.000000	161.226637	60.773363	4.600000	0.000000	222
Acap|HCAG_02260	Acap|HCAG_07634	0.448253	4.175232	0.107360	818.358358	261.641642	1.351096	4.053461	1134
Acap|HCAG_02264	Acap|HCAG_06089	0.458991	2.519260	0.182193	1838.997610	636.002390	1.419712	2.965259	3306
Acap|HCAG_02277	Acap|HCAG_03391	0.116404	0.270323	0.430612	1715.156300	630.843700	3.337840	0.473380	2487
Acap|HCAG_02280	Acap|HCAG_06795	0.047187	0.100582	0.469142	404.976277	168.023723	3.552060	0.188534	708
Acap|HCAG_02281	Acap|HCAG_00368	0.061354	0.190518	0.322038	1645.471099	640.528901	3.602706	0.292636	2460
Acap|HCAG_02284	Acap|HCAG_02968	0.000000	0.003070	0.000010	837.646175	326.353825	4.600000	0.002583	1164
Acap|HCAG_02285	Acap|HCAG_02607	0.103810	0.253493	0.409520	1675.409210	688.590790	4.975850	0.442230	2550
Acap|HCAG_02286	Acap|HCAG_03082	0.429070	0.632760	0.678093	373.155277	133.844723	3.280385	1.448528	1884
