SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Chig|CH063_00002T0	Chig|CH063_09718T0	0.844996	4.978198	0.169739	3307.740700	763.259300	1.197609	4.859752	5460
Chig|CH063_00004T0	Chig|CH063_02508T0	0.551279	4.007549	0.137560	795.777401	209.222599	1.378498	3.812434	1164
Chig|CH063_00005T0	Chig|CH063_10737T0	0.480948	4.247414	0.113233	1376.925547	288.074453	1.634539	3.397841	1728
Chig|CH063_00006T0	Chig|CH063_12644T0	0.272384	4.335651	0.062824	1130.959799	324.040201	1.605259	3.531919	1482
Chig|CH063_00007T0	Chig|CH063_01705T0	0.587632	4.116331	0.142756	1111.120083	241.879917	1.213727	3.655405	1452
Chig|CH063_00014T0	Chig|CH063_02175T0	0.720535	3.414897	0.210998	583.064635	94.935365	1.537254	3.293420	816
Chig|CH063_00016T0	Chig|CH063_07467T0	0.311602	3.917331	0.079544	597.490200	185.509800	1.837132	3.497633	1248
Chig|CH063_00020T0	Chig|CH063_11001T0	0.765173	3.884381	0.196987	1025.463792	177.536208	1.063141	3.676497	2187
Chig|CH063_00024T0	Chig|CH063_06202T0	0.600637	4.233403	0.141881	1265.257194	282.742806	1.167262	3.792490	2067
Chig|CH063_00026T0	Chig|CH063_01059T0	0.338329	4.260163	0.079417	1296.987015	293.012985	1.330611	3.183191	1656
Chig|CH063_00029T0	Chig|CH063_08323T0	0.303426	99.000000	0.003065	1409.155206	234.844794	1.297944	43.206585	1761
Chig|CH063_00032T0	Chig|CH063_13238T0	0.655980	3.692149	0.177669	738.604279	137.395721	1.187882	3.396560	1263
Chig|CH063_00034T0	Chig|CH063_01609T0	0.457768	3.733034	0.122626	547.906501	145.093499	0.999427	3.430532	723
Chig|CH063_00035T0	Chig|CH063_03518T0	0.463450	4.126149	0.112320	1212.932768	245.067232	1.310920	3.237279	6582
Chig|CH063_00042T0	Chig|CH063_02632T0	0.622782	4.144147	0.150280	975.980860	251.019140	1.251744	4.029545	1512
Chig|CH063_00045T0	Chig|CH063_03243T0	0.911404	4.498596	0.202597	1274.325722	402.674278	1.143986	5.318237	2013
Chig|CH063_00047T0	Chig|CH063_03405T0	0.650446	5.086049	0.127888	462.200803	116.799197	1.518091	4.635664	963
Chig|CH063_00050T0	Chig|CH063_07382T0	0.652226	3.696213	0.176458	482.857811	138.142189	1.150796	3.988093	816
Chig|CH063_00053T0	Chig|CH063_00363T0	0.582498	4.354184	0.133779	1113.852641	332.147359	1.316676	4.346571	2343
Chig|CH063_00054T0	Chig|CH063_11417T0	0.556378	4.131562	0.134665	821.157646	246.842354	1.253460	4.148087	1242
Chig|CH063_00055T0	Chig|CH063_02417T0	0.543230	3.708297	0.146490	438.613996	140.386004	1.727946	3.931923	759
Chig|CH063_00057T0	Chig|CH063_04495T0	0.306981	3.406136	0.090126	704.167145	93.832855	1.514858	2.014185	840
Chig|CH063_00058T0	Chig|CH063_03472T0	0.244489	3.093085	0.079044	283.187026	61.812974	1.357378	2.264599	345
Chig|CH063_00060T0	Chig|CH063_06986T0	0.317991	3.775312	0.084229	1094.492589	153.507411	1.264586	2.229752	1314
Chig|CH063_00061T0	Chig|CH063_03797T0	0.614996	4.076302	0.150871	1426.691361	229.308639	1.347378	3.282864	1986
Chig|CH063_00067T0	Chig|CH063_03211T0	0.808592	4.341713	0.186238	1299.329943	326.670057	1.431135	4.555231	2154
Chig|CH063_00081T0	Chig|CH063_07768T0	0.472922	3.996573	0.118332	921.817133	206.182867	1.195791	3.350990	1254
Chig|CH063_00086T0	Chig|CH063_03348T0	0.800688	4.939060	0.162113	2860.549144	724.450856	1.104652	4.910890	5403
Chig|CH063_00090T0	Chig|CH063_00664T0	0.115766	0.345954	0.334627	234.242735	47.757265	0.643110	0.464245	768
Chig|CH063_00098T0	Chig|CH063_11020T0	0.643400	4.109975	0.156546	1260.161194	239.838806	1.006832	3.593038	1947
Chig|CH063_00100T0	Chig|CH063_05432T0	0.577672	4.266902	0.135384	1540.342129	295.657871	1.090549	3.515286	2382
Chig|CH063_00101T0	Chig|CH063_08948T0	0.706945	3.352550	0.210868	423.243370	143.756630	1.709415	4.133128	609
Chig|CH063_00103T0	Chig|CH063_10923T0	0.591420	4.067818	0.145390	823.270549	226.729451	1.313835	4.026266	1485
Chig|CH063_00104T0	Chig|CH063_08934T0	0.544223	1.061689	0.512601	720.411264	242.588736	1.119722	2.023732	1095
Chig|CH063_00108T0	Chig|CH063_04127T0	0.482125	3.709512	0.129970	748.543292	220.456708	1.244361	3.649158	1218
Chig|CH063_00109T0	Chig|CH063_09881T0	0.286142	1.356292	0.210974	758.638831	237.361169	1.488219	1.623523	1614
Chig|CH063_00111T0	Chig|CH063_04435T0	0.015165	0.020331	0.745910	577.329852	166.670148	0.775705	0.048966	975
Chig|CH063_00112T0	Chig|CH063_06272T0	0.484112	4.288061	0.112898	1450.882175	304.117825	1.610575	3.429856	1761
Chig|CH063_00113T0	Chig|CH063_14004T0	0.304963	4.245428	0.071833	1107.687329	287.312671	1.828789	3.349611	1407
Chig|CH063_00115T0	Chig|CH063_11393T0	0.715232	4.223887	0.169330	1259.821948	279.178052	0.999713	4.055131	2142
Chig|CH063_00122T0	Chig|CH063_08045T0	0.787426	4.317858	0.182365	1021.556725	316.443275	1.381783	4.867170	1734
Chig|CH063_00129T0	Chig|CH063_07693T0	0.278801	3.923529	0.071059	949.950748	187.049252	1.519732	2.635199	1152
