SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Crypa2|Crypa2_290232	Crypa2|Crypa2_290229	0.020567	0.037690	0.545684	2222.873651	651.126349	0.587390	0.073340	4332
Crypa2|Crypa2_333172	Crypa2|Crypa2_63014	0.373726	3.898726	0.095859	839.035489	180.964511	1.056343	2.997355	1458
Crypa2|Crypa2_244957	Crypa2|Crypa2_251514	0.130673	0.283854	0.460353	141.758142	59.241858	4.600000	0.527462	201
Crypa2|Crypa2_320811	Crypa2|Crypa2_323768	0.058958	0.097741	0.603204	214.877814	109.122186	18.556087	0.216061	348
Crypa2|Crypa2_246697	Crypa2|Crypa2_260176	0.176861	0.129962	1.360872	212.624402	96.375598	4.600000	0.486700	384
Crypa2|Crypa2_248350	Crypa2|Crypa2_249582	0.127684	0.334530	0.381682	161.830685	48.169315	4.600000	0.525390	210
Crypa2|Crypa2_248713	Crypa2|Crypa2_270221	0.102346	0.253820	0.403223	209.052067	78.947933	4.600000	0.431606	294
Crypa2|Crypa2_248583	Crypa2|Crypa2_250576	0.154503	0.313117	0.493437	307.961110	82.038890	4.600000	0.563606	540
Crypa2|Crypa2_244960	Crypa2|Crypa2_270292	0.139299	0.275277	0.506031	102.259358	47.740642	4.600000	0.547730	150
Crypa2|Crypa2_33841	Crypa2|Crypa2_331609	0.662047	2.358874	0.280662	1186.725428	388.274572	1.363927	3.241064	1785
Crypa2|Crypa2_248568	Crypa2|Crypa2_262887	0.869545	3.940164	0.220687	660.755724	191.244276	1.229816	4.676374	1197
Crypa2|Crypa2_35977	Crypa2|Crypa2_108665	0.301002	4.077708	0.073816	865.260979	229.739021	1.132542	3.280147	1287
Crypa2|Crypa2_244856	Crypa2|Crypa2_336825	0.760112	3.627394	0.209548	716.608450	231.391550	1.067265	4.379909	1080
Crypa2|Crypa2_248090	Crypa2|Crypa2_352430	0.377498	3.751556	0.100624	487.278566	148.721434	0.876412	3.499450	696
Crypa2|Crypa2_354850	Crypa2|Crypa2_323246	0.376411	3.318827	0.113417	228.478630	83.521370	1.533590	3.492259	324
Crypa2|Crypa2_286329	Crypa2|Crypa2_350499	0.734571	4.078602	0.180104	732.986854	230.013146	1.442433	4.599885	1107
Crypa2|Crypa2_24719	Crypa2|Crypa2_231609	0.738946	2.286128	0.323230	555.322610	215.677390	1.899812	3.515252	852
Crypa2|Crypa2_354844	Crypa2|Crypa2_17982	0.537490	3.902916	0.137715	667.021670	181.978330	1.325939	3.776549	1029
Crypa2|Crypa2_272813	Crypa2|Crypa2_296832	0.715442	4.364008	0.163941	1448.473133	336.526867	1.209851	4.209924	2253
