SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Triol1|Triol1_281699	Triol1|Triol1_329698	0.572263	4.061462	0.140901	1059.184009	224.815991	1.815658	3.549564	1440
Triol1|Triol1_314807	Triol1|Triol1_289967	0.766958	4.216203	0.181907	1124.667653	276.332347	1.127938	4.341855	1686
Triol1|Triol1_324946	Triol1|Triol1_324961	0.635812	4.095642	0.155241	1057.701351	235.298649	1.504213	3.796284	1578
Triol1|Triol1_253629	Triol1|Triol1_71532	0.541312	2.480588	0.218219	654.053338	155.946662	0.954333	2.744024	897
Triol1|Triol1_281713	Triol1|Triol1_287817	0.392946	4.276298	0.091889	1554.614980	299.385020	1.148624	3.060097	1911
Triol1|Triol1_281715	Triol1|Triol1_280074	0.334660	3.306500	0.101213	1333.895398	328.104602	1.493814	2.764042	1917
Triol1|Triol1_253643	Triol1|Triol1_284427	0.466857	3.821849	0.122155	715.665655	163.334345	1.362402	3.270829	936
Triol1|Triol1_324965	Triol1|Triol1_330604	0.362499	4.257237	0.085149	1517.127890	291.872110	1.194130	2.972679	1842
Triol1|Triol1_281725	Triol1|Triol1_282478	0.599813	3.701929	0.162027	691.800901	139.199099	1.402501	3.358327	909
Triol1|Triol1_314826	Triol1|Triol1_308583	0.447747	4.358047	0.102740	1400.137502	333.862498	1.222641	3.601896	1896
Triol1|Triol1_289984	Triol1|Triol1_284862	0.326134	4.090834	0.079723	1266.204793	233.795207	1.320827	2.738739	1569
Triol1|Triol1_294801	Triol1|Triol1_284521	0.703319	3.998326	0.175903	888.334564	206.665436	1.037799	3.975613	1257
Triol1|Triol1_253666	Triol1|Triol1_284431	0.283122	4.110379	0.068880	1374.031911	239.968089	1.569399	2.556465	1695
Triol1|Triol1_298849	Triol1|Triol1_246176	0.450504	99.000000	0.004551	456.811488	59.188512	1.025701	35.264292	627
Triol1|Triol1_324988	Triol1|Triol1_329760	0.637728	3.721323	0.171371	679.154473	142.845527	1.189681	3.520767	1062
Triol1|Triol1_267805	Triol1|Triol1_286510	0.177724	2.710679	0.065564	614.605336	138.394664	0.907341	1.929775	759
Triol1|Triol1_281755	Triol1|Triol1_287809	0.324300	3.131211	0.103570	435.963551	65.036449	1.531822	2.066022	546
Triol1|Triol1_1359	Triol1|Triol1_284708	0.713259	4.010576	0.177844	1157.931160	210.068840	0.892140	3.658776	1620
Triol1|Triol1_253694	Triol1|Triol1_288887	0.608065	4.144685	0.146710	1125.800828	251.199172	1.385607	3.759698	1671
Triol1|Triol1_310280	Triol1|Triol1_246621	0.420992	4.254875	0.098943	1050.045740	290.954260	1.278958	3.758467	1587
Triol1|Triol1_267824	Triol1|Triol1_316609	0.256079	3.909089	0.065509	1205.517594	183.482406	1.494068	2.215890	1539
Triol1|Triol1_253706	Triol1|Triol1_282975	0.430120	3.881033	0.110826	801.254625	176.745375	1.003392	3.161319	1056
Triol1|Triol1_239056	Triol1|Triol1_268283	0.793192	4.206987	0.188542	1341.042356	272.957644	1.206567	4.111586	1689
Triol1|Triol1_281774	Triol1|Triol1_328510	0.519264	4.270291	0.121599	1158.003150	296.996850	1.153855	3.854787	1821
Triol1|Triol1_267839	Triol1|Triol1_287794	0.412914	3.625520	0.113891	687.283917	125.716083	1.342792	2.729061	834
Triol1|Triol1_325011	Triol1|Triol1_289606	0.295619	4.091799	0.072247	1316.903729	234.096271	1.175750	2.605758	1575
Triol1|Triol1_239360	Triol1|Triol1_284163	0.601437	3.980413	0.151099	578.212182	201.787818	1.231212	4.426757	1269
Triol1|Triol1_1902	Triol1|Triol1_287767	0.338914	2.721562	0.124529	609.995511	119.004489	1.167811	2.183598	738
Triol1|Triol1_1936	Triol1|Triol1_306473	0.203348	4.086214	0.049764	1249.640694	232.359306	2.745951	2.436399	1524
Triol1|Triol1_314898	Triol1|Triol1_273936	0.271199	4.261538	0.063639	1020.449372	293.550628	1.610602	3.487950	1413
Triol1|Triol1_325019	Triol1|Triol1_285920	0.684057	99.000000	0.006910	1307.569604	192.430396	1.101812	39.890124	1809
Triol1|Triol1_2015	Triol1|Triol1_329473	0.500308	3.463137	0.144467	2061.852437	566.147563	1.345970	3.415763	3237
Triol1|Triol1_239148	Triol1|Triol1_80870	0.436820	4.002950	0.109125	851.056564	207.943436	1.426464	3.411178	1212
Triol1|Triol1_298899	Triol1|Triol1_271814	0.406722	4.504557	0.090291	1370.112648	405.887352	1.129593	4.029726	2055
Triol1|Triol1_294823	Triol1|Triol1_286838	0.479094	4.177765	0.114677	1423.473140	262.526860	1.310552	3.165042	2082
Triol1|Triol1_253777	Triol1|Triol1_263571	0.562591	3.985810	0.141149	1398.754713	203.245287	1.543246	2.990683	1734
Triol1|Triol1_3029	Triol1|Triol1_143735	0.683183	4.967101	0.137541	3147.950894	752.049106	1.278852	4.527792	5337
Triol1|Triol1_3203	Triol1|Triol1_16556	0.628501	3.800423	0.165377	675.265801	158.734199	1.259394	3.696628	1047
Triol1|Triol1_253810	Triol1|Triol1_247662	0.801158	4.103212	0.195251	1196.314341	237.685659	1.260005	4.045420	1761
Triol1|Triol1_281852	Triol1|Triol1_287720	0.521424	4.279831	0.121833	1352.201337	300.798663	1.523343	3.616040	2370
Triol1|Triol1_281874	Triol1|Triol1_285700	0.734016	4.029339	0.182168	1236.609670	215.390330	1.308183	3.668536	1689
Triol1|Triol1_306482	Triol1|Triol1_286713	0.436922	3.190906	0.136927	355.575447	70.424553	1.325834	2.676597	486
Triol1|Triol1_310334	Triol1|Triol1_288445	0.712885	4.141992	0.172112	1324.701037	250.298963	1.639515	3.773516	1908
Triol1|Triol1_268018	Triol1|Triol1_288813	0.692552	2.639559	0.262374	2122.817393	625.182607	1.629302	3.406516	3894
Triol1|Triol1_4673	Triol1|Triol1_298980	0.543427	3.584099	0.151622	532.038719	118.961281	1.042013	3.297203	759
Triol1|Triol1_239329	Triol1|Triol1_283360	0.389461	3.689593	0.105557	1060.071758	136.928242	1.091191	2.300917	1272
Triol1|Triol1_281914	Triol1|Triol1_268748	0.492619	3.261939	0.151020	411.579433	77.420567	1.102921	2.793209	648
Triol1|Triol1_253931	Triol1|Triol1_270247	0.469359	3.990347	0.117624	1040.521535	204.478465	1.227261	3.142935	1401
Triol1|Triol1_5142	Triol1|Triol1_244755	0.540948	4.242336	0.127512	1294.869523	286.130477	1.038034	3.632483	1731
Triol1|Triol1_281920	Triol1|Triol1_284424	0.396165	3.875539	0.102222	730.544450	175.455550	1.237686	3.209936	945
Triol1|Triol1_281923	Triol1|Triol1_287309	0.657571	4.202723	0.156463	1024.590003	271.409997	1.262256	4.200004	1476
Triol1|Triol1_281925	Triol1|Triol1_288228	0.788568	4.387522	0.179730	1461.755389	347.244611	1.051847	4.438204	2448
Triol1|Triol1_253946	Triol1|Triol1_317736	0.554354	4.271102	0.129792	1367.681835	297.318165	1.485224	3.654156	1866
Triol1|Triol1_268064	Triol1|Triol1_286433	0.488272	99.000000	0.004932	881.262692	141.737308	1.254273	42.411406	1611
Triol1|Triol1_281937	Triol1|Triol1_250567	0.538152	3.944739	0.136423	659.585436	192.414564	0.989007	3.922474	873
Triol1|Triol1_281941	Triol1|Triol1_274859	0.791640	4.091471	0.193485	1242.006137	233.993863	1.499367	3.944311	1650
Triol1|Triol1_294890	Triol1|Triol1_318907	0.674306	5.513466	0.122302	837.403716	236.596284	0.832723	5.221038	2688
Triol1|Triol1_281946	Triol1|Triol1_247792	0.495313	3.455668	0.143333	505.760969	100.239031	1.563498	2.954964	711
Triol1|Triol1_281958	Triol1|Triol1_271348	0.388860	3.984329	0.097597	1261.155747	202.844253	1.660913	2.661088	1494
Triol1|Triol1_281960	Triol1|Triol1_279938	0.429241	4.215034	0.101836	1461.098213	275.901787	1.204611	3.091706	1842
Triol1|Triol1_268121	Triol1|Triol1_275030	0.318603	4.095820	0.077787	1354.645288	235.354712	1.097999	2.633140	1626
Triol1|Triol1_281965	Triol1|Triol1_276644	0.544084	4.359360	0.124808	1195.552256	334.447744	1.444261	4.134233	1842
Triol1|Triol1_281973	Triol1|Triol1_243474	0.765860	3.874038	0.197690	871.895225	175.104775	1.161758	3.857055	1155
Triol1|Triol1_268146	Triol1|Triol1_206723	0.700176	4.123441	0.169804	1159.816319	244.183681	1.248376	3.886651	1512
Triol1|Triol1_325160	Triol1|Triol1_286669	0.572162	4.060671	0.140903	906.420921	224.579079	1.188191	3.794593	2073
Triol1|Triol1_282246	Triol1|Triol1_264789	0.787533	4.404335	0.178809	1390.883371	355.116629	1.434670	4.569449	2523
Triol1|Triol1_282248	Triol1|Triol1_258992	0.758800	3.983278	0.190496	865.439720	202.560280	0.807631	4.111095	1629
Triol1|Triol1_282252	Triol1|Triol1_119247	0.384801	3.693136	0.104194	720.423263	137.576737	0.880929	2.745837	1104
Triol1|Triol1_226436	Triol1|Triol1_223585	0.000000	2.522386	0.000010	250.119074	28.880926	0.397623	0.783321	279
Triol1|Triol1_282281	Triol1|Triol1_163003	0.708615	4.351162	0.162856	1268.188082	330.811918	1.362703	4.386628	1890
Triol1|Triol1_240302	Triol1|Triol1_283922	0.597915	3.945287	0.151552	1586.444835	192.555165	1.211910	2.880681	2199
Triol1|Triol1_240125	Triol1|Triol1_143978	0.860479	2.388229	0.360300	772.019648	232.980352	1.953584	3.643931	1155
Triol1|Triol1_282299	Triol1|Triol1_331702	0.706226	4.184388	0.168776	1352.144444	264.855556	1.186081	3.827788	1761
Triol1|Triol1_282301	Triol1|Triol1_331621	0.624141	3.797211	0.164368	846.944314	158.055686	1.240947	3.369502	1230
Triol1|Triol1_282315	Triol1|Triol1_265367	0.744224	3.949830	0.188419	910.274825	193.725175	1.430416	3.920189	1233
Triol1|Triol1_325448	Triol1|Triol1_240126	0.469034	3.746156	0.125204	818.345534	147.654466	1.282207	2.909839	1392
Triol1|Triol1_282328	Triol1|Triol1_286904	0.576929	3.749538	0.153867	649.678246	148.321754	1.163405	3.499837	1053
Triol1|Triol1_295087	Triol1|Triol1_302949	0.812613	4.083055	0.199021	1091.617316	231.382684	1.043443	4.153767	1560
Triol1|Triol1_325465	Triol1|Triol1_289170	0.552231	3.681492	0.150002	617.542843	135.457157	0.815591	3.345462	903
Triol1|Triol1_268773	Triol1|Triol1_292970	0.559808	3.592607	0.155822	869.681465	120.318535	1.193362	2.785188	1071
Triol1|Triol1_268776	Triol1|Triol1_68281	0.673581	4.092545	0.164587	1271.670965	234.329035	1.355391	3.616684	1812
Triol1|Triol1_282376	Triol1|Triol1_289247	0.383490	2.831718	0.135426	737.719425	201.280575	1.949157	2.724849	1278
Triol1|Triol1_282378	Triol1|Triol1_287457	0.454438	4.286150	0.106025	1499.656221	303.343779	1.259033	3.297300	2526
Triol1|Triol1_240025	Triol1|Triol1_253137	0.302332	4.290219	0.070470	1405.006099	304.993901	1.544726	3.040823	1803
Triol1|Triol1_239980	Triol1|Triol1_284144	0.681441	4.145409	0.164384	1041.558021	251.441979	1.357684	4.065174	1746
Triol1|Triol1_240049	Triol1|Triol1_288420	0.627324	4.041181	0.155233	867.181729	218.818271	1.147384	3.945548	1437
Triol1|Triol1_325522	Triol1|Triol1_263673	0.316573	3.765292	0.084077	1024.529684	151.470316	1.228085	2.282317	1230
Triol1|Triol1_282409	Triol1|Triol1_307746	0.352180	4.110366	0.085681	1389.036230	239.963770	1.382588	2.717365	1641
Triol1|Triol1_325527	Triol1|Triol1_306343	0.836063	4.509873	0.185385	1676.225581	408.774419	0.870797	4.668995	2568
Triol1|Triol1_282414	Triol1|Triol1_284927	0.716031	3.913488	0.182965	1039.438295	184.561705	1.484592	3.594486	1653
Triol1|Triol1_325536	Triol1|Triol1_282631	0.741589	4.560908	0.162597	2297.862965	546.137035	1.311959	4.425053	3195
Triol1|Triol1_310621	Triol1|Triol1_285282	0.475944	3.442355	0.138261	459.524566	98.475434	1.011373	2.998362	663
Triol1|Triol1_91122	Triol1|Triol1_288184	0.528938	4.126208	0.128190	1104.913496	245.086504	1.269270	3.546019	1635
Triol1|Triol1_91276	Triol1|Triol1_141099	0.638479	3.784543	0.168707	1182.591451	155.408549	1.001085	3.011683	1515
Triol1|Triol1_282433	Triol1|Triol1_306133	0.589974	3.654255	0.161448	556.373774	130.626226	1.327047	3.517849	825
Triol1|Triol1_254827	Triol1|Triol1_262940	0.421176	3.373834	0.124836	594.122702	89.877298	0.799183	2.427463	789
Triol1|Triol1_282438	Triol1|Triol1_300412	0.719729	4.249508	0.169368	1262.120018	288.879982	1.255506	4.131494	2160
Triol1|Triol1_282439	Triol1|Triol1_258331	0.485355	2.892360	0.167806	297.701433	47.298567	1.220263	2.446047	465
Triol1|Triol1_282454	Triol1|Triol1_312798	0.671260	4.034172	0.166393	779.217089	216.782911	1.110399	4.209628	1194
Triol1|Triol1_282456	Triol1|Triol1_289027	0.550282	4.081412	0.134826	1881.123501	230.876499	1.410457	2.808878	2286
Triol1|Triol1_282462	Triol1|Triol1_284584	0.597211	3.527647	0.169294	732.664085	110.335915	1.115905	2.942281	927
Triol1|Triol1_240006	Triol1|Triol1_282753	0.604789	4.409294	0.137162	1361.527551	357.472449	0.940667	4.187849	1935
Triol1|Triol1_282481	Triol1|Triol1_325802	0.858139	4.308387	0.199179	1187.527548	312.472452	1.365599	4.730633	1758
Triol1|Triol1_254906	Triol1|Triol1_288175	0.626469	3.856618	0.162440	809.915435	171.084565	0.958970	3.569403	1449
Triol1|Triol1_281993	Triol1|Triol1_255730	0.760209	3.946496	0.192629	1160.134136	192.865864	1.408392	3.643213	1578
Triol1|Triol1_282010	Triol1|Triol1_286366	0.396128	3.685804	0.107474	667.761687	136.238313	0.843698	2.860698	918
Triol1|Triol1_268211	Triol1|Triol1_317887	0.609403	4.961589	0.122824	3444.458252	746.541748	1.259797	4.153971	5004
Triol1|Triol1_254101	Triol1|Triol1_283950	0.495143	3.754716	0.131872	864.650659	149.349341	1.422147	2.925710	1191
Triol1|Triol1_310403	Triol1|Triol1_282124	0.657483	4.714489	0.139460	1980.006522	536.993478	0.882173	4.569095	4011
Triol1|Triol1_282027	Triol1|Triol1_326936	0.589401	4.125948	0.142852	1305.998461	245.001539	1.179673	3.444140	1695
Triol1|Triol1_254131	Triol1|Triol1_296838	0.564122	3.864574	0.145973	715.091010	172.908990	1.619261	3.620332	1086
Triol1|Triol1_239797	Triol1|Triol1_296892	0.388463	3.888077	0.099911	1030.586665	178.413335	1.212379	2.714713	1275
Triol1|Triol1_282042	Triol1|Triol1_270317	0.594555	3.666018	0.162180	737.308843	132.691157	2.022023	3.189031	963
Triol1|Triol1_282047	Triol1|Triol1_312941	0.702245	2.501149	0.280769	839.563944	252.436056	1.144889	3.354286	1395
Triol1|Triol1_325222	Triol1|Triol1_282174	0.324762	4.358132	0.074519	1469.099413	333.900587	1.146502	3.215126	3249
Triol1|Triol1_282055	Triol1|Triol1_284465	0.421795	3.144390	0.134142	413.810660	66.189340	0.733370	2.391677	540
Triol1|Triol1_325224	Triol1|Triol1_327598	0.743010	3.923365	0.189381	892.991669	187.008331	1.549042	3.881121	4821
Triol1|Triol1_282060	Triol1|Triol1_289453	0.789641	4.441248	0.177797	1507.967922	373.032078	1.084225	4.541438	3159
Triol1|Triol1_230869	Triol1|Triol1_287174	0.421455	3.740778	0.112665	681.400576	146.599424	1.092894	3.027448	1467
Triol1|Triol1_268294	Triol1|Triol1_274530	0.239051	4.168835	0.057342	1090.580275	259.419725	1.520223	2.982627	1410
Triol1|Triol1_306567	Triol1|Triol1_301912	0.559093	3.914157	0.142839	1123.273636	184.726364	1.155145	3.098766	1563
Triol1|Triol1_282092	Triol1|Triol1_287718	0.770948	4.076155	0.189136	1171.736154	229.263846	1.437241	3.935465	1620
Triol1|Triol1_282106	Triol1|Triol1_291080	0.579414	4.188914	0.138321	1149.541390	266.458610	1.275842	3.775916	1593
Triol1|Triol1_282108	Triol1|Triol1_270311	0.511144	4.003467	0.127675	1333.913062	208.086938	1.385377	2.947258	1704
Triol1|Triol1_282113	Triol1|Triol1_274035	0.436179	3.953655	0.110323	762.284357	194.715643	1.293668	3.455582	1197
Triol1|Triol1_282122	Triol1|Triol1_302139	0.441152	3.448619	0.127921	611.698713	99.301287	1.058028	2.583562	1173
Triol1|Triol1_239534	Triol1|Triol1_284752	0.794211	4.228097	0.187841	1051.250582	280.749418	1.924477	4.553942	1608
Triol1|Triol1_268382	Triol1|Triol1_271884	0.721720	4.299376	0.167866	1368.259552	308.740448	1.194305	4.141130	2403
Triol1|Triol1_299185	Triol1|Triol1_260131	0.734082	4.299684	0.170729	1200.132518	308.867482	1.278851	4.391706	3213
Triol1|Triol1_282163	Triol1|Triol1_289905	0.375581	3.501951	0.107249	481.380340	106.619660	1.158191	2.827419	666
Triol1|Triol1_310475	Triol1|Triol1_200089	0.577581	2.128389	0.271370	804.806371	212.193629	1.519948	2.703455	1077
Triol1|Triol1_282169	Triol1|Triol1_278996	0.682269	3.779588	0.180514	580.614896	154.385104	1.502817	3.998561	909
Triol1|Triol1_239492	Triol1|Triol1_229031	0.393675	3.477178	0.113217	619.844541	103.155459	1.142203	2.500860	777
Triol1|Triol1_58535	Triol1|Triol1_198026	0.872330	4.664650	0.187009	2050.531089	502.468911	0.864938	4.856148	3915
Triol1|Triol1_268457	Triol1|Triol1_319843	0.596794	3.654217	0.163317	682.380384	130.619616	0.857101	3.264034	1074
Triol1|Triol1_310487	Triol1|Triol1_284533	0.599512	3.960496	0.151373	910.500134	196.499866	1.070973	3.588328	1275
Triol1|Triol1_306623	Triol1|Triol1_288376	0.248019	4.007964	0.061882	825.661526	209.338474	0.854656	3.025511	1158
Triol1|Triol1_268476	Triol1|Triol1_326814	0.396046	4.249704	0.093194	1610.044784	288.955216	1.201406	2.947275	1974
Triol1|Triol1_317463	Triol1|Triol1_329824	0.546794	4.320216	0.126566	1239.560452	317.439548	1.715004	3.948346	1701
Triol1|Triol1_268479	Triol1|Triol1_260823	0.482508	3.832683	0.125893	590.289190	165.710810	1.450395	3.650541	807
Triol1|Triol1_282201	Triol1|Triol1_298299	0.341714	3.137662	0.108907	516.401708	65.598292	1.037528	1.970551	657
Triol1|Triol1_325355	Triol1|Triol1_246651	0.378997	4.141073	0.091521	980.007576	249.992424	1.305061	3.430870	1506
Triol1|Triol1_59678	Triol1|Triol1_272437	0.394172	4.148803	0.095009	1547.417590	252.582410	1.204306	2.763106	1830
Triol1|Triol1_282225	Triol1|Triol1_279595	0.517186	4.083914	0.126640	1010.352034	231.647966	1.245225	3.547272	1314
Triol1|Triol1_282501	Triol1|Triol1_284381	0.646777	99.000000	0.006533	594.313207	83.686793	1.172914	38.360090	840
Triol1|Triol1_240358	Triol1|Triol1_287928	0.739631	4.536006	0.163058	1772.730829	423.269171	1.692134	4.414095	2403
Triol1|Triol1_325623	Triol1|Triol1_282887	0.660556	4.946823	0.133531	3456.012015	731.987985	1.422141	4.229158	5046
Triol1|Triol1_240681	Triol1|Triol1_288679	0.683076	4.552036	0.150059	1442.586816	432.413184	1.130184	4.726011	2172
Triol1|Triol1_290435	Triol1|Triol1_299697	0.000000	0.000000	99.000000	1978.824982	577.175018	4.600000	0.000000	2583
Triol1|Triol1_282552	Triol1|Triol1_272637	0.797882	4.720314	0.169032	1870.819994	541.180006	1.322714	5.033872	2820
Triol1|Triol1_320148	Triol1|Triol1_272578	0.289747	4.272352	0.067819	1244.185904	297.814096	1.875020	3.176781	1569
Triol1|Triol1_269139	Triol1|Triol1_282630	0.676385	4.138247	0.163447	887.947752	249.052248	1.502977	4.304049	1338
Triol1|Triol1_282565	Triol1|Triol1_112075	0.644507	3.630251	0.177538	440.488397	126.511603	0.900465	3.932099	756
Triol1|Triol1_282569	Triol1|Triol1_296780	0.787518	3.839022	0.205135	690.882590	167.117410	1.321471	4.145630	1104
Triol1|Triol1_282574	Triol1|Triol1_314215	0.533548	4.070594	0.131074	948.429747	227.570253	1.241977	3.654027	1947
Triol1|Triol1_282578	Triol1|Triol1_284569	0.398796	3.844261	0.103738	779.711286	168.288714	1.221056	3.031302	1002
Triol1|Triol1_295220	Triol1|Triol1_282962	0.259555	3.831741	0.067738	881.497148	165.502852	1.133869	2.472667	1131
Triol1|Triol1_282583	Triol1|Triol1_327204	0.512580	4.096568	0.125124	1291.410666	235.589334	0.993376	3.196580	1761
Triol1|Triol1_269185	Triol1|Triol1_283043	0.737679	4.406240	0.167417	1416.980211	356.019789	1.233312	4.422986	2181
Triol1|Triol1_269186	Triol1|Triol1_325489	0.775916	4.691348	0.165393	2047.322912	520.677088	1.107698	4.709379	5880
Triol1|Triol1_282591	Triol1|Triol1_287916	0.729283	3.577675	0.203843	593.053315	117.946685	1.243473	3.605394	909
Triol1|Triol1_114634	Triol1|Triol1_302438	0.652943	4.025172	0.162215	1027.803166	214.196834	1.292437	3.703564	2442
Triol1|Triol1_282603	Triol1|Triol1_311621	0.526405	99.000000	0.005317	456.921748	59.078252	1.069676	35.402749	579
Triol1|Triol1_115575	Triol1|Triol1_280044	0.570931	4.118123	0.138639	915.541411	242.458589	1.421224	3.940895	1311
Triol1|Triol1_295239	Triol1|Triol1_283059	0.727664	3.847021	0.189150	677.090738	168.909262	1.189367	4.051389	1074
Triol1|Triol1_282609	Triol1|Triol1_283980	0.434396	3.650777	0.118987	892.978159	130.021841	1.034495	2.529579	1140
Triol1|Triol1_310735	Triol1|Triol1_299644	0.508743	3.543273	0.143580	409.341123	112.658877	1.701474	3.490980	549
Triol1|Triol1_240416	Triol1|Triol1_287772	0.221830	99.000000	0.002241	1794.959043	197.040957	0.954271	29.977756	2124
Triol1|Triol1_282627	Triol1|Triol1_151182	0.236967	99.000000	0.002394	689.126879	81.873121	1.392187	32.174082	909
Triol1|Triol1_282628	Triol1|Triol1_285960	0.289903	4.323604	0.067051	1319.122841	318.877159	1.070989	3.225489	1728
Triol1|Triol1_282634	Triol1|Triol1_284637	0.300560	4.031083	0.074561	1131.108195	215.891805	1.479501	2.695420	1383
Triol1|Triol1_282637	Triol1|Triol1_282638	0.409459	3.094003	0.132340	409.111325	61.888675	1.592602	2.286612	534
Triol1|Triol1_269283	Triol1|Triol1_269757	0.319493	3.918475	0.081535	1047.206985	185.793015	1.330059	2.585404	1296
Triol1|Triol1_282650	Triol1|Triol1_326184	0.425136	3.528900	0.120473	480.479545	110.520455	1.042008	3.016675	654
