SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Cucbe1|Cucbe1_399852	Cucbe1|Cucbe1_274070	0.895854	4.445237	0.201531	1160.978774	375.021226	0.956147	5.287355	2136
Cucbe1|Cucbe1_360591	Cucbe1|Cucbe1_408757	0.816022	2.225517	0.366666	703.620666	223.379334	1.353529	3.467004	1047
Cucbe1|Cucbe1_275292	Cucbe1|Cucbe1_303886	0.482244	2.041886	0.236176	402.997669	137.002331	1.579154	2.633812	957
Cucbe1|Cucbe1_298352	Cucbe1|Cucbe1_416484	0.660566	4.380977	0.150781	1233.772722	344.227278	1.306535	4.416426	1782
Cucbe1|Cucbe1_381686	Cucbe1|Cucbe1_332576	0.687134	4.039594	0.170100	744.644195	218.355805	1.236977	4.341867	1155
Cucbe1|Cucbe1_269396	Cucbe1|Cucbe1_275414	0.547775	4.477763	0.122332	1180.356831	391.643169	1.243116	4.580640	4410
Cucbe1|Cucbe1_390413	Cucbe1|Cucbe1_330176	0.855662	4.024372	0.212620	716.179799	246.820201	1.379114	5.003440	1125
Cucbe1|Cucbe1_372175	Cucbe1|Cucbe1_189502	0.638355	4.320474	0.147751	1008.451054	317.548946	1.274445	4.560434	1566
Cucbe1|Cucbe1_1468	Cucbe1|Cucbe1_307590	0.551740	2.141031	0.257699	1159.470720	385.529280	1.498394	2.844965	1635
Cucbe1|Cucbe1_381678	Cucbe1|Cucbe1_370783	0.788247	3.389293	0.232570	596.943079	216.056921	1.411925	4.438446	3969
Cucbe1|Cucbe1_324194	Cucbe1|Cucbe1_284000	0.516855	3.484770	0.148318	1196.678033	369.321967	1.424928	3.650404	1614
Cucbe1|Cucbe1_243359	Cucbe1|Cucbe1_169271	0.420583	4.029657	0.104372	612.518379	215.481621	1.289945	4.079462	1221
Cucbe1|Cucbe1_269188	Cucbe1|Cucbe1_338104	0.533669	1.765186	0.302330	1258.265444	463.734556	1.571599	2.595949	2082
Cucbe1|Cucbe1_274463	Cucbe1|Cucbe1_283991	0.833865	2.078961	0.401097	962.459065	351.540935	1.659551	3.500915	4893
Cucbe1|Cucbe1_390395	Cucbe1|Cucbe1_51758	0.883517	2.805618	0.314910	760.767417	253.232583	1.458109	4.090606	1614
Cucbe1|Cucbe1_298289	Cucbe1|Cucbe1_413172	0.579949	4.378841	0.132443	1111.751331	343.248669	1.192204	4.428434	1554
Cucbe1|Cucbe1_269825	Cucbe1|Cucbe1_419597	0.504156	3.932055	0.128217	535.676521	187.323479	2.075427	4.176891	951
Cucbe1|Cucbe1_1202	Cucbe1|Cucbe1_399813	0.437803	1.324507	0.330541	289.361345	109.638655	2.858514	2.044365	1077
Cucbe1|Cucbe1_360560	Cucbe1|Cucbe1_334077	0.639562	2.645071	0.241794	542.541022	189.458978	1.618458	3.475907	783
Cucbe1|Cucbe1_920	Cucbe1|Cucbe1_355759	0.622281	3.812866	0.163206	669.610327	161.389673	0.865146	3.725787	978
Cucbe1|Cucbe1_324130	Cucbe1|Cucbe1_272707	0.619958	3.739969	0.165766	594.558574	146.441426	0.972197	3.709668	993
Cucbe1|Cucbe1_247146	Cucbe1|Cucbe1_182257	0.335942	0.916885	0.366395	124.614056	43.385944	0.669554	1.457912	831
Cucbe1|Cucbe1_247337	Cucbe1|Cucbe1_264861	0.359259	2.766591	0.129856	137.003671	39.996329	0.541456	2.709717	1545
Cucbe1|Cucbe1_272760	Cucbe1|Cucbe1_179505	0.321397	3.569330	0.090044	462.358298	116.641702	1.206487	2.927115	708
Cucbe1|Cucbe1_349846	Cucbe1|Cucbe1_364426	0.835832	4.043477	0.206711	950.510767	219.489233	1.234447	4.312735	1602
Cucbe1|Cucbe1_399782	Cucbe1|Cucbe1_391147	0.734024	3.169855	0.231564	1228.282600	406.717400	1.633444	4.019861	1773
Cucbe1|Cucbe1_360525	Cucbe1|Cucbe1_408785	0.577117	4.258914	0.135508	922.474385	292.525615	1.357589	4.390659	1338
Cucbe1|Cucbe1_294	Cucbe1|Cucbe1_357289	0.697144	1.927700	0.361646	857.616906	327.383094	1.598376	3.111340	1422
Cucbe1|Cucbe1_298192	Cucbe1|Cucbe1_311584	0.632918	4.434615	0.142722	1154.252684	369.747316	1.348398	4.665816	1584
Cucbe1|Cucbe1_399773	Cucbe1|Cucbe1_258073	0.589282	3.746868	0.157273	524.205264	147.794736	1.553158	3.851215	756
Cucbe1|Cucbe1_273501	Cucbe1|Cucbe1_282440	0.847269	4.035803	0.209938	673.745099	217.254901	1.475453	4.874214	1050
Cucbe1|Cucbe1_324043	Cucbe1|Cucbe1_430362	0.766884	4.405575	0.174071	1171.295682	355.704318	0.961196	4.843477	1827
Cucbe1|Cucbe1_381634	Cucbe1|Cucbe1_322215	0.355561	4.330295	0.082110	1160.265639	321.734361	0.875385	3.655364	1527
Cucbe1|Cucbe1_119	Cucbe1|Cucbe1_398166	0.532145	2.881246	0.184693	244.194055	73.805945	1.259951	3.232074	2076
Cucbe1|Cucbe1_349827	Cucbe1|Cucbe1_291218	0.520570	4.113370	0.126556	860.073170	240.926830	1.709771	3.920299	1518
Cucbe1|Cucbe1_381631	Cucbe1|Cucbe1_307513	0.369232	4.424351	0.083455	1090.278153	364.721847	1.370506	4.157161	1488
Cucbe1|Cucbe1_421803	Cucbe1|Cucbe1_435418	0.479375	4.091299	0.117169	801.059716	233.940284	1.164060	3.887327	1182
Cucbe1|Cucbe1_1749	Cucbe1|Cucbe1_403979	0.685585	4.344961	0.157789	1168.912293	328.087707	1.136872	4.462760	1557
Cucbe1|Cucbe1_399867	Cucbe1|Cucbe1_361503	0.516642	3.765836	0.137192	868.419752	151.580248	1.237722	2.998495	1305
Cucbe1|Cucbe1_390441	Cucbe1|Cucbe1_301173	0.933331	2.227988	0.418912	855.802282	338.197718	4.942627	3.900119	1383
Cucbe1|Cucbe1_372213	Cucbe1|Cucbe1_281528	0.851929	4.395897	0.193801	1193.856065	351.143935	1.192597	4.972182	1839
Cucbe1|Cucbe1_298443	Cucbe1|Cucbe1_362629	0.503277	3.931985	0.127996	671.829831	189.170169	1.466983	3.769794	1092
Cucbe1|Cucbe1_360618	Cucbe1|Cucbe1_369234	0.819000	2.003594	0.408765	983.094977	348.905023	1.180232	3.387879	1527
Cucbe1|Cucbe1_298451	Cucbe1|Cucbe1_314111	0.586297	5.204253	0.112657	3027.258410	1031.741590	1.483555	5.280352	4209
Cucbe1|Cucbe1_422003	Cucbe1|Cucbe1_281266	1.046351	1.968995	0.531414	1169.640455	402.359545	1.519478	3.847515	1797
Cucbe1|Cucbe1_381724	Cucbe1|Cucbe1_372636	0.818769	1.962131	0.417286	1091.594436	405.405564	2.200307	3.385216	1587
Cucbe1|Cucbe1_360624	Cucbe1|Cucbe1_342877	0.679919	2.184167	0.311294	580.614076	205.385924	1.187867	3.218960	1248
Cucbe1|Cucbe1_273433	Cucbe1|Cucbe1_300013	0.658083	2.289586	0.287425	672.098056	197.901944	1.463327	3.087621	936
Cucbe1|Cucbe1_257979	Cucbe1|Cucbe1_271457	0.650670	3.932817	0.165446	683.620012	189.379988	1.314544	4.088000	1257
Cucbe1|Cucbe1_411620	Cucbe1|Cucbe1_402614	0.794186	4.061083	0.195560	846.297375	224.702625	1.444205	4.438806	1302
Cucbe1|Cucbe1_360644	Cucbe1|Cucbe1_281101	0.708190	2.985989	0.237171	1699.116977	493.883023	1.299350	3.663511	2739
Cucbe1|Cucbe1_360645	Cucbe1|Cucbe1_416508	0.860663	4.649568	0.185106	1541.534635	492.465365	1.479273	5.334062	2379
Cucbe1|Cucbe1_390469	Cucbe1|Cucbe1_386724	0.452434	3.983177	0.113586	643.467137	202.532863	1.210013	3.893088	909
Cucbe1|Cucbe1_399917	Cucbe1|Cucbe1_296398	0.658923	4.048020	0.162777	898.177228	220.822772	1.039423	3.983176	1401
Cucbe1|Cucbe1_399922	Cucbe1|Cucbe1_282379	0.885084	2.672147	0.331226	931.220048	301.779952	1.638362	3.967417	1476
Cucbe1|Cucbe1_273914	Cucbe1|Cucbe1_367975	0.486676	4.472611	0.108812	1363.038094	388.961906	1.039798	4.114782	1869
Cucbe1|Cucbe1_372250	Cucbe1|Cucbe1_326580	0.710161	2.216831	0.320350	679.736155	229.263845	1.379096	3.270499	996
Cucbe1|Cucbe1_411642	Cucbe1|Cucbe1_420068	0.742396	4.890295	0.151810	2465.154992	678.845008	1.023471	4.914000	3909
Cucbe1|Cucbe1_372257	Cucbe1|Cucbe1_290375	0.777572	3.332514	0.233329	1507.150043	544.849957	2.093295	4.367892	2712
Cucbe1|Cucbe1_360672	Cucbe1|Cucbe1_186825	0.588564	1.661916	0.354148	1145.700648	411.299352	1.800006	2.616306	1779
Cucbe1|Cucbe1_411651	Cucbe1|Cucbe1_349339	0.480278	2.645864	0.181520	1421.742141	489.257859	1.179256	3.104147	2013
Cucbe1|Cucbe1_298542	Cucbe1|Cucbe1_332344	0.968621	4.301039	0.225206	1127.574056	309.425944	1.445256	5.058548	1836
Cucbe1|Cucbe1_360677	Cucbe1|Cucbe1_274409	0.591331	4.099188	0.144256	855.586203	236.413797	1.161230	4.052305	1269
Cucbe1|Cucbe1_270709	Cucbe1|Cucbe1_170546	0.430767	3.489402	0.123450	1278.388560	413.611440	1.487486	3.535362	1824
Cucbe1|Cucbe1_372268	Cucbe1|Cucbe1_320431	0.507223	4.222649	0.120120	1011.282674	278.717326	1.252083	3.929933	1680
Cucbe1|Cucbe1_390500	Cucbe1|Cucbe1_372536	0.749676	3.023309	0.247965	866.545104	288.454896	1.298142	3.952509	1398
Cucbe1|Cucbe1_269648	Cucbe1|Cucbe1_366095	0.632742	3.351657	0.188785	362.741466	87.258534	1.430788	3.479882	474
Cucbe1|Cucbe1_399952	Cucbe1|Cucbe1_435462	0.694686	3.997614	0.173775	606.530519	206.469481	1.331805	4.600493	1077
Cucbe1|Cucbe1_3270	Cucbe1|Cucbe1_310796	0.520923	4.712714	0.110536	1801.275895	535.724105	1.285496	4.445496	2601
Cucbe1|Cucbe1_390509	Cucbe1|Cucbe1_329913	0.664492	2.150077	0.309055	482.746765	180.253235	1.607474	3.205156	825
Cucbe1|Cucbe1_260521	Cucbe1|Cucbe1_378987	0.933584	4.427909	0.210841	1055.544020	366.455980	1.317170	5.502263	1725
Cucbe1|Cucbe1_3606	Cucbe1|Cucbe1_376805	0.973061	1.917322	0.507511	725.741793	258.258207	1.782382	3.662669	1188
Cucbe1|Cucbe1_360714	Cucbe1|Cucbe1_417714	0.730138	2.474432	0.295073	1041.093336	353.906664	1.703431	3.517979	1467
Cucbe1|Cucbe1_275255	Cucbe1|Cucbe1_295204	0.662973	3.290190	0.201500	249.607591	80.392409	1.139831	3.908995	585
Cucbe1|Cucbe1_300233	Cucbe1|Cucbe1_278250	0.543676	1.534043	0.354408	555.250323	170.749677	1.548793	2.329809	771
