SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Phlgi1|Phlgi1_131555	Phlgi1|Phlgi1_24994	0.591787	3.758405	0.157457	701.248008	192.751992	1.654269	3.823589	1116
Phlgi1|Phlgi1_61627	Phlgi1|Phlgi1_500220	0.589400	3.778662	0.155981	619.805331	154.194669	1.216222	3.674275	1569
Phlgi1|Phlgi1_123917	Phlgi1|Phlgi1_62851	0.648394	4.005236	0.161887	748.421560	208.578440	1.236166	4.140056	2472
Phlgi1|Phlgi1_97369	Phlgi1|Phlgi1_17779	0.802672	2.718820	0.295228	1115.693165	399.306835	1.456655	3.923128	1743
Phlgi1|Phlgi1_97372	Phlgi1|Phlgi1_94474	0.525500	3.553615	0.147878	1138.903308	379.096692	1.522192	3.845173	1554
Phlgi1|Phlgi1_61534	Phlgi1|Phlgi1_124713	0.658004	4.479130	0.146905	1101.642680	392.357320	1.752699	4.984548	1533
Phlgi1|Phlgi1_61248	Phlgi1|Phlgi1_112687	0.919283	2.675327	0.343615	494.855946	159.144054	1.784897	4.039795	819
Phlgi1|Phlgi1_27261	Phlgi1|Phlgi1_126582	0.821831	3.702033	0.221995	543.130903	182.869097	1.459071	4.641940	816
Phlgi1|Phlgi1_123927	Phlgi1|Phlgi1_62285	0.519438	4.328718	0.119998	1103.941201	321.058799	1.481158	4.133058	1611
Phlgi1|Phlgi1_97390	Phlgi1|Phlgi1_27765	0.852167	4.703016	0.181196	1826.158937	528.841063	1.315778	5.150752	3231
Phlgi1|Phlgi1_123932	Phlgi1|Phlgi1_310128	0.605554	4.347405	0.139291	1116.841261	329.158739	1.292279	4.371980	1842
Phlgi1|Phlgi1_61146	Phlgi1|Phlgi1_16760	0.530453	3.361219	0.157816	355.621756	88.378244	1.151405	3.281752	474
Phlgi1|Phlgi1_81239	Phlgi1|Phlgi1_315769	0.769214	4.304206	0.178712	1129.264544	310.735456	0.965969	4.596073	2037
Phlgi1|Phlgi1_113440	Phlgi1|Phlgi1_106704	0.957538	4.185879	0.228754	925.617478	265.382522	1.192593	5.030663	1347
Phlgi1|Phlgi1_97411	Phlgi1|Phlgi1_124685	0.604624	5.090856	0.118767	3214.032744	886.967256	1.021764	4.724727	6579
Phlgi1|Phlgi1_27274	Phlgi1|Phlgi1_22818	0.559452	3.466551	0.161386	414.295895	101.704105	1.117201	3.397333	579
Phlgi1|Phlgi1_81261	Phlgi1|Phlgi1_11798	0.139994	3.721339	0.037619	466.151418	142.848582	1.703036	2.940131	609
Phlgi1|Phlgi1_27280	Phlgi1|Phlgi1_90431	0.467579	4.145395	0.112795	843.562780	251.437220	1.277485	3.936272	1107
Phlgi1|Phlgi1_97439	Phlgi1|Phlgi1_17662	0.239758	4.018359	0.059666	993.739933	212.260067	0.990213	2.714414	1284
Phlgi1|Phlgi1_61497	Phlgi1|Phlgi1_104960	0.984980	2.873189	0.342818	1066.962979	391.037021	1.161542	4.474198	1920
Phlgi1|Phlgi1_132785	Phlgi1|Phlgi1_101973	1.003985	2.123159	0.472873	706.938755	229.061245	2.165645	3.833620	1089
Phlgi1|Phlgi1_81307	Phlgi1|Phlgi1_21227	0.445906	4.775973	0.093364	1856.130238	582.869762	1.025768	4.442102	2868
Phlgi1|Phlgi1_27295	Phlgi1|Phlgi1_31230	0.629258	2.223831	0.282961	854.193258	267.806742	1.720556	3.029586	1479
Phlgi1|Phlgi1_123968	Phlgi1|Phlgi1_102658	0.901681	4.321391	0.208655	1005.062349	317.937651	1.312412	5.170473	1665
Phlgi1|Phlgi1_32813	Phlgi1|Phlgi1_69181	0.753000	2.685037	0.280443	1008.713727	293.286273	1.047105	3.564621	1701
Phlgi1|Phlgi1_113491	Phlgi1|Phlgi1_100512	0.913130	3.661256	0.249404	658.056570	226.943430	1.340636	4.853523	1728
Phlgi1|Phlgi1_123981	Phlgi1|Phlgi1_67349	0.239649	3.164168	0.075738	286.041975	67.958025	0.948920	2.403222	501
Phlgi1|Phlgi1_61158	Phlgi1|Phlgi1_69052	0.853749	3.975331	0.214762	642.574647	200.425353	0.948760	4.787738	999
Phlgi1|Phlgi1_123986	Phlgi1|Phlgi1_113519	0.346603	4.634249	0.074792	1944.491705	482.508295	1.207165	3.597071	2685
Phlgi1|Phlgi1_123989	Phlgi1|Phlgi1_97538	0.308321	2.775568	0.111084	1141.779409	391.220591	1.698686	2.813883	1689
Phlgi1|Phlgi1_123990	Phlgi1|Phlgi1_64410	0.430343	4.001754	0.107538	1389.132094	410.867906	1.338131	3.736658	3621
Phlgi1|Phlgi1_134223	Phlgi1|Phlgi1_108195	0.137042	99.000000	0.001384	1879.290633	391.709367	1.311593	51.567726	2274
Phlgi1|Phlgi1_17679	Phlgi1|Phlgi1_16325	0.933795	2.345252	0.398164	1255.139115	409.860885	1.465022	3.843729	2382
Phlgi1|Phlgi1_124018	Phlgi1|Phlgi1_65587	0.643815	4.402706	0.146232	1304.653859	354.346141	1.092738	4.340031	2196
Phlgi1|Phlgi1_135174	Phlgi1|Phlgi1_99778	0.308874	4.321803	0.071469	1277.887686	318.112314	1.110019	3.326176	1704
Phlgi1|Phlgi1_10004	Phlgi1|Phlgi1_495564	0.365071	3.937021	0.092728	769.555431	190.444569	1.934066	3.221022	1065
Phlgi1|Phlgi1_61599	Phlgi1|Phlgi1_63010	0.605192	2.438728	0.248159	249.416001	92.583999	1.036287	3.304664	912
Phlgi1|Phlgi1_488962	Phlgi1|Phlgi1_26746	0.425370	1.935752	0.219744	833.091195	312.908805	2.090790	2.513313	1728
Phlgi1|Phlgi1_61334	Phlgi1|Phlgi1_126902	0.610153	4.589223	0.132953	1735.606267	454.393733	1.574395	4.307259	2541
Phlgi1|Phlgi1_124030	Phlgi1|Phlgi1_83280	0.731554	4.403321	0.166137	1196.362915	354.637085	1.282056	4.713318	1707
Phlgi1|Phlgi1_81464	Phlgi1|Phlgi1_102226	0.727645	4.400450	0.165357	1772.024270	540.975730	1.331655	4.759976	3273
Phlgi1|Phlgi1_27346	Phlgi1|Phlgi1_82392	0.505227	4.733847	0.106727	1947.966268	551.033732	1.077478	4.312936	2613
Phlgi1|Phlgi1_81485	Phlgi1|Phlgi1_104375	0.709724	4.145025	0.171223	846.686711	251.313289	1.250555	4.488015	1782
Phlgi1|Phlgi1_135905	Phlgi1|Phlgi1_135924	0.914628	1.650430	0.554175	632.855353	252.144647	1.909480	3.372793	1068
Phlgi1|Phlgi1_27350	Phlgi1|Phlgi1_84502	0.646931	4.181301	0.154720	1212.232577	263.767423	1.327584	3.835613	1602
Phlgi1|Phlgi1_61501	Phlgi1|Phlgi1_105822	0.631410	2.205520	0.286286	609.554481	212.445519	1.338718	3.114714	951
Phlgi1|Phlgi1_27354	Phlgi1|Phlgi1_87590	0.610530	3.870520	0.157739	629.714635	174.285365	0.986467	3.951623	1134
Phlgi1|Phlgi1_124059	Phlgi1|Phlgi1_121811	0.645710	3.658744	0.176484	1250.980322	426.019678	1.250426	4.233396	1899
Phlgi1|Phlgi1_124066	Phlgi1|Phlgi1_61339	0.497943	1.713765	0.290555	836.494279	225.505721	1.664266	2.268335	1173
Phlgi1|Phlgi1_32886	Phlgi1|Phlgi1_107098	0.644827	4.903597	0.131501	2063.006868	690.993132	1.645140	5.140125	3342
Phlgi1|Phlgi1_17712	Phlgi1|Phlgi1_28850	0.681574	3.758401	0.181347	530.915012	150.084988	1.001037	4.079019	792
Phlgi1|Phlgi1_43058	Phlgi1|Phlgi1_98664	0.613853	2.328586	0.263616	468.404076	149.595924	2.178322	3.086787	1074
Phlgi1|Phlgi1_61480	Phlgi1|Phlgi1_145474	0.753514	2.043528	0.368732	841.945883	277.054117	1.231719	3.218729	1335
Phlgi1|Phlgi1_97762	Phlgi1|Phlgi1_60751	0.892437	3.625601	0.246149	1572.311544	491.688456	1.614971	4.630603	3078
Phlgi1|Phlgi1_97775	Phlgi1|Phlgi1_87454	0.615368	3.247331	0.189500	928.598395	241.401605	1.370337	3.475232	1383
Phlgi1|Phlgi1_97779	Phlgi1|Phlgi1_103744	0.771425	4.279630	0.180255	1031.281694	300.718306	1.181391	4.690359	1521
Phlgi1|Phlgi1_97802	Phlgi1|Phlgi1_85634	0.808410	4.282400	0.188775	967.169366	301.830634	0.902733	4.904088	1494
Phlgi1|Phlgi1_97806	Phlgi1|Phlgi1_39776	0.777614	3.916182	0.198564	597.774150	185.225850	1.022043	4.560213	1194
Phlgi1|Phlgi1_81650	Phlgi1|Phlgi1_31513	0.462697	3.328361	0.139016	290.410138	84.589862	0.753962	3.327339	2382
Phlgi1|Phlgi1_61619	Phlgi1|Phlgi1_109408	0.266560	2.308320	0.115478	590.493098	189.506902	1.310551	2.287863	1182
Phlgi1|Phlgi1_124118	Phlgi1|Phlgi1_131126	0.675443	3.934224	0.171684	767.264364	189.735636	1.325824	3.964595	1182
Phlgi1|Phlgi1_17739	Phlgi1|Phlgi1_28740	0.153569	0.338368	0.453853	484.498994	217.501006	4.029440	0.632477	759
Phlgi1|Phlgi1_17742	Phlgi1|Phlgi1_85409	0.283211	2.219566	0.127598	433.325356	139.674644	1.474404	2.265653	582
Phlgi1|Phlgi1_498514	Phlgi1|Phlgi1_124433	0.600160	3.309363	0.181352	1060.651040	340.348960	1.382881	3.774943	1524
Phlgi1|Phlgi1_113686	Phlgi1|Phlgi1_73468	0.622379	3.967512	0.156869	683.653356	198.346644	1.203766	4.123926	1113
Phlgi1|Phlgi1_97899	Phlgi1|Phlgi1_110468	0.586000	4.181177	0.140152	894.276262	263.723738	0.988537	4.214303	1473
Phlgi1|Phlgi1_61947	Phlgi1|Phlgi1_124160	0.323366	2.267062	0.142637	216.878488	80.121512	2.286800	2.543147	645
Phlgi1|Phlgi1_124175	Phlgi1|Phlgi1_126066	0.444442	4.007058	0.110915	1050.914355	209.085645	1.107872	3.106877	1392
